"","TWIST2","ZEB2","KLF8","miR101","SNAI2","NP63","ZEB1","miR141","CLDN7","miR200b","SNAI1","GRHL2","TWIST1","TCF3","GSC","TGFbeta","miR200c","miR200a","CDH1","FOXC2","miR34a","miR205","OVOL2"
"SNAI2",0.0203489833892995,-0.0324829924078826,0.0163931068576351,0.016245349235631,-0.0753893169045576,-0.0524853413196633,-0.046143204279594,-0.0461862243207629,-0.0461862243207629,0.00236657327517701,-0.00413233525701578,-0.0415103257077889,0.0742986513978484,0.0741263626782256,-0.0132442528472823,0.0131878055780806,0.0387642996321393,0.0387642996321393,0.0678582480905628,-0.0283716339581638,0.0269751998650136,0.0526888083986899,0.059974054938782
"miR200b",0.126779107473458,-0.00616125749505426,0.0879068951178845,0.0880131593014514,0.0980001749020799,0.22328445851957,0.2183058244374,0.21827524687865,0.21827524687865,0.144509833013329,-0.0674072607748362,0.190019140208152,0.0740687184804653,0.0742299205450349,0.152091913166773,-0.152111229592553,-0.107197782870752,-0.107197782870752,0.0492105082759099,-0.0415541239157756,-0.209688982925661,-0.223551030405122,-0.248734993283136
"miR200a",0.00336145732732157,-0.00220104370539283,-0.111714996396335,-0.111650157233481,-0.102407545147832,0.230987348550586,0.227328550586967,0.227333237658016,0.227333237658016,0.0801109587076801,0.130672841785011,0.197271963262708,0.0266807000940471,0.0267916189458152,-0.063116301284749,0.0631333451898486,-0.114153599443848,-0.114153599443848,0.0503307202963592,-0.0308631286972141,-0.116438254535513,-0.231246811852523,-0.256829009458847
"miR141",-0.00336145732732157,0.00220104370539283,0.111714996396335,0.111650157233481,0.102407545147832,-0.230987348550586,-0.227328550586967,-0.227333237658016,-0.227333237658016,-0.0801109587076801,-0.130672841785011,-0.197271963262708,-0.0266807000940471,-0.0267916189458152,0.063116301284749,-0.0631333451898486,0.114153599443848,0.114153599443848,-0.0503307202963592,0.0308631286972141,0.116438254535513,0.231246811852523,0.256829009458847
"TGFbeta",-0.130562183999684,0.00724643301198208,-0.0994302236625033,-0.0993990626013653,-0.100768029517909,0.0144696603196184,0.0147250640345077,0.0147451346763051,0.0147451346763051,-0.0964829667748759,0.0969731900413066,0.0127201812594961,-0.0454014941229979,-0.0453833424201413,-0.195067245849111,0.0950789746276241,-0.0114599079491152,-0.0114599079491152,0.000773627887817846,0.016766617533918,0.0892931236719735,-0.0145350732386699,-0.0155571602620318
"OVOL2",-0.0124364108045031,0.0179936420481178,-0.0334491273674738,-0.0335456365852008,-0.0414350778694896,-0.0378832134412549,0.228899160805829,0.228844677776409,0.228844677776409,0.0783542957379806,-0.103418774128964,0.200534368600289,0.0191521696578568,0.0191935335885092,0.283764783801097,-0.283743426878699,-0.224908567356833,-0.224908567356833,-0.0940568197009902,-0.0208398522053375,-0.222385314171679,0.0375688193790891,-0.0261329050274962
"CDH1",-0.0203797616283339,0.0322988811609213,-0.0160081306355782,-0.0163931068576351,-0.0245516516187734,0.0526888083986899,0.0461862243207629,0.0461316768243326,0.0461316768243326,-0.00255918809393517,0.00409270696152227,0.0414504275346832,-0.0741263626782256,-0.0744397756928338,0.0132381149910309,-0.0132442528472823,-0.0389088325576722,-0.0389088325576722,-0.067779613822036,0.0283347162083643,-0.0269002096714235,-0.0527915305353104,-0.0600153889173286
"FOXC2",0.108200450129887,0.0380416262552205,-0.0392392088369989,-0.0393949694107455,-0.0260128318593658,0.224962720913156,0.221875012226888,0.221778513801895,0.221778513801895,0.197468554025035,0.0814240355364098,0.17567921846614,0.114581781476473,0.114632479989317,0.0753357200805457,-0.0753302924364689,-0.228149977208085,-0.228149977208085,0.168422353216663,-0.129459419978612,-0.214525571724456,-0.225301566128662,-0.260550463888063
"ZEB1",0.108243389061185,0.0381607613144977,-0.0393949694107455,-0.0393031218042942,-0.0260388324320973,0.224879378000178,0.121886373353475,0.221875012226888,0.221875012226888,0.197620221771786,0.0814348946325553,0.175802731680543,0.114469406396098,0.114581781476473,0.0753302924364689,-0.0753360095578754,-0.22809113389941,-0.22809113389941,0.168396570067094,-0.129365505501594,-0.214611794435885,-0.224962720913156,-0.260580109661137
"GRHL2",0.00343583136860648,0.050068667434466,-0.0406216542962045,-0.0407616252456301,-0.0304406932027955,0.250478322152399,0.0923913273255833,0.0923308426181698,0.0923308426181698,0.07705755633935,0.0908313027062967,-0.0528766522472517,0.0235563046931472,0.0234320200524165,-0.0823402504229281,0.0822776108003179,-0.109607501334244,-0.109607501334244,0.121937963515945,-0.0380431616126781,-0.0827274858696787,-0.250316911457639,-0.229483707766199
"miR34a",-0.00451798129601174,0.0979120784745239,0.103057469997133,0.103093003187053,0.0899342990844524,-0.152915211445283,-0.133721441772013,-0.133674799869975,-0.133674799869975,-0.0425145094877411,-0.122729399168181,-0.119744933457863,-0.0869659714114738,-0.0869415644610042,-0.0289302053836664,0.0289857176959352,0.0810598325299497,0.0810598325299497,-0.0336905442195819,0.168754001622776,0.0130481931916569,0.152841413500272,0.175514940241509
"miR101",0.0115418477152977,0.103544156147407,0.216924016503354,0.116562477837326,0.101569485351414,-0.219823189558813,-0.214061172287075,-0.214076662877366,-0.214076662877366,-0.12688354574382,-0.0468273478203444,-0.189814223264789,-0.0305397218511541,-0.0308812645767305,-0.0391352174742775,0.039167916666859,0.0566085805592694,0.0566085805592694,-0.0522695075620201,0.139320137015153,0.100636112208064,0.220022643684364,0.242819732926665
"NP63",0.00249401485448937,0.111991481803414,-0.00333659484927071,-0.00343802584877726,-0.00943804187024006,-0.161072052571281,0.0415445734904537,0.0415489841724469,0.0415489841724469,-0.0903252119596773,-0.0112744413081635,-0.0216959944822399,-0.0679757125597727,-0.0680273225676264,0.0314754875612074,-0.0314344078494501,-0.0631206337086774,-0.0631206337086774,-0.0818139259271556,0.0281905809329322,-0.0337428448361009,0.0607657327088567,0.0968136114987588
