"","ZEB2","miR101","TWIST2","TCF3","miR200c","miR200a","ZEB1","miR200b","TGFbeta","GSC","NP63","miR205","GRHL2","miR141","CLDN7","CDH1","TWIST1","FOXC2","OVOL2","miR34a","SNAI1","SNAI2","KLF8"
"TGFbeta",-0.00207775974895053,0.011583198552767,0.137037983135028,-0.0339571400756817,-0.00388326291813343,-0.00388326291813343,0.00843704598230514,0.100232958680229,-0.098104329969771,0.00192390597850073,0,0,-0.00843688152012185,-0.00844202075676774,-0.00844202075676774,-0.088602088716607,0.0340184020728228,-0.0211920611861788,-0.00641232481044746,0.0888109946528147,0.0788863084628341,-0.109352120991254,-0.011571426596337
"miR141",-0.0018943734338323,-0.00972855307745434,-0.0303308653627424,-0.0110768107044643,-9.38200991327695e-05,-9.38200991327695e-05,0.00173447486900529,-0.00358000461456911,-0.103004341174206,-0.103049791587805,0,0,-0.00131883566804155,-0.00175880299968976,-0.00175880299968976,0.00428963694851938,0.0110073015573564,0.0181532402611176,0.0641036736970738,-0.00212033856920046,-0.0828264897459577,0.107495101807499,0.00979159115245164
"miR200a",0.0018943734338323,0.00972855307745434,0.0303308653627424,0.0110768107044643,9.38200991327695e-05,9.38200991327695e-05,-0.00173447486900529,0.00358000461456911,0.103004341174206,0.103049791587805,0,0,0.00131883566804155,0.00175880299968976,0.00175880299968976,-0.00428963694851938,-0.0110073015573564,-0.0181532402611176,-0.0641036736970738,0.00212033856920046,0.0828264897459577,-0.107495101807499,-0.00979159115245164
"FOXC2",0.00217999152262762,-0.0353084447837598,0.0533595806613121,-0.0852180293708581,-0.00325394349684981,-0.00325394349684981,0.0035447724538503,-0.00679870031401359,-0.0146179963903366,-0.0147254637430574,0,0,-0.00289376520578621,-0.00351884115902848,-0.00351884115902848,0.0167290892436179,0.0853137932284516,0.0859372935969327,0.0654616601729615,-0.0035171596728356,0.0608994070465258,0.0287609799411257,0.035299886510477
"miR200b",0.00533163294992124,-0.0277782132156006,-0.0424472277931567,-0.0138752544758523,-5.26884804442126e-05,-5.26884804442126e-05,-0.00398275473775823,-0.0373754981965912,-0.0976814151120517,-0.0977711796789093,0,0,0.00326973403709655,0.00400351176669085,0.00400351176669085,0.0737376325774986,0.0138944804101587,0.022049784185864,0.0708306095212145,0.00828399238700251,-0.0691264621887708,0.126641904163613,0.0277944230063142
"miR34a",0.00537603105193998,0.00678596474318729,0.186920944516379,-0.0975946171747638,-0.120286769467019,-0.120286769467019,0.130113475508258,-0.01962497486795,0.0463559260750221,0.0463933365463337,0,0,-0.130429458278387,-0.130126563797095,-0.130126563797095,-0.0153166520067703,0.0976048523475414,0.0152822777035835,-0.118033664376069,-0.0304699118745706,0.0581064974051087,-0.0857595789479021,-0.00673890727545526
"miR205",0.00707675069113791,-0.0452701821500371,0.0514921596728681,-0.0914466646286869,-0.00373284133172196,-0.00373284133172196,0.00116184799297724,-0.00474312223451002,-0.00381738846811819,-0.00392689489566937,0,0,-0.00114519776687184,-0.00111153805893915,-0.00111153805893915,0.0134910007263062,0.09157845491739,0.0928525897422234,0.0690303772827429,0.00372573621483252,0.08311417909147,0.0362264028861349,0.0452313812238215
"GRHL2",0.0238643448975996,-0.0253303264051411,0.0336186349902055,-0.0375402571164758,0.105806447721403,0.105806447721403,-0.119148089361871,0.10072776956327,0.0793608282035062,0.0792981885808961,-0.306281053357567,0.306185595419806,0.169378585750513,0.119162282524261,0.119162282524261,0.101074391071765,0.0376125156285285,0.0298264633233698,-0.146353818826145,0.129566521583884,0.0973125384589164,0.00910049394168539,0.025301275830732
"CDH1",0.0328845451075246,-0.0477640477424616,0.0153677550478754,-0.026262510289369,-0.0160183594682129,-0.0160183594682129,0.000212256408428564,-0.00617599911706293,0.00157212307971351,0.0014759633317748,0,0,-0.000149159480343165,-0.000143269868825477,-0.000143269868825477,0.000362657833568118,0.0263103190543093,0.0832364660135052,0.0138466340740748,0.0554873797444369,0.141580778756637,-0.010811108855168,0.0474955349153127
"SNAI2",0.0329373522093662,-0.04771202041077,0.0154450759898396,-0.0263103190543093,-0.0159997100584667,-0.0159997100584667,0.000165465686360311,-0.00616922372142822,0.00148034240536254,0.00157212307971351,0,0,-0.000210483800427593,-0.000212256408428564,-0.000212256408428564,0.000284844810665631,0.0260858903274322,0.0831435351260788,0.0138032838038918,0.0553835471686968,0.141720145683485,-0.110817667908131,0.0477640477424616
"TCF3",0.0330248225451234,-0.0474955349153127,0.0158379964852701,-0.0282470214219925,-0.0161903230374123,-0.0161903230374123,0.000143269868825477,-0.00621593581000893,0.0014759633317748,0.00174785022682646,0,0,-0.000451078124631059,-0.000483393483644627,-0.000483393483644627,0.100253693374932,0.026262510289369,0.0827645142840112,0.0136299468260029,0.0551642009364899,0.141773821020571,-0.0108310122712227,0.0482554812720405
"KLF8",0.0330248225451234,-0.0474955349153127,0.0158379964852701,-0.0282470214219925,-0.0161903230374123,-0.0161903230374123,0.000143269868825477,-0.00621593581000893,0.0014759633317748,0.00174785022682646,0,0,-0.000451078124631059,-0.000483393483644627,-0.000483393483644627,0.100253693374932,0.026262510289369,0.0827645142840112,0.0136299468260029,0.0551642009364899,0.141773821020571,-0.0108310122712227,0.0482554812720405
"SNAI1",0.143507822376129,-0.0805016160043445,0.145164640654413,-0.26595400827277,-0.122865943002398,-0.122865943002398,0.109664189959238,-0.0288819271194371,0.0342453245674865,0.0342603514499939,0,0,-0.109064610293542,-0.109655001869782,-0.109655001869782,-0.107964747995193,0.266047509670182,0.0766479019592747,-0.106541106324341,0.105981823180034,0.124752265311375,-0.159568149945314,0.0804694826289986
