"","miR101","KLF8","SNAI2","TWIST2","ZEB2","TCF3","miR34a","miR200c","ZEB1","miR141","CLDN7","GRHL2","miR200a","GSC","NP63","miR205","TGFbeta","miR200b","FOXC2","CDH1","OVOL2","TWIST1","SNAI1"
"ZEB1",-0.0240167121405095,-0.0237793779254391,-0.0655874325910665,-0.130155079136551,0.000541462534062417,0.110208994443052,0.0145345568138839,0.00561943491525091,-0.0908407756704896,0.00901589235648258,0.00901589235648258,0.00797583975399888,-0.00594651397037853,0.00700332618376102,0,0,-0.00689790246502509,0.0053637088079507,-0.0800075364726624,0.0796227339474448,0.0654054986560837,-0.110155511116028,-0.104233425810288
"CDH1",-0.057052428444782,-0.0579032582464707,-0.0296699516789808,-0.0088207286932223,0.00443225625789783,0.00844413221002575,-0.0536557864685422,-0.0177540184137304,-0.0282380453970776,-0.0277455135910742,-0.0277455135910742,-0.0272369769266841,0.010633515393784,-0.000250617691298134,0,0,-0.000365213885926327,0.0015291819507605,0.0858606990479012,0.0734749927559442,-0.0310430481558806,-0.00967122384349188,0.103147719328921
"TCF3",-0.0579032582464707,-0.0544611482777626,-0.0301046841875445,-0.00971910039451371,0.00524497474557346,0.0121227382119619,-0.0544345944155621,-0.0176075309288568,-0.0277455135910742,-0.0284147890912022,-0.0284147890912022,-0.0278310749041538,0.0115570234505957,0.000764426716894725,0,0,0.000250617691298134,0.00185607117820737,0.0874079838319385,0.17274066705644,-0.0314694327407964,-0.00844413221002575,0.101915534665513
"KLF8",-0.0579032582464707,-0.0544611482777626,-0.0301046841875445,-0.00971910039451371,0.00524497474557346,0.0121227382119619,-0.0544345944155621,-0.0176075309288568,-0.0277455135910742,-0.0284147890912022,-0.0284147890912022,-0.0278310749041538,0.0115570234505957,0.000764426716894725,0,0,0.000250617691298134,0.00185607117820737,0.0874079838319385,0.17274066705644,-0.0314694327407964,-0.00844413221002575,0.101915534665513
"miR205",-0.0174802433545366,-0.0169432886014232,0.0165432529992393,0.0993458147046396,0.00662901509676291,-0.128364421631595,-0.0169924423881967,-0.00755647852433082,-0.00709670532967132,-0.0071824185506251,-0.0071824185506251,-0.00678268695738318,0.00243550250687349,-0.0102243533442478,0,0,0.0104290827522782,0.00357588541493667,0.0917683660767998,-0.00223498879490192,-0.0587857224642252,0.129534060443835,0.144002320263231
"miR34a",0.0545161977028604,0.0541973593500638,-0.0368832931097695,-0.187734767133121,0.0131906924106207,0.157362917941867,0.0788462379755484,-0.0421576312538389,0.00544257295890821,0.00556536490508917,0.00556536490508917,0.00496032025495765,0.0312852017613681,0.000609486448235714,0,0,-0.000754904570592091,0.00997492832919783,-0.0689496631503387,0.0604457617110967,-0.0354541102240697,-0.157610924051478,-0.151081725545623
"miR101",0.209448891836791,0.308576945642252,0.0359429262337133,-0.109553436958015,0.0174793971792671,0.324768304566205,0.189187917966211,0.0563291182429652,0.123261861604883,0.123106296527925,0.123106296527925,0.120634245952004,-0.0707163546325074,0.0037738777713581,0,0,-0.00367074954860114,0.039129610979255,-0.173326170931345,0.108039201591573,0.116438010379438,-0.32546339311634,-0.35548971925851
"OVOL2",-0.192433196050072,-0.191700603351872,-0.120963122886131,-0.0748967638480575,0.0234971938774915,-0.146966200187841,-0.206024173086986,-0.125910186193996,-0.128822957218417,-0.128582606896614,-0.128582606896614,-0.173543269579024,0.108279561707967,-0.231176066464686,-0.300276143134155,0.300216721576014,0.231233247902075,-0.00194497926013801,0.0631945989322194,0.133535948008989,0.134012469282896,0.148645935458685,0.290563383074309
"SNAI1",-0.269802775906902,-0.269796848391062,-0.0463195721410875,0.103569972440461,0.0548733644620166,-0.399797080676498,-0.315134337554475,-0.111248357182727,-0.149263057126093,-0.149160135082013,-0.149160135082013,-0.14743497649955,0.0471592959620453,-0.0338735065540404,0,0,0.0339599599170372,-0.0596509521846533,0.202872430225034,-0.147442912890425,-0.134959120946785,0.400753043051127,0.358621641757934
"TGFbeta",-0.226373868128863,-0.225954924973563,-0.0790136814755682,0.00641449914057218,0.0691764235754721,-0.314029883340767,-0.294803888598799,-0.105704385591342,-0.133437280494618,-0.133271740585776,-0.133271740585776,-0.131939491574368,0.0323266388512276,-0.0417070950985823,0,0,-0.0583194032528727,0.023041694732218,0.0941688444879097,-0.0434032908335126,-0.124030223066697,0.314919316780741,0.427300833089183
