"","ZEB2","miR101","FOXC2","TCF3","TWIST1","miR200c","miR200a","miR34a","ZEB1","CLDN7","GSC","TGFbeta","miR141","GRHL2","miR200b","CDH1","SNAI1","miR205","NP63","OVOL2","SNAI2","TWIST2","KLF8"
"miR101",0.00154695696415361,0.15220584904278,0.164421015307371,0.0121347222760078,0.0113719798952476,0.0617669845373598,0.0617669845373598,-0.104932803531013,-0.120918961340819,-0.121282495832101,0.010184336860357,-0.0100258715424622,0.121282495832101,0.137803091788136,0.100924317970532,0.0563756213986093,-0.0972428496715698,0.176235536405477,0.175610930064935,0.194851179871796,-0.13003499345763,-0.124941363333651,-0.25287575892395
"miR200c",0.00833790165023945,-0.0326173111756625,0.0844793109175867,0.0850477343485215,0.0858241663108978,-0.00946796939816697,-0.00946796939816697,0.02576124650926,0.0120305205693108,0.0124833809102171,-0.0910087325510599,0.0907303487677675,-0.0124833809102171,-0.0269947409295881,-0.043649968310069,-0.0266930119905397,-0.0113601173908313,-0.128301986631865,-0.127459619473521,-0.159044091891537,0.107122595733724,0.0878997470176993,0.033317934352061
"miR205",0.0103313334389444,-0.0381339216706278,-0.0926789562841088,0.0109537076371539,0.0116003037411035,-0.00967460988164158,-0.00967460988164158,0.0238291333216322,0.009459324516357,0.0101779491297158,0.0161314991763151,-0.0164362127138488,-0.0101779491297158,-0.029130085509611,-0.0152118674473075,0.00235925680998497,0.0976923143386481,-0.141194737158513,-0.139668624781147,-0.175197517599238,0.0284458156945784,0.108284318680274,0.0390588856858978
"GSC",0.0185198311394681,0.0819815932672833,-0.0930916163796903,-0.0735983647095371,-0.0743826095344796,0.0450028890528754,0.0450028890528754,-0.0961931456538598,-0.115450809794876,-0.115772016431377,0.0110544935188877,-0.0109414204370045,0.115772016431377,0.128863520303488,0.0829160590511713,0.0163075524185949,-0.0804134357516964,0.149604022299065,0.148931595624224,0.162622681115799,-0.00817875982990471,-0.0537850162344611,-0.0827162569199452
"ZEB1",0.0213785157313007,-0.0672311551133708,-0.0988889038642403,0.0107724235643181,0.0101684826243336,-0.0159737880935707,-0.0159737880935707,0.02961655018846,-0.0867471394901517,0.0127834187592532,0.0233464264987363,-0.0231449551403712,-0.0127834187592532,-0.0359572039471649,-0.0244887524080944,-0.057016358603838,0.10369458102353,-0.144167880817357,-0.145251338686078,-0.177624892342821,0.0555199084517172,0.12739245025478,0.0664956394809082
"FOXC2",0.0214963887666449,-0.0664956394809082,-0.0992287526551758,0.0100570112164137,0.0107724235643181,-0.0163698678435608,-0.0163698678435608,0.0302947132166505,0.0127834187592532,0.0136978157291176,0.0228633661759001,-0.0233464264987363,-0.0136978157291176,-0.0369691057862653,-0.024596646825456,-0.0572373104045788,0.103772955369623,-0.145956983555226,-0.144167880817357,-0.177796624163419,0.0560582521073977,0.126136884097019,0.067534613857438
"TCF3",0.0335118965797005,-0.04410372478696,-0.016282267407892,0.0499878182844579,0.0514398996010116,-0.0312810901586178,-0.0312810901586178,0.0291073121022335,0.0276536380041362,0.026194397979267,-0.000268104567921752,0.000920633116045733,-0.026194397979267,-0.0292481793557119,-0.0111736251974038,-0.018823512164844,0.0544026629862582,-0.038804347826087,-0.0418101281729078,-0.0468183607261521,0.0361007270910335,0.0517266629267026,0.0426881384361926
"KLF8",0.0335118965797005,-0.04410372478696,-0.016282267407892,0.0499878182844579,0.0514398996010116,-0.0312810901586178,-0.0312810901586178,0.0291073121022335,0.0276536380041362,0.026194397979267,-0.000268104567921752,0.000920633116045733,-0.026194397979267,-0.0292481793557119,-0.0111736251974038,-0.018823512164844,0.0544026629862582,-0.038804347826087,-0.0418101281729078,-0.0468183607261521,0.0361007270910335,0.0517266629267026,0.0426881384361926
"CLDN7",0.0335118965797005,-0.04410372478696,-0.016282267407892,0.0499878182844579,0.0514398996010116,-0.0312810901586178,-0.0312810901586178,0.0291073121022335,0.0276536380041362,0.026194397979267,-0.000268104567921752,0.000920633116045733,-0.026194397979267,-0.0292481793557119,-0.0111736251974038,-0.018823512164844,0.0544026629862582,-0.038804347826087,-0.0418101281729078,-0.0468183607261521,0.0361007270910335,0.0517266629267026,0.0426881384361926
"SNAI2",0.0341876924677419,-0.0439381322587134,-0.0176060240164308,0.0516258225757792,0.0509978755318909,-0.0313609730640011,-0.0313609730640011,0.0302670023251167,0.0272948129899829,0.026872325334678,-0.000640337680564832,0.000782102196346368,-0.026872325334678,-0.0300354320261212,-0.0112295666470555,0.080932843893339,0.0537240253420916,-0.0404490598626869,-0.0413850084262093,-0.0471109084865194,-0.0630606479261833,0.0500776695921064,0.0431105508359393
"SNAI1",0.0378202658018373,-0.155719640123165,-0.164895393284325,-0.0204425536661988,-0.0209376512295422,-0.083275196108351,-0.083275196108351,0.148404203406038,0.1128462717098,0.112907191059222,-0.0122618249313394,0.0121905936051682,-0.112907191059222,-0.122149982905359,-0.0579370684039604,-0.114253583972018,-0.00440355538198346,-0.135627299043339,-0.135691008918369,-0.14602126882201,0.117387106688447,0.126042495467183,0.155409849426869
"miR34a",0.0805553239704683,-0.0697614844766686,-0.125413956267324,-0.0176403464379249,-0.0171624426013097,-0.120745012181889,-0.120745012181889,0.0995297082058273,0.0811676220778754,0.0812644754152701,0.00599416823440368,-0.00606838578232831,-0.0812644754152701,-0.0913987893860345,-0.011011612657995,-0.0394639736744346,0.131690995049217,-0.12232064782939,-0.122148452624364,-0.139776912111252,-0.00299921263737427,0.0976353950199858,0.0699727629032205
"TWIST2",0.107091123222853,-0.0470395354969233,0.0124492934764926,0.0559974370667854,0.0562781318219256,-0.017573808637089,-0.017573808637089,-0.0159549383314127,-0.0747809623532614,-0.0747489998215275,0.00873471656218606,-0.00873280635814898,0.0747489998215275,0.083752534710377,0.0490649170036035,0.101648230258659,0.0462624468509231,0.11489899402776,0.114934938775547,0.132571382760243,0.0482389243589029,0.0618307938149829,0.0473332620878699
