"","ZEB2","miR101","GRHL2","miR141","SNAI1","miR34a","TWIST1","miR200b","TGFbeta","miR200c","NP63","miR205","GSC","CDH1","TCF3","miR200a","ZEB1","CLDN7","FOXC2","OVOL2","KLF8","SNAI2","TWIST2"
"ZEB1",-0.00721518752796967,-0.0796138760827187,-0.150556346623558,-0.139195029400782,0.0819834430866902,-0.158884483707893,-0.0375224027303391,0.149028635348804,-0.034467679494175,-0.162702087950432,0,0,0.0344820866401194,-0.0440572422186629,0.0373427227889905,0.156866281905298,0.0392174789869188,0.139195029400782,-0.0879396506936984,0.100076443810706,0.0795786066018414,0.0839902699771867,0.174475420640829
"FOXC2",-0.00717757921476562,-0.0795786066018414,-0.150595251397514,-0.139238815029743,0.0820098826251314,-0.158967648876364,-0.0373427227889905,0.149075999459119,-0.0344820866401194,-0.162705054839945,0,0,0.0344940274570884,-0.044075192512667,0.037139928737616,0.156914246619093,0.139195029400782,0.139238815029743,-0.0880768063687678,0.100103952951486,0.0793612264604587,0.0839728963225965,0.174403855755332
"miR141",0.00505322259276336,0.0813404668580215,-0.169896456170728,-0.165865343832267,-0.00430373119544268,-0.0922160357070686,0.0561849661347702,0.119364799048132,0.0890256463675326,-0.078345716329621,0,0,-0.0889654245695142,-0.0642896450890262,-0.0562751801342082,0.082612583190348,0.165869584515597,0.165865343832267,0.0293086159964028,0.110163873973443,-0.0813674831758775,-0.119424583773411,-0.0178003973524956
"miR200c",0.00995082761329104,0.061963805346634,-0.179945074196005,-0.177515092904186,-0.0104267276825202,-0.0995048715898985,0.0503459065257187,0.0837892769537786,0.0930321604120199,-0.0828625859806708,0,0,-0.0930048901638607,0.00528435760441298,-0.050341469771648,0.0911457998699869,0.177494782262973,0.177515092904186,0.0386579568169187,0.119446166802737,-0.0620628651787726,-0.0870592254902829,0.00927468041890897
"miR200a",0.0122169597394375,0.156164997988343,0.171052993537185,0.167552789480957,-0.0523623775707414,0.166492360966113,0.0945799883348529,0.00356756149923533,0.132278064458409,0.0862992879102208,0,0,-0.13223034152413,-0.0207910953621788,-0.0944572381388963,-0.0760947185890637,-0.167502570862572,-0.167552789480957,0.0560604726723103,-0.113452409185245,-0.155963276148352,-0.209247487687542,-0.194979533135919
"miR200b",0.0171145647599652,0.136788336476956,0.161004375511908,0.155903040409038,-0.058485374057819,0.159203525083283,0.0887409287258013,-0.0320079605951185,0.136284578502896,0.081782418259171,0,0,-0.136269807118477,0.0487829073312604,-0.088523527776336,-0.0675615019094247,-0.155877373115196,-0.155903040409038,0.0654098134928262,-0.104170116355951,-0.136658658151247,-0.176882129404414,-0.167904455364515
"TWIST1",0.0237711607048102,0.141425118483148,-0.124836428617405,-0.123980008333249,0.0410910930383684,-0.0535458187624291,0.0490272839415552,0.100110762164357,0.0149385035091235,-0.0445819232878244,0,0,-0.0148861735735802,-0.098201022722645,-0.149003592486001,0.0845608877392368,0.123991484614983,0.123980008333249,-0.0631867914371334,0.113854206610813,-0.141432089553208,-0.207761421937229,-0.153012157253255
"miR34a",0.0287830585453393,0.152000552819559,0.0413288801555049,0.0388390216841523,0.00619715972689228,0.0191398593350065,0.148261764650178,0.0693378124928346,0.0449090592048886,0.075553732803509,0,0,-0.0448806996540557,0.00282398623427671,-0.148123983478172,-0.0517636931591008,-0.038817604484237,-0.0388390216841523,0.0155051365142139,-0.0609628912839898,-0.151880508259018,-0.251927633051301,-0.316117281918298
"TGFbeta",0.0340509767730068,0.130076389109029,-0.0162027510847043,-0.0168005846494593,0.0066310934416758,0.0368572242902383,0.141517223458564,0.14538174742841,0.116797785215053,0.00510773788444254,0,0,-0.216753042097023,-0.0285767375691012,-0.141426464944281,0.0242466879724658,0.0168371235101673,0.0168005846494593,0.0115125351217231,0.0119113096660322,-0.129956592140654,-0.252745356261632,-0.218192271262293
"TCF3",0.0764488169847429,0.274228969430925,-0.0488762671601467,-0.0493017155000884,0.0922370605728824,-0.063376889183041,0.250656272703376,0.250530818608668,0.221358869313213,0.0125353069805751,0,0,-0.220851347109117,-0.224996480824756,-0.250027037466203,0.0624352071211998,0.0495248073334644,0.0493017155000884,-0.123983085414541,0.0435470789090287,-0.273200806712999,-0.379425651871835,-0.333707509246731
