"","ZEB2","SNAI2","SNAI1","miR34a","CDH1","TWIST1","miR200c","miR200a","GRHL2","TGFbeta","miR200b","GSC","miR141","CLDN7","ZEB1","miR205","NP63","OVOL2","TCF3","FOXC2","TWIST2","KLF8","miR101"
"miR200c",0.00587001661371813,0.12844129007347,0.00321104416060951,0.0177142660507416,0.047922552775113,0.100218075026634,-0.00218134043846298,-0.00218134043846298,-0.00418812332001888,0.118642041757822,0.0378846769421482,-0.118611362728643,2.51883878569766e-05,2.51883878569766e-05,-3.60362001730273e-06,-0.0072383100785711,-0.0070214982783223,-0.0193546393037343,-0.100000674077168,0.0502639266925902,-0.102109517388727,-0.0533400086420534,-0.0534570793527626
"FOXC2",0.0168506839150975,-0.03755316882509,0.0955656919134244,0.0191513425454596,0.087913661445366,0.0835241922894469,-0.0142586626478676,-0.0142586626478676,0.00565940543692217,0.0150189798578938,-0.000223390281921752,-0.0149049993322808,-0.0129115337970637,-0.0129115337970637,-0.0128754000255907,-0.0175969403180212,-0.0169599113128707,-0.0315262212311592,-0.0836537551556028,-0.0914792865267975,-0.0525511376432492,0.0041838621045337,0.00428142641995742
"miR205",0.0185594002437332,-0.0488173796668084,0.0868960192379384,0.00786421695825928,0.00922554964216362,0.083234470362532,-0.0127322604822802,-0.0127322604822802,0.00389452384659121,0.0149551598596202,0.000514908049756954,-0.014891677872634,-0.0077595178683702,-0.0077595178683702,-0.00777194007430553,-0.0125896208391801,-0.012143678910729,-0.0238078067212342,-0.0831809305577464,-0.0863323733390112,-0.0426058342355838,0.023290164393704,0.0232763963231113
"miR141",0.0260124255991013,0.101499166545414,-0.00834808966593478,0.00720679008930293,-0.0278244906252406,0.0931396160672806,-0.00786379268530927,-0.00786379268530927,-0.00878996764394159,0.126599724556031,0.0714695802005039,-0.126597452035351,0.00652097777519158,0.00652097777519158,0.00643638730244467,-0.00311487321703287,-0.00292649575124293,-0.0153206042619464,-0.0927092509224206,0.059984405856723,-0.0779652350870176,-0.0310260309992205,-0.0312655756842102
"TGFbeta",0.029528304917975,0.20239090642064,0.00842826115497293,-0.0921596505180506,-0.105440052322866,0.116834956008195,0.0291420293463211,0.0291420293463211,-0.0809675518905346,0.1211188966941,0.115149565110931,-0.22104200803496,0.0855569159035116,0.0855569159035116,0.0856926071655776,0.0762573779441447,0.0765680893096393,0.0724073044515151,-0.117554217233889,0.0826836506696359,-0.137295674404477,-0.10251573014557,-0.1020483142285
"OVOL2",0.0375056937183951,0.166439947142035,-0.000252606773508888,0.0222165249991248,0.0433596795140642,0.105847030821693,-0.012028675896969,-0.012028675896969,-0.0043787272787773,0.0507887489547697,0.124337894467737,-0.0508411078612952,0.00398730807716734,0.00398730807716734,0.00395782474204508,0.019009902599873,0.0189634457453261,-0.0539297614350178,-0.105606040964848,0.0625864206374478,-0.161394519213158,-0.166278724222617,-0.166437745092735
"SNAI2",0.0818357787440046,0.130993034273068,0.125101719794987,0.00447538156620364,-0.106738424235223,0.238634569061369,-0.00515077481697796,-0.00515077481697796,-0.0643399534990943,0.214954153492684,0.213138888285523,-0.214906324127177,0.0693150829048869,0.0693150829048869,0.0694232328888615,0.0559882432978582,0.0562676714197214,0.0531628070325991,-0.23916503696126,0.00514389980274716,-0.231452029543489,-0.267321333565163,-0.266987664944581
"KLF8",0.0818376231342486,0.231060922610346,0.125554944772392,0.00424073467565693,-0.00684510134866277,0.238107932047582,-0.00511419870517046,-0.00511419870517046,-0.0642332665655563,0.214957472929272,0.213172822153757,-0.214903095550262,0.0692755403089576,0.0692755403089576,0.0695717770057356,0.0566304347826087,0.056168007036944,0.0531739826081666,-0.239898832337998,0.00601658910481944,-0.23169294789447,-0.268173327538024,-0.266787543005168
"CDH1",0.0818576627681913,0.23097607120506,0.12473348833012,0.00452152937764368,-0.106770247503165,0.23916503696126,-0.00499318730462273,-0.00499318730462273,-0.0645481709579856,0.214906324127177,0.21305597034847,-0.214957472929272,0.0695717770057356,0.0695717770057356,0.0693150829048869,0.056168007036944,0.0559882432978582,0.0534279493827886,-0.238107932047582,0.00437371916037831,-0.231433262324565,-0.266787543005168,-0.267321333565163
"TWIST1",0.105606954268182,-0.152674870177926,0.0302836327691948,0.10788044839537,0.176026868161542,0.0211718546024021,-0.123341812284493,-0.123341812284493,0.126520593830982,-0.0127350190661203,0.029921994284405,0.0127065039515428,-0.135120500329464,-0.135120500329464,-0.135174426513526,-0.0979096688535949,-0.0979646613903221,-0.0815954640696741,-0.120876936828092,0.0539226786676487,0.0921593831726333,0.0529478871219785,0.0527556847617734
"miR34a",0.106300863557538,-0.162800398506531,0.125830392499923,0.103493052499743,0.111041726334181,0.0818606921356104,-0.135692914075112,-0.135692914075112,0.0803435960418083,-0.0238910795688987,0.00164666353158157,0.0238856490166115,-0.0889126621520201,-0.0889126621520201,-0.0888898171387772,-0.0683734061201137,-0.0683185307251055,-0.0628462859270512,-0.0818819498021485,-0.0775243436847904,-0.000648374706285903,0.0288183907021751,0.0287982232160042
"SNAI1",0.110959886304575,-0.142663809668535,-0.0453013809300495,0.122531310314892,0.134065727080075,0.0291554374453146,-0.0964805679488529,-0.0964805679488529,0.0815215271108873,-0.00960221139541876,0.0186331873169812,0.00969412907932731,-0.0871325176571779,-0.0871325176571779,-0.0870104473258276,-0.0758866798713704,-0.0754921687221423,-0.0713208200841547,-0.0298068816076085,-0.0567866736059379,0.0220875600737589,-0.00274415627291329,-0.00233390978184668
"NP63",0.128953308282537,0.214415257566112,0.125632233422579,0.0807144766745046,-0.0731186438397532,0.239052923008995,-0.0713378410855455,-0.0713378410855455,0.08583671945201,0.108726189264529,0.186094726603491,-0.108832311853236,-0.032534927666976,-0.032534927666976,-0.0326791230398314,0.0835405258641192,-0.0171312282201457,0.0489447215824921,-0.238507652056454,-0.00442076838958212,-0.233883984051306,-0.246554579841592,-0.246853390083382
