"","SNAI2","ZEB2","KLF8","FOXC2","SNAI1","TCF3","OVOL2","NP63","miR205","miR200c","miR200a","GSC","miR141","ZEB1","CLDN7","TGFbeta","GRHL2","miR200b","CDH1","miR34a","TWIST1","miR101","TWIST2"
"OVOL2",-0.0802537574968287,0.000154134455062052,-0.0958787630371296,0.0927823442900038,0.0808467433572638,0.03197784794838,-0.0673340343280983,0.0345836879289612,0.0346841643818183,-0.00139912801255539,-0.00139912801255539,-0.0264872706769786,0.00115623926864955,0.00107865869558591,-0.00115623926864955,0.0264459346981426,-0.0373021766858646,0.056816460301026,-0.0499332523771627,0.00221214698507195,-0.0321451021027573,0.095743869471443,0.0835297774922653
"GRHL2",-0.00106442351536968,0.0112462591877602,-0.00341654854589743,-0.037463292206016,0.00629171563055045,-0.0302258452857618,-0.0389935100955058,-0.189109251250533,-0.189569184950656,-0.0889724883248405,-0.0889724883248405,0.109410949741352,0.0821996834272589,0.082127844189934,-0.0821996834272589,-0.109455850709771,0.0400102792576773,-0.0890979169377506,-0.00353273822350801,-0.084578936734294,0.0301709288166017,0.00355123757270318,0.0308830961195981
"miR200c",-0.0291646150281814,0.0142866594791446,-0.0724976804333081,0.176274307014309,0.155379517182293,0.105011895574228,0.0704098596860977,0.0599414191325985,0.0602364253526092,-0.0113377197832949,-0.0113377197832949,-0.101593816674486,0.00756666071374207,0.00764544814614223,-0.00756666071374207,0.101540412438507,-0.0169221400135454,-0.0143904891586838,-0.089098520198006,-0.116666239910798,-0.105051826360865,0.072358996668314,0.0535205694886152
"miR200b",-0.0291646150281814,0.0142866594791446,-0.0724976804333081,0.176274307014309,0.155379517182293,0.105011895574228,0.0704098596860977,0.0599414191325985,0.0602364253526092,-0.0113377197832949,-0.0113377197832949,-0.101593816674486,0.00756666071374207,0.00764544814614223,-0.00756666071374207,0.101540412438507,-0.0169221400135454,-0.0143904891586838,-0.089098520198006,-0.116666239910798,-0.105051826360865,0.072358996668314,0.0535205694886152
"miR200a",-0.0621080680037409,0.0178566875097407,-0.0904514524750228,0.161054138561391,0.144037751235041,0.0908666391986038,0.0640178908854255,0.0539888554693495,0.0541985586859836,-0.00993567930512874,-0.00993567930512874,-0.0970028063893087,0.00214593802949086,0.00228230947763958,-0.00214593802949086,0.096991443785909,-0.0117520166267582,0.0293219661151217,-0.0136628856291354,-0.107133529095565,-0.0907468468386943,0.0904100274543103,0.0753754556575446
"SNAI2",0.1570509135105,0.0189650981324144,0.234688246980905,0.031163846840384,0.000630686113277367,0.138243928085183,-0.0270759379809987,-0.0264490375794561,-0.026316105754492,0.00172659277552181,0.00172659277552181,0.205993567244622,-0.0226834498475795,-0.022653113005799,0.0226834498475795,-0.205984518445742,0.0248900889983768,-0.205185830099939,-0.0941887093310614,0.0134189229252238,-0.138248461998857,-0.234711139006849,-0.254387609516723
"TCF3",0.256966478803075,0.0189905034520695,0.234689521543464,0.0310747266648595,0.000570212812373713,0.137936387675669,-0.0269507016956627,-0.0263931473569574,-0.0270289855072464,0.00167817995227952,0.00167817995227952,0.20588452471085,-0.0224983448545272,-0.0226994932288826,0.0224983448545272,-0.205975153675867,0.0248057749278695,-0.20528913567146,-0.194228929166113,0.0133017283270849,-0.138323609360084,-0.23470442245242,-0.254365460088784
"CLDN7",0.256966478803075,0.0189905034520695,0.234689521543464,0.0310747266648595,0.000570212812373713,0.137936387675669,-0.0269507016956627,-0.0263931473569574,-0.0270289855072464,0.00167817995227952,0.00167817995227952,0.20588452471085,-0.0224983448545272,-0.0226994932288826,0.0224983448545272,-0.205975153675867,0.0248057749278695,-0.20528913567146,-0.194228929166113,0.0133017283270849,-0.138323609360084,-0.23470442245242,-0.254365460088784
"ZEB1",0.058000084641912,0.0267606049542548,0.0187318996292464,0.0946348068367841,0.0951659337928273,0.012732640389469,0.0563966680441546,0.0466695744657091,0.047186875304886,-0.00412928196485468,-0.00412928196485468,0.00965015224887322,-0.00628328931761221,-0.106139957344584,0.00628328931761221,-0.00958451969512657,-0.00587736305087552,0.000899285541270274,-0.0679861510214518,0.00327857375855764,-0.0126467065044762,-0.0187848038505624,0.0298027559626829
"TGFbeta",-0.0156162613022841,0.0670456635168138,-0.0698251522548402,0.187381182254221,0.152855835678145,0.106315185702516,0.0947988766391163,0.095453313666909,0.0950472084611309,-0.0797375478567105,-0.0797375478567105,-0.174891106744904,0.0901097566550081,0.089914368099391,-0.0901097566550081,0.0747586149876287,-0.0967231586407779,0.0688872444160966,-0.0582665892630515,-0.159466742580921,-0.106787129976789,0.0696277988676329,0.091573969344008
"SNAI1",0.319425133188062,0.0811090762793242,-0.0131373417196849,0.327122911561734,0.218916366216292,0.307521391375421,0.111050684496455,0.115133774670341,0.114894862638976,-0.100297726687623,-0.100297726687623,0.0534976868690823,0.111375543344545,0.111317403585211,-0.111375543344545,-0.053605216898453,-0.120405004027577,-0.110148562461459,-0.229870696003534,-0.243146039762676,-0.307733430063541,0.0129935214669231,-0.110912714640342
"NP63",0.217977521027343,0.0851868395625657,0.217175682511397,0.0319881365785511,-0.0140270743136739,0.140746326463852,0.0235217400665088,0.15526182364973,0.255466036891347,0.0304485089467822,0.0304485089467822,0.00576920868831201,-0.0850792962717945,-0.0849018511423749,0.0850792962717945,-0.00569389588342352,-0.0854789328068676,-0.0664332941580245,-0.0684414774122825,0.0910797648085838,-0.140587008613521,-0.217033130836415,-0.238809786399559
"TWIST2",0.172280863716359,0.115086775486265,0.04585609372467,0.047199832349188,0.106422011960206,0.050802764991252,-0.073190639309414,-0.070471516984427,-0.0703260263386197,-0.0301724980556112,-0.0301724980556112,0.0258624718368886,-0.0588323284953651,-0.0588302837542777,0.0588323284953651,-0.0258578327699414,0.0647692854215471,-0.00234041210845289,-0.0970579891813797,-0.0281840835755602,-0.0509082036302387,-0.0459542922595131,-0.142450875983332
