"","TWIST2","ZEB2","NP63","CLDN7","ZEB1","GRHL2","CDH1","miR34a","miR200b","miR200c","miR200a","FOXC2","TGFbeta","GSC","TCF3","TWIST1","miR141","miR205","OVOL2","SNAI1","miR101","KLF8","SNAI2"
"miR205",-0.134761815351408,0.00606124601919189,-0.0943680707654379,-0.129954903551223,-0.130818246863729,-0.12530212033093,-0.0297407675210606,-0.140819030040677,-0.0738497262518983,0.0563794286923019,0.0563794286923019,-0.0822296033800232,0.0174160406470838,0.0179000907978535,0.0974695838943293,0.0977084537926037,0.129954903551223,0.0982130811707495,0.0884886711964201,0.0708668508191213,0.0224179601837999,0.0225218465346354,0.0397273356684975
"OVOL2",-0.0886631700212476,0.00638055156120889,0.0249294046420475,0.0607358610917966,0.0612221323194582,0.0273278766544135,-0.0858933247871611,0.0200398194026439,-0.00188745542725393,-0.07744368588618,-0.07744368588618,0.0495072144292967,0.00517545420469779,0.00490677034226392,-0.0142059213917599,-0.0143300131837173,-0.0607358610917966,-0.0269508180108177,-0.0983127754372848,-0.17073783069745,0.124491708019382,0.12426249862728,0.086764788805627
"GRHL2",-0.0003315377701321,0.0119096422562884,0.104751358350642,-0.120790269544079,-0.121231131003529,-0.11223556076139,0.00286431369745919,-0.114810335524186,-0.0785904538020778,0.14228234429245,0.14228234429245,-0.0454769686526606,-0.0725760470008291,-0.072232914908832,0.0270167341526835,0.0277046351874254,0.120790269544079,-0.101566534427148,-0.0101737652118646,0.123173785089399,-0.0870992707442523,-0.0870226828662647,-0.0565626280237669
"miR200b",-0.0711203002707319,0.0134231422613729,-0.0989707589756122,-0.139906157449759,-0.140613012402765,-0.134324925628898,-0.00689529877773745,-0.0379386375741106,-0.100239017841832,0.0600308486389411,0.0600308486389411,-0.0486718181714711,-0.0755285970468584,-0.0751456773122888,0.0928656718268973,0.0931540608414942,0.139906157449759,0.102180284477656,0.0913947628492248,0.194545848217381,-0.0409222245505952,-0.0406646689870348,0.0853372757923716
"miR101",-0.168393878207417,0.0175788282272306,-0.139947270240194,-0.170964216498731,-0.171013984139877,-0.159537658398277,-0.118879443038899,-0.196941270613063,-0.0983905275594692,0.0757156640998772,0.0757156640998772,0.13149032799075,0.0255878889705312,0.0256365185389857,-0.178525121649031,-0.177945699325449,0.170964216498731,0.141456298163771,0.130753219524416,-0.269538515203439,0.262251820872115,0.361955412333423,0.158671629272247
"NP63",0.041855425823451,0.020136412609292,-0.102414784721438,0.100681664087337,0.0997957955731596,-0.000339479712325923,0.0974457222437032,0.121075485264933,0.131495615532849,-0.0689022108364216,-0.0689022108364216,-0.0677079640618779,-0.0147905924146679,-0.0143797952970943,-0.0252060088269807,-0.0262763555115987,-0.100681664087337,0.00346272109289098,0.00389200600052924,0.0793179976698304,-0.0306015918500847,-0.0303247126352154,-0.00978902918350229
"FOXC2",-0.167032121235072,0.02199312024932,-0.0862518165354402,-0.114532024991105,-0.115439620309868,-0.111592171470985,-0.112502150864723,-0.126374390281136,-0.169241398574784,0.134482944065451,0.134482944065451,-0.0749343306458298,0.0251365164555136,0.0256803663920102,0.104165082238755,0.104688966871473,0.114532024991105,0.0909143267007966,0.083077402027016,0.0717988213353672,0.0469806852667061,0.04702347663312,0.0827399783205275
"SNAI2",-0.0591018259665057,0.0353146065134838,0.00187455624825988,-0.00775550032332925,-0.00749549473586573,-0.00725068550819998,-0.0481718820617613,-0.0537841414886499,-0.00512805147475578,-0.0125528640972887,-0.0125528640972887,0.0863396340165724,0.000959204456204129,0.000813992778944622,0.00788137764966675,0.00791764895906102,0.00775550032332925,-0.00308722003925849,-0.00700394742754496,-0.129734110323969,0.0790349532316692,0.0789912502730483,-0.0530536478992368
"KLF8",-0.0585022961990389,0.0356713115866574,0.00301017843679316,-0.00588173888396873,-0.00720200366837425,-0.00513013583803211,-0.147482704634008,-0.0520176499646429,-0.00429432075629145,-0.0137038155099945,-0.0137038155099945,0.0857560967301969,0.000987898706067809,0.00135041456613669,0.00963261728615147,0.00934220102284073,0.00588173888396873,0.000978260869565219,-0.00832451962907822,-0.129895212779721,0.0784574597130535,0.0787703788011178,0.0465590818588025
"CLDN7",-0.0585022961990389,0.0356713115866574,0.00301017843679316,-0.00588173888396873,-0.00720200366837425,-0.00513013583803211,-0.147482704634008,-0.0520176499646429,-0.00429432075629145,-0.0137038155099945,-0.0137038155099945,0.0857560967301969,0.000987898706067809,0.00135041456613669,0.00963261728615147,0.00934220102284073,0.00588173888396873,0.000978260869565219,-0.00832451962907822,-0.129895212779721,0.0784574597130535,0.0787703788011178,0.0465590818588025
"GSC",-0.056400907836207,0.0730174839673252,0.0724100481690044,0.0679524782195069,0.0683817994864753,0.0650986609939215,-0.0573759226739462,-0.0364161528246707,0.0555545131926199,-0.0689528223733458,-0.0689528223733458,0.00131877051582074,-0.0127397626230432,-0.0129976914909066,-0.00816632524493545,-0.00805771292702081,-0.0679524782195069,-0.0738162053750811,-0.0775578110699065,-0.147917498206306,0.16096724647628,0.160808426615028,0.0925889821525612
"SNAI1",0.172790521468077,0.0863520304251865,0.110212986751218,0.114053916917911,0.11430245859825,0.107963303146856,0.143899873944742,0.249647296109909,0.113839471454769,-0.103075633161588,-0.103075633161588,-0.165831181607025,-0.0375963286020714,-0.0377026877055325,0.219550999141174,0.219586253766427,-0.114053916917911,-0.111221318042568,-0.111093026894187,0.235483199027745,-0.275974045976475,-0.275832721519856,-0.139941946234852
"TWIST1",-0.0796020201672461,0.114644789126394,-0.0990083030315891,-0.105350847891732,-0.105661201102068,-0.0994118155024415,-0.108312357102005,0.029109565634921,-0.0201579915481861,-0.00239262580207649,-0.00239262580207649,0.00261860749624952,0.00714453596209639,0.00733223435365591,0.309784057140728,0.209770169046093,0.105350847891732,0.100257419222963,0.0994307026027645,0.230444666542907,-0.0533170071912812,-0.053220408077603,0.0768911734873157
