"","ZEB2","KLF8","SNAI2","ZEB1","miR141","OVOL2","NP63","SNAI1","miR200b","TGFbeta","CDH1","FOXC2","TCF3","TWIST1","GSC","miR200c","miR200a","miR34a","GRHL2","miR205","CLDN7","miR101","TWIST2"
"KLF8",-0.00117384353235659,4.98837204091954e-05,-0.00752758174754345,-0.0959694317773089,-0.0958853151843966,-0.0967571920402143,-0.0931048420876267,-0.0133170950861735,-0.0296575823429509,-0.00971222033613962,-0.0244985714173683,0.0218912875739723,-0.0683900823008587,0.069019317538032,0.00974847192214651,0.0491514909106483,0.0491514909106483,0.0548621169235111,0.0875203105637889,0.0917753623188406,0.0958853151843966,-0.000720424623404278,-0.00325710704511174
"SNAI2",-0.0011566932718768,0.000911295187281215,-0.107700486731021,-0.0960770239967573,-0.0960528573600847,-0.0968144550233543,-0.0928033659512113,-0.0132094607809818,-0.0298461325218146,-0.00970244067195518,0.0755237063224025,0.0221811631435245,-0.0692583613627332,0.0692107552691532,0.00965288772570936,0.0490910729282847,0.0490910729282847,0.0549779119899433,0.0875511773884001,0.0928223562119205,0.0960528573600847,-0.000753825796694694,-0.00318687723517353
"TGFbeta",-0.000795495012762878,-0.0642463652531384,-0.0131743924794606,0.14501481335325,0.144964550976783,0.132364878972847,0.133425497052412,0.116213963346325,0.121802803158585,0.106363248988345,-0.0707618354809389,0.00233950939249025,0.0232201805860246,-0.023261021917452,-0.206335881838482,-0.0750457030867473,-0.0750457030867473,0.0260063143851967,-0.134635703280205,-0.133460929050232,-0.144964550976783,0.0642345932967085,0.0310265515357334
"CDH1",0.0011114980045349,-0.000720424623404278,0.00770252229918234,0.0960528573600847,0.0959694317773089,0.0967781617738987,0.0928223562119205,0.0131938766198326,0.0298483909870262,0.00965288772570936,-0.0755838625643825,-0.0220525875321538,0.069019317538032,-0.0692583613627332,-0.00971222033613962,-0.0490686936365893,-0.0490686936365893,-0.0548833089764912,-0.0874456425119757,-0.0931048420876267,-0.0959694317773089,0.000911295187281215,0.00330623674752611
"CLDN7",0.00117384353235659,-4.98837204091954e-05,0.00752758174754345,0.0959694317773089,0.0958853151843966,0.0967571920402143,0.0931048420876267,0.0133170950861735,0.0296575823429509,0.00971222033613962,0.0244985714173683,-0.0218912875739723,0.0683900823008587,-0.069019317538032,-0.00974847192214651,-0.0491514909106483,-0.0491514909106483,-0.0548621169235111,-0.0875203105637889,-0.0917753623188406,-0.0958853151843966,0.000720424623404278,0.00325710704511174
"OVOL2",0.00453618276058003,-0.0989401295846921,-0.0764378509901704,0.147139851152151,0.147120965513524,0.00488281234369786,0.0716433731049698,0.105088533246232,0.101982843542038,0.0333188540241483,-0.086910524021996,-0.0031862814021662,0.0394611860121198,-0.0395475107369597,-0.0333477892093334,-0.131306522193065,-0.131306522193065,-0.0999419278083356,-0.0598854554004111,-0.0716790260398546,-0.147120965513524,0.099044315672011,0.1002246198615
"miR200c",0.0150590826814383,-0.107556421847125,-0.0934273855583215,0.255980337945564,0.255941725407872,0.166232559242202,0.179989199687508,0.135673164784712,0.114842868382112,0.13088362859529,0.0377716280968994,0.00933040160255909,0.0600336808880967,-0.0602067142968548,-0.13089158241767,-0.138924811278544,-0.138924811278544,-0.13462202422512,-0.228085732361988,-0.179793713638103,-0.255941725407872,0.107680696909263,0.105799973275174
"miR200b",0.0150590826814383,-0.107556421847125,-0.0934273855583215,0.255980337945564,0.255941725407872,0.166232559242202,0.179989199687508,0.135673164784712,0.114842868382112,0.13088362859529,0.0377716280968994,0.00933040160255909,0.0600336808880967,-0.0602067142968548,-0.13089158241767,-0.138924811278544,-0.138924811278544,-0.13462202422512,-0.228085732361988,-0.179793713638103,-0.255941725407872,0.107680696909263,0.105799973275174
"miR205",0.0209350196320883,-0.0484171842964288,-0.0355229807024293,0.235345588014527,0.235330681367404,0.149707007418721,0.161388795050914,0.094826945689197,0.110149287604235,0.021917929613229,0.0447303388729339,0.0835498910280967,0.105984163979907,-0.106095362036,-0.0219052332158318,-0.129723053690997,-0.129723053690997,-0.220358222318867,-0.206747755311286,-0.161259967382695,-0.235330681367404,0.0484735082215806,0.155654741450085
"FOXC2",0.0350956436098396,-0.0479188276670088,-0.0280313954018484,0.262289398396492,0.262255815244181,0.163919025293575,0.174810217442571,0.105188152864426,0.222271691805056,0.0391962089646514,0.0620700069618061,0.0786469755829704,0.108564253681818,-0.108648751203224,-0.0391886102629439,-0.252261295359205,-0.252261295359205,-0.236384017534306,-0.219227714006745,-0.174661125547749,-0.262255815244181,0.047941079177544,0.15629858911493
"ZEB1",0.0351067494204502,-0.047941079177544,-0.028032473766616,0.16230584930779,0.262289398396492,0.1639315780083,0.174896434249101,0.105195234883651,0.222288961751417,0.0392051276740456,0.0620557555162635,0.0786192741904687,0.108648751203224,-0.108660168992139,-0.0391962089646514,-0.252279096696283,-0.252279096696283,-0.236401751283465,-0.219240934075565,-0.174810217442571,-0.262289398396492,0.047954305232873,0.156328010234523
"GRHL2",0.0497881505215255,0.0693913263263532,0.0628213096277851,0.1115488358231,0.111539883212977,0.00662228889898566,-0.0931321628323735,0.00110242781855605,0.0597245926455461,-0.0765834147074944,0.0851088982909372,0.0264254218766902,0.00679174013810011,-0.00679463047858222,0.0765617957226997,-0.122173475568015,-0.122173475568015,-0.110336874967662,-0.115239205671878,0.092849260216826,-0.111539883212977,-0.0694767174087071,-0.000350992217208883
"miR34a",0.0504859323159943,-0.0382190970983081,-0.110947570426735,-0.193585031067941,-0.19358288934795,-0.153283026204078,-0.162309507757492,-0.0211179145577797,-0.0402732583087828,-0.0121266833848532,-0.0205051966733509,-0.0338105237093425,-0.0176921710140446,0.0176268233724646,0.0121019442022117,0.136524954136868,0.136524954136868,0.0892394515903723,0.179560307210748,0.162398443742505,0.19358288934795,0.0383929216219712,-0.0181822784586249
