"","miR101","KLF8","TWIST2","ZEB2","FOXC2","CLDN7","GRHL2","miR200b","TGFbeta","NP63","miR205","miR34a","miR200a","CDH1","GSC","miR200c","miR141","ZEB1","TWIST1","TCF3","OVOL2","SNAI1","SNAI2"
"CDH1",0.0603140837748929,0.0594050222757502,-0.0107516245498143,-0.00949748605119351,0.0942121144487184,0.0215674100738615,0.0209165256660423,0.0178275686184161,0.0124751676207025,0.00813256693170733,0.00815824746586244,-0.0342973721934189,-0.00544728424513792,-0.089429695285031,-0.0129314149353904,-0.0161234767521718,-0.0215674100738615,-0.021469545447913,-0.0236504610697531,-0.0224021210963136,-0.0382377517663166,-0.124583957247313,-0.018086818921186
"TCF3",-0.0594050222757502,-0.0599861577250126,0.011179754813711,0.00922361105397679,-0.0934175628028614,-0.0211907140273414,-0.0206275927698958,-0.0172462678655355,-0.0129314149353904,-0.00815824746586244,-0.0077536231884058,0.0342761801404388,0.00548337536459953,-0.0105712522320006,0.0123151379732733,0.0156500461851167,0.0211907140273414,0.0215674100738615,0.0224021210963136,0.0228377454912797,0.0380490241631571,0.124522348014142,0.0179412097195225
"KLF8",-0.0594050222757502,-0.0599861577250126,0.011179754813711,0.00922361105397679,-0.0934175628028614,-0.0211907140273414,-0.0206275927698958,-0.0172462678655355,-0.0129314149353904,-0.00815824746586244,-0.0077536231884058,0.0342761801404388,0.00548337536459953,-0.0105712522320006,0.0123151379732733,0.0156500461851167,0.0211907140273414,0.0215674100738615,0.0224021210963136,0.0228377454912797,0.0380490241631571,0.124522348014142,0.0179412097195225
"CLDN7",-0.0594050222757502,-0.0599861577250126,0.011179754813711,0.00922361105397679,-0.0934175628028614,-0.0211907140273414,-0.0206275927698958,-0.0172462678655355,-0.0129314149353904,-0.00815824746586244,-0.0077536231884058,0.0342761801404388,0.00548337536459953,-0.0105712522320006,0.0123151379732733,0.0156500461851167,0.0211907140273414,0.0215674100738615,0.0224021210963136,0.0228377454912797,0.0380490241631571,0.124522348014142,0.0179412097195225
"SNAI2",-0.0604313186956379,-0.0603140837748929,0.0106532843226559,0.00924819847132872,-0.094636032058485,-0.021469545447913,-0.0208323829942986,-0.0179124223827936,-0.0127237941423011,-0.00812171535415925,-0.00813256693170733,0.034385053035155,0.00527570967547305,0.0893535247533771,0.0124751676207025,0.016181289922385,0.021469545447913,0.0214724591558806,0.0236232575877074,0.0236504610697531,0.0382619472659536,0.124808814429607,-0.0820482071001603
"TWIST1",-0.0921327886900198,-0.0922552803496324,0.0862315258102326,0.0232258078304099,-0.287101293295312,0.130001942080863,0.12675747789119,0.0418849026715799,0.0552929372805348,0.0358148953029556,0.0358738158780204,0.140838865437581,-0.0677514268102023,-0.181638562038153,-0.0554079377975671,-0.0684431825535016,-0.130001942080863,-0.129980840530577,0.170410585725656,0.270605835997291,-0.174898287715951,0.173797437065439,0.00127842225221512
"miR141",0.193064191718489,0.192696769795648,0.102066410118757,0.0241827794472432,0.311398674162686,0.190611984661964,0.185171060556526,0.128858898832865,0.196260998121163,0.066182316869412,0.0660899052824207,0.037959324010796,-0.105493739731495,-0.01204634268823,-0.196058743780649,-0.0838407453604761,-0.190611984661964,-0.190680951564547,-0.198691536078427,-0.198210887720765,-0.218221588925118,-0.318070726791295,-0.128850490860153
"TWIST2",0.0433128494734563,0.0432737438622356,-0.0670351481178675,0.0317488225071164,0.071603062911347,0.133961782905341,0.130693680970756,0.0167031426929822,0.0442401479003994,0.0350874463337394,0.0350566365499214,0.01035332321846,-0.0805671468050135,-0.112736064631229,-0.0441438190396724,-0.053452949245884,-0.133961782905341,-0.13401806709422,-0.0428149906597778,-0.0427337744108287,-0.175461312821117,-0.134581973063532,0.0523526181797446
"miR205",0.0779498488827949,0.0773903645596208,0.130503492598793,0.039171453606316,0.21171708305502,0.209196701623587,0.197576894228916,0.099238183303952,0.0996129037873618,0.0758286622341377,0.0758583916960344,0.165520952999692,-0.122043844841124,-0.0466766690585396,-0.0995525958997249,-0.0886952256145384,-0.209196701623587,-0.209248253778219,-0.0738616867415985,-0.0731409586002535,-0.244688387248769,-0.221122897375428,-0.028463392469214
"miR200a",-0.0911385207273332,-0.0915761850766001,0.038037090008689,0.0412070519272886,-0.11710606553532,0.224264800464393,0.213420833056749,0.0671753706178297,-0.00948452311125656,0.075803485419379,0.0759385485080585,0.215201199815458,-0.131712338502872,-0.0505055824104874,0.00936862455657971,-0.0957924995033593,-0.224264800464393,-0.224269933923161,0.0948706076501464,0.0954252019089866,-0.257923539826713,0.0962028617724747,0.0882256054142781
"FOXC2",0.0702729072760278,0.0697748157709699,0.114903114188681,0.0891655271966616,0.228948949135048,0.201324972463942,0.188219539798969,0.184700141150142,0.137618428342604,0.0794404088229745,0.0794268550143542,0.151053438778615,-0.230144696841859,-0.123792203536729,-0.137508789932252,-0.172008468187036,-0.201324972463942,-0.201415519444222,-0.0878922909213028,-0.0871881449095858,-0.243308784819114,-0.237660654065277,-0.00724230811919303
"GRHL2",0.181720880033682,0.180998136955201,0.12210210242316,0.106122974314814,0.247390986402859,0.222960178959777,0.13650667958784,0.197075714679119,0.257890766495868,0.0904200477665284,0.0904252545631336,0.159471044464636,-0.24714949400372,-0.0371589024371012,-0.257661826990222,-0.184646525183422,-0.222960178959777,-0.223070885626415,-0.0984507581493243,-0.0975749849832453,-0.362823346916968,-0.264858144035348,-0.121474142939258
"SNAI1",-0.263878036457602,-0.263625025123568,0.00730556484264103,0.120616296460464,-0.308850102315335,0.0866026000483075,0.0860970370913457,-0.0579894684611724,0.00490614217575631,0.0153798819503522,0.015393359039301,0.223401292873926,-0.10090160227045,-0.169163838575313,-0.00495122282327834,0.0164496794127064,-0.0866026000483075,-0.086603758210844,0.2641710526939,0.263913029711972,-0.116905216311987,0.197525368060548,0.141735600152588
