"","miR200a","miR200b","CDH1","TWIST2","miR101","GRHL2","miR141","TCF3","miR205","NP63","FOXC2","OVOL2","SNAI1","TWIST1","miR34a","TGFbeta","GSC","CLDN7","ZEB1","SNAI2","KLF8","ZEB2","miR200c"
"SNAI1",0.000184406299293925,0.019722169732754,0.13398578919781,0.0353474242872663,-0.117579915624784,0.0765642780983486,0.0763526377242998,-0.0388450634492573,0.00924775776347494,-0.00931269282841001,-0.0673607090211305,-0.0657915340825462,-0.0225888652967177,0.0381966849065507,-0.120970613777919,0.00709295902282003,0.00705685547393875,-0.0763526377242998,-0.0763063884336743,0.0626768850617423,0.117455437792134,-0.0638120527385855,-0.000184406299293925
"FOXC2",-0.173402492717496,-0.174551359035145,-0.0422973144021578,0.0734682336406468,-0.0924208697119131,0.187806634189571,0.173935948888069,-0.046387819310986,0.0482080985511775,-0.0483436366373797,-0.0979160100476766,-0.0572974877102687,0.155720457937526,0.0465286485133294,-0.204556664896143,0.063033154205261,0.0632730560734561,-0.173935948888069,-0.173964430802054,0.0654710572012008,0.0923643851082468,-0.0250878616811425,0.173402492717496
"OVOL2",-0.0938558343056487,-0.0600533465993783,-0.119746329873791,0.0804195135315319,0.0711821338311699,0.0813238907980931,0.104623808470135,0.0629893133371342,0.0626442591702083,-0.0625308180137567,-0.0267681925867157,-0.0762897338822541,-0.0672296599172749,-0.0626386191424719,-0.078371628350856,0.0197180993786331,0.0197484124297795,-0.104623808470135,-0.104606553246353,-0.0591565665502263,-0.0710198228740836,-0.0240724271595905,0.0938558343056487
"ZEB1",0.173400020309568,0.17460453679077,0.0422922012881082,-0.0735986407653287,0.0923466568459004,-0.187847049828535,-0.173964430802054,0.0465286485133294,-0.0483436366373797,0.0482660415115031,0.097915334403957,0.0572801275728832,-0.155672772341409,-0.0466554460639132,0.20461353519517,-0.0630256076050044,-0.063033154205261,0.173964430802054,0.0739808817133523,-0.0655552894713863,-0.0924208697119131,0.0251244603752001,-0.173400020309568
"miR34a",-0.115787090902418,-0.0978551277507987,-0.0484310841046375,-0.0249098719845672,0.0832989614459896,0.0683359819883861,0.0666932272362813,0.0225112925012119,0.0192957381758317,-0.0192806001358294,0.104675910597048,-0.0515785889634357,-0.104232960383929,-0.0225719162168945,0.0213864508955492,0.0525359747236015,0.0525751953790088,-0.0666932272362813,-0.0666689544097107,-0.0685008287838757,-0.0832701507514598,0.089710035938593,0.115787090902418
"TWIST1",-0.14693992862799,-0.115512293652307,0.0876409100160568,0.134683917858186,-0.0298746292837402,0.188276154034532,0.183837443511959,-0.148198709071702,0.0298141175986688,-0.0298533979820453,0.0332316408534052,-0.101344884489369,0.0890788739493369,0.0487550498038502,-0.160603800284,0.0709338572639147,0.0710394571937237,-0.183837443511959,-0.183874587176496,-0.0663316211940743,0.0299254185084576,0.0913717572642749,0.14693992862799
"TCF3",-0.0504290534098644,-0.0283731877411111,-0.0145281825962031,-0.0292269316861515,-0.00837125845485065,-0.0252551693551862,-0.0250050226031778,-0.0641493597171465,-0.00641304347826087,0.00681766775571752,0.0205013537250739,0.0180765893956907,-0.00620665194069436,0.0644397759804572,0.0168070083343718,0.0051373096549485,0.00502855489692784,0.0250050226031778,0.0249501639556264,0.0181610639599379,0.00850536663544967,0.128633154162506,0.0504290534098644
"CLDN7",-0.0504290534098644,-0.0283731877411111,-0.0145281825962031,-0.0292269316861515,-0.00837125845485065,-0.0252551693551862,-0.0250050226031778,-0.0641493597171465,-0.00641304347826087,0.00681766775571752,0.0205013537250739,0.0180765893956907,-0.00620665194069436,0.0644397759804572,0.0168070083343718,0.0051373096549485,0.00502855489692784,0.0250050226031778,0.0249501639556264,0.0181610639599379,0.00850536663544967,0.128633154162506,0.0504290534098644
"SNAI2",-0.0505813696320894,-0.028434454837172,0.0854078412110071,-0.02936320566826,-0.00840054932699319,-0.0252134169497258,-0.0249100555023688,-0.0641051146258756,-0.0067919872215624,0.00686252247562496,0.0204698276455057,0.0179551172556302,-0.00622232721343934,0.0642116615972212,0.0167954264561589,0.00515637756691727,0.0051352637028647,0.0249100555023688,0.0249362788740773,-0.0819035153355,0.00848448675545561,0.128780926297842,0.0505813696320894
"ZEB2",-0.231295512347025,-0.217780435303376,-0.209793873263986,-0.104387430229713,-0.100459088463009,-0.0725710656648013,-0.0717726739140867,-0.0467754429452513,-0.013737383683085,0.0138458435529331,0.0159900652324074,0.0329765897031923,0.0334982522535002,0.0469751604180946,0.0481837635730644,0.0608795593239266,0.0609171234446491,0.0717726739140867,0.0717778293251816,0.0805992706235003,0.100527699438777,0.220343045701312,0.231295512347025
"NP63",0.0137761436810591,0.0978462345124309,0.113203131787419,-0.0637516852011515,-0.00943189008375842,-0.276940476139612,-0.166752906083842,-0.0688415003812033,-0.341651589130303,0.241871924469941,0.0414159102196651,-0.0220539101471859,-0.0348680910036957,0.0687539877591906,0.158780360286434,-0.0355009775742919,-0.0353178305260403,0.166752906083842,0.166783102291334,0.0293381682301539,0.00960459692075606,0.247914208217131,-0.0137761436810591
"miR200c",-0.205060883035438,-0.134547037600006,-0.104170392368722,-0.0223069382693214,-0.0284982739992714,0.173164358073946,0.164509180727151,0.0597041562905291,0.045955827549782,-0.0459416103825526,-0.0442080985581602,-0.0510830695239027,-0.0580232740700728,-0.0593033695061406,-0.0815252449785786,-0.0471663631448007,-0.0470254668626445,-0.164509180727151,-0.164498244228036,0.121191523925628,0.0285667153378399,0.259155789194292,0.205060883035438
"miR200b",-0.205060883035438,-0.134547037600006,-0.104170392368722,-0.0223069382693214,-0.0284982739992714,0.173164358073946,0.164509180727151,0.0597041562905291,0.045955827549782,-0.0459416103825526,-0.0442080985581602,-0.0510830695239027,-0.0580232740700728,-0.0593033695061406,-0.0815252449785786,-0.0471663631448007,-0.0470254668626445,-0.164509180727151,-0.164498244228036,0.121191523925628,0.0285667153378399,0.259155789194292,0.205060883035438
