"","TWIST2","SNAI2","ZEB2","miR34a","ZEB1","miR141","CLDN7","GRHL2","CDH1","miR200a","miR200b","miR205","TCF3","TGFbeta","GSC","TWIST1","NP63","miR200c","OVOL2","SNAI1","FOXC2","miR101","KLF8"
"miR200c",0.157632182772634,0.126921857629081,0.00334489577718972,0.237923940851972,0.245809790201801,0.245868936574566,0.245868936574566,0.245919478344379,0.153170516286159,0.124649016497765,0.0814436478200862,0.0610289880291546,0.0406582133737911,-0.107197153721202,-0.107233514052081,-0.0408134997662664,-0.0611000738653018,-0.127471790492853,-0.0863982969328879,-0.092375264100098,-0.126468638233525,-0.0205432643649369,-0.0203865697213721
"miR200a",0.157632182772634,0.126921857629081,0.00334489577718972,0.237923940851972,0.245809790201801,0.245868936574566,0.245868936574566,0.245919478344379,0.153170516286159,0.124649016497765,0.0814436478200862,0.0610289880291546,0.0406582133737911,-0.107197153721202,-0.107233514052081,-0.0408134997662664,-0.0611000738653018,-0.127471790492853,-0.0863982969328879,-0.092375264100098,-0.126468638233525,-0.0205432643649369,-0.0203865697213721
"OVOL2",-0.0694867041234598,-0.0419531244794998,0.00854472716695366,-0.0835450554298875,-0.103325702905567,-0.103417142004817,-0.103417142004817,-0.0297503766016215,0.0454825427574736,-0.104942588029899,-0.06008764842396,0.0214916683353057,0.0497040802768283,-0.0260810460458559,-0.0261588954726637,-0.0496573210508734,-0.0211664703534778,0.099500265253192,-0.0275098046145619,-0.0432938199752279,-0.0769039039034467,0.0489640086560694,0.0484573352630027
"FOXC2",0.157378337852735,0.0240796362192411,0.0217864464455257,0.241327949272396,0.230035170613497,0.230141021308754,0.230141021308754,0.234076005473048,0.152340429896002,0.212412804073635,0.20852497774692,0.0599077553559299,-0.00915708521961747,0.00819956793473695,0.00813552173463057,0.00923031640483604,-0.0599890782076513,-0.227688437039706,-0.0759038346823006,-0.118179525928807,-0.102718008724929,0.0120584803091253,0.0123409033274571
"ZEB1",0.157264629201336,0.024166744128807,0.0218144633768388,0.241285143670977,0.13006689087893,0.230035170613497,0.230035170613497,0.233991019316349,0.15225894644019,0.212348026985933,0.208532330298341,0.0599890782076513,-0.00923031640483604,0.00819522292246801,0.00819956793473695,0.00918764993046898,-0.0599086091882238,-0.227630088212616,-0.0757753696656483,-0.118120509101929,-0.102805166764752,0.0122105799454088,0.0120584803091253
"CDH1",0.0341529915654776,0.0200759384574686,0.0264971314680697,0.0275967610144641,0.0272682454743234,0.0272939148844083,0.0272939148844083,0.0274686306047897,0.0123538795661775,0.000824519076064598,-0.00518322438164345,0.00728512188992209,-0.0566411682734894,0.00226170364527526,0.00236604720154917,0.0560515268392265,-0.00759328829978342,-0.0270252595199161,-0.0195259469952821,-0.0219832606632563,0.00125245906336572,-0.00350378592924851,-0.00313822027300963
"SNAI2",0.033976579707598,-0.0798184381723996,0.0265180640129438,0.0275390762501641,0.027278357754917,0.0272682454743234,0.0272682454743234,0.0274800397806194,0.0122736028064021,0.00087207507091736,-0.00506417100120498,0.00759328829978342,-0.0560515268392265,0.00227247602489391,0.00226170364527526,0.0563122268754978,-0.0074901983130766,-0.0269478644694695,-0.0194946944749176,-0.0220228889587498,0.00125118603751057,-0.00336574007582685,-0.00350378592924851
"TCF3",0.0337318798304973,0.0203556338304481,0.026646315409643,0.0275119928025436,0.0272939148844083,0.0272683141822176,0.0272683141822176,0.0275432986566028,0.112205119392213,0.00104318879986138,-0.00482675241868103,0.00815217391304348,-0.0556731140624536,0.00236604720154917,0.00198540554847685,0.0566411682734894,-0.00728512188992209,-0.0267768676977392,-0.0194024585635852,-0.0221229082584426,0.00130622571609288,-0.00313822027300963,-0.00407697753720275
"CLDN7",0.0337318798304973,0.0203556338304481,0.026646315409643,0.0275119928025436,0.0272939148844083,0.0272683141822176,0.0272683141822176,0.0275432986566028,0.112205119392213,0.00104318879986138,-0.00482675241868103,0.00815217391304348,-0.0556731140624536,0.00236604720154917,0.00198540554847685,0.0566411682734894,-0.00728512188992209,-0.0267768676977392,-0.0194024585635852,-0.0221229082584426,0.00130622571609288,-0.00313822027300963,-0.00407697753720275
"GRHL2",0.0728212650350061,0.0375376774633417,0.0359243671972674,0.125480859173836,0.116384438556387,0.116529208812759,0.116529208812759,0.155381799972407,0.103755515850555,0.0999990708232763,0.0882034392445932,0.256247712594337,0.0129605612053225,-0.0892600367252229,-0.0893271110113806,-0.0128362765645918,-0.256409123289097,-0.123382214266608,0.0511790312970333,-0.090055653452357,-0.0921823775264645,-0.0170316875219193,-0.0165483916022045
"miR34a",0.0615514584508002,-0.0747841719232451,0.0860533087106075,0.12784146039952,0.130967353758094,0.131005666749054,0.131005666749054,0.133621403090152,0.00818264237914693,0.0843394453372538,0.0806621062777032,0.0258146816357823,0.0283645483184805,0.032628226087125,0.0326016767203878,-0.0282204685786113,-0.0258184661457828,-0.152954119149618,-0.0787911412160306,-0.131111330543445,-0.12711945836453,0.0968194833900959,0.0969145586820442
"TWIST1",-0.0993146426640372,-0.0860321598243397,0.0866638374570818,-0.00975387946514061,-0.0805693210269317,-0.0806104135195925,-0.0806104135195925,-0.0814392235860482,-0.144145941826881,-0.0826095334746756,-0.0302313831194386,-0.0222311111329961,-0.00127996458534457,0.0163032333661264,0.0163154541295168,-0.0985443918648584,0.0223293120914375,-0.00633528231148874,0.0573047093418571,-0.00491335386515527,-0.00290435228446082,0.0646646818634913,0.0644704877689835
"TWIST2",-0.118045283916277,-0.110723488411332,0.116830760250797,-0.0366813861584551,-0.151952832037389,-0.151969082348136,-0.151969082348136,-0.152936148671004,-0.172118611661676,-0.137046452497822,-0.0529130855916037,-0.0289833539210344,0.0314353384773163,0.0158636098619474,0.0158693404740586,-0.0313811943113502,0.0290073170862262,0.0177080088417563,0.0881860597863124,-0.0896938256340946,-0.0334538276602592,0.103686282561713,0.103648914977657
