"","KLF8","ZEB2","SNAI2","OVOL2","TGFbeta","miR141","CLDN7","GSC","GRHL2","FOXC2","TCF3","miR200a","miR200b","TWIST1","NP63","miR205","ZEB1","miR200c","CDH1","miR34a","SNAI1","TWIST2","miR101"
"ZEB1",0.139760395738647,-0.00979347505133275,0.182336151115689,-0.200082008809382,-0.0567457626596966,-0.0331496515594721,-0.0331496515594721,-0.0564651663410654,-0.0359892805638035,0.102649947783551,-0.0453238672518924,0.024255466330738,-0.0179684592085451,0.0456225325724619,0.0663696560261532,0.0668409745685144,-0.0662318487091049,0.0192968903760791,-0.124381015721981,0.0447147879556347,-0.0449483404627623,-0.225752792485842,-0.139519387619318
"miR34a",0.157841072754713,-0.00324607919842315,0.185559144323729,-0.0614130793798981,0.00699208900518091,0.00436862716115917,0.00436862716115917,0.00654618032293459,0.00287001040838853,0.118910990602213,-0.0416815469759541,0.0389427460504672,-0.0665428527289692,0.0411989192134416,0.0146676945774483,0.0145806508474352,-0.00488573355466928,0.0361262607093099,-0.111192555901519,-0.0670341939658082,-0.112405042584592,-0.242721737651211,-0.157882368083539
"FOXC2",-0.137673888712304,0.00927352119092774,-0.181918584313987,0.2006890794598,0.0564651663410654,0.0347535659096806,0.0347535659096806,0.0577015836617632,0.0373116651620456,-0.102657379864467,0.045098540528143,-0.0256251803225889,0.0170692250708199,-0.0453238672518924,-0.0668409745685144,-0.0659193155823393,-0.0331496515594721,-0.0197928554063414,0.124936822098143,-0.0457537410529257,0.0444308809246988,0.225538892994748,0.139760395738647
"miR205",-0.127661692749921,0.0112655851601775,-0.15535922515753,0.17524620407141,0.0264595041992837,0.0171728219244351,0.0171728219244351,0.0271133686652415,0.0218153336553665,-0.10407313064584,0.0324173455954152,-0.0150181634620637,0.0150704553504556,-0.0324132271488933,-0.0601307053704834,-0.0597343125451936,-0.0163492296709227,-0.00372853166688039,0.0978742894151766,-0.0235446851605069,0.0720383569407308,0.209103784509852,0.128779409753488
"miR200c",0.0918113635104886,0.0129244047394606,0.269377958246889,-0.175988406245768,-0.119399289560824,-0.0290288925447459,-0.0290288925447459,-0.119999235020328,-0.0302229932396936,-0.00614518188448926,-0.104522103880696,0.0113834490296052,-0.0303331828520296,0.104689221617359,0.0587055105721085,0.0584851444800523,0.0284131006864115,0.0209865062202088,-0.110401405276184,0.139979273210967,0.156225820262512,-0.236745831568721,-0.0927731444261617
"miR200b",-0.0375401022777163,0.0226093890400803,0.0788918808755856,0.180423001824342,-0.048678085738211,0.0249599050266941,0.0249599050266941,-0.0479838306704898,0.0258150311576529,-0.0495970312720701,-0.0579495064037636,-0.0235641270421753,-0.0488463617374212,0.0578799972566557,-0.0602942206893544,-0.0595478194098094,-0.0238914760213129,-0.00337476009353825,0.0184922763621712,-0.0152438459325255,0.17483800557748,-0.00419921569416653,0.0387738474598063
"SNAI2",0.311058998378376,0.0235276500060385,0.239729487154996,0.0859627800278579,0.241377285182516,0.0697788687473059,0.0697788687473059,0.241165715646806,0.0690282001796096,0.0720033003787502,-0.144641056503021,-0.0483467030119982,-0.280486855679891,0.143781879861744,-0.016349390904202,-0.0159858630563411,-0.069900730298187,-0.0248226544681261,-0.250690132000825,-0.0685052577350221,-0.0698186690298622,-0.307514423764543,-0.310306336313238
"TCF3",0.313574813258114,0.0239155740813185,0.34202036433131,0.0841742660656404,0.240619446440431,0.068781253593619,0.068781253593619,0.239096879828141,0.0678904697247063,0.0724857107849051,-0.148104109100633,-0.0478922555628396,-0.281393979681475,0.145974389836354,-0.0150613638267571,-0.013731884057971,-0.0696553347112725,-0.0241187041032599,-0.351758655512104,-0.0673388200297541,-0.0691132421990555,-0.311094924202162,-0.312427443268544
"KLF8",0.313574813258114,0.0239155740813185,0.34202036433131,0.0841742660656404,0.240619446440431,0.068781253593619,0.068781253593619,0.239096879828141,0.0678904697247063,0.0724857107849051,-0.148104109100633,-0.0478922555628396,-0.281393979681475,0.145974389836354,-0.0150613638267571,-0.013731884057971,-0.0696553347112725,-0.0241187041032599,-0.351758655512104,-0.0673388200297541,-0.0691132421990555,-0.311094924202162,-0.312427443268544
"GRHL2",-0.189683519504879,0.0242567944961456,-0.240486140761403,0.298692436117487,0.1772484310535,0.14085109612592,0.14085109612592,0.177931923572777,0.0800330190459153,-0.043356578239357,0.0812735578186008,-0.13379175672179,-0.0251218370711076,-0.0816001662930791,-0.0782883438787244,-0.0779117189242838,-0.140091871116258,-0.124435939165948,0.0676390961260745,-0.148457025654288,-0.0432896454236925,0.220798932407823,0.191036572015993
