"","SNAI2","ZEB2","miR101","TWIST2","OVOL2","miR205","FOXC2","miR141","CLDN7","ZEB1","CDH1","GRHL2","GSC","TGFbeta","TCF3","TWIST1","miR200c","miR200a","miR200b","miR34a","SNAI1","NP63","KLF8"
"miR205",-0.0151924309785147,-0.00167648319819352,0.00489551935173454,0.0677751584202118,-0.0645430229697143,-0.0455957421671609,-0.0976176996617114,-0.00673512057031193,-0.00673512057031193,-0.00663574292282929,0.00183125173957557,0.00170390635817322,-0.00130474675148246,0.00136188053977003,-0.0842285664601275,-0.0840761839388146,0.00388270688375991,0.00388270688375991,0.0052825717857544,-0.00198995159224888,0.0856882152832581,0.0462993394320504,-0.00479163300089907
"OVOL2",-0.0815967987180548,-0.000734734736020367,-0.0866581535178743,-0.0736194866233309,-0.0982095575870398,-0.0170344320330445,0.0632822518378083,-0.0122755613715777,-0.0122755613715777,-0.0122284152089629,0.0748565001029551,-0.00389301006132144,-0.00957453542647907,0.00960691527656726,0.00394040578993253,0.00414542701142739,0.00755613909880882,0.00755613909880882,0.0630040836046538,0.0634115224180836,-0.0477829517317083,0.0173855594220612,0.0865715145610512
"TWIST1",0.053365242958069,0.00015588400814369,0.033348511771741,0.0430869674913156,0.0741274682307345,0.0671738766069701,0.0297104135052131,0.0639048289969294,0.0639048289969294,0.0637672370169993,-0.121018837974178,0.0587050806405824,0.00311179786695271,-0.00318794262346183,0.0390914245548167,-0.0610727817405749,-0.0180128398706459,-0.0180128398706459,-0.0449523651294444,-0.0417132182937609,-0.0239360088494475,-0.0678062907793325,-0.0334490943540245
"miR34a",-0.211570526362406,0.000552493341822242,-0.0741651236219948,-0.0647028732512692,-0.110353004454102,-0.110468492972568,-0.115696350594107,-0.120021032490228,-0.120021032490228,-0.12010432160101,0.0216174972924729,-0.111472497099177,-0.0105444801345852,0.0104799169018378,-0.0319589921903842,-0.0321030719302534,0.112575873621867,0.112575873621867,0.147955093709189,0.0164423302225845,0.0817757125174826,0.109974614417494,0.0740815726078584
"miR200a",-0.112178432025027,0.00271138806484031,-0.0796518631083765,-0.0146044829351196,-0.0612010019224264,-0.0406642088874404,0.0435668242773019,0.00382219771032709,0.00382219771032709,0.00393535699708879,0.029101740256888,0.0105704118681671,-0.110633910004795,0.110690723021793,-0.0476064820159384,-0.04728851464087,-0.00066308251997604,-0.00066308251997604,0.0667072632697203,0.0816092064142904,-0.0146231822153637,0.0413572957898751,0.0795780185062369
"miR141",-0.112178432025027,0.00271138806484031,-0.0796518631083765,-0.0146044829351196,-0.0612010019224264,-0.0406642088874404,0.0435668242773019,0.00382219771032709,0.00382219771032709,0.00393535699708879,0.029101740256888,0.0105704118681671,-0.110633910004795,0.110690723021793,-0.0476064820159384,-0.04728851464087,-0.00066308251997604,-0.00066308251997604,0.0667072632697203,0.0816092064142904,-0.0146231822153637,0.0413572957898751,0.0795780185062369
"miR200c",0.0907758638425505,0.00385837674803027,0.0818851949519462,0.0719393542673544,-0.0673530438673178,-0.0489371103816717,-0.0796631893150848,-0.00879993338757181,-0.00879993338757181,-0.00877024860425957,-0.0270390744754736,-0.00011056173475265,0.109210948442534,-0.109185950715055,-0.0102692031910607,-0.0103682906986402,0.00728506551343447,0.00728506551343447,0.00351830247047497,0.0116964662094765,0.0637220391958295,0.0492534423525265,-0.0816618600576701
"TWIST2",-0.142259552674144,0.021592336675656,-0.0557516001583667,-0.117220215609035,-0.112692146481883,-0.112504774384492,-0.050459741572834,-0.122043281564526,-0.122043281564526,-0.122033918802705,0.110882440337783,-0.114080573019777,-0.00108483616822732,0.0010414472479565,-0.10050195338468,-0.100174238695938,0.0694974754531485,0.0694974754531485,0.0802109577167603,0.0472022092485659,0.0168160100290545,0.112338743882806,0.0553379496930099
"TCF3",-0.147186214211233,0.0339461738243715,-0.170666559632632,-0.17345595234602,0.102363746153746,0.0993840579710145,0.0582131813035973,0.106820853887422,0.106820853887422,0.106414899895541,-0.0203817282400905,0.098968841190054,-0.201797604318628,0.20159822059559,0.118695813649464,0.118114981122842,-0.0353674175814524,-0.0353674175814524,0.13503082491993,-0.0610193145644978,-0.00941403191531293,-0.100482323866968,0.170562253269943
"KLF8",-0.147186214211233,0.0339461738243715,-0.170666559632632,-0.17345595234602,0.102363746153746,0.0993840579710145,0.0582131813035973,0.106820853887422,0.106820853887422,0.106414899895541,-0.0203817282400905,0.098968841190054,-0.201797604318628,0.20159822059559,0.118695813649464,0.118114981122842,-0.0353674175814524,-0.0353674175814524,0.13503082491993,-0.0610193145644978,-0.00941403191531293,-0.100482323866968,0.170562253269943
