"","ZEB2","miR101","TWIST1","TCF3","SNAI1","miR200b","ZEB1","GRHL2","CDH1","NP63","TGFbeta","GSC","miR200c","miR200a","miR205","FOXC2","miR141","CLDN7","miR34a","OVOL2","KLF8","SNAI2","TWIST2"
"miR200c",-0.0134082357741093,0.0875074430574111,-0.020541450040384,-0.0207529353177551,-0.043283101008663,0.0516552252338972,0.158815849828223,0.157847357790573,0.0228235704604099,0.0591187883979836,-0.0682517225757937,-0.0682869466463327,-0.0703911534222022,-0.0703911534222022,-0.0587775763844773,-0.00183169151072937,-0.158963380969346,-0.158963380969346,-0.083552951276128,-0.186828445880472,-0.0875074430574111,-0.110697264151913,-0.102557012371493
"GSC",-0.00879122668173565,0.153326332998663,-0.116542335488328,-0.116312332932744,-0.232200537283681,0.0995940973902103,0.160874807433135,0.155802449400438,0.0255453766833305,0.0383036673852183,0.0362033576800535,0.0362467532952628,-0.074468505646131,-0.074468505646131,-0.0382519422563844,0.258419516306117,-0.160963615879591,-0.160963615879591,-0.00158308779698146,-0.202806999321063,-0.153185051526997,0.0112171980991179,0.00665527509122914
"miR205",-0.00749462852409711,0.0109212634840165,-0.115890275926111,-0.114930677886492,-0.122280696738564,-0.046475472832413,-0.113228395840536,-0.119154478337029,0.0371829358791615,-0.0516432390992829,-0.0251784490124799,-0.0248086664382853,0.0534154726967116,0.0534154726967116,0.0508108141661742,0.121995249255286,0.113522802121203,0.113522802121203,0.144574099685199,0.150064962966405,-0.0107598015652481,0.023066710794449,0.118200849019574
"OVOL2",-0.00666772583776635,-0.0722677411884908,-0.0804020879583871,-0.0807599758801194,-0.0822910775058057,0.0966184549530778,0.151220591327315,0.166706991562388,-0.128524216685269,-0.231732643209045,-0.171545075606577,-0.17165186021857,-0.167340883172916,-0.167340883172916,0.232120503924913,0.00721259942238331,-0.151391649018186,-0.151391649018186,-0.104406639144654,0.0441832077928899,0.0722293568405312,0.0788352607374365,0.0687211651811126
"GRHL2",-0.0026704326798851,0.0791928647666595,-0.000646591595481923,-0.000467390485591177,-0.0348295823873995,-0.169617272980508,-0.157235710875691,-0.0655322461161647,0.0798655530657268,0.000786540790133949,0.0790882779183048,0.0794092366925638,0.172764207122889,0.172764207122889,-0.00116663694231126,0.052360137845447,0.157604078028782,0.157604078028782,0.178466942150167,-0.0709633217849944,-0.0791814206009832,-0.0611281164658929,0.0107377429716685
"miR141",0.0134082357741093,-0.0875074430574111,0.020541450040384,0.0207529353177551,0.043283101008663,-0.0516552252338972,-0.158815849828223,-0.157847357790573,-0.0228235704604099,-0.0591187883979836,0.0682517225757937,0.0682869466463327,0.0703911534222022,0.0703911534222022,0.0587775763844773,0.00183169151072937,0.158963380969346,0.158963380969346,0.083552951276128,0.186828445880472,0.0875074430574111,0.110697264151913,0.102557012371493
"CDH1",0.0325244174576077,0.0365279861619011,0.0543432133231624,0.0544866396179831,-0.0292213307622102,-0.0203069161087248,0.0187275680504271,0.018554042198063,-0.0154824263329095,0.0073601191824619,-0.00458799462622875,-0.00487238196587726,-0.0251433227399182,-0.0251433227399182,-0.00723171651168635,-0.0101000468252782,-0.0189232973023243,-0.0189232973023243,0.00148598570158599,-0.035396711264694,-0.0363824069182662,-0.0425887701694481,-0.0394507796370656
"TCF3",0.0329029438765251,0.0363824069182662,0.0544866396179831,0.0551158748551564,-0.0293568710751851,-0.0199652355135202,0.0189232973023243,0.0187001318646539,0.0845317864225647,0.00723171651168635,-0.00487238196587726,-0.0048905077588807,-0.0249119149739584,-0.0249119149739584,-0.00717391304347826,-0.0102732949285102,-0.0190805587586385,-0.0190805587586385,0.00134823735721513,-0.0352033237207158,-0.0365463169167761,-0.0425206795355767,-0.0391770570093284
"NP63",0.0598861799789574,-0.0456210174914902,-0.0435635948001692,-0.0429420307925399,0.0466767298083882,0.12609778689024,0.101780999991968,-0.0517627842046177,0.0272988236317428,0.00908063715493316,0.00539818368338543,0.0052304415270429,-0.0853824793777892,-0.0853824793777892,-0.109053766991563,-0.00825534065121341,-0.102176264955206,-0.102176264955206,-0.112652713127417,0.0459771691125362,0.0457580864097423,0.0443111788565782,-0.000158719941631853
"TWIST2",0.0707993735357296,-0.0286147743602482,-0.222555548718275,-0.222575496568894,-0.077424287941617,0.0795254621414575,0.182334335023301,0.180249940024602,-0.0687644109871755,0.0413365632812906,0.0381165616603676,0.0379258141429507,-0.125141880584257,-0.125141880584257,-0.0412235940739578,0.130338852558253,-0.182521052169962,-0.182521052169962,-0.0541574278375079,-0.216308117224281,0.0285930490206812,0.13130362472438,0.106736979148607
"miR34a",0.0917317231457789,0.0117864589048011,-0.198752372412333,-0.198450828475886,-0.193215673921395,0.134097300410703,0.207784988246032,0.202416052266483,0.0216412875017374,0.0491315185487536,0.0581828421057375,0.0581327603457559,-0.201249418909672,-0.201249418909672,-0.0491617946287582,0.228864113203194,-0.207924438014369,-0.207924438014369,-0.0267340305675257,-0.245564688736613,-0.0116933043258214,0.144118425792982,0.221304562521163
"miR101",0.127442669050043,0.111761958825725,-0.215813443776715,-0.21585600021856,-0.21536523615071,0.0450744462960346,0.192332904727374,0.187626008178913,0.0421506926059304,0.0530753884252442,0.0275470460231585,0.0273785194152386,-0.157067329666031,-0.157067329666031,-0.0529467930021914,0.236739123059679,-0.192474956736207,-0.192474956736207,-0.0248003215147264,-0.227780554919138,-0.211777909060991,0.0900811305488365,0.0214018544912299
