"","miR101","KLF8","ZEB2","TWIST2","SNAI1","CDH1","TCF3","TWIST1","miR200a","NP63","miR200b","ZEB1","GRHL2","miR141","CLDN7","miR205","miR200c","TGFbeta","GSC","OVOL2","FOXC2","miR34a","SNAI2"
"miR200b",-0.0469676619635085,-0.0468920162735118,0.00652548047252651,-0.113960934927737,0.00632912830600265,0.0560686780371272,0.104431297957819,0.104258264549061,-0.00604661407789507,0.0524734436867544,-0.0465979764716947,0.00578224562444754,-0.00407959050871592,-0.00567979964294139,-0.00567979964294139,-0.052270849053735,0.00604661407789507,-0.0936044677050125,-0.0932760884667614,-0.0748054640185883,-0.0431816154195953,-0.0895350448710024,0.125054482684823
"miR200a",-0.0469676619635085,-0.0468920162735118,0.00652548047252651,-0.113960934927737,0.00632912830600265,0.0560686780371272,0.104431297957819,0.104258264549061,-0.00604661407789507,0.0524734436867544,-0.0465979764716947,0.00578224562444754,-0.00407959050871592,-0.00567979964294139,-0.00567979964294139,-0.052270849053735,0.00604661407789507,-0.0936044677050125,-0.0932760884667614,-0.0748054640185883,-0.0431816154195953,-0.0895350448710024,0.125054482684823
"miR200c",0.0554537450311975,0.0549332306405055,0.0293784037909747,0.0738719433623569,-0.067920016401552,0.0632848126497953,-0.0481277476056587,-0.0488302336668563,-0.0133963010828328,0.0456203081911075,0.00556998822089668,-0.000999576861599564,-0.00843359683783967,0.00109934451679183,0.00109934451679183,-0.0452257818004909,0.0133963010828328,0.109443093685873,0.110054401748777,-0.0664583563960521,0.0197833515376084,-0.00215977914950806,-0.168984309433973
"FOXC2",0.00811198552336494,0.00768920682319549,0.035206466446599,-0.0410746558632537,-0.0949756336535563,0.120738321015254,0.0762503454079565,0.0754166365300836,-0.0150403103313548,0.0501786235096395,-0.0061872789628301,0.00486565888012674,-0.00709986301406855,-0.0046730871333352,-0.0046730871333352,-0.0496093635475902,0.0150403103313548,0.0118950917998687,0.0127928241301734,-0.0733973957494109,-0.0820337412358534,0.00678099850650117,-0.0430710919066208
"ZEB1",0.00807671604248761,0.00811198552336494,0.0352107573279713,-0.0408726838530756,-0.0945681814807928,0.120989951500292,0.0754166365300836,0.0757080906155488,-0.014964160167187,0.0499113514093981,-0.00602603580027545,-0.0952345917008813,-0.00699221388224936,-0.00486565888012674,-0.00486565888012674,-0.0501786235096395,0.014964160167187,0.0121025089644966,0.0118950917998687,-0.0735034261269805,-0.0825222316450908,0.00686599820074688,-0.0430081872951736
"SNAI1",-0.0262691041632866,-0.0264478655620556,0.0647510328820494,-0.119594757932918,-0.112497120837909,-0.0974114990255448,0.0437972608373062,0.0432827476832435,-0.0716701016951278,0.0761676356769236,-0.0942447917570542,0.0744176505110764,0.0695005630883523,-0.0742958890230691,-0.0742958890230691,-0.0757620978185555,0.0716701016951278,0.048025105203734,0.0483039807245521,-0.0808309751308696,0.0314918839809376,-0.0821096433821032,0.136515784310388
"TWIST1",-0.136627204267537,-0.136880154523972,0.0823140118361537,-0.151395659194912,-0.0270318538291259,-0.151873167498436,0.223538915103893,0.1227946766208,-0.0795803953879666,0.080095826095756,-0.116003637291958,0.0760859138520238,0.0683466862251154,-0.0759122888154663,-0.0759122888154663,-0.079585181111861,0.0795803953879666,0.0585125095475838,0.0589032606231677,-0.087601703122722,0.0986942351789326,0.000790564825125305,0.174784515199824
"GSC",0.0963997694669217,0.0962058728264976,0.0984762497904244,-0.0350332336249338,0.0612748790218197,0.0251428580916041,-0.168662093100539,-0.168978346614467,-0.0919707423491848,0.0893476605562627,-0.089466302314646,0.0893602847055358,0.0828018917673886,-0.0893209483556112,-0.0893209483556112,-0.0891484230229767,0.0919707423491848,0.0460676275803218,0.0462766599803438,-0.0941106903842074,0.0525429593087925,-0.0827208582103088,-0.0139115881973447
"TCF3",-0.343105620958322,-0.341690034607555,0.171929207504736,-0.376572937062265,-0.0460760840933513,-0.378053733206537,0.194188876013905,0.1953989437777,-0.105425626015323,0.04229726899556,-0.338544429133277,0.0474645105698483,0.043759137040923,-0.0476583444578635,-0.0476583444578635,-0.0423550724637681,0.105425626015323,0.278959370740267,0.276041118066712,-0.0424645490904997,0.055052694274805,-0.0114762908780841,0.404112581768644
"KLF8",-0.343105620958322,-0.341690034607555,0.171929207504736,-0.376572937062265,-0.0460760840933513,-0.378053733206537,0.194188876013905,0.1953989437777,-0.105425626015323,0.04229726899556,-0.338544429133277,0.0474645105698483,0.043759137040923,-0.0476583444578635,-0.0476583444578635,-0.0423550724637681,0.105425626015323,0.278959370740267,0.276041118066712,-0.0424645490904997,0.055052694274805,-0.0114762908780841,0.404112581768644
"CLDN7",-0.343105620958322,-0.341690034607555,0.171929207504736,-0.376572937062265,-0.0460760840933513,-0.378053733206537,0.194188876013905,0.1953989437777,-0.105425626015323,0.04229726899556,-0.338544429133277,0.0474645105698483,0.043759137040923,-0.0476583444578635,-0.0476583444578635,-0.0423550724637681,0.105425626015323,0.278959370740267,0.276041118066712,-0.0424645490904997,0.055052694274805,-0.0114762908780841,0.404112581768644
"SNAI2",-0.34341143141222,-0.343270610767775,0.172581487674046,-0.376866548832451,-0.0465354898458678,-0.278523306454226,0.19483055068341,0.194907627215873,-0.106276989347416,0.042622609406329,-0.339293765135406,0.0475696376753323,0.0436691545419915,-0.0476040879871847,-0.0476040879871847,-0.0427338380761969,0.106276989347416,0.280066394026527,0.279648856592508,-0.0424901101521756,0.056071822846178,-0.0114665010019054,0.30399560168244
"NP63",-0.239481122802278,-0.239478381423913,0.215315712838004,-0.252891294339963,-0.0425771613060251,-0.113906118987686,0.166131877254915,0.166259780317857,-0.14544750375049,0.0902727789285824,-0.243239658589981,0.0979407180896569,-0.0303755945847727,-0.0980387709431985,-0.0980387709431985,-0.190654335248445,0.14544750375049,0.0630190595232204,0.0624850232703747,-0.204433527223582,0.0302810839929264,-0.0881788532563011,0.237909386094106
