"","CDH1","miR200a","KLF8","SNAI1","TWIST2","SNAI2","GSC","CLDN7","ZEB1","miR205","NP63","OVOL2","FOXC2","miR141","GRHL2","miR34a","TGFbeta","ZEB2","TCF3","TWIST1","miR101","miR200c","miR200b"
"ZEB1",0.106059479514404,-0.00687005323173927,0.0433510746296058,0.204129766131605,0.0752381772905239,-0.0184318770906232,0.053459815322601,0.018514071814388,-0.0813436868807366,0.0260179450417167,0.0249402349600982,0.0286927381502352,0.110302127272875,-0.018514071814388,-0.0219104771503403,-0.0576405186839834,-0.0535066957181343,-0.0138367178733185,-0.167775346444735,-0.168292752563468,-0.0430755318102517,-0.0181159449393685,-0.0159207934292027
"OVOL2",-0.110139941659807,0.011843438767782,-0.124109245812849,-0.228245768197686,-0.0912586437297517,-0.0583146630165929,-0.0406305909808396,-0.0213121683133709,-0.0213883902073966,0.0173309576946664,0.016355363749183,-0.085021480160979,-0.0352619507519095,0.0213121683133709,-0.019397554169746,0.119479564224821,0.0409047863071183,0.00372064447730756,0.161663494272538,0.161938654332965,0.124485412422853,0.0164684058135082,0.060867475799942
"GSC",0.113898838758216,-0.0553263664063579,0.145750179377111,0.37864099120828,0.0073174386766644,-0.120109798915036,0.0250656315397158,0.0866700460754141,0.0866111622141773,0.0770672020658976,0.0772070514883003,0.0655555188133271,0.00381811840719292,-0.0866700460754141,-0.0942598560546889,-0.166646478597988,-0.0250069557783061,0.0110709251014073,-0.407969755372892,-0.40838184328498,-0.146018126995787,-0.0288477409837987,0.00581445903031843
"FOXC2",-0.105702540637875,0.00713262295364282,-0.0422573273040662,-0.203669434881959,-0.0757224330157147,0.0185590043149003,-0.0533089268172656,-0.0186998419100788,-0.018514071814388,-0.0238764432797216,-0.0260179450417167,-0.0284088331342238,-0.109935252733157,0.0186998419100788,0.0218368224812009,0.0576148353231322,0.053459815322601,0.0138044100606331,0.167048667760643,0.167775346444735,0.0433510746296058,0.018069463670331,0.0161059751312671
"KLF8",-0.138953998797596,0.00760015502330899,-0.0539849695372864,-0.200080162109304,0.00276651019795301,0.0308910317488756,-0.0157351331720619,-0.0287647725366429,-0.0269763806264648,-0.0313405797101449,-0.0309937589008964,-0.0347015498041161,-0.0594494050280136,0.0287647725366429,0.0310971154237873,0.0897530067749953,0.0135962895976555,0.0176023286311025,0.202167008348932,0.203812700507693,0.0559965922462716,0.0219272150639147,0.00695436785123276
"TWIST2",0.18860240849394,-0.0398050682284229,0.0562945845827807,0.302076975574207,-0.0696118779902867,-0.116864533981841,0.00656727057908059,0.0531282039166154,0.0529937890946101,0.0480808784255832,0.0482297923807036,0.0434461698719229,0.0748011816032216,-0.0531282039166154,-0.0578889391403816,-0.137748740922227,-0.00641145250691308,0.0217046257162857,-0.304757813720618,-0.304913121986153,-0.0565100999512859,-0.0112581088060816,0.0303364611190152
"GRHL2",-0.10792461584599,0.099237646548266,-0.129263043494636,-0.224510190078748,-0.0885758091129419,-0.0673536525280493,-0.172368347884334,-0.114750215275353,-0.114278783927679,-0.067727468080291,-0.0685657623337231,0.0471440176268281,-0.0567600662953324,0.114750215275353,0.097116755438537,0.158858664668532,0.171952043843801,0.0308391296185963,0.168989223108299,0.169966158191252,0.130271010394588,0.120230439828614,0.152433113184726
"miR34a",-0.0842997611882787,-0.116377880423427,-0.0308379811790704,-0.241717468836567,0.0122347675732983,0.140121892990042,0.075065769015168,0.0985969385116726,0.0985762352184212,0.0793064801570085,0.0801825942221399,0.0649669362006704,-0.12708575507815,-0.0985969385116726,-0.103430880095525,0.0507531303431818,-0.0752136007163187,0.0425077484680513,0.147431575839413,0.147213487927152,0.0304624817936986,-0.0811603112887442,-0.103330042600632
"TGFbeta",-0.108412408049952,-0.0298274771173396,-0.152940505259955,-0.411668813182628,-0.0653154632916286,0.0517190198682043,-0.189293563478529,0.00240659032713748,0.00233437032545635,-0.000468018468079552,-0.000795083063337115,-0.000812443503214701,-0.0802741449815875,-0.00240659032713748,-0.000805693083927017,0.214997522598241,0.0894338744214792,0.0662290129370764,0.328735638354843,0.329221196406258,0.153219569874147,0.0266670368628294,0.0697113905430823
"ZEB2",-0.219357801444384,-0.177511586112457,-0.143739085425589,-0.126610990173047,-0.121111489416058,-0.0995390390720096,-0.0854390133143562,-0.038790467482429,-0.0386684560865155,-0.0287837820051697,-0.0281407699196413,-0.0212019765921774,-0.0205918109004915,0.038790467482429,0.0416048329739248,0.0729546397266607,0.085238876605589,0.0919124504993607,0.108320702736344,0.109182897680082,0.143954861972568,0.211862725371707,0.22383578209997
"miR200b",-0.156016302789493,-0.0973833244719639,-0.15567970197592,-0.346283919711181,-0.0930703705941706,-0.0594294456787421,-0.166204867754748,-0.0223539833670562,-0.0220823564400562,-0.0253307392700191,-0.0263294952678865,-0.026475961469232,-0.0546554325360534,0.0223539833670562,0.0265979967857998,0.17987331593012,0.166088969200071,0.224449860588512,0.292551326736432,0.293623542303523,0.156627074188736,0.122684564947142,0.141970391281578
"miR200a",-0.156016302789493,-0.0973833244719639,-0.15567970197592,-0.346283919711181,-0.0930703705941706,-0.0594294456787421,-0.166204867754748,-0.0223539833670562,-0.0220823564400562,-0.0253307392700191,-0.0263294952678865,-0.026475961469232,-0.0546554325360534,0.0223539833670562,0.0265979967857998,0.17987331593012,0.166088969200071,0.224449860588512,0.292551326736432,0.293623542303523,0.156627074188736,0.122684564947142,0.141970391281578
"TWIST1",-0.192268626389758,-0.0725561308874157,-0.0771920230966042,-0.312139092173628,0.043637307970937,0.0816428653859397,-0.0402113017006537,-0.0657363803677194,-0.0655240074551995,-0.0566465946424909,-0.0570433265145939,-0.0494376840255437,-0.0471391533503146,0.0657363803677194,0.0704357140335332,0.129390395524997,0.040012949310241,0.228915119082552,0.29191226498333,0.192311751940775,0.0776401633146991,0.131424620842578,0.0623118590310966
