"","CDH1","miR200b","miR200a","SNAI2","SNAI1","TGFbeta","ZEB1","TCF3","NP63","FOXC2","miR205","OVOL2","miR34a","GRHL2","TWIST1","miR141","CLDN7","GSC","ZEB2","miR101","KLF8","TWIST2","miR200c"
"FOXC2",-0.0714256642596665,-0.0117314688121567,0.0374224909780137,-0.0506925556704667,-0.181622865473587,-0.0622556599546857,-0.0466185911608714,-0.0329916954067996,-0.0348636067940507,-0.132727879417445,-0.0373846151974121,-0.0490572367496587,0.0147315549809647,0.0280204059311797,0.033025494415362,0.047170800209618,0.047170800209618,0.0627908256606594,-0.0165563300968504,-0.0126166479848841,-0.0125190836694604,-0.0463726964653948,0.0239794123345505
"GRHL2",-0.0787876450295155,-0.096069346575342,0.118728504025358,-0.0388775717665422,-0.151074965616034,-0.150932019696841,-0.125059090170342,-0.0286547559492383,-0.0499610608393113,-0.0609325888454346,-0.0497892365513408,0.0191816117863821,0.09204338251366,0.0408475327079853,0.0287183434398447,0.125011706843596,0.125011706843596,0.150902640050838,0.000240378365501362,-0.00216088135955101,-0.0020702083545772,5.58349281668384e-05,0.115104268791182
"ZEB1",0.0712290813429069,0.0115179028418166,-0.0371149234318292,0.0506759009257216,0.181642695127418,0.0625005814357403,-0.0531217389298449,0.033025494415362,0.0360505248306067,0.132610993053962,0.0348636067940507,0.048269086512359,-0.0143157291386116,-0.0278107734113212,-0.0330789777423855,-0.0466185911608714,-0.0466185911608714,-0.0622556599546857,0.0165863662664563,0.0126776347955678,0.0126166479848841,0.0466486188572523,-0.0236446483011631
"TCF3",-0.0332949587327691,0.179465666666957,-0.0344333638625154,-0.157300100249258,0.0119858295705494,0.201093319928822,0.0256088185917425,-0.128399887096295,0.0206764681243193,-0.0474029672669608,0.0190579710144928,0.0186732428318962,-0.0123413400374428,-0.0233685013906885,0.12854509522795,-0.025290638435944,-0.025290638435944,-0.20071267827575,0.0431939823289689,0.178637659356803,0.1790399838986,0.166001161776655,0.00879554874636706
"KLF8",-0.0332949587327691,0.179465666666957,-0.0344333638625154,-0.157300100249258,0.0119858295705494,0.201093319928822,0.0256088185917425,-0.128399887096295,0.0206764681243193,-0.0474029672669608,0.0190579710144928,0.0186732428318962,-0.0123413400374428,-0.0233685013906885,0.12854509522795,-0.025290638435944,-0.025290638435944,-0.20071267827575,0.0431939823289689,0.178637659356803,0.1790399838986,0.166001161776655,0.00879554874636706
"CLDN7",-0.0332949587327691,0.179465666666957,-0.0344333638625154,-0.157300100249258,0.0119858295705494,0.201093319928822,0.0256088185917425,-0.128399887096295,0.0206764681243193,-0.0474029672669608,0.0190579710144928,0.0186732428318962,-0.0123413400374428,-0.0233685013906885,0.12854509522795,-0.025290638435944,-0.025290638435944,-0.20071267827575,0.0431939823289689,0.178637659356803,0.1790399838986,0.166001161776655,0.00879554874636706
"miR101",-0.0177072847891418,-0.0368487222058369,-0.0362454913892614,0.094178686372724,-0.15909037875934,0.00640336793527636,0.0119651392890208,-0.192293911311057,0.0178555151089652,-0.189425428844647,0.0191099765828262,0.0293469826175669,-0.0670874672632319,-0.00758464205481065,0.192255719632478,-0.0122261722147648,-0.0122261722147648,-0.00665825394924478,0.0495310241209997,-0.182547331899583,-0.0826629711052608,0.0309481377832967,0.0220361664982186
"ZEB2",-0.186113013677387,-0.17674433451583,-0.167952470658923,-0.164390097215497,-0.0735078414608087,-0.0723554148035789,-0.0419462399351414,-0.0409265148466191,-0.027903474697739,-0.0276979005079326,-0.0275935893553157,-0.0235509984648171,0.0189945288825956,0.0376126234816423,0.0409898398989841,0.0418777466163087,0.0418777466163087,0.0723079977987325,0.0733983641775024,0.113807915283475,0.113878514983178,0.132150706135876,0.205887567865666
"miR200c",-0.0617268217088833,-0.0623801390242119,-0.0517628903757266,-0.138747565953617,-0.244520017217867,-0.151049386367443,-0.044572668495574,-0.0832228148216918,-0.0340266885826358,-0.0889380184615573,-0.0353666565940096,-0.0432565802333845,0.00675408725793876,0.0297152757557944,0.0832183780676211,0.0448630437067712,0.0448630437067712,0.151325497630055,0.14538205324399,-0.0231183234935901,-0.0230408767157363,0.0505878749947538,0.102011362536822
"miR200a",-0.0617268217088833,-0.0623801390242119,-0.0517628903757266,-0.138747565953617,-0.244520017217867,-0.151049386367443,-0.044572668495574,-0.0832228148216918,-0.0340266885826358,-0.0889380184615573,-0.0353666565940096,-0.0432565802333845,0.00675408725793876,0.0297152757557944,0.0832183780676211,0.0448630437067712,0.0448630437067712,0.151325497630055,0.14538205324399,-0.0231183234935901,-0.0230408767157363,0.0505878749947538,0.102011362536822
"TGFbeta",-0.122796843666331,-0.134588898890283,-0.0788207294717905,0.0524971640169168,0.180568122647335,-0.109786095653943,0.00589015475713537,0.0933727008360778,0.00423193474032949,0.0676283203908649,0.00442817349748403,0.00334869141238305,0.141093833179204,-0.00566264195757482,-0.0932774043960805,-0.00593732934255654,-0.00593732934255654,0.00976567889134637,0.158947347448202,0.0702996093926065,0.0703737034713124,-0.111354295637092,0.0721376324939452
"SNAI1",-0.102323843525524,0.0054115741172436,-0.162414257171481,-0.110365914814797,0.0989243869863057,0.0318325111865571,0.112946085377796,0.191419922900316,0.0942969934930862,0.213712805731555,0.0946155428682393,0.0855192751663123,0.0902389577229593,-0.106246366066528,-0.191422477583305,-0.113019667304284,-0.113019667304284,-0.0319138905372786,0.235389332194494,0.204400611270581,0.2044096585316,0.0106525227345334,0.0473274299054325
"miR200b",-0.0669376149672532,-0.0958371496109795,-0.132108456239872,0.0863786903741057,0.218898263481849,0.104519449147089,0.0255658134571287,0.0675972037919047,0.0229030418489043,0.0779175200590284,0.0240155351846071,0.0344346941255736,0.00109154110007594,-0.014576728552217,-0.0675750200215511,-0.0257959263262634,-0.0257959263262634,-0.104735338611684,0.241902142536075,0.0488227629224278,0.0487237030902892,-0.0152471930456371,0.103526385494987
