"","ZEB2","KLF8","OVOL2","miR200a","CLDN7","ZEB1","CDH1","TCF3","miR200b","GSC","TGFbeta","FOXC2","NP63","miR205","miR200c","TWIST1","GRHL2","miR141","miR34a","SNAI1","SNAI2","TWIST2","miR101"
"miR205",-0.0168226206396662,-0.0154570233640726,-0.0730706837893287,0.0013032060887993,-0.0100815826085445,-0.0100604648584544,0.0484963586795441,0.097632098064692,-0.0113350791686012,-0.00792483645455675,-0.00796292564674847,-0.0924697079703375,0,0,-0.0130837769555657,-0.0976238611716481,0.00858765871254565,0.0100815826085445,0.00382035451131613,0.0884250722615869,-0.00123165693104406,-0.0817677027432479,0.0154707914346652
"OVOL2",-0.0127792612739916,0.056045228296242,0.139838879437058,-0.10667176513677,-0.117762096805854,-0.117743482903035,-0.157182033270398,0.0390259780742538,-0.0648456659713126,-0.243361199135287,-0.243351554073558,-0.0156440417420976,-0.300276143134155,0.300216721576014,-0.115653612069368,-0.0390079937565788,0.163134229929306,0.117762096805854,0.142418654414646,-0.0814265673910977,-0.0325184138300112,-0.0671045127671456,-0.0559673629046668
"miR200c",-0.00836803199698247,0.0195118576411109,0.0705379796342394,0.00550078331450927,0.00374951350365261,0.00373634506594267,0.00947907918444416,-0.0205439417067233,-0.0321958688094086,0.0913553301058352,0.0913144247335963,0.0175699164932295,0,0,-0.00142167717602903,0.0205454206247468,-0.00307266593325306,-0.00374951350365261,-0.0962315974227641,0.0640887969737697,-0.110048216689797,-0.0104921526344173,-0.0196739555482468
"miR200a",-0.00462222043315634,0.00381217965740422,0.0625872033055163,-0.000186634104034164,-0.00386768491347954,-0.003892013044164,-0.0584245703933503,-0.0224716282689685,-5.26620407295419e-05,0.0978004123531921,0.0977810959274126,0.0175064526931348,0,0,-0.00401928072930159,0.0224790228590864,0.00314913585360505,0.00386768491347954,-0.0912405205991886,0.0706885524959134,-0.0907754194908939,0.00309290217839976,-0.00383019053597488
"miR101",0.00558931505148446,0.00812679477457596,0.106527420910391,0.0512795532859687,0.106152294167413,0.106146691187946,0.0564453568093962,-0.186563670274836,0.0583331994810922,0.015288777104753,0.0153063843622969,0.0632338865267156,0,0,0.0559203631872953,0.186516749069725,-0.105454715896395,-0.106152294167413,0.0194370528120329,-0.165710452879354,0.0705071948242422,0.00677662990453472,-0.108278322009603
"SNAI2",0.0196612489445924,0.0165961015511048,0.0237645549242495,-0.00100487988064544,0.0184115045980043,0.0184192173543892,0.0131947175395549,-0.109296723481403,0.0175792585294004,0.00591760873231989,0.00593613722526398,0.00520719668177633,0,0,0.0189714604940225,0.109228714776288,-0.0187405746927144,-0.0184115045980043,0.011596622422922,-0.0489183836347589,-0.0927362423857586,-0.0121783386556379,-0.0163706497804412
"TCF3",0.0196951631197404,0.0155558791767674,0.0237346679659237,-0.00101289709176494,0.018365512261204,0.0184788867994771,-0.0869226955323671,-0.10896202870131,0.0174824239456431,0.00578164952387987,0.00598103324691775,0.00508006871047693,0,0,0.0189261787903925,0.109397653096276,-0.0186998333177242,-0.018365512261204,0.0115452664489427,-0.049156051999892,0.00713808706462743,-0.0123828609307377,-0.0164052309872278
"KLF8",0.0196951631197404,0.0155558791767674,0.0237346679659237,-0.00101289709176494,0.018365512261204,0.0184788867994771,-0.0869226955323671,-0.10896202870131,0.0174824239456431,0.00578164952387987,0.00598103324691775,0.00508006871047693,0,0,0.0189261787903925,0.109397653096276,-0.0186998333177242,-0.018365512261204,0.0115452664489427,-0.049156051999892,0.00713808706462743,-0.0123828609307377,-0.0164052309872278
"CLDN7",0.0196951631197404,0.0155558791767674,0.0237346679659237,-0.00101289709176494,0.018365512261204,0.0184788867994771,-0.0869226955323671,-0.10896202870131,0.0174824239456431,0.00578164952387987,0.00598103324691775,0.00508006871047693,0,0,0.0189261787903925,0.109397653096276,-0.0186998333177242,-0.018365512261204,0.0115452664489427,-0.049156051999892,0.00713808706462743,-0.0123828609307377,-0.0164052309872278
"FOXC2",0.0302062436836563,0.0376181253456707,0.0797120848130073,0.002360503899108,0.018067141644283,0.0180488622069496,0.00345945453131081,-0.0944740501568423,0.0186999179342676,0.0104051591847285,0.010436639520374,0.0895748314043671,0,0,0.022066353141037,0.0944571506525611,-0.0142629032108467,-0.018067141644283,-0.00781901019664312,-0.0927488146449194,-0.0191917200145617,0.0622864570658339,-0.0377738859194174
"ZEB1",0.0302133110176812,0.0377738859194174,0.0797006004144292,0.00235358115691092,0.0180488622069496,-0.0819465024534027,0.00348132125309757,-0.0944571506525611,0.0187178718388999,0.010436639520374,0.0104236044835671,0.0895863173475995,0,0,0.0220520131750573,0.0944349160109896,-0.0142466614120108,-0.0180488622069496,-0.00779944192170886,-0.0927124602795627,-0.0192040613002361,0.0623500702973861,-0.037721716478953
"TWIST2",0.0693741372543087,0.0334602704284322,0.076700276099705,-0.00365914486083932,0.0623035857559267,0.0623125180459398,-0.11204616390729,-0.167857509011782,0.0459711831217232,0.0155714754681792,0.0156165017061961,-0.0531356709074104,0,0,0.0653006368936075,0.167880306555346,-0.062683807762847,-0.0623035857559267,0.0130304556013639,-0.0591925965596827,-0.0207986354809313,-0.0509791013420449,-0.0334958999853221
"NP63",0.0752673738647735,-0.010271011003139,-0.0960671090194361,0.0356823024436198,0.0879865804948081,0.088031705164431,-0.053202989169774,0.0988564832005019,-0.0126236252628304,0.0353278584776296,0.0353483983335083,-0.00342739508966311,0.257988251503474,-0.357896892948014,0.0829068321464042,-0.09873306796433,-0.212041163280313,-0.0879865804948081,-0.107940267854348,0.0623611171404506,-0.00994823729727599,0.0227960413413912,0.0104217868132163
