"","miR200b","miR200a","TWIST2","miR200c","CDH1","KLF8","miR101","SNAI1","FOXC2","OVOL2","TCF3","GRHL2","CLDN7","NP63","miR205","miR141","ZEB1","TWIST1","miR34a","ZEB2","TGFbeta","GSC","SNAI2"
"miR34a",-0.0148432167904476,0.10144504882474,-0.187825455211855,-0.112314482304897,0.0648895457978497,-0.112562496142954,-0.112694064981306,0.0695195970584607,0.0292166723788259,0.104456418509505,-0.10571429695288,0.112969387455535,0.111034359268815,0,0,-0.111034359268815,-0.11113240245065,0.10602213945719,-0.0950167144033501,0.0132048360955365,-0.0311545129264054,-0.0312842427865989,0.140153251839956
"TWIST1",-0.0795133232089139,-0.0305424101249602,-0.185284688913112,-0.0241009734835437,0.0870278189729586,-0.0321347538238164,-0.0321526794325402,-0.217753845803416,-0.220544608241684,0.0451255037165513,-0.0205276646894396,0.010548036838083,0.0118686475290313,0,0,-0.0118686475290313,-0.0116567682200269,-0.0792574783170878,0.0965018770216618,0.0458754061768425,0.0237598050952774,0.0241912920488291,0.190368427423839
"TCF3",0.191949115667768,-0.0479303871562845,0.258910208656818,-0.0100108646257441,-0.120216450104817,0.222470175815936,0.222634085814446,0.0617452970840892,0.0916477164079616,-0.035591069494176,0.126180883620049,-0.0389818181604248,-0.0385544827718665,0,0,0.0385544827718665,0.0381338998073052,-0.126810118857223,0.00154964153240053,0.0601723051317774,-0.189145117803948,-0.190087659040127,-0.272143954016145
"KLF8",0.191949115667768,-0.0479303871562845,0.258910208656818,-0.0100108646257441,-0.120216450104817,0.222470175815936,0.222634085814446,0.0617452970840892,0.0916477164079616,-0.035591069494176,0.126180883620049,-0.0389818181604248,-0.0385544827718665,0,0,0.0385544827718665,0.0381338998073052,-0.126810118857223,0.00154964153240053,0.0601723051317774,-0.189145117803948,-0.190087659040127,-0.272143954016145
"CDH1",0.192154715679601,-0.0477244554746507,0.258980393945981,-0.0102932245603555,-0.22024203306467,0.222634085814446,0.222430274873357,0.0618069063172596,0.09247811248897,-0.0353231228970978,0.126810118857223,-0.0386084779013591,-0.0381338998073052,0,0,0.0381338998073052,0.0380135744475323,-0.126209853252973,0.000966860075446891,0.0602524636675482,-0.188918017122646,-0.189145117803948,-0.272159667239346
"ZEB2",-0.231909001132715,-0.190243618242257,-0.174539864569663,-0.173391335272544,-0.153254048313418,-0.132801001425664,-0.132766198756796,-0.0672559777143384,-0.0667425803054273,-0.0253452362291815,-0.0252691557170428,-0.0237156337175034,-0.0225128530153696,0,0,0.0225128530153696,0.0226412473012102,0.0252090781032606,0.0448901127157902,0.0617806274728228,0.0804153040186218,0.0806991902424424,0.190128623351084
"miR200c",-0.112871390156565,-0.0829098466543988,-0.106131937786302,-0.0673812930824707,-0.069260723021247,-0.0285714395191592,-0.0288253929070055,-0.201988982820826,-0.157587060900173,0.0514725971305156,0.0340669357458868,-0.0119008399712055,-0.0144949565046071,0,0,0.0144949565046071,0.0145402648580837,-0.0332786724393219,0.0336760567464359,0.141238661858872,0.128067653538881,0.128282406743135,0.194766140766815
"TWIST2",-0.0165336024529495,-0.118754494664565,0.175199492139852,-0.0566229865092507,-0.146916497682509,0.0155074669371986,0.0155822021053093,0.219441236796919,0.138773874854446,-0.0749670619050312,-0.0199538345858085,-0.0629503063581979,-0.0627985126097337,0,0,0.0627985126097337,0.0626914327475277,0.0195976229676104,-0.0681892324588336,0.182629181802482,0.019700724958739,0.0194646783170141,-0.183000541444582
"miR205",-0.115769956572136,-0.102759116061813,0.0296237361119182,-0.0905163032232812,-0.0841532878278166,-0.029828410125985,-0.0301050231806193,-0.0727017443056075,-0.0793261152944357,0.0510705284194857,0.0737497750960957,-0.00928154239175754,-0.011401766257751,0,0,0.011401766257751,0.0115520749495685,-0.072827243075174,0.0178567167705826,0.191836094278131,0.0229328064015626,0.0233406781679489,0.0525629767577163
"SNAI1",0.00949575010903815,-0.0736464525524894,0.182026402962162,-0.140360005371535,0.0305711514965791,-0.0542268301067054,-0.0543899927795783,0.109305617417515,0.106171456432913,0.0805227868795061,-0.138163969975939,0.0730153155815713,0.0713059578142784,0,0,-0.0713059578142784,-0.0713582295500938,0.138586514542383,-0.181874010787129,0.240495740213336,-0.0193132808709697,-0.0193568002839455,-0.183651046445848
"miR200b",-0.0698538944740399,-0.115766355619863,0.0564522079934665,-0.119197792779454,-0.0463692805614521,-0.00387244965667555,-0.00375537894596628,0.178576457542402,0.131967527130612,-0.0601508633000405,-0.0434227868215419,0.00256511912124737,0.00366913338249604,0,0,-0.00366913338249604,-0.00370506759387402,0.042995379512729,-0.0176689778940316,0.241035104727994,-0.077575383031006,-0.0776821915029631,-0.133074455146517
