"","TWIST2","ZEB2","miR200b","miR141","miR200a","NP63","CDH1","FOXC2","GSC","miR200c","TGFbeta","miR205","GRHL2","OVOL2","CLDN7","miR34a","ZEB1","TCF3","TWIST1","SNAI1","KLF8","miR101","SNAI2"
"miR205",-0.0521199351084113,-0.00781137648722846,0.0212629167840625,-0.0115540707307107,-0.00287233879161243,-0.0475588646204272,-0.0489459655497635,-0.100960994407203,0.00869483716030866,-0.00987396081801977,0.00804097269435088,0.0469147262793312,0.0155839422800901,0.026441615678013,0.0115540707307107,0.0387570843311694,0.0113348187959521,-0.0123111591199838,-0.0122164348499784,-0.151129368414777,-0.00493814236383843,-0.00482424287075376,-0.0512735673095815
"TWIST1",-0.0643313126598325,-0.00140430756939303,-0.0840074773031666,0.0904155069676052,0.0345207925268887,0.0234967867562083,0.0977124131792392,0.0498819740275688,-0.0611672622814572,0.0531236710924606,-0.0613386663218296,-0.0231354072291441,-0.0902844488772534,-0.0613561890281289,-0.0904155069676052,-0.155155369641578,-0.0905518649387467,0.354403252409289,0.254379560953735,0.340393445228974,-0.0465215990769397,-0.0471201152348843,0.13261803166657
"FOXC2",0.0723032826797377,-0.00011039154914413,-0.0230366742238716,0.0252456983603298,0.0165733623020627,0.0497708330507833,0.069368303136469,0.103930602965066,-0.0231339906275109,0.0163010961350468,-0.0215415198553743,-0.048293467911179,-0.0275535040181816,-0.0365563624018831,-0.0252456983603298,-0.0576052409022175,-0.024670533739118,0.00910416151994784,0.00898023182188565,0.162268244983134,-0.0214765462165333,-0.0215638406040177,0.0288286997456574
"ZEB1",-0.0726547457840634,0.000168444650063136,0.022859016062796,-0.024670533739118,-0.0161194282065684,-0.0491328286824651,-0.0691286395140997,-0.104006950705376,0.0215415198553743,-0.0160859966453518,0.0226257147589036,0.0497708330507833,0.0272071382151002,0.0355871325777012,0.024670533739118,0.0574425796168264,-0.0748765663105983,-0.00898023182188565,-0.00896280467038361,-0.16208552888712,0.0215638406040177,0.0219275571255651,-0.0287274532758043
"miR200c",-0.00873669575082103,0.00388023168416443,-0.0785971218495643,0.00903215682442233,0.0028626819398815,0.0457634045463221,0.0345010692647118,0.0263699784007895,-0.121305842167207,0.00673696996124578,-0.120793388753881,-0.0450880891029242,-0.0111027733390227,-0.0245747269696503,-0.00903215682442233,-0.131413195829675,-0.00883239832017829,0.0316451255456975,0.0315667428904481,0.180243026538465,-0.0112556720888694,-0.0113979580295776,0.124186522830048
"miR141",-0.00873669575082103,0.00388023168416443,-0.0785971218495643,0.00903215682442233,0.0028626819398815,0.0457634045463221,0.0345010692647118,0.0263699784007895,-0.121305842167207,0.00673696996124578,-0.120793388753881,-0.0450880891029242,-0.0111027733390227,-0.0245747269696503,-0.00903215682442233,-0.131413195829675,-0.00883239832017829,0.0316451255456975,0.0315667428904481,0.180243026538465,-0.0112556720888694,-0.0113979580295776,0.124186522830048
"TGFbeta",0.0392814074492883,0.012529665098947,0.08246159676119,0.00881673176053178,-0.000669866142354699,0.00165287402434056,0.0943563039734781,-0.017388726638931,0.190388615556172,0.0103825439306846,0.0909059850083511,-0.00149751834159322,-0.0100002492849313,-0.00593748237164997,-0.00881673176053178,0.110994342299566,-0.00859183764603305,-0.0431531701682296,-0.043135018465373,-0.144782040237329,0.0384138000692172,0.0386942496194592,-0.0653053216108058
"miR200b",0.0511035913205179,0.0145627778042484,-0.0242117365546638,0.0174373380661509,0.00334817231314101,0.0463138480570758,0.0990498479270772,0.0156224726651115,0.0896510297304736,0.0161373380490174,0.0900748548372821,-0.0460650476305608,-0.019021052750022,-0.0270170046857224,-0.0174373380661509,-0.0264588768521435,-0.0173219468407942,-0.0144514058942834,-0.0145090836972027,-0.0523662388196279,0.0127656809891686,0.0127440679348838,-0.0559855611289073
"OVOL2",0.109270362672647,0.0352064447356881,0.0796002855912243,0.0015783141254843,-0.0121866553959918,0.0289474869716516,0.106442772460379,-0.0019245544915872,0.0430322903990824,0.0136909862133196,0.0424976784061371,-0.0294239398287481,-0.0422536845151315,-0.0500544619205582,-0.0015783141254843,0.0738113363442745,-0.00177953449099614,-0.0494522176140159,-0.0494198458422009,-0.123551270146754,-0.096765155606348,-0.0967498018671642,-0.126663196665962
"TWIST2",0.0811416088886058,0.0925458890404359,0.012026550128686,-0.00423896085212359,-0.0467765966935977,0.0145738341467667,-0.0553193530480053,-0.0665254299351222,0.0041962519086802,0.0419336409815158,0.00520020057331113,-0.0143478957321012,0.00273861855794395,-0.0210764421750124,0.00423896085212359,0.13170585634595,0.00470763703293467,-0.360897072883817,-0.360956916435674,-0.309073185886272,0.0536156774052628,0.0544099558198344,-0.122887224234843
"KLF8",0.274425490711294,0.103845414558668,0.154391378788443,0.101477700324876,0.000462449402204692,0.0236550221998827,0.0497084051691667,0.0404793639124287,0.145521663927514,0.102499994863478,0.144724129035362,-0.0246376811594203,-0.102536361949046,-0.0662228886924223,-0.101477700324876,-0.051111404803158,-0.101920226748458,-0.171476810173218,-0.171815629147081,-0.0280571660160018,-0.230388446274647,-0.23099938354182,-0.267981616995188
"CLDN7",0.274425490711294,0.103845414558668,0.154391378788443,0.101477700324876,0.000462449402204692,0.0236550221998827,0.0497084051691667,0.0404793639124287,0.145521663927514,0.102499994863478,0.144724129035362,-0.0246376811594203,-0.102536361949046,-0.0662228886924223,-0.101477700324876,-0.051111404803158,-0.101920226748458,-0.171476810173218,-0.171815629147081,-0.0280571660160018,-0.230388446274647,-0.23099938354182,-0.267981616995188
"NP63",0.291252839925735,0.171036773017102,0.0415219330797643,0.13348363934668,0.0244956648488536,0.239140558654408,0.191720947543011,0.0527603735973235,0.020356016566341,0.148441894290739,0.0192092079464481,-0.339780068542628,-0.247489902946946,0.0297437517432453,-0.13348363934668,-0.129563071026049,-0.133999689139887,-0.163026059170087,-0.16308215700471,0.00991428762647306,-0.257234856566312,-0.257747494320575,-0.275892354734629
