"","CDH1","miR200a","GSC","SNAI1","TWIST2","miR101","GRHL2","TCF3","FOXC2","OVOL2","NP63","miR205","miR34a","ZEB1","miR141","CLDN7","TWIST1","KLF8","ZEB2","miR200b","SNAI2","miR200c","TGFbeta"
"TCF3",-0.102233386156571,0.0163279372524923,0.00172065567312368,-0.00402785536469437,-0.0734761357676467,-0.0222227408374274,0.0503201987190471,-0.093478919689812,-0.042347447744509,0.0445501234683971,0,0,0.0326436767230264,-0.0512129438862041,-0.0509020782167458,-0.0509020782167458,0.0964314850334712,0.0259330671673336,0.0187114336700488,0.0139480678845317,0.0435039547438416,0.035411134704634,-0.00246381318626488
"KLF8",-0.102233386156571,0.0163279372524923,0.00172065567312368,-0.00402785536469437,-0.0734761357676467,-0.0222227408374274,0.0503201987190471,-0.093478919689812,-0.042347447744509,0.0445501234683971,0,0,0.0326436767230264,-0.0512129438862041,-0.0509020782167458,-0.0509020782167458,0.0964314850334712,0.0259330671673336,0.0187114336700488,0.0139480678845317,0.0435039547438416,0.035411134704634,-0.00246381318626488
"GRHL2",-0.0406238852282366,-0.232386974472058,0.0358182310639533,0.110680986832026,0.0967286256386139,0.0468731929113578,-0.163049210097612,0.0802687982119929,0.0680969624222361,-0.0489124822462507,-0.00853631481530386,-0.00853457921643547,-0.241554868641367,0.233478410541323,0.233399147188286,0.233399147188286,-0.0804046442146521,-0.0471592970532655,0.0344743665434715,-0.119084019644009,-0.05994771856744,-0.208865609485062,-0.0356347468596705
"ZEB1",-0.170822210760204,-0.256911852568451,-0.0469163015241687,0.102384204334043,0.108298714717621,-0.0607210785547526,-0.255815473657153,0.113162915257178,0.127991247875284,-0.172561245306266,0,0,-0.264476873844144,0.167629672064622,0.267613039375297,0.267613039375297,-0.113070972009598,0.0607438567611525,0.0358715178624135,-0.233414344097309,0.0479049256896435,-0.230282164033285,0.0469901667327408
"ZEB2",-0.244519801328682,-0.21104584364281,-0.189924388563823,-0.176759043215451,-0.134478197850154,-0.0722571663954749,-0.0572907928093829,-0.0569383975504421,-0.0470371636864564,-0.0440013241600441,0,0,0.00375983756004107,0.055966772249863,0.0562218423511791,0.0562218423511791,0.0570601764972977,0.0724252135680066,0.0741468894650723,0.142688254331457,0.158644253522332,0.163940176607355,0.18964666039258
"TWIST2",-0.186467274115733,-0.128856104948538,-0.0567786215785656,-0.11569126185567,0.0628658348115075,0.0636960013608593,-0.139053790003589,0.016429358252251,-0.0295546251985882,-0.124318005212944,0,0,-0.0200164779275503,0.139452085207024,0.139515472180732,0.139515472180732,-0.0161244411070734,-0.063324932561054,0.114485999533028,0.000931766329179861,-0.0371281226225223,-0.0115502397632082,0.0566566414064835
"miR200c",-0.0100665586300537,0.0453221831001285,-0.120198435711696,-0.247929639900274,-0.122604978772211,0.0695566865770399,0.243960115867113,-0.129404466033989,-0.106554701932088,0.163887744946162,0,0,0.268550539348469,-0.249640083077837,-0.24937158086487,-0.24937158086487,0.129757927441623,-0.0689965482534924,0.159894797681282,0.146390471469345,0.0714653008222766,0.211990115014607,0.119700753682789
"miR141",-0.182087683403118,-0.210164900891597,-0.17615231092791,-0.1787320245566,-0.0133495829030045,0.0137546091009896,-0.221630359243689,-0.0358291848045996,-0.039382617482485,-0.15169988029369,0,0,-0.0997644653298418,0.224650515379954,0.224829293661406,0.224829293661406,0.0362122245727053,-0.0133115414881515,0.190540327939425,-0.0543510994943696,0.120772384135815,-0.0179836534280436,0.175873927144617
"miR200a",0.0320756053495531,0.00231823706815448,0.0500326171913908,0.118297967117183,-0.0230958969603342,-0.0261292950436085,0.202003940727146,0.0144710471249692,0.0207955446452512,0.13638287178911,0,0,0.100792271825428,-0.202590003985156,-0.202530857612391,-0.202530857612391,-0.0145287249278885,0.0260176275964705,0.197548255083492,0.195358044171663,-0.0702387242423732,0.200344253345025,-0.0500871576877093
"SNAI1",-0.0376879460816433,-0.247036799993204,-0.0892259430099802,0.17580122692373,0.0449196843471416,-0.252548418684945,-0.227349410885535,0.276956610049839,0.31032828201275,-0.193377492351028,0,0,-0.315074678711642,0.23293879474972,0.232953078754337,0.232953078754337,-0.276885589862734,0.252408342126398,0.267990828389677,-0.0480271358738618,0.129178804773887,-0.00994286177508157,0.089301077422517
