"","GRHL2","miR141","CLDN7","ZEB1","TWIST2","miR205","miR101","KLF8","OVOL2","miR200b","miR200c","SNAI1","FOXC2","TCF3","TWIST1","ZEB2","TGFbeta","GSC","miR34a","SNAI2","NP63","miR200a","CDH1"
"CLDN7",-0.111082226702461,-0.10451850287983,-0.10451850287983,-0.103929686729444,-0.29047405527816,-0.088768115942029,-0.223561279717495,-0.223039747904055,-0.0761915813207672,-0.172749076894026,0.0808827270309501,0.0568165075776179,-0.0903602417829148,0.106072436640223,0.107088893561811,-0.0577245434344497,0.236366566584695,0.235768415415582,0.0885994481246368,0.277066926855477,0.0903288095836475,0.0256373457467546,0.343784229683868
"GRHL2",0.0811233470124499,0.108671120728527,0.108671120728527,0.108632471655559,0.0996773331506781,0.0209161940195614,0.093307211206058,0.0934489427963569,-0.137011185804539,-0.0532109466325491,-0.103781641627964,-0.0131691236567633,-0.00807338045827445,-0.0547683429629288,-0.0547076458128045,-0.0085175827297936,0.0653668772860913,0.0654073435909633,-0.110143740352972,-0.097272900633379,-0.0209595839912712,-0.10693981194194,-0.0195519895002512
"OVOL2",0.222129148380975,0.196163606619518,0.196163606619518,0.196220263535398,-0.046968887063038,0.358014185143235,-0.0340519871102766,-0.0339949589361652,0.220527359582179,-0.109658151919087,-0.205667704654475,0.157175940015686,-0.0178286424103568,0.00182846095925574,0.0017331440755783,0.0186693986995928,-0.277348929914803,-0.27731034966789,-0.11667366041221,0.0553064336098427,-0.357894261634986,-0.190325714538497,-0.175778210903648
"ZEB1",0.259322565587354,0.232786101983371,0.232786101983371,0.132831092044658,0.110220727107229,0.18103119575634,0.0198906904042803,0.0199494728724091,0.143659229313581,-0.2274672633325,-0.235523810494761,0.139333344551735,-0.0831649205054505,-0.100027942618249,-0.0999912855064687,0.0355726111445771,-0.110704636455159,-0.110819664937858,-0.205778530427096,0.0216084807742835,-0.180663337381814,-0.209081824752637,-0.152228102606858
"FOXC2",0.259455899424309,0.232810332865418,0.232810332865418,0.232786101983371,0.110236630415117,0.182034177594236,0.0199494728724091,0.0201634297044787,0.143634925121242,-0.227528990566521,-0.235609850290639,0.139406997551678,-0.0830912753400192,-0.100320867359123,-0.100027942618249,0.035670291796993,-0.110819664937858,-0.111189830263896,-0.205743062928777,0.02156953982434,-0.18103119575634,-0.209023970407133,-0.15223539151412
"ZEB2",-0.238968990371965,-0.221017272794988,-0.221017272794988,-0.220789207227979,-0.198819214884131,-0.190629127033615,-0.166475253655186,-0.166303229034783,-0.160296477791304,-0.13787117763017,-0.0790715324981319,-0.0621138158675985,-0.00953604320098949,0.0458215617603629,0.0458524124268996,0.0567025058277471,0.139618299863497,0.140074611559487,0.163942978158704,0.169683703123354,0.189652988204981,0.280132049167711,0.297577197599712
"TCF3",0.111082226702461,0.10451850287983,0.10451850287983,0.103929686729444,0.29047405527816,0.088768115942029,0.223561279717495,0.223039747904055,0.0761915813207672,0.172749076894026,-0.0808827270309501,-0.0568165075776179,0.0903602417829148,-0.106072436640223,-0.107088893561811,0.0577245434344497,-0.236366566584695,-0.235768415415582,-0.0885994481246368,-0.277066926855477,-0.0903288095836475,-0.0256373457467546,-0.343784229683868
"KLF8",0.111082226702461,0.10451850287983,0.10451850287983,0.103929686729444,0.29047405527816,0.088768115942029,0.223561279717495,0.223039747904055,0.0761915813207672,0.172749076894026,-0.0808827270309501,-0.0568165075776179,0.0903602417829148,-0.106072436640223,-0.107088893561811,0.0577245434344497,-0.236366566584695,-0.235768415415582,-0.0885994481246368,-0.277066926855477,-0.0903288095836475,-0.0256373457467546,-0.343784229683868
"miR101",-0.129970378532503,-0.119019203824851,-0.119019203824851,-0.119042934090828,0.0178966662384951,-0.119292359635985,-0.0209117557831391,0.0790310892071578,-0.110146254179987,0.0316290835191961,0.0204762886657022,-0.0435744915518318,0.0340529977335624,0.00769466144598405,0.00740986064286761,0.0777114659063762,0.0501165904323744,0.0503471616621156,0.0364148570192511,-0.0901684255728822,0.118827841475162,0.101886893787866,0.04302630186824
"NP63",-0.148809907406667,-0.0338678593927859,-0.0338678593927859,-0.0337216283205491,-0.276235489746911,-0.107225689008368,-0.236419757476825,-0.236356705774429,0.131636870599267,-0.162491514488248,-0.0103425070756306,0.0907996452729369,-0.0966312772582583,0.0959060126621903,0.0958544026543366,0.0926143567657099,0.0219931786788998,0.0220171418440916,0.0486823553718668,0.287734651741756,0.00746214644602971,0.0503033584990678,0.162435704307838
"SNAI1",-0.172652986879085,-0.162740247759969,-0.162740247759969,-0.162707741998111,-0.0982353876110134,-0.155601751947959,0.0109797960662392,0.0108291123740832,-0.142081108890506,-0.00765067991252036,0.0268609201312892,-0.102345286250147,-0.0375812714041801,0.0241913439026362,0.0239363865402953,0.126739853813274,0.0779945741368116,0.0782207579916948,0.140386715868544,0.0793889030520825,0.155115351555898,0.147288129376659,-0.0118234610417985
"TWIST2",0.208385055726811,0.193324570549046,0.193324570549046,0.193348354116431,-0.0910220058757358,0.175256903787706,-0.0810617780793864,-0.0809357711098975,0.153469789964956,-0.14866835336941,-0.164197940675281,0.0262627641464818,-0.0022371837461877,-0.0512889686819586,-0.0513644855450166,0.136474276881696,-0.031679046899555,-0.0316989675987988,-0.108794012981662,0.135018509746455,-0.174971057460061,-0.0281058669345737,-0.0808914912273768
"miR200c",0.222745291443072,0.204026010886236,0.204026010886236,0.204021770202906,-0.0126859145710584,0.159877522137958,-0.11042673432534,-0.110462756082482,0.132222835104348,-0.204972845265706,-0.191020377431801,-0.0398706636541042,-0.0242446832771762,-0.0237965066607163,-0.0236974191531369,0.173847654756498,0.0661371754334129,0.0659190134481388,-0.18840300831636,0.147154437135329,-0.159383475576735,-0.0134086836102093,0.029975763548099
