"","miR200a","miR200b","KLF8","SNAI2","GSC","SNAI1","miR34a","GRHL2","miR141","ZEB1","NP63","miR205","FOXC2","TCF3","TWIST1","CLDN7","OVOL2","TGFbeta","TWIST2","miR101","ZEB2","CDH1","miR200c"
"CDH1",0.0315126993403245,0.00602375053857157,0.010560769448715,0.0163443780648949,0.0054775332096088,0.00283363973298417,-0.00785463893923375,-0.0163916702886031,-0.0158861462922435,-0.0160658321628376,0,0,-0.012956477286912,0.0532604997440008,0.0528195966895519,0.0158861462922435,0.0215876844648838,-0.00530771918665322,-0.0256783325465864,-0.010505772845564,-0.0483257825152191,-0.0174528669376876,-0.0162939343568597
"ZEB1",0.00769790606419599,-0.0134054251695813,0.00683473696921733,-0.0121243772594759,-0.00432705772450127,0.0718413484456009,-0.0136186249731226,-0.00823522846585684,-0.011378150656977,-0.111359881965424,0,0,-0.098344648349215,0.0823291497618596,0.0825220503008994,0.011378150656977,-0.0519624283013737,0.0042724020438551,0.0799014439300337,-0.00681636744792706,0.000938247569523179,0.00548123091650531,0.00846663199576175
"FOXC2",0.00770383984322206,-0.0134158555332248,0.00712058329686227,-0.0122026186142855,-0.004167484988643,0.0718701486571172,-0.0136363587222817,-0.00822654099206091,-0.0113683732835196,-0.011378150656977,0,0,-0.0983588368673256,0.0826896725198586,0.0823291497618596,0.0113683732835196,-0.0519685711192178,0.00432705772450127,0.07986645665268,-0.00683473696921733,0.00094001440302941,0.00544957312526179,0.00844932514026905
"miR34a",0.109696114824206,-0.122263515258099,0.117671189878458,0.134836058110453,-0.00221292191713278,0.0920486903302693,-0.0138146370095739,-0.121825608749735,-0.120721388507092,-0.120733762889266,0,0,-0.131907911154586,0.0527778394412357,0.0528305899470894,0.120721388507092,0.111310502459958,0.00222619660050141,-0.0245899309870519,-0.117623172054241,0.00694286045694863,-0.00463228561894603,0.115476440642592
"GRHL2",0.0723014665699012,-0.0927489659429282,0.0181994598426296,0.0173950825481895,0.103771629061054,0.00817227789348355,-0.0686294352450192,-0.00322347631373475,-0.0686010003774589,-0.0685985984576699,-0.0255409753580788,0.0256364332958402,0.0351699755266904,-0.0311371731654122,-0.0307758806051486,0.0686010003774589,-0.0419143050330288,-0.103917418625182,-0.040396530184116,-0.0183992925817466,0.014735478749141,-0.0519016361882608,0.0804942057149191
"OVOL2",-0.0159318812860069,0.00155798075307987,0.0453876972493498,0.0513114907457007,-0.0119459422608126,-0.082123485034043,0.00496376523875823,0.00934125577856187,0.00277044356652089,0.00281541584267512,-0.0240834337367673,0.0241428552949085,0.000234416810952249,-0.00846497982100121,-0.00839843784560376,-0.00277044356652089,-0.0928998018855115,0.0119018505500542,-0.0576068691390835,-0.0453504095970462,0.0391040044577381,0.0994086057101146,0.0130427641968653
"TCF3",-0.0316252187127636,-0.0059157735539398,-0.0101882467248289,-0.0165381744843751,-0.00515126893554682,-0.00266113388010702,0.00797649324386951,0.0165961958218304,0.0161165526119597,0.0158861462922435,0,0,0.0131655698252954,-0.0534541105862079,-0.0532604997440008,-0.0161165526119597,-0.0217344726006745,0.0054775332096088,0.0258327401827458,0.010560769448715,0.0483280091412127,-0.0826447273165692,0.0161389548438775
"KLF8",-0.0316252187127636,-0.0059157735539398,-0.0101882467248289,-0.0165381744843751,-0.00515126893554682,-0.00266113388010702,0.00797649324386951,0.0165961958218304,0.0161165526119597,0.0158861462922435,0,0,0.0131655698252954,-0.0534541105862079,-0.0532604997440008,-0.0161165526119597,-0.0217344726006745,0.0054775332096088,0.0258327401827458,0.010560769448715,0.0483280091412127,-0.0826447273165692,0.0161389548438775
"SNAI2",-0.0316162035644158,-0.00601052238518951,-0.010505772845564,-0.116397076662841,-0.00530771918665322,-0.00284477127666212,0.00793539760925382,0.0165513987502184,0.0160658321628376,0.0160694314491506,0,0,0.0129119213819816,-0.0528195966895519,-0.0529238767040604,-0.0160658321628376,-0.0217005967965234,0.00528488174186167,0.0255049234437345,0.0104357093722194,0.0483300641721251,0.0175569598205677,0.0161885651917937
"TWIST2",0.0138968187800342,-0.0976581939833167,0.0680987557174416,0.0945436353691008,-0.00802757097118363,0.0153996708664699,-0.0436243659932417,-0.116779624796434,-0.115471678307049,-0.115452414693647,0,0,-0.054922265716491,0.108583787602408,0.108763318257979,0.115471678307049,0.10763348014461,0.00799782636546339,-0.105446397543108,-0.0680518289839768,0.0883240549833958,0.081555760273989,0.0989682062606712
"TGFbeta",-0.0562198906126802,0.0710784974742772,-0.117567583699892,-0.111220181989847,-0.0114409664572515,-0.122812516788971,-0.104620325518076,0.0070334696154778,0.00701944282581067,0.00698153161352675,0,0,0.0173218919747624,0.00799276025673757,0.00795418788816724,-0.00701944282581067,-0.00542772307783055,-0.0885403543769687,0.0726579577315828,0.117564121359765,0.105280000098998,0.0321844503259491,0.0482813798976023
"ZEB2",-0.249367126036222,-0.24078202613902,-0.136696226759597,-0.127596053579372,-0.0717940178602542,-0.0528963614069776,-0.0473529308836457,-0.0313375517683083,-0.0310600642052386,-0.0310323231836325,0,0,0.00371318019118407,0.00871776009814028,0.00876160051900832,0.0310600642052386,0.0314394069261222,0.071787244002419,0.101655004226635,0.136782736250782,0.217189692811336,0.228240352490978,0.275544472006659
"miR205",-0.112505393714538,-0.121310224429955,-0.0230640687932997,-0.0391697191464104,-0.025668643499665,0.0651743527794743,-0.0221660480186329,-0.0128406679554104,-0.0155820893331054,-0.0155994804214148,0,0,-0.0977484652873636,0.0899940891012122,0.0896769687190203,0.0155820893331054,-0.0482026458611242,0.0258178261690826,0.104613227375181,0.0233206555634355,0.250854703749896,0.0617058330982833,0.129631284805588
