"","ZEB2","SNAI2","TWIST1","miR200b","CDH1","GSC","TGFbeta","miR141","CLDN7","NP63","miR205","GRHL2","ZEB1","miR200c","miR200a","FOXC2","OVOL2","TCF3","miR34a","SNAI1","miR101","KLF8","TWIST2"
"TGFbeta",-0.0363140898316424,-0.0642080052367852,0.0615028257014204,0.131905107165559,-0.0346233171149283,-0.0252377530947018,-0.125495351822781,0.095760927216708,0.095760927216708,0,0,-0.0965263871711455,-0.0957892319679606,0.0317794623792218,0.0317794623792218,-0.00283393801795945,0.097992392929387,-0.0613281155614254,-0.00866172528472756,-0.00811687156822198,0.0338728213917488,0.0342211328084691,0.0679357868860987
"FOXC2",-0.0344217744583361,0.0792914041154176,-0.0265919032099939,0.00142657554804045,-0.0135818739445518,-0.0120338374860669,-0.0113988031290799,-0.000381015199839694,-0.000381015199839694,0,0,0.000225909813006339,0.000752130288027351,-0.0107880479374619,-0.0107880479374619,0.0908043790973877,0.0649723656184464,0.0256736968107149,0.0117494892849034,0.0968962123411987,-0.084420383165555,-0.0847575791328966,0.0163623666596146
"miR141",-0.0305304799679795,-0.0426853884944885,0.0709465574391834,0.072841289937207,-0.0481912213963942,0.0853160684228309,0.0857251221452198,0.0122065770933817,0.0122065770933817,0,0,-0.0109625100568746,-0.0119617334295206,-0.00662321828367748,-0.00662321828367748,0.0133084248468183,0.0739878141101521,-0.0715810132712966,0.0238917062009242,-0.0137691780801039,0.0326260943044583,0.0322946941387582,0.038442029220025
"OVOL2",-0.0186932399235877,0.100782510587628,-0.097944567542096,0.00504506354795099,0.150172064136129,-0.253141425098453,-0.252938189869176,0.0850782408921236,0.0850782408921236,0.300276143134155,-0.300216721576014,0.0606160619554229,-0.085056094423806,0.0835651327727732,0.0835651327727732,0.00467199019436094,0.241451037158091,0.0976298419827837,0.119946959550295,0.084572768254591,-0.11235320539887,-0.112261082963767,-0.0835461155407823
"miR205",-0.00776369347921541,0.0451490988938375,-0.0226434165279923,0.00136629367822671,0.038872501367781,-0.00773748541093622,-0.00742483662502922,0.000987406004601482,0.000987406004601482,0,0,-0.000848423415115884,-0.000700453047495359,-0.00362728048696086,-0.00362728048696086,0.0948559344817067,0.0682799982952736,0.0221162553731799,0.014350308112511,0.10557447765757,-0.0584848924696246,-0.0586814003862652,0.0471468115696082
"miR200c",-0.00290228327480639,0.136978980819474,-0.0869822255332593,-0.00832000513842278,-0.0295863229851682,-0.089681705502496,-0.0892090212010688,-0.0178881807758614,-0.0178881807758614,0,0,0.0152600417181594,0.0180102678170028,-0.0121768544701114,-0.0121768544701114,0.0159087083853652,0.0516235462064598,0.086445378290702,0.0793859486495334,0.0636604898178098,-0.113984362203838,-0.114079819860262,-0.0368942661126793
"miR200b",0.0270119157424603,0.0598317548603581,-0.0640354421478935,-0.0428035734374757,-0.0159358357960369,-0.0760905426271973,-0.0762825706246521,-0.0168519912393052,-0.0168519912393052,0,0,0.0145842034040694,0.0165843818017761,0.00267862811600758,0.00267862811600758,-0.0153714453027785,-0.0799002709300928,0.0644628494567064,-0.0323311703191235,0.00449399031892051,-0.0412347627443099,-0.0409754060928924,-0.0554446472370696
"miR200a",0.0270119157424603,0.0598317548603581,-0.0640354421478935,-0.0428035734374757,-0.0159358357960369,-0.0760905426271973,-0.0762825706246521,-0.0168519912393052,-0.0168519912393052,0,0,0.0145842034040694,0.0165843818017761,0.00267862811600758,0.00267862811600758,-0.0153714453027785,-0.0799002709300928,0.0644628494567064,-0.0323311703191235,0.00449399031892051,-0.0412347627443099,-0.0409754060928924,-0.0554446472370696
"ZEB1",0.0347852373510464,-0.0792409606079523,0.0262547779688682,-0.000939768248153816,0.0130691482739995,0.0113988031290799,0.0116171971668084,0.000752130288027351,0.000752130288027351,0,0,-0.000555656100999872,-0.100707140226741,0.0106634385779144,0.0106634385779144,-0.0906591156976837,-0.0647392056194079,-0.0265919032099939,-0.0113538432260762,-0.0970935646102776,0.0844850438804968,0.084420383165555,-0.0162589951583423
"TCF3",0.0474266030900205,-9.93681029570538e-05,-0.0268140903616781,-0.0164322784482189,-0.0691385569894268,-0.00485670846182729,-0.00540048225193061,-0.000130089132897374,-0.000130089132897374,0,0,0.000120042131429145,-6.37447551178406e-05,0.0241027994303587,0.0241027994303587,-0.0225345839737685,-0.012805549368563,0.0279757554149211,-0.0180230250580858,-0.0522799409786466,0.0223707501788095,0.0222664438161214,-0.0205321865655901
"KLF8",0.0474266030900205,-9.93681029570538e-05,-0.0268140903616781,-0.0164322784482189,-0.0691385569894268,-0.00485670846182729,-0.00540048225193061,-0.000130089132897374,-0.000130089132897374,0,0,0.000120042131429145,-6.37447551178406e-05,0.0241027994303587,0.0241027994303587,-0.0225345839737685,-0.012805549368563,0.0279757554149211,-0.0180230250580858,-0.0522799409786466,0.0223707501788095,0.0222664438161214,-0.0205321865655901
"SNAI2",0.0478713590451842,-0.100325508765572,-0.0268191322181911,-0.0157357459944871,0.0301261813650416,-0.00518565728313138,-0.00514127507910251,0.000331669222878666,0.000331669222878666,0,0,-0.000290185576888774,-0.000202609099371727,0.023938450096476,0.023938450096476,-0.0223110719972369,-0.0125137005852248,0.0267556574267512,-0.017615536643555,-0.0525149377732969,0.0227280369514589,0.0223222237642646,-0.0204113818403934
"TWIST1",0.0894912919893555,0.0756379767543053,0.0166229752965353,-0.0307616095525871,-0.0460349701771156,-0.0252907569683432,-0.0252171190350937,0.0699113249518095,0.0699113249518095,0,0,-0.0696762247134221,-0.0698485139044693,0.0775163340701272,0.0775163340701272,-0.208430538599212,0.0824240861914906,-0.116703853024116,-0.00229402933621944,-0.0240525837024993,0.00190930549506163,0.00184656586452834,-0.0886945942185344
