"","SNAI2","TWIST2","CDH1","ZEB2","miR200c","miR141","CLDN7","miR200b","TGFbeta","GSC","NP63","miR205","miR34a","GRHL2","ZEB1","TWIST1","TCF3","miR200a","FOXC2","OVOL2","SNAI1","KLF8","miR101"
"miR200c",-0.0589253838988638,0.0334004620694126,0.0942159538662033,-0.0173122185256584,-0.00408318413165898,0.0214665699667273,0.0214665699667273,0.0749283048162984,-0.0820390774268561,0.0818845460206204,0,0,0.106038944785031,-0.0178091474093427,-0.0214471521009517,0.0205505900136199,0.0206348883409636,0.00408318413165898,-0.0274064401917295,-0.0875617037437576,0.039442581520681,-0.00672705600734636,-0.00679369625805779
"miR141",-0.0589253838988638,0.0334004620694126,0.0942159538662033,-0.0173122185256584,-0.00408318413165898,0.0214665699667273,0.0214665699667273,0.0749283048162984,-0.0820390774268561,0.0818845460206204,0,0,0.106038944785031,-0.0178091474093427,-0.0214471521009517,0.0205505900136199,0.0206348883409636,0.00408318413165898,-0.0274064401917295,-0.0875617037437576,0.039442581520681,-0.00672705600734636,-0.00679369625805779
"GRHL2",-0.157834749794133,-0.124353800289573,-0.142987293462018,0.0111381983536945,0.00420883103617376,-0.0131571362753897,-0.0131571362753897,0.010587039163896,-0.0728988512870239,0.0727907563630507,0.00853631481530386,-0.00853457921643547,0.0105229125122235,-0.0252191773455847,0.013291862139917,0.0244848548810896,0.0245253196478392,-0.00420883103617376,0.058159069071995,0.0779394032962632,0.128799372905864,0.117350824148072,0.117425651385186
"GSC",-0.121222643893009,-0.0769052268878479,0.0710470925937831,0.013166475631801,-0.0612098155771022,0.0978496369871111,0.0978496369871111,0.0558264760849673,0.0153569647863284,-0.0151992736775398,0,0,-0.0375679432625305,-0.0979952401775463,-0.0979263790685591,0.336792440394369,0.336819593473847,0.0612098155771022,-0.112010344654297,-0.0983235520120938,-0.214661252534651,0.219061102645732,0.219112743459514
"ZEB1",-0.0603130587452186,-0.118208355116436,-0.161847007055692,0.0229745143436524,-1.16218735467174e-05,-0.0122093083898373,-0.0122093083898373,0.0030638910322816,-0.00457913897767466,0.00463105044004571,0,0,0.00676212927728605,0.00952229177872744,-0.0878291376625347,-0.00369151550290446,-0.00364644528350264,1.16218735467174e-05,0.110787657251839,0.0779468431628153,0.130957184142805,0.00921366351937937,0.00927024164495341
"FOXC2",-0.0602456010380857,-0.118144741884884,-0.161745941460966,0.0230030360845387,-1.60722078162692e-05,-0.0120839029476662,-0.0120839029476662,0.00311022920518968,-0.00463105044004571,0.0045995701044002,0,0,0.00680738091307153,0.00941086548438828,0.0122093083898373,-0.00364644528350264,-0.00368024429206505,1.60722078162692e-05,0.110658609301404,0.077868054846989,0.130908082142842,0.0091297924412081,0.00921366351937937
"miR200a",-0.110928754905234,-0.00597926301998579,-0.0064613245721676,0.0294688133135346,-0.0209965206520611,0.0131588436283264,0.0131588436283264,0.0303265851809904,-0.0914516438448941,0.0917186650247869,0,0,0.10373387894373,-0.011010451812362,-0.0133282477676797,0.0253652364160127,0.025461366087545,0.0209965206520611,-0.0193839663699549,-0.0790060620614866,0.0591830498535863,0.0207133017293131,0.0208627920214495
"OVOL2",-0.143456494013066,-0.120353752071848,-0.113268218223014,0.0295619478365794,-0.0184941884121089,0.0119615326717145,0.0119615326717145,0.0915639270088238,0.0113926572529139,-0.0112596931876582,-0.00906664885944927,0.00906556846748307,0.0773478118130551,0.0251340100835199,-0.012033406792819,0.0275309616430581,0.0275687287101756,0.0184941884121089,0.0238705921513223,-0.0777730107824196,0.105672212712427,0.113858106704081,0.11396777626968
"miR205",-0.0838464142533523,-0.143953089371254,-0.143975426002589,0.0348922052021414,-0.00895583482402405,-0.0115365347045709,-0.0115365347045709,-0.00194872976773385,-0.00489650851618441,0.00516789401055038,0,0,0.00497760202669962,0.00946472715054017,0.0114967836455778,0.00105558035745407,0.00103910657136618,0.00895583482402405,0.113270944162814,0.0802670794548097,0.138093014205631,0.0305346936814973,0.0307462213115117
"TCF3",-0.389610815007219,-0.347712039745444,-0.405119009375104,0.0599313979535266,-0.0206799012063367,-0.0143620946853848,-0.0143620946853848,0.236171581821776,0.211319230148941,-0.211427984906961,0,0,0.0532219262054309,0.0130946456881452,0.0147753631636059,0.0562994327979482,0.0568318626140179,0.0206799012063367,0.147339471103422,0.0242536086925998,0.172703402974284,0.250039771802237,0.25097852906643
"KLF8",-0.389610815007219,-0.347712039745444,-0.405119009375104,0.0599313979535266,-0.0206799012063367,-0.0143620946853848,-0.0143620946853848,0.236171581821776,0.211319230148941,-0.211427984906961,0,0,0.0532219262054309,0.0130946456881452,0.0147753631636059,0.0562994327979482,0.0568318626140179,0.0206799012063367,0.147339471103422,0.0242536086925998,0.172703402974284,0.250039771802237,0.25097852906643
"SNAI1",0.139449888466027,0.146769935161699,-0.0916086800739094,0.0983686943485752,-0.0833854677301298,0.0735866422059958,0.0735866422059958,-0.0557565680163991,-0.0179117741384527,0.0179404618232394,0,0,0.170287763252883,-0.0732127124400327,-0.0736423112185851,-0.217012497485066,-0.217001767816511,0.0833854677301298,0.0351944301475856,-0.0797585156728538,0.0464529466010229,-0.204837977572602,-0.204852016425908
"miR101",0.066302350175462,0.0270510417873412,-0.124378562395403,0.129172632106338,-0.051296901615658,-0.0186228231122663,-0.0186228231122663,-0.0885915901092201,-0.0220798143246272,0.0221997113640926,0,0,0.0878356244884824,0.0164992535925929,0.0186277669176781,-0.215631537018251,-0.215724288237657,0.051296901615658,0.089200225248115,0.0661970426481038,0.215233321317853,-0.0827919226439839,-0.182684258555939
