"","ZEB2","OVOL2","miR205","miR101","GRHL2","TCF3","SNAI1","CLDN7","miR200c","TGFbeta","miR200a","miR200b","GSC","CDH1","miR34a","miR141","ZEB1","TWIST1","SNAI2","KLF8","TWIST2","NP63","FOXC2"
"miR200b",-0.00474311561104049,0.233327354718401,0.227678649447375,-0.0992872850821219,0.221289104024099,0.053640666855692,-0.0433836397804447,0.194688824230065,0.0979688224637625,0.0129095987692739,0.095585076116411,-0.152253184468239,-0.0125709931879632,0.0902126778350456,-0.130734684126752,-0.194688824230065,-0.19465601473272,-0.0534084767259909,0.173529928472248,0.0993575275085475,0.1623761059648,-0.227710638073641,-0.0196235694527879
"miR200c",-0.000871323133424485,-0.194514028505223,-0.191206672339693,-0.0833940574404846,-0.189079358828065,0.0992799834442508,0.0782788679620335,-0.162669245795161,-0.0782606131216116,-0.173872157988007,-0.0790125280975415,0.051122694652066,0.173676721209533,-0.0469933103050777,0.169974891489395,0.162669245795161,0.162647595990791,-0.0993317455750759,0.0857761829719331,0.0830590550990704,-0.0275050432247067,0.191259986716803,-0.146854777806229
"miR141",-0.000871323133424485,-0.194514028505223,-0.191206672339693,-0.0833940574404846,-0.189079358828065,0.0992799834442508,0.0782788679620335,-0.162669245795161,-0.0782606131216116,-0.173872157988007,-0.0790125280975415,0.051122694652066,0.173676721209533,-0.0469933103050777,0.169974891489395,0.162669245795161,0.162647595990791,-0.0993317455750759,0.0857761829719331,0.0830590550990704,-0.0275050432247067,0.191259986716803,-0.146854777806229
"GSC",0.0055640280421699,0.139420381034796,0.126713845108005,0.0270250289020696,0.107919932418973,0.0229590754476882,-0.136510614551572,0.0958974505448639,0.0383451965625733,0.065493565117694,0.0567641667987886,-0.103311051105312,-0.0653108145691368,0.0868304412086846,-0.106502906953019,-0.0958974505448639,-0.0958771790516513,-0.0228728244893443,0.152777818983268,-0.0269655932484722,0.137586500728502,-0.126711929362493,-0.036841409039486
"miR200a",0.0240187961656565,-0.256832059476937,-0.249670659357222,0.0920791578113119,-0.24033359912613,-0.0714802906237203,0.032843617084435,-0.213648647431039,-0.117509829149361,0.00525131361060919,-0.0975823853093438,0.118379417674336,-0.00532289801202725,-0.01640825474161,0.140608503056117,0.213648647431039,0.213682349703822,0.0716207878359599,-0.156776669125236,-0.0916306869349026,-0.152064679318324,0.249844819655782,0.0450668019603875
"FOXC2",0.02838394210201,-0.236689623564461,-0.230047578006651,0.00784717528998688,-0.222532467393152,0.0286439487358216,0.152299752553311,-0.176797145006869,-0.195408874811218,-0.133203328377418,-0.174988137155597,0.202497822371519,0.132948229105808,-0.0635666538936193,0.209668071896685,0.176797145006869,0.176808622793102,-0.0285594512144155,-0.0673343531110379,-0.00773934104662382,-0.1769839405395,0.230264438944574,-0.164104260027083
"ZEB1",0.0284303845827452,-0.236765206931847,-0.230264438944574,0.00795739241772853,-0.222566839572084,0.0285594512144155,0.152403622168616,-0.176808622793102,-0.195470685009406,-0.133301434180753,-0.174939677960218,0.202556471793318,0.133203328377418,-0.0636098433888896,0.209749402539381,0.176808622793102,0.0767888998773459,-0.0286045214338174,-0.0674739414392969,-0.00784717528998688,-0.177272585577668,0.230448368131837,-0.164261685013739
"SNAI1",0.0690195025417637,0.122278198113206,0.112094323501631,-0.0100295379414769,0.0984855142372589,-0.0150667143471123,-0.0840957235581616,0.0902620413421367,0.00635537134123253,0.0506723336112601,0.0823540908472263,-0.0252346345892051,-0.0506034441369083,-0.0705788650871794,0.0113095409538551,-0.0902620413421367,-0.0902530076743518,0.0150978814795828,-0.0903441206609707,0.0102008119518157,-0.0677672675080332,-0.1120306136266,-0.0762680638402349
"TCF3",0.090284339800117,-0.0401695685213789,-0.0342028985507246,0.286265401867213,-0.0251295940873557,-0.082793326796803,0.1719020241485,-0.0222305015419118,-0.0542721150850101,-0.208017210496187,0.0320005475899443,0.259292910026279,0.208017210496187,-0.369504753707807,0.0770604616343006,0.0222305015419118,0.0225047947796692,0.0842938108239086,-0.445612372840672,-0.284343184611961,-0.423972840892238,0.0343185054871408,-0.0978737655508074
"KLF8",0.090284339800117,-0.0401695685213789,-0.0342028985507246,0.286265401867213,-0.0251295940873557,-0.082793326796803,0.1719020241485,-0.0222305015419118,-0.0542721150850101,-0.208017210496187,0.0320005475899443,0.259292910026279,0.208017210496187,-0.369504753707807,0.0770604616343006,0.0222305015419118,0.0225047947796692,0.0842938108239086,-0.445612372840672,-0.284343184611961,-0.423972840892238,0.0343185054871408,-0.0978737655508074
"CLDN7",0.090284339800117,-0.0401695685213789,-0.0342028985507246,0.286265401867213,-0.0251295940873557,-0.082793326796803,0.1719020241485,-0.0222305015419118,-0.0542721150850101,-0.208017210496187,0.0320005475899443,0.259292910026279,0.208017210496187,-0.369504753707807,0.0770604616343006,0.0222305015419118,0.0225047947796692,0.0842938108239086,-0.445612372840672,-0.284343184611961,-0.423972840892238,0.0343185054871408,-0.0978737655508074
"miR34a",0.09636549563038,-0.170762023587932,-0.158574633119779,-0.0705716278941204,-0.139644926467841,0.0142242253223957,0.109330924985468,-0.124215544060242,-0.153162073084667,-0.035652329430864,-0.0761111324122387,0.00301593900639158,0.0355702677518579,-0.0339678305336929,0.116214535353931,0.124215544060242,0.124211022651371,-0.0142045422978234,0.0478620268585865,0.0706042800145875,-0.0771669740107079,0.158621939494786,-0.111540667863215
"TWIST1",0.116767108345415,0.155377125355875,0.143388357953632,0.111284941615303,0.124504240051569,-0.123987150983801,0.028049544296456,0.109459497987834,-0.000883244190366059,0.0579913050453258,0.113126562568981,0.00635262584355161,-0.0579295745225591,-0.126335734001277,-0.0250685200122347,-0.109459497987834,-0.10943938364458,0.0240778320723008,-0.231358643594306,-0.111027012023111,-0.178115591585155,-0.143388357953632,0.018063508328663
