"","miR200a","miR200c","CDH1","miR101","KLF8","TGFbeta","GSC","OVOL2","miR34a","miR141","TCF3","TWIST1","miR205","FOXC2","NP63","GRHL2","SNAI1","CLDN7","ZEB1","SNAI2","TWIST2","ZEB2","miR200b"
"TGFbeta",0.0326867992305219,-0.0273945805670937,0.117208527341703,-0.0714935779786797,-0.0714305633883784,-0.11722242188343,-0.0171993987256082,0.0885452955127396,0.0896575004390446,0.064628603619005,0.00669786452074732,0.00666836800360531,0.00920949432404541,0.0265252750952032,-0.00923947524527735,-0.063541974508129,-0.022209759628633,-0.064628603619005,-0.064615737822981,0.172256125575423,0.116922078956921,-0.00589814275300228,0.142685108901
"GRHL2",0.0978845373111275,-0.110373695931035,0.0536023004865861,0.105988300201327,0.10586945694238,0.107283649912725,0.107266465591478,-0.0885958202250821,0.114681745227132,0.106275828372809,0.0384276638221753,0.0384074314388006,-0.00667294796780473,-0.0163061117749969,0.00678576189425005,-0.039751538090681,-0.0858692454982751,-0.106275828372809,-0.106268622613442,-0.0863089115916155,-0.094638953555837,0.0208483195217204,0.0615715690964824
"OVOL2",-0.107266281126635,0.0854829405122163,-0.123543764926597,-0.10734628176744,-0.107300220549888,-0.204876959260173,-0.204841823678163,0.0559897936768333,-0.130309765564947,-0.0942260439711188,-0.046207008186928,-0.0462429768222779,0.234209095767898,-0.0218628146053502,-0.234240427134918,0.136335497345625,0.103624921995148,0.0942260439711188,0.0942302558761362,0.0803704044633742,0.107034544570602,0.0285888548203513,0.00959610867515008
"TCF3",-0.0408003995874929,-0.00113168730921752,0.0735118165390937,-0.159285480548411,-0.15873414691706,-0.187996188532628,-0.187923685360614,-0.054678313640635,-0.0363774359083032,-0.0402333167778871,-0.106910746650028,-0.106620330386717,-0.0114130434782609,-0.0288339315459337,0.0111240261372204,0.0395352650726597,0.0309929432351041,0.0402333167778871,0.0402150305620366,0.115598644567212,0.142116815966507,0.0414203897569691,0.172158847623305
"KLF8",-0.0408003995874929,-0.00113168730921752,0.0735118165390937,-0.159285480548411,-0.15873414691706,-0.187996188532628,-0.187923685360614,-0.054678313640635,-0.0363774359083032,-0.0402333167778871,-0.106910746650028,-0.106620330386717,-0.0114130434782609,-0.0288339315459337,0.0111240261372204,0.0395352650726597,0.0309929432351041,0.0402333167778871,0.0402150305620366,0.115598644567212,0.142116815966507,0.0414203897569691,0.172158847623305
"SNAI2",-0.0407690877776816,-0.00107871192726152,0.173616974543832,-0.159509862542027,-0.159502231866712,-0.188124448371743,-0.188096440184734,-0.0546388383626743,-0.0363903842507181,-0.0402519303390336,-0.106785005021512,-0.106866615467649,-0.0110469845347551,-0.028824720798137,0.0110090040133368,0.039592855520219,0.0310283187661011,0.0402519303390336,0.0402623854087998,0.0155641351702852,0.14235619663842,0.0414639317519419,0.172224818035006
"miR34a",-0.0992916293440946,0.00245885605423121,0.02474267911926,-0.0819856960215236,-0.0819203917805894,-0.0231173453656015,-0.0231155351815058,-0.0805534657302542,0.0138209524503541,-0.0185439527829323,0.000237621268925415,0.000244707157771439,-0.0190644510174947,-0.0702087857440993,0.0190720200374958,0.015258453216343,-0.020761065007435,0.0185439527829323,0.0185449046584841,0.184931653308923,0.0457244896462008,0.120229123877866,0.0935247920268989
"TWIST1",-0.0680561109319977,-0.1219378202395,0.019298632067021,0.0763116972214324,0.0762619038638662,-0.0225001302588593,-0.0224979367885072,0.110987887836168,0.0509250063007894,0.0615149197414433,0.0914911109318522,-0.00847376035818842,0.0235922669248331,-0.00598951195581754,-0.0235726267331448,-0.0596456435376768,-0.0251545562628019,-0.0615149197414433,-0.0615031966579515,-0.0852233869970188,-0.113706554142228,0.211777275256223,0.0485281061472011
"ZEB2",-0.280070484427708,-0.245121043943406,-0.23163452551906,-0.117150001167123,-0.117097299982838,-0.0765278014951979,-0.0765111747532387,-0.0598430325070912,-0.0500466182826189,-0.0391160084274123,-0.0240147061939229,-0.0239903504045517,-0.015081279115766,-0.00947691274209912,0.0150735319822054,0.036999140977847,0.0374394886805162,0.0391160084274123,0.0391201818554415,0.105635779549512,0.11914671470123,0.217461703931648,0.249120266367611
"miR141",-0.117703519711134,-0.109707389085711,-0.112798237356676,0.0323787760298405,0.0323409531848422,-0.0903482758385911,-0.0903516846196111,-0.141349501781945,-0.100674465582427,-0.00709017428028376,-0.0118111383803442,-0.0118510691669807,-0.0534910427193385,-0.0183355448037328,0.0535265856374121,0.00100149669884477,0.0693849928631152,0.00709017428028376,0.00708637998467242,-0.133714653362249,-0.024841064390157,0.232079998927077,0.0330309601312788
"miR200c",-0.129760176725979,-0.111663501144384,-0.108598797715187,0.00967315370937006,0.00963713195222874,-0.135072502926829,-0.13504296015799,0.10232440632504,-0.01110695887778,-0.0167770725203053,-0.0192486986708115,-0.0192827137853537,0.0433822292004179,-0.0487740535134586,-0.0433609034495737,0.0176652696023133,0.0345726950604702,0.0167770725203053,0.0168067573036176,-0.0828099583510384,-0.0599684706745853,0.248942489318379,0.0786020689626506
"miR200b",-0.129760176725979,-0.111663501144384,-0.108598797715187,0.00967315370937006,0.00963713195222874,-0.135072502926829,-0.13504296015799,0.10232440632504,-0.01110695887778,-0.0167770725203053,-0.0192486986708115,-0.0192827137853537,0.0433822292004179,-0.0487740535134586,-0.0433609034495737,0.0176652696023133,0.0345726950604702,0.0167770725203053,0.0168067573036176,-0.0828099583510384,-0.0599684706745853,0.248942489318379,0.0786020689626506
"miR205",-0.13317066600762,-0.11935502101971,-0.105072503696322,-0.0416226978792507,-0.0416339626642811,-0.0495038410523566,-0.0494689259595142,0.10725750669571,-0.0192145332941225,-0.0124468805114605,-0.0115192995216908,-0.0115440102008226,0.0443794210593681,-0.0947227084580418,-0.0443496915974714,0.0165833200512777,-0.0608468979189973,0.0124468805114605,0.0124760726954085,0.063344176773838,-0.0256895570400599,0.263636095958788,0.125634262088702
