"","miR200a","TWIST2","TGFbeta","miR101","SNAI1","GRHL2","miR141","CLDN7","TCF3","NP63","FOXC2","miR34a","OVOL2","miR205","TWIST1","ZEB1","ZEB2","miR200b","miR200c","KLF8","GSC","CDH1","SNAI2"
"GRHL2",-0.000195248798784612,-0.0901521229508418,0.118692766143481,-0.108859699048576,0.00827204122224755,0.0121233727234051,0.00324254775688679,0.00324254775688679,-0.0614731834853645,0.021619815134463,0.0186088968323989,-0.00476535900558311,0.0672577255879556,-0.025995259881673,0.0629645991741326,-0.00239729034751013,0.00680800655095075,-0.1055058777984,0.00840672004388563,0.109737378523905,-0.118290874759477,0.0227763194410767,0.111810153612824
"TWIST2",0.0135984114577,0.0635674577587416,-0.0111654331699556,0.101558896180639,-0.124513251596559,0.0668856285558907,0.0622338483243522,0.0622338483243522,0.00578335399645321,0.0542184380220925,0.0851078800922327,-0.0831433016473491,-0.0478660993763373,-0.0547439160016554,-0.00568218989688494,-0.0621416197395175,0.0287316203274718,0.0204419170938117,0.0479721270245551,-0.101325131526898,0.0111002133464039,-0.0973567375342165,-0.0898162169039313
"OVOL2",-0.0229080139228777,-0.0247806047472496,-0.0196009183890295,-0.0541306284445286,0.093896741379478,-0.0211279910798015,-0.0149663574546904,-0.0149663574546904,0.00636061480624011,-0.0261636606469073,-0.00845006625794768,0.0777134487063823,-0.0665773860284854,0.0294080777214219,-0.00736953502780691,0.0143618811507322,0.0346515578774923,0.0350699373412651,0.00224259135167613,0.0533607480940246,0.0194596871280065,-0.0893021675025845,0.0228876445241041
"FOXC2",-0.00841134136920978,0.110837711883781,-0.042624651768864,0.0196682306493718,0.0757419622697163,0.00627807519454998,0.0131911220559039,0.0131911220559039,0.101497373884214,-0.00735074204028984,-0.0835125153528149,-0.00500137161419309,0.0195482583943258,0.00979042759192985,-0.102257851576868,-0.0136617112914409,0.0542815018929742,0.0226996098449521,0.0259325409622803,-0.0202792913617625,0.0425085001856202,-0.0691485007710212,-0.0514419714914406
"ZEB1",-0.00818387983987713,0.111438061756554,-0.0425585618454048,0.0200554601581708,0.0758609401927017,0.00696816278694882,0.0136617112914409,0.0136617112914409,0.102257851576868,-0.0086985981157008,-0.0831618562623664,-0.00537439185512747,0.0187515616278517,0.00735074204028984,-0.101881064542669,-0.113424218301256,0.054363281043834,0.0227032006258786,0.0262524705481026,-0.0196682306493718,0.042624651768864,-0.0691399063878314,-0.0513088533517876
"miR34a",0.1124577997373,0.290070989851908,-0.0128448653954497,0.0886405577764235,0.115259926343777,0.168566652324127,0.159669792968805,0.159669792968805,0.175056758178702,0.120506939842882,-0.0428215982345469,-0.0337544495186741,-0.0903614936389452,-0.121019740947959,-0.175062269425582,-0.15961815372012,0.059049369683907,0.0440599220371143,0.158438819133725,-0.0882525737567554,0.01289555055013,-0.0964677210493191,-0.253572348268815
"ZEB2",-0.211776240686731,-0.209674415005952,-0.184841412351768,-0.168194423825302,-0.112593168643291,-0.0499253806194164,-0.0475462364058002,-0.0475462364058002,-0.0433445169281755,-0.0337389576315346,-0.0140001011647129,0.00759248858436471,0.0243984174887604,0.0331656697480515,0.0434792856293625,0.0476530270641953,0.0799653427458885,0.151307764778056,0.167149257699954,0.168255079905328,0.184323520130004,0.244372636777819,0.273465147372554
"TWIST1",-0.0809087874339003,0.0359535995893134,-0.0480291825168466,0.08236804138035,-0.236619213159105,-0.0840332087958774,-0.0796212740703289,-0.0796212740703289,-0.235123140336364,-0.0658502299007707,0.00748392986128304,-0.050615118685715,0.0557114665312897,0.0663687309613411,0.134944228999594,0.0795214427593303,0.0843372704340951,0.0621614594967835,0.00586550578717438,-0.08254132226468,0.0477267969611622,0.160157136257614,-0.0217768221035826
"TGFbeta",-0.0297231156344886,0.250040908105567,-0.145686802522193,0.101445090134217,0.0893825917636046,0.0350163727336735,0.0334537897560863,0.0334537897560863,0.07956773721747,0.0239090785462728,0.0211542869883351,0.0752402270135801,-0.0162327470951617,-0.0242470452947056,-0.0795337027746138,-0.0334278866200914,0.0965711050210898,0.177080468602204,0.067772709005497,-0.101239427130707,0.0457697727701918,-0.127834191017271,-0.282412974035665
"CDH1",-0.114990664914081,-0.322027251153348,0.164141596964475,-0.301157464326122,-0.0045506783113688,-0.133116218776519,-0.125779642777418,-0.125779642777418,-0.180099343410336,-0.0969421363803523,-0.046353861444619,0.0759575304971766,0.0761375644991438,0.0983802462930385,0.180179024685236,0.125673756460818,0.107500300532081,-0.178084926422377,-0.0126857664645481,0.299963714528316,-0.164127275299888,0.249674053643332,0.367300033175438
"SNAI2",-0.114889958101451,-0.322242698826589,0.164349719338707,-0.301403727029462,-0.00444871337127877,-0.132862364614309,-0.125673756460818,-0.125673756460818,-0.180179024685236,-0.0981222454387067,-0.0462380160917999,0.0758087038052824,0.07563248344422,0.0969421363803523,0.180886315218424,0.125968726543893,0.10761400230992,-0.178309805029872,-0.0126633871728527,0.301157464326122,-0.164141596964475,0.249882444720498,0.267760750102545
"SNAI1",0.0177256453474553,0.178158254447594,-0.0403992678507211,-0.055874923237831,0.160676280698951,0.160584887687942,0.152921803995441,0.152921803995441,0.305298467382637,0.127518653007023,-0.0989713707074317,0.0887615823137979,-0.103406021579506,-0.127550507944538,-0.305408318751181,-0.152949831528825,0.134841275915557,0.0574126450369084,0.145018898392907,0.0560867539354996,0.0404353713996024,-0.166011136274418,-0.216772116877634
"NP63",-0.0655690873749216,-0.318183170192496,0.0820725475514391,-0.304600414204091,-0.013173050377307,0.0927635498355519,-0.0131590574818235,-0.0131590574818235,-0.193984128005906,0.0129677876039047,-0.0337718123211084,-0.0187739454886406,0.076421504487021,-0.109162972470629,0.193034952644075,0.0125303656561744,0.176966481553846,-0.133932081835504,0.0634400365924739,0.30321875950811,-0.0824884796329823,0.1993609421023,0.353027794002843
