"","KLF8","TWIST2","TWIST1","TGFbeta","GSC","miR141","miR205","OVOL2","FOXC2","miR34a","NP63","GRHL2","ZEB1","CLDN7","SNAI1","TCF3","miR101","SNAI2","CDH1","ZEB2","miR200b","miR200c","miR200a"
"CDH1",-0.203859426439804,-0.192912166925456,-0.180066513657712,-0.214895053876681,-0.215208084545503,0.0801031896166923,0.0633833877858758,0.0570072223716007,0.0362920643999874,-0.0665099557846089,-0.0624588885562919,-0.0756031522102221,-0.0801577371131226,-0.0801031896166923,0.0566864157770063,0.17914752295386,0.204406157377011,0.172127479424919,-0.194161478633207,-0.024065764063773,-0.223667880279468,0.0263836752026135,0.0263836752026135
"OVOL2",0.0595019253473364,0.0801560617447914,-0.0353330041134074,0.00350793878015646,0.00361954592301361,-0.00946912692142648,0.011323362064682,-0.0594790507209529,-0.0119792482663867,0.00338284314179147,-0.011570771824943,0.00571699840436238,0.0094537738482983,0.00946912692142648,0.116435186794159,0.0353509884310824,-0.0594931517820885,-0.0755014773456956,-0.0744912519281095,-0.0190856804874409,0.0546375642563698,-0.0129348004254568,-0.0129348004254568
"TCF3",0.204708778250265,0.192743722231464,0.17914752295386,0.215208084545503,0.215280587717516,-0.0799532426467182,-0.0631521739130435,-0.0565761778458661,-0.0359993348462506,0.0662503531356023,0.0633833877858758,0.0754960197880554,0.0801031896166923,0.0799532426467182,-0.056090859856359,-0.179050717532757,-0.203859426439804,-0.171981870223256,0.0940127184592432,0.024065764063773,0.223482988182496,-0.02623718771774,-0.02623718771774
"CLDN7",0.204708778250265,0.192743722231464,0.17914752295386,0.215208084545503,0.215280587717516,-0.0799532426467182,-0.0631521739130435,-0.0565761778458661,-0.0359993348462506,0.0662503531356023,0.0633833877858758,0.0754960197880554,0.0801031896166923,0.0799532426467182,-0.056090859856359,-0.179050717532757,-0.203859426439804,-0.171981870223256,0.0940127184592432,0.024065764063773,0.223482988182496,-0.02623718771774,-0.02623718771774
"miR34a",-0.0308748172942285,0.124601669270833,0.020995536972353,-0.0234633769680483,-0.0233964001565066,0.0610595878073825,0.0505326414437999,0.0491316451634185,-0.0827759710341899,-0.0683769455927097,-0.0507388972388308,-0.0569889784461791,-0.0610407882652346,-0.0610595878073825,0.0749306791664653,-0.0209018457753889,0.0307019531270497,-0.0339200283452522,0.0385444794642256,0.0258203714583521,-0.000298941902319656,0.0872555251903789,0.0872555251903789
"TGFbeta",0.254648915882216,0.267026308425745,0.28994925269171,0.122565852952428,0.222513290648722,-0.029634543995307,-0.0201540894358925,-0.0151608778375579,-0.0222022116691338,0.186005791904398,0.0201268340529544,0.0271995310052393,0.0296559869886803,0.029634543995307,-0.251975557157603,-0.289558991080293,-0.254887817350941,-0.258900438901953,0.155293022997711,0.0347733790462524,0.173256287340568,-0.00183313879615391,-0.00183313879615391
"GRHL2",0.068312646943818,0.0274961331496481,-0.0176754009853399,-0.0810844175870001,-0.0811780998544436,-0.00292294404904699,-0.0143426983324789,0.0593157729635849,0.0210065331032135,-0.00429659652802351,0.0145631193887643,0.00163587211129816,0.00293233337185846,0.00292294404904699,0.0314438514713973,0.0177187560925716,-0.0683012027781417,-0.0697021184315388,0.0130930666959153,0.0453263682120808,-0.00106943051110256,0.00906428431632496,0.00906428431632496
"TWIST2",0.0638856122250647,-0.0289927078551199,0.261827049499318,-0.00391017458020104,-0.00397157399567861,-0.0676056258760927,-0.0539905133652185,-0.0507667016338606,0.0197631261791021,0.121341981051121,0.0541291573923996,0.0632354983546899,0.0675994916528306,0.0676056258760927,-0.203934237729193,-0.261896866976485,-0.0638056629754579,0.0561950106469562,0.112023754788488,0.14358358791296,0.0492642010506543,0.0371981824708418,0.0371981824708418
"miR200c",-0.165573436334781,-0.0673675706094632,-0.178585153969653,-0.137430454104093,-0.137298647904657,0.00240672498741121,-0.00591722959262768,-0.0183726818630001,-0.00909986606145212,-0.0225040678756122,0.00572174354322303,-0.0061691779283821,-0.00243774893388039,-0.00240672498741121,0.203328095036782,0.178299722791103,0.165820185371199,0.147395516225798,-0.0215052261704832,0.17939257891194,0.0467144737613941,0.0922934036818698,0.0922934036818698
"ZEB2",-0.179664242828053,-0.150139605693207,-0.0868481655874159,-0.0834010708475598,-0.0833745912214768,-0.0249599449542539,-0.0174658025146414,-0.0157081914608781,0.00355836980658334,0.0055257407569928,0.0174658025146414,0.0238118475546479,0.024941532771772,0.0249599449542539,0.0748924084126284,0.0865088082555114,0.17983825617239,0.183703487079761,0.18545769717741,0.193538587445981,0.215694527000518,0.242231998166235,0.242231998166235
"miR141",0.157676581239358,0.14566971813545,0.19428267313639,0.0917932984830443,0.0919319222445206,-0.0167109868183632,-0.0168076760535947,-0.0256214981431897,-0.0225980049988793,0.126609823221902,0.0164913440827399,0.00986729418221583,0.0167598662735916,0.0167109868183632,-0.166608192507857,-0.194192459136952,-0.157683785590787,-0.153147019122678,0.0774915687723841,0.202069259123294,0.152015943162564,0.0905500804036494,0.0905500804036494
"miR200a",-0.205458615394923,-0.187467280726281,-0.227765259351504,-0.14132582989596,-0.14132242111494,0.00482008336781354,0.00959425910746205,0.0199583158279978,0.0239599250946907,-0.124277392464593,-0.00950540181227811,-0.000540408535302505,-0.00487565863882668,-0.00482008336781354,0.19269995703896,0.227337852042691,0.205649530707772,0.212419656693832,0.0505919113292528,0.260438683879517,0.0246791090589448,0.129531871712939,0.129531871712939
"miR205",-0.0685394583942456,-0.145849959813353,-0.0593147387764088,-0.0286242348111573,-0.0286147125131094,0.00052026228505723,0.00849212200526457,0.0203351564411491,0.0955754514674457,-0.00497461564315127,-0.00845248272273559,0.0012731231918866,-0.000542001145444058,-0.00052026228505723,-0.0335211149749669,0.0589811446081291,0.0686283250317073,0.0906418669645184,0.0995245732848645,0.293708013560261,0.110433163912111,0.139923724806702,0.139923724806702
