"","KLF8","TWIST2","SNAI2","ZEB2","TCF3","OVOL2","GRHL2","miR141","CLDN7","miR200a","miR200b","NP63","miR205","miR34a","miR200c","GSC","TGFbeta","CDH1","ZEB1","TWIST1","FOXC2","SNAI1","miR101"
"miR101",0.00927293212149831,-0.0321682520446292,-0.079000092306427,-0.0333947586419191,0.209526589258331,0.0817115524232518,0.0757968565656072,0.073005955086878,0.073005955086878,0.0481485565089649,0.0726220959856971,0,0,-0.0506782229626052,-0.0202056740151714,-0.0278025424562661,-0.0273992524144279,0.0242558747484728,-0.0728437982693703,-0.209038826963338,-0.0752160418118294,-0.185325952661141,-0.10902836184742
"miR200c",0.0265703562830973,0.0432291317041186,0.0181575438933478,-0.0196994520540218,0.0380712684941675,0.139407995351278,0.204080591505755,0.205188279033629,0.205188279033629,0.111186518941035,0.0570113666183698,0,0,0.119006754556978,-0.0944927287832364,-0.112212381978952,-0.111891956563081,-0.0749496432727145,-0.205053246748638,-0.0374072343015828,-0.0355096974529598,-0.046365827752923,-0.0263650322673918
"OVOL2",-0.081095862676818,-0.0845912038737989,-0.0569668039518072,0.0216620736672892,-0.0464549039316536,0.0659473364967312,-0.0296409367111957,-0.193556306293493,-0.193556306293493,-0.204728447238671,-0.0546180718940118,0.186889225233431,0.186890305625397,-0.130571332504076,0.187120488885125,0.236161138790252,0.236176295315825,0.197495742796649,0.193587963515076,0.0465340349294236,0.0974837406481701,0.0946191517505036,0.0812164991989768
"GSC",0.13400704360529,-0.099434473092648,-0.060974437844189,0.0220769874842314,0.153728047672083,-0.138707009980324,-0.153566670245818,-0.159409962970675,-0.159409962970675,-0.0873013492031365,-0.0536126853656624,0,0,-0.183370676360687,0.0833987371770267,0.0119240145934126,0.0117730467489522,-0.0263653742412953,0.159282059501595,-0.154258331341901,-0.0159142528565685,-0.224320394108151,-0.134308119293185
"miR200a",0.130535918202333,-0.0128358622276075,0.132783985173388,0.0636479382747752,0.118334253748287,-0.165811892446919,-0.248062783537938,-0.253801718551888,-0.253801718551888,-0.158424854586103,-0.148890323626679,0,0,-0.242559857265337,0.104096006729263,-0.0544835785593701,-0.0540358919854223,0.0213269072221505,0.253887648187791,-0.118096147946491,-0.0699151813081809,-0.125341597587257,-0.130253147408774
"CDH1",-0.0101753798104107,-0.0438895067277955,-0.0212639953684833,0.0664587516525106,-0.0604419969798964,-0.10081536349173,-0.0982994099090473,-0.0992776067751954,-0.0992776067751954,-0.0827926733146148,-0.0492150770487272,0,0,-0.0627121992884737,0.0178345848805325,0.0317551988095036,0.0305583168404793,-0.103921003799307,0.098743362177804,0.0583437234075192,-0.0159436885522907,-0.00709500341154266,0.0087292926569702
"SNAI2",-0.0087292926569702,-0.0449907671342184,-0.120751710714632,0.0671956723800117,-0.0583437234075192,-0.100479650934266,-0.0978245029651377,-0.098743362177804,-0.098743362177804,-0.0819665044628589,-0.0483139494293108,0,0,-0.0621584255511932,0.0180397283877405,0.0305583168404793,0.0314084730399838,-0.103715076459014,0.0991288286024615,0.0595542783585529,-0.0147024883435145,-0.00739288352036463,0.00964150520596261
"TCF3",-0.00813395528351459,-0.0456020277833823,-0.0201944486425952,0.067690075826989,-0.0565213774252013,-0.100076762871958,-0.0972702893688402,-0.0981182606902742,-0.0981182606902742,-0.0811728189528968,-0.0476161301941116,0,0,-0.0615307423348313,0.0181084527870353,0.0291632104100111,0.0317551988095036,-0.00363201110466326,0.0992776067751954,0.0604419969798964,-0.0136556187751236,-0.00769877389661269,0.0101753798104107
"CLDN7",-0.00813395528351459,-0.0456020277833823,-0.0201944486425952,0.067690075826989,-0.0565213774252013,-0.100076762871958,-0.0972702893688402,-0.0981182606902742,-0.0981182606902742,-0.0811728189528968,-0.0476161301941116,0,0,-0.0615307423348313,0.0181084527870353,0.0291632104100111,0.0317551988095036,-0.00363201110466326,0.0992776067751954,0.0604419969798964,-0.0136556187751236,-0.00769877389661269,0.0101753798104107
"TWIST1",-0.00173327512622457,-0.12842568182995,-0.12422807697749,0.0752660460806402,0.0966079365138975,0.0675857874353712,0.0501390852053328,0.0485619757244118,0.0485619757244118,-0.0201855342701556,0.0300898994131778,0,0,-0.057114598044034,-0.0590999169697644,0.00755134879175724,0.0077678756508017,-0.109795922178263,-0.04844190666928,-0.196165968325804,-0.16073842520125,-0.17676951613998,0.00189261387043609
"NP63",-0.033096295034589,0.00323960250632821,-0.0414633064645128,0.0961523847885789,-0.0723296967535155,-0.0522473930413529,0.136156456317022,0.119090090021262,0.119090090021262,0.0462955339351767,-0.0274559018134725,-0.193682862375492,-0.0936828623754921,0.11640042874875,-0.109536023337131,-0.0134514669344661,-0.0143226991546534,-0.149184251373105,-0.119519283307525,0.0708733969666872,-0.023677984839834,0.00943042597153986,0.0322355022279658
"ZEB1",0.0871949728289282,-0.0776595140478417,0.0854157993025969,0.121793600050763,0.0816345734636243,-0.17198869296818,-0.252255859352269,-0.263293115537469,-0.263293115537469,-0.282387894699238,-0.27577399478198,0,0,-0.259021305995822,0.198539449898716,0.0709227146344744,0.0713816851409885,0.034916888893501,0.16347425733978,-0.0810426512488136,-0.0724242769593748,-0.0920030283510956,-0.0868136215669421
"TWIST2",0.0243460737600227,-0.16734393966589,-0.116336692927972,0.155834050824866,0.125941778923376,-0.156843971283049,-0.181884755742208,-0.186502430445839,-0.186502430445839,-0.173521592850889,-0.0715513705056174,0,0,-0.199987686435999,0.0209391757603014,0.0553139849595525,0.0550550158693827,-0.120841499080476,0.186359406187677,-0.126434775802962,-0.0994934626424892,-0.206789666430965,-0.0246875960980168
