"","KLF8","ZEB2","miR101","TWIST2","CDH1","miR141","NP63","TCF3","miR200b","GSC","TGFbeta","FOXC2","TWIST1","SNAI1","miR200c","miR200a","GRHL2","miR205","OVOL2","CLDN7","ZEB1","miR34a","SNAI2"
"OVOL2",0.0583820946336061,-0.0203785981657857,0.0594579530721308,0.0416949620554081,-0.0254984239590332,0.124777516045044,0.0680157592210976,0.00739806698322121,-0.0428282604039085,-0.00997151159732306,0.00986197125340771,-0.0185363634307073,-0.00863898490279534,-0.0522124281492541,-0.122812102467555,-0.122812102467555,-0.0746957891374896,-0.0680578945077796,-0.138983109342541,-0.124777516045044,-0.124827651301542,-0.141719084570657,-0.0572001244216422
"miR200c",0.0792049584188404,-0.0177688545081363,0.0783314308081636,-0.0439108897335653,0.0740980623834035,0.2244073163658,0.157415441827941,0.0297896851037817,-0.0807898879738167,-0.119160165950952,0.119123805620073,-0.0266876199813664,-0.0289245180599909,0.144894162493982,-0.121656993357692,-0.121656993357692,-0.202939765126944,-0.157184412860463,-0.145276129893472,-0.2244073163658,-0.224456642208748,-0.106686200179718,-0.0456729614067289
"miR34a",0.0060862364076843,-0.0134473399340232,0.00646557721899346,0.189564489399958,-0.0662874678947745,-0.127739348870543,-0.11503924132509,-0.082714359764626,0.101748667948815,0.0336524478000855,-0.0335070296777291,0.118970925189011,0.0823907708406576,-0.0366659837464101,0.111057843909184,0.111057843909184,0.118008659646725,0.114844339060061,0.114142794036726,0.127739348870543,0.12781621282135,0.0449758285221438,-0.0660387168393696
"miR205",0.0120557502790458,0.00945382244549522,0.0130583161467472,0.157649222750036,-0.0600536486134078,-0.219903123374834,-0.151517888389707,-0.107725819453989,0.114954274257391,0.02797265424753,-0.0277869694355953,0.106943225152184,0.106795050540023,-0.110938957720116,0.114980812096192,0.114980812096192,0.194676214428308,0.151141315205681,0.140881875170505,0.219903123374834,0.22002113433122,0.203951053321859,-0.0441664364656218
"miR101",0.11555381571767,0.00958061951494188,0.0147004781309406,-0.059128123528779,0.0362300832859704,0.212281618801925,0.167138235832943,0.0513616896799965,-0.131894426348858,-0.0332532575809025,0.0329329731817711,-0.136304719116003,-0.0506622363665956,0.0575915114921474,-0.102823813383288,-0.102823813383288,-0.193868759772168,-0.166705210428786,-0.155324912556374,-0.212281618801925,-0.212458936622695,-0.0964532484483934,0.10592336430867
"GRHL2",0.065296706388473,0.013549471550256,0.0644524790897363,0.0775158360621959,-0.07940972812981,-0.109791002919603,-0.19389994488245,-0.0490726243156409,0.14403718260104,0.110042994787489,-0.10996926850601,0.031562553420117,0.0500524497390758,-0.0799904566196601,0.11053947153102,0.11053947153102,-0.0252376580873435,0.193957219645107,0.10254211713372,0.109791002919603,0.109822227876859,0.100814308848599,-0.0732937943639404
"TCF3",-0.0219571005232208,0.0478750533630952,-0.0184851887366018,0.00181559106643893,-0.143574063710419,-0.120871388049068,-0.111063709474742,0.020485931604124,0.0250641687995615,0.00788452471085012,-0.00828329215692589,0.0308880389176444,-0.0245033565799226,-0.0447497374706065,0.0864064149022905,0.0864064149022905,0.110607997995306,0.11054347826087,0.112242585692391,0.120871388049068,0.120823843887857,0.0633039016449179,0.00399587770412177
"KLF8",-0.0219571005232208,0.0478750533630952,-0.0184851887366018,0.00181559106643893,-0.143574063710419,-0.120871388049068,-0.111063709474742,0.020485931604124,0.0250641687995615,0.00788452471085012,-0.00828329215692589,0.0308880389176444,-0.0245033565799226,-0.0447497374706065,0.0864064149022905,0.0864064149022905,0.110607997995306,0.11054347826087,0.112242585692391,0.120871388049068,0.120823843887857,0.0633039016449179,0.00399587770412177
"SNAI2",-0.0199765672102843,0.0489889643739066,-0.0194653119641951,0.00169671991273936,-0.0434441526269068,-0.121037220859187,-0.111120312406783,0.0226175664072798,0.025417832886609,0.00789660721308727,-0.00817453460724864,0.0314586462342613,-0.0233067212857709,-0.0440012246208387,0.085860501487766,0.085860501487766,0.110685626819548,0.111166431611363,0.11235556513353,0.121037220859187,0.120925300194314,0.062923253347627,-0.0962297378161252
"ZEB1",-0.000366583752470201,0.0558819453860263,-0.000292370886457489,0.158773239101635,-0.167899308454401,-0.245480839572249,-0.164607997590752,-0.112096213658759,0.214771512564929,0.0370643636534449,-0.0370687086657139,0.113090237699301,0.112042730331736,-0.108872032963828,0.248846223414327,0.248846223414327,0.206384602253236,0.164547645826182,0.155137675973756,0.245480839572249,0.145493291366989,0.223529858319948,-0.0368141963980372
"miR200a",-0.0914227231078333,0.0624094866698553,-0.0921485615142307,0.0322557193016144,-0.164068634734947,-0.246673431542471,-0.173908491120444,-0.0313080010451764,0.0362353505870668,0.109355576986374,-0.109615780604227,0.0301768696252274,0.0320045714342798,-0.140598837084645,0.154584497929791,0.154584497929791,0.220260866042132,0.174103977169849,0.161475009251166,0.246673431542471,0.246577681376749,0.12634932274128,0.066983697341614
"NP63",-0.00635366148702315,0.112010160171647,-0.00595616162409206,0.0146734280721118,-0.110056831363489,-0.040166224357704,-0.188068523544839,0.0150968462046759,-0.0819902688832598,-0.00167395380434984,0.00191872042023742,0.0239660102022244,-0.0153414327636347,-0.0568388744912545,0.0619782085938721,0.0619782085938721,0.0893607337285703,0.0878051959438071,0.0865074624351519,0.040166224357704,0.0403070268982568,0.0141284393258215,-0.0149228594166505
"GSC",-0.073178165126105,0.12459837917776,-0.0730242170397381,-0.0556935934575288,-0.00217188065851433,0.099178175941447,0.0953833868018598,0.103697361151348,-0.113318968725468,-0.0283402003396113,0.0285119491829043,-0.136515204732483,-0.103762847990091,-0.0223619041955573,0.011086310882132,0.011086310882132,-0.0912011682919358,-0.0955481409159233,-0.0986655681663416,-0.099178175941447,-0.09908695422199,-0.0707068674166255,0.0235963663721055
