"","FOXC2","ZEB2","miR101","SNAI1","TWIST2","miR34a","miR200c","TGFbeta","GSC","miR141","GRHL2","NP63","miR205","CDH1","ZEB1","CLDN7","miR200b","miR200a","SNAI2","OVOL2","TCF3","TWIST1","KLF8"
"miR200a",-0.094429738675475,0.00391559365622901,0.0368781985172557,-0.0576941630746399,0.0541572608168475,-0.00470436396558013,0.0055008959746202,-0.0799141892194131,-0.0796335329154407,-0.0134161917656369,-0.0106503976892542,0,0,0.0657623015630679,0.013260179257853,0.0134161917656369,0.0599853371875952,0.00868782667302975,-0.131971018905709,0.0507379795986574,0.0568163418036352,0.0562380848564177,-0.0367827408608312
"CDH1",0.0500992495940883,0.00676737406556032,0.0149009105726397,0.0222013988825227,0.0247630511790446,-0.00760963609451784,0.0117676094783601,-0.00558513763502791,-0.00498158177030627,-0.0287856603486115,-0.0282717822286634,0,0,0.104137886397528,0.0282064942835716,0.0287856603486115,-0.00957970879077641,0.0179639359236387,-0.0109518031215927,-0.0570341680830877,-0.0938852799817164,-0.0945492906058863,-0.014024200016527
"CLDN7",0.0494600238338875,0.00690765150315912,0.014024200016527,0.0226408780791383,0.0239489018247492,-0.0077791725183589,0.0112644568129248,-0.00498158177030627,-0.00490907859829249,-0.0284235932747717,-0.0279503849621634,0,0,0.204193789902394,0.0287856603486115,0.0284235932747717,-0.00979714189681572,0.0180467331976976,-0.0112754955195353,-0.0568035010125595,-0.0966442344831684,-0.0938852799817164,-0.0153801827314726
"FOXC2",0.0773515514796299,0.0120180343115348,-0.0372008480130895,0.0629739975307758,0.0181707366000726,0.00515159864203613,-0.00513663213708181,-0.00941366412130957,-0.00979468473550178,0.00178167142496847,0.000866779735325698,0,0,-0.018846184639915,-0.0016894240319138,-0.00178167142496847,-0.00781928359534534,0.00254497690217802,0.066122278829291,-0.0601558829170591,-0.06098777277209,-0.0608300440654654,0.0371785965025543
"ZEB1",0.077158993019557,0.0121182390118167,-0.0370068658682642,0.0631671005883196,0.0185126577196655,0.00502623938073851,-0.00495614635837221,-0.00961467810996223,-0.00941366412130957,0.0016894240319138,0.000784815308642311,0,0,-0.0187111766710724,-0.101770951476306,-0.0016894240319138,-0.00764538720476412,0.00247179362752317,0.0663304032294506,-0.0602138390680229,-0.0608300440654654,-0.060591472370765,0.0372008480130895
"miR34a",-0.0962698981428556,0.0123144416862977,0.0354125419293128,-0.0248867559805309,0.0284737308220511,-0.0483818133436315,0.0751863511775181,0.00243988449176438,0.00252435974956477,-0.067208398357894,-0.0672858067005526,0,0,0.00458439938327132,0.0672593236999147,0.067208398357894,0.0142201918982129,0.0853933001774825,-0.109160709883192,-0.0790484261660523,0.00521974337060503,0.00608028520490546,-0.0355498729065716
"miR101",0.109069318580728,0.0141978436950448,0.0134904973067899,0.0302630695151978,-0.0410766826062927,0.0318681776485502,-0.00157367801663888,-0.0172319276045004,-0.0176209641521364,-0.00764084322312735,-0.00680695194344034,0,0,0.012847141587268,0.00752746528568297,0.00764084322312735,-0.045188535533191,0.0105159889010112,0.0954289718958025,-0.0555227959398611,-0.00198873565303168,-0.00295007476240174,-0.113208709817091
"OVOL2",-0.07010777051346,0.0333878537216259,0.0770953431302772,-0.0543209901500318,0.0934442444456597,-0.0703721668113674,-6.2547227705413e-05,-0.0175286650629235,-0.0177436121528706,-0.0176359476659901,0.0209667893166876,0.00906664885944927,-0.00906556846748307,-0.0509074544024432,0.0174673355973877,0.0176359476659901,-0.00106512907065289,0.0231014658722325,-0.0784812123964881,-0.0820410163061678,0.0113662813241573,0.010348368943753,-0.0767794947813525
"TWIST2",0.0125709131576403,0.0676254605986496,-0.0560033461142721,-0.0318347651133814,-0.0636595473478175,-0.0377556003857024,-0.00818353052899846,-0.0351228892614457,-0.0353567528128425,-0.0533950691503986,-0.0544736972138229,0,0,0.0987799575636489,0.0536132107390333,0.0533950691503986,-0.0585439886337701,0.0593980387424362,0.0673362876736794,-0.06653258456545,-0.0297160495588017,-0.0290990910360825,0.0556705139121048
"NP63",0.0280934533309629,0.0925533585314533,0.00837593881189767,0.00683944779761409,0.0132461849667306,-0.0277721053779918,-0.00599783255883035,-0.0219285243679021,-0.0216940276799539,-0.0402975793399089,0.0453236515966993,-0.00418403674447556,-0.0958159632555245,0.0724487059042862,0.0400271706054015,0.0402975793399089,0.040021642593232,0.0546730849291478,-0.00923327615880697,0.0514047969179033,-0.0713155871036905,-0.0718832971900812,-0.00791538724657063
"TWIST1",-0.203344427411479,0.102989111239495,-0.0164110726677243,-0.0217570124560368,0.0965869896817455,-0.0501149549752825,-0.025505968456086,-0.0340929530723611,-0.0341847654742425,-0.0594493771968184,-0.0600233460701133,0,0,-0.113916505838984,0.0594998481562726,0.0594493771968184,-0.0342282801076633,0.0770121806872504,-0.0532040654926313,-0.0737130950673012,0.115986673508083,0.0162848590693661,0.0163851801217899
