"","miR200c","CDH1","miR101","TWIST2","TGFbeta","SNAI1","FOXC2","miR141","GRHL2","NP63","miR205","TWIST1","TCF3","CLDN7","ZEB1","OVOL2","miR34a","GSC","miR200b","SNAI2","KLF8","ZEB2","miR200a"
"CDH1",0.0552999069168787,-0.0766958036866818,0.291922150344447,0.23268766802264,0.257166863416744,0.24207388019068,0.181502749146297,0.0921117352940477,0.0917028801771124,0.0192600753338695,0.0187207841166122,-0.0146369729538802,-0.0143129357692853,-0.0921117352940477,-0.0925513239417511,-0.105227810366324,-0.149741614888467,-0.256014992393563,0.226379929723771,-0.198750721768501,-0.290508414134036,-0.014108540449093,-0.0552999069168787
"FOXC2",0.00914048850078647,0.142145668605041,0.00353499922127326,0.0828834670090831,0.0732542263448803,0.00380523624169177,-0.00375915986476415,0.0154811026152273,0.0218752880430651,0.0548558628899726,0.0544899100572266,-0.0766003708855292,-0.0766172703898104,-0.0154811026152273,-0.0156787756003444,-0.161837265634703,-0.0350006893296952,-0.0728362977509658,0.0151784261417551,0.00147603374006262,-0.00296501822063995,-0.00196821186115963,-0.00914048850078647
"ZEB1",-0.00922356140715144,-0.142213226984292,-0.00375984216186623,-0.0830973665001773,-0.0734625582489333,-0.00412109429914111,0.00340039304968108,-0.0156787756003444,-0.0220917194554595,-0.0550024314610727,-0.0548558628899726,0.0767283703086304,0.0766003708855292,0.0156787756003444,-0.0842606014281847,0.16211102164732,0.0352465157835569,0.0732542263448803,-0.0153266740971474,-0.0014732779189897,0.00353499922127326,0.00193237038146181,0.00922356140715144
"SNAI2",-0.0555106452470106,0.0764434759686155,-0.292316864367547,-0.23298869421417,-0.257863620930479,-0.242888263926159,-0.182586094149034,-0.0925513239417511,-0.092153542622384,-0.0195964742378602,-0.0192600753338695,0.0146120364286717,0.0146369729538802,0.0925513239417511,0.0927684808826319,0.105926455418344,0.150416526630778,0.257166863416744,-0.226570608715205,0.0987550190790628,0.291922150344447,0.0140091108609408,0.0555106452470106
"TCF3",-0.0550982212492992,-0.0231421709009114,-0.290508414134036,-0.23117166577671,-0.256014992393563,-0.240796515422947,-0.180134686538017,-0.0912010817446932,-0.0907451812516831,-0.0187207841166122,-0.0173913043478261,0.0143129357692853,0.0156682116647354,0.0912010817446932,0.0921117352940477,0.103962636434033,0.148538965881845,0.254492425781274,-0.225440677871152,0.198806241823811,0.286947096893684,0.0142154184967873,0.0550982212492992
"KLF8",-0.0550982212492992,-0.0231421709009114,-0.290508414134036,-0.23117166577671,-0.256014992393563,-0.240796515422947,-0.180134686538017,-0.0912010817446932,-0.0907451812516831,-0.0187207841166122,-0.0173913043478261,0.0143129357692853,0.0156682116647354,0.0912010817446932,0.0921117352940477,0.103962636434033,0.148538965881845,0.254492425781274,-0.225440677871152,0.198806241823811,0.286947096893684,0.0142154184967873,0.0550982212492992
"CLDN7",-0.0550982212492992,-0.0231421709009114,-0.290508414134036,-0.23117166577671,-0.256014992393563,-0.240796515422947,-0.180134686538017,-0.0912010817446932,-0.0907451812516831,-0.0187207841166122,-0.0173913043478261,0.0143129357692853,0.0156682116647354,0.0912010817446932,0.0921117352940477,0.103962636434033,0.148538965881845,0.254492425781274,-0.225440677871152,0.198806241823811,0.286947096893684,0.0142154184967873,0.0550982212492992
"GRHL2",-0.0108105398821021,0.121746342983574,-0.0740608440466949,-0.0326146013080119,0.138979624317069,0.0391200573253073,0.0676739137103413,0.00288852673020346,-0.0172226742428151,0.054448631221218,0.0544330108314025,0.00678879787776692,0.00713274839513787,-0.00288852673020346,-0.0029276125158605,-0.200562145902074,-0.0129877902328482,-0.138847138743584,0.0177618457621371,0.078085909106796,0.0741726447421481,0.0368392394768966,0.0108105398821021
"miR34a",-0.110481471616852,-0.107813159844779,0.142892074971222,0.0415238426802763,-0.0504396244961673,0.115747862290252,0.0641166027442525,-0.0622552686011762,-0.0647471174188773,-0.0235174851197277,-0.0234569329597186,0.0666509316427315,0.0666375471860223,0.0622552686011762,0.0622528889122968,0.116235848084972,-0.0279720503575085,0.0503714408952285,0.0607726183192716,-0.164360678818824,-0.142733616151308,0.0831651050855641,0.110481471616852
"SNAI1",0.029551180135932,-0.0747875383298375,0.179588044123722,0.105054132296611,0.0849606533899566,0.12955877739832,0.119443352027541,0.141355743607728,0.143215490339917,0.0253101000566481,0.0251863558763002,0.172319440922945,0.172355717421394,-0.141355743607728,-0.141427318052486,-0.176121587879077,-0.2339860933841,-0.0847126122514263,0.0979181478467092,-0.0495685349657115,-0.179383700814483,0.0883762793345556,-0.029551180135932
"TGFbeta",0.0210195289028645,-0.0949463274437394,0.233088832135693,0.241348880708028,0.195444539205165,0.311921136667367,0.226468382112728,0.159928985153038,0.161051290307721,0.0281191489044915,0.0277348480050639,0.0507954199202311,0.0505095306002393,-0.159928985153038,-0.160151820740173,-0.194612993448999,-0.275396380588525,-0.294879385840526,0.22841867545676,-0.184001404836369,-0.232524470695082,0.130524669423357,-0.0210195289028645
"ZEB2",-0.286767443916012,-0.24078862415986,-0.197721755486666,-0.186623066940703,-0.129661161694987,-0.114760850543095,-0.0987858983311703,-0.0604397260403669,-0.0592874959352173,-0.0182619097092228,-0.0176886218257397,0.00980549070014428,0.0100701569446439,0.0604397260403669,0.0607708998292749,0.0822039854505413,0.0861709093596408,0.128756543771359,0.185068985061681,0.190442789452226,0.196821857905949,0.205089693185492,0.286767443916012
"miR200b",-0.120723410482046,-0.177176373204149,0.121907139255719,0.0290214070802496,0.0503023452411733,0.171504605126875,0.117939311098731,0.0101027981729302,0.00509814434762573,-0.0483579689447501,-0.0481233856854645,0.0553759923387728,0.0553626820765606,-0.0101027981729302,-0.0100092799458036,0.130432159566092,-0.0149431464517256,-0.0505375511315469,0.118509695712873,-0.096956334299119,-0.12213947958928,0.262721786806819,0.120723410482046
