"","KLF8","ZEB1","miR141","CLDN7","CDH1","TCF3","SNAI1","miR34a","ZEB2","FOXC2","miR200c","GSC","NP63","miR205","TGFbeta","miR200b","miR200a","TWIST1","OVOL2","GRHL2","SNAI2","miR101","TWIST2"
"GSC",-0.116907374013676,-0.156195049354793,-0.156035049354793,-0.156035049354793,-0.0922963069630435,-0.145611717298365,-0.0396645272536048,-0.0612362934644187,-0.00732208046465689,0.0130035797677678,-0.0919825162319526,-0.0383213220227712,0,0,0.038103732740877,0.0301011125069147,0.0720592219639903,0.145717135136341,0.136003742105991,0.155085967542669,0.10586132026293,0.117313680039087,0.074681955116208
"miR205",-0.0608556826052676,-0.251781008051109,-0.251710201477278,-0.251710201477278,-0.139312578855165,-0.094250821624673,-0.0842728527108052,-0.235137682880137,0.00985922493380086,-0.118206759191086,-0.127049077041691,-0.037735852689593,0,0,0.0378755130609626,0.109499430452106,0.134070735233277,0.0941190313359699,0.160749495180356,0.24467873774213,0.05866675511716,0.06068420754425,0.174469491763254
"OVOL2",-0.076922969451501,-0.122165595413199,-0.122267360473137,-0.122267360473137,-0.160834967406343,0.0100551387611431,0.0489173267227813,-0.137482263651782,0.0122371269883424,-0.0202194091006836,-0.109154648729211,-0.0222790133262817,0.0240834337367673,0.0241428552949085,0.0223795975414492,0.0398338421524778,0.117616381746088,-0.0103320972533379,-0.0115190487165329,0.0460885462811652,0.0812830711048098,0.0766663426679997,0.108086485707761
"TWIST1",0.00533660518649053,0.236135106329642,0.235879296307763,0.235879296307763,-0.0710535465241993,-0.0865502346100455,0.00243605233698537,0.124230650909118,0.0193476146027871,-0.0137030619546824,0.148840544486594,0.0359786127573417,0,0,-0.0359068549415368,-0.0885957672489772,-0.11273469228797,-0.0138329134125349,-0.182197564520449,-0.23228919023425,0.0591082445950642,-0.00579769167755262,0.0469823796212549
"miR200b",-0.13886959640414,-0.2513571492568,-0.251220331420932,-0.251220331420932,-0.113860216506171,-0.15592260168456,-0.126144569913214,-0.134676723904767,0.0236437652674603,-0.0760037528017046,-0.120137893199831,0.0549950557772895,0,0,-0.054790528916095,0.0489434986439752,0.138838946893912,0.15598915299562,0.166643968640185,0.245388508954328,0.146149244576717,0.138702095233433,0.143902803660766
"FOXC2",-0.128098495661644,-0.328246057828146,-0.327741460337105,-0.327741460337105,-0.301258162845999,-0.140105842523149,-0.122098363783398,-0.283621696949076,0.0431246408099034,-0.147223193801169,-0.266319062964292,-0.0487171058035953,0,0,0.048991744593882,0.238067268919167,0.298421773264568,0.14081562170296,0.207709882234209,0.305520921703562,0.132479981267153,0.128500734505935,0.246421658889662
"miR200c",-0.188884418890257,-0.320753931853428,-0.320189028195058,-0.320189028195058,-0.230824900949876,-0.204198242115899,-0.164299783903264,-0.177019780268016,0.0566634926027152,-0.0985410409385439,-0.144969882773673,0.0731289868358915,0,0,-0.0728369679285195,0.111002544524943,0.19269505028185,0.205199469617859,0.217050683253924,0.305469331422918,0.202567968125015,0.189386922402378,0.19869300371591
"miR200a",-0.188884418890257,-0.320753931853428,-0.320189028195058,-0.320189028195058,-0.230824900949876,-0.204198242115899,-0.164299783903264,-0.177019780268016,0.0566634926027152,-0.0985410409385439,-0.144969882773673,0.0731289868358915,0,0,-0.0728369679285195,0.111002544524943,0.19269505028185,0.205199469617859,0.217050683253924,0.305469331422918,0.202567968125015,0.189386922402378,0.19869300371591
"GRHL2",-0.128593054113352,-0.280800660899262,-0.280202582871806,-0.280202582871806,-0.240059973410527,-0.0639292938366969,-0.0360696747001536,-0.252367997840287,0.0568537094179503,-0.07326463764815,-0.232566525672112,-0.137294942774796,-0.0255409753580788,-0.0256364332958402,0.137110349904627,0.136678047624244,0.272070891921429,0.0647877249598832,0.203221637776027,0.205989055389941,0.129429806236753,0.129613345499416,0.152560111027117
"KLF8",-0.0359751951809316,0.027574389944597,0.0285655028436937,0.0285655028436937,-0.208685942208164,-0.0939226609620584,-0.0303450756274779,0.0271266878883151,0.074567293549837,-0.0620433069022238,0.0520733923232483,0.022824774250734,0,0,-0.023314170661827,0.000148809152294502,0.0227681580465705,0.0957135612524747,-0.0313500704649054,-0.028057040002346,0.0422421539868135,0.0383146378869367,0.0250506168962132
"SNAI2",-0.0383631643014817,0.0278329672658391,0.0277909755921881,0.0277909755921881,-0.109050174318765,-0.0947414496986898,-0.0311000279200427,0.026058304930549,0.0750708079763646,-0.061515050833956,0.0513394783437515,0.0239463698557219,0,0,-0.0233831898492585,0.000226394212971357,0.0229331468442174,0.0950066836486354,-0.0308547481694231,-0.0273697854078907,-0.0582273286024135,0.037786701466339,0.0246925746607103
"miR101",-0.169002252099087,0.129267335831285,0.129409717427146,0.129409717427146,0.0636072731120438,0.016709128520563,0.00263071174745565,0.0896821355376902,0.102474506184721,-0.0621161590916247,0.118338212845799,0.0516763865802227,0,0,-0.052036077698619,-0.0211153601572051,-0.0161570580955005,-0.0163675857949866,-0.119485298632661,-0.126410717718631,0.0553173127120499,0.0696974165194288,-0.0682691545412369
"TWIST2",-0.0527390110121954,-0.167736089592255,-0.167409899579847,-0.167409899579847,-0.20418621115712,-0.159276999869678,-0.035123952410196,-0.0739476797533241,0.138034156386041,-0.0718788632855105,-0.0175838266919148,0.0223230008877771,0,0,-0.0223822172129265,0.0907349587183017,0.154948555984142,0.15987970992767,0.142869580412849,0.164315235803636,0.0123319006504899,0.053344713479325,-0.00703071703351617
