"","TWIST2","KLF8","ZEB2","SNAI2","CLDN7","ZEB1","GRHL2","miR34a","miR200c","SNAI1","miR200a","FOXC2","TWIST1","TCF3","TGFbeta","GSC","miR200b","CDH1","miR141","NP63","miR205","OVOL2","miR101"
"miR141",0.0840864065648743,-0.108061290136356,-0.00887062418551773,-0.0525507726148877,0.287026256389295,0.287044335091914,0.244412548273807,0.288199281060252,0.154183352107226,-0.215569766189888,0.145972230192265,0.0196687709973296,-0.188633898127868,0.187958032591094,0.0374814535386169,0.0375609917624148,-0.0892975108095889,-0.0443046435581636,-0.287026256389295,-0.283944561747815,-0.283287017763454,-0.314502505806027,0.108048682521356
"FOXC2",-0.180395350316019,0.0148607891742856,-0.00311593797439403,-0.0341532496927484,-0.322492893560378,-0.322503521140223,-0.249182193407631,-0.318470795734488,-0.278081757320071,0.137311217221184,-0.280575424665798,-0.114973144117793,0.133160659763269,-0.132129790002116,0.0893583625242275,0.0892552372867681,0.273220983189373,0.0746534094023167,0.322492893560378,0.308313347534804,0.30745945759173,0.351842934605603,-0.0148179978078717
"miR200a",0.107629376168957,-0.0889470663358519,-0.00228414643154692,-0.0262433032022565,0.30275286598729,0.302815137074088,0.256153346016944,0.299130658378533,0.15955679108984,-0.211672546116026,0.158397215855283,0.0227055605586671,-0.187821413841888,0.187003572174851,0.0296971376211066,0.0298709854531218,-0.129577655375042,0.0107363133588227,-0.30275286598729,-0.300011854096374,-0.299482264617078,-0.333208986180349,0.0889668783022796
"miR205",0.180565456102305,0.00472289089144876,0.000476811252783764,0.047640364542281,0.299966813971281,0.300005322809681,0.244771473600287,0.295279576246235,0.157918112818124,-0.122743184863837,0.159184696558247,0.112903170077136,-0.123540618784593,0.122688100354545,-0.064697911861529,-0.0645566644404847,-0.157014719367181,-0.0135743949339879,-0.299966813971281,-0.293227337577001,-0.292692207262859,-0.329086501066687,-0.00473165239091681
"ZEB1",0.180724548789301,-0.0148179978078717,0.00311189949780836,0.034238200872779,0.322503521140223,0.222483252890391,0.249096451818427,0.318601658573111,0.278053571869697,-0.137415086836489,0.280615972155809,0.11505219443298,-0.133543456160055,0.133160659763269,-0.0893938086769478,-0.0893583625242275,-0.273302203234138,-0.0747205326229258,-0.322503521140223,-0.30850589840272,-0.308313347534804,-0.351921188763356,0.0147496631886719
"miR200c",0.0808288156773217,0.0808496203980407,0.00543658431104821,0.0677012165772135,0.23272584824989,0.232674736856066,0.202491637033667,0.125269313122487,0.11709017440905,0.110905231435813,0.120808518010275,0.0323491158670704,0.0728986916214936,-0.0731634179477134,-0.137807303587681,-0.137873206687399,-0.110665555016893,-0.0854191340299048,-0.23272584824989,-0.232761751635022,-0.232395659578864,-0.257052704124156,-0.0809144595608951
"miR200b",-0.0840864065648743,0.108061290136356,0.00887062418551773,0.0525507726148877,-0.287026256389295,-0.287044335091914,-0.244412548273807,-0.288199281060252,-0.154183352107226,0.215569766189888,-0.145972230192265,-0.0196687709973296,0.188633898127868,-0.187958032591094,-0.0374814535386169,-0.0375609917624148,0.0892975108095889,0.0443046435581636,0.287026256389295,0.283944561747815,0.283287017763454,0.314502505806027,-0.108048682521356
"KLF8",0.0411505195021382,-0.0194627390004884,0.0154731511482154,0.0345989978128152,-0.0329480523780328,-0.0332954904791922,-0.028367740909827,0.0194049814242614,-0.0252839711173439,-0.101915525764464,-0.00903794754554463,0.00891107613455786,-0.156335275568135,0.156674094541997,0.0124398066574046,0.0119322844533082,0.00588692550589637,0.00204881355946867,0.0329480523780328,0.0417512775404205,0.0409420289855072,0.0506532371318291,0.0196266489989983
"CLDN7",0.0411505195021382,-0.0194627390004884,0.0154731511482154,0.0345989978128152,-0.0329480523780328,-0.0332954904791922,-0.028367740909827,0.0194049814242614,-0.0252839711173439,-0.101915525764464,-0.00903794754554463,0.00891107613455786,-0.156335275568135,0.156674094541997,0.0124398066574046,0.0119322844533082,0.00588692550589637,0.00204881355946867,0.0329480523780328,0.0417512775404205,0.0409420289855072,0.0506532371318291,0.0196266489989983
"SNAI2",0.0406651834672752,-0.0198369301286933,0.0155543978228543,-0.0654728901936955,-0.0332970948173225,-0.0333205758756498,-0.028549598516728,0.0191780628557421,-0.0255312480450788,-0.101765163961332,-0.0091959068939435,0.00898100943231517,-0.15610797187034,0.156191849273314,0.012408271586653,0.0123681983344716,0.00615581707621867,-0.0978147941082472,0.0332970948173225,0.0423754041838483,0.042085124484437,0.0511046225303742,0.01986953392322
"CDH1",0.0407785374695723,-0.0196266489989983,0.0156000688298524,0.0345246218896633,-0.0332954904791922,-0.0332970948173225,-0.0285852521911957,0.0191930608944601,-0.0254771647568149,-0.101866238377927,-0.00924812524123281,0.00904847980263839,-0.156191849273314,0.156335275568135,0.0123681983344716,0.0124398066574046,0.00609548379128102,-0.0977796858578084,0.0332954904791922,0.042085124484437,0.0417512775404205,0.0509957427820074,0.0198369301286933
"GRHL2",0.164745618009301,0.118539736894695,0.028923587257079,0.142147940431305,0.255886800277328,0.255805790073536,0.0481218325720516,0.255859283608129,0.228377916454141,-0.0397745600907254,0.246692414984657,0.051693734697038,-0.0664895680316791,0.0661051527475587,-0.156887613473212,-0.156931405775745,-0.233171384185439,-0.0254254528840351,-0.255886800277328,-0.357091028540087,-0.357082350545745,-0.344383819151042,-0.118544138496878
"TWIST1",0.0204857723648143,-0.0500458050631465,0.0770513445266555,0.0065904744511985,0.155296935030591,0.155226226327004,0.136961787326948,0.170543020657051,0.0422670813550494,-0.212674604183877,0.123287675331725,0.196013651840577,-0.15177701342525,0.051676528975831,-0.0191143587297182,-0.019209304660674,-0.0353510149094919,0.1075918873436,-0.155296935030591,-0.173567860143057,-0.173575716219733,-0.198300009954269,0.0499671315581921
