"","TWIST2","SNAI2","ZEB2","KLF8","miR34a","miR205","CDH1","TCF3","TWIST1","FOXC2","miR200c","miR200a","TGFbeta","miR141","CLDN7","GRHL2","ZEB1","GSC","miR200b","NP63","miR101","OVOL2","SNAI1"
"CLDN7",-0.0270863218759127,-0.00336080024259612,-0.0183324795730483,0.00937327391647884,-0.0278728358406955,-0.0188405797101449,0.0814410747338194,0.0714028285349259,0.0712576204032705,0.0123709334434669,-0.00449523192761169,0.022641469866345,-0.0152833189675554,-0.0264780411375134,-0.0264780411375134,0.0246788280327616,0.0271765745830022,0.0154464511045864,0.0154740010235835,0.0198232386696825,-0.00867293119557287,0.0849806620761631,0.027578670313121
"CDH1",-0.0263774504553625,-0.00327385374088338,-0.0183057600611247,0.00867293119557287,-0.0281907166353974,-0.0198232386696825,-0.0187948570070536,0.0712576204032705,0.0709229590486888,0.0123410630808407,-0.00466719549681111,0.0232804949815181,-0.0149784721070689,-0.0271765745830022,-0.0271765745830022,0.0251885186473122,0.027096357676487,0.0152833189675554,0.0156736844883135,0.0197461970672172,-0.00898026515435776,0.085085510744585,0.0275622411842756
"SNAI2",-0.026405225939369,-0.103460447488975,-0.0182462926040959,0.00898026515435776,-0.0281284170899534,-0.0197461970672172,-0.0188069703800121,0.0709229590486888,0.0711224512503573,0.0122939611242,-0.00463176161829336,0.0232226818113049,-0.0150685292006808,-0.027096357676487,-0.027096357676487,0.025125768180249,0.0270625929429799,0.0149784721070689,0.0156068984456285,0.019594274981544,-0.00903229248604935,0.0851369261813138,0.0276178989026654
"miR34a",0.220593501013945,0.0737169357145343,-0.0171394301498685,-0.0246416885627872,0.0818227220435584,0.023216161985214,0.0174796397862871,0.0225021741250466,0.022397460434322,0.126979425323894,0.082174237940206,-0.0681115270511779,0.0277189029895906,0.0584922010920808,0.0584922010920808,-0.0571626821790337,-0.058500054065383,-0.0276507193886517,-0.0687864151981564,-0.0232653606152214,0.0245850275302119,-0.108771206538688,-0.12293121324016
"miR200b",0.0885907967864955,0.0866628566725819,-0.00767279148495683,-0.0140557074251376,0.0930415960881529,0.0473217212788031,0.00325265121416914,0.0144976006522293,0.0144724590458285,0.0229036824452569,-0.000193089394830837,0.00731801333303105,-0.0657842886857241,-0.00718201568910529,-0.00718201568910529,0.0101227114895538,0.00721884267592123,0.0657695173013045,-0.0542145328570089,-0.0472577440262707,0.0139512443294278,-0.117503395761091,-0.117619193414767
"miR200a",0.0885907967864955,0.0866628566725819,-0.00767279148495683,-0.0140557074251376,0.0930415960881529,0.0473217212788031,0.00325265121416914,0.0144976006522293,0.0144724590458285,0.0229036824452569,-0.000193089394830837,0.00731801333303105,-0.0657842886857241,-0.00718201568910529,-0.00718201568910529,0.0101227114895538,0.00721884267592123,0.0657695173013045,-0.0542145328570089,-0.0472577440262707,0.0139512443294278,-0.117503395761091,-0.117619193414767
"miR141",0.00308238843731417,0.0705759051205895,0.00359338512816594,-0.0105613093610427,0.000904560762263829,-0.0494078748347934,-0.125616964949154,0.0136592417612594,0.013740582252556,-0.0110810291548996,0.00168401610670017,-0.00552030526332812,-0.100547625578555,0.00640065506177683,0.00640065506177683,-0.0102492041967603,-0.00637945164512523,0.100495357602916,-0.032861286915749,0.0495002864217847,0.0106027343817553,0.124672992753313,-0.0726339981404889
"miR205",-0.118201059714311,-0.0405123258179374,0.0102354314308777,-0.0112455748677426,-0.0126402344522786,-0.0538555085508253,-0.102908613843579,-0.00533279843025193,-0.0053080877511201,-0.0998558795378106,-0.00423242700910137,-0.00499063082582868,-0.0132784454250427,0.000336037456840209,0.000336037456840209,-0.00777611046823883,-0.00033417412594991,0.0132752713256934,0.00119962042168824,0.0539347871158833,0.0112718593661468,0.137797440076359,0.107142096179491
"FOXC2",-0.0871030193951668,-0.0179856719762124,0.0108992483407463,0.0034372615954305,0.00638219266710517,-0.0471648895392936,-0.129062361563321,-0.00138377734988427,-0.00128238032419703,-0.0936262764004242,0.00233079319540016,-0.00885752628596205,-0.0273990617325274,0.00803336662041706,0.00803336662041706,-0.0144105774419961,-0.00804824523220007,0.0273632392816205,-0.0110803734957902,0.0471919971565341,-0.00329861756824942,0.115927922727512,0.0743359582346057
"ZEB1",-0.0871101758837164,-0.0179675794117771,0.0109270128672728,0.00329861756824942,0.00639136529598061,-0.0471919971565341,-0.129064646146195,-0.00128238032419703,-0.00134547863135959,-0.0935810082712141,0.00236194553528702,-0.00884368080156789,-0.0273983756779587,0.00804824523220007,0.00804824523220007,-0.014426819240832,-0.108063787253372,0.0273990617325274,-0.0110757567774562,0.0471718799016772,-0.00331110884272681,0.115939941284164,0.0743534272153615
"TCF3",0.0270863218759127,0.00336080024259612,0.0183324795730483,-0.00937327391647884,0.0278728358406955,0.0188405797101449,-0.0814410747338194,-0.0714028285349259,-0.0712576204032705,-0.0123709334434669,0.00449523192761169,-0.022641469866345,0.0152833189675554,0.0264780411375134,0.0264780411375134,-0.0246788280327616,-0.0271765745830022,-0.0154464511045864,-0.0154740010235835,-0.0198232386696825,0.00867293119557287,-0.0849806620761631,-0.027578670313121
"KLF8",0.0270863218759127,0.00336080024259612,0.0183324795730483,-0.00937327391647884,0.0278728358406955,0.0188405797101449,-0.0814410747338194,-0.0714028285349259,-0.0712576204032705,-0.0123709334434669,0.00449523192761169,-0.022641469866345,0.0152833189675554,0.0264780411375134,0.0264780411375134,-0.0246788280327616,-0.0271765745830022,-0.0154464511045864,-0.0154740010235835,-0.0198232386696825,0.00867293119557287,-0.0849806620761631,-0.027578670313121
"TGFbeta",-0.139330853582713,-0.0913631024345069,0.0210395031012738,0.014208282125516,-0.145890676655756,-0.0124212169094047,0.0658355844908922,-0.0247179643465213,-0.0245772886493825,-0.0264978879544825,-0.0470857668143306,0.0287622113200335,-0.105120815782567,-0.0785727340827492,-0.0785727340827492,0.07718257361993,0.0785560943198916,0.0050300263488931,0.115702233139512,0.0123803338349975,-0.0142532925471598,0.104516964577678,0.123049035605233
