"","miR200b","SNAI2","OVOL2","miR205","SNAI1","GRHL2","CLDN7","ZEB1","TWIST1","miR34a","ZEB2","FOXC2","TCF3","miR141","NP63","GSC","TGFbeta","miR101","KLF8","TWIST2","miR200c","miR200a","CDH1"
"OVOL2",-0.112512262848772,-0.149430692608575,0.313012149322357,0.400074066130936,0.0586812442544501,0.176842732042331,0.114988374015934,0.115026824632706,0.0993555912767061,0.0890187172960663,-0.0716588448034987,0.00978142401145849,-0.0992746618471687,-0.114988374015934,-0.400561322907695,-0.24098922247357,-0.241096696018544,0.141610088308798,0.141565123786902,0.122996703549706,0.0813036860292009,0.0813036860292009,-0.197769667621642
"GSC",0.0331736068511624,0.124660482859611,0.0991069245955424,0.0847846380497808,0.0879928943552861,0.0621606449132821,0.0555457534020785,0.0555520279118824,-0.0271049112501748,-0.0272491902016255,-0.0513327124967445,-0.111752901254464,0.0269835210125055,-0.0555457534020785,-0.0847444073940211,-0.0284951637505759,-0.0285110551026243,0.0294186137029998,0.0294868185513901,-0.0575299073812663,-0.00467291566163506,-0.00467291566163506,-0.0402614370719501
"ZEB1",-0.0151539306518484,-0.0886556746819774,0.169679400322375,0.141380831353247,0.0871071564253602,0.0445825653984106,0.0233390994336774,-0.0766480852155319,0.0203336529547085,0.0128478944207869,-0.0425977674142825,-0.0888423343287095,-0.0201912310613987,-0.0233390994336774,-0.141559012753408,-0.0415621334049563,-0.0416030679942268,0.0880196483174804,0.0879689484387192,-0.0116625236529072,0.000520690644363023,0.000520690644363023,-0.0196219038067635
"FOXC2",-0.0151407644551181,-0.0886603475959706,0.169570164996365,0.141150416606704,0.0871770323483834,0.0444960683767032,0.0232706578194755,0.0233390994336774,0.0201912310613987,0.0128228225685273,-0.0425975150094959,-0.088805173924134,-0.0201743315571175,-0.0232706578194755,-0.141380831353247,-0.0415111135506342,-0.0415621334049563,0.0879689484387192,0.0877447216787103,-0.0116736559684288,0.000516240310093471,0.000516240310093471,-0.0195741451457467
"TGFbeta",0.0878583459387213,0.134041154702885,0.130173530235079,0.12023762432099,0.0320458949160582,0.107452280351505,0.0985552721741066,0.0985321137412635,-0.0521932310168686,0.0841564079777111,-0.0244145778094769,-0.0337226792134783,0.0524450858940043,-0.0985552721741066,-0.120281232933691,-0.0230651153510904,-0.12306815614552,-0.054315497813581,-0.0544906922239791,-0.151745604340111,0.0318766834684688,0.0318766834684688,0.0771624690599372
"ZEB2",-0.152581567923768,-0.102001813986545,-0.0480937478428258,-0.0425463983220847,-0.0397306359570284,-0.0321002685189242,-0.0268719033372464,-0.0268313965357862,-0.0181893515123216,-0.0164460857531168,-0.0155307117560041,0.00492874190352104,0.0181487585300364,0.0268719033372464,0.0427865594624628,0.0623101661208908,0.0623132451471795,0.0860920332639322,0.086128824656735,0.107164403220024,0.124625732663848,0.124625732663848,0.141614893108176
"NP63",-0.0774055049111269,-0.208136461327235,-0.28688853185469,-0.472321307508434,-0.145592259031703,-0.250279266314798,-0.113622557480636,-0.113692110542837,0.0384770159964082,-0.0765157634774279,0.0259641168110589,0.0542699465910772,-0.0385555529648813,0.113622557480636,0.373245641128382,0.146705406637469,0.14684405066465,0.164953653400635,0.165022187859761,0.228146366687721,-0.0711594130058297,-0.0711594130058297,-0.109335185979017
"miR34a",-0.0895269476292971,-0.073320414044315,0.11744111216288,0.101175872894029,0.0766152127785774,0.0729002774020277,0.0634118084869065,0.0634341775623736,0.0134448608675763,-0.0146033664304529,0.0606276254412008,-0.0838649908033923,-0.0135763434717192,-0.0634118084869065,-0.101238317309038,-0.00230903648041891,-0.00232050097969182,0.0749779600386362,0.0750864803213652,-0.0116782107436397,0.101838447847716,0.101838447847716,-0.00901153863113732
"SNAI1",0.0560411428806802,0.116265993701484,-0.156691607801581,-0.146134018816585,-0.108623827055978,-0.132456055381104,-0.120915480034322,-0.120915557245158,-0.0141372656232738,-0.102354771811739,0.065567888337026,-0.0613371727755409,0.0141878483464637,0.120915480034322,0.146332499581103,0.0159252032273712,0.0159468653566999,-0.016216944356999,-0.0163283192598969,-0.011401913962416,-0.0263362658013134,-0.0263362658013134,-0.0293297480377455
"miR200b",-0.0768761053898669,-0.0826241188341532,-0.183621431984246,-0.15196252303382,-0.0154057884047515,-0.0511834112821404,-0.0365853472736156,-0.0366355658920009,0.0622111406704887,-0.104983260506674,0.175188782667174,0.0278307362652884,-0.0622037460803708,0.0365853472736156,0.152129574748766,-0.0407592029692754,-0.040700117431597,0.0488835967374857,0.0490817164017629,0.0878189859409775,0.069443861441348,0.069443861441348,0.0385586638727935
"TCF3",0.154648230961871,0.255152044418074,0.0247161112202359,0.0201449275362319,0.114554092968864,0.0107472853812032,0.00820397014584185,0.00819299841633155,-0.0577031114039501,-0.0449109110580718,0.189092276207964,-0.0423469992624647,0.0568318626140179,-0.00820397014584185,-0.0197981067269833,-0.187923685360614,-0.188032440118635,-0.187999822077663,-0.187269677538846,-0.234956094659606,0.0984271368756848,0.0984271368756848,0.126808875739751
"CLDN7",0.154648230961871,0.255152044418074,0.0247161112202359,0.0201449275362319,0.114554092968864,0.0107472853812032,0.00820397014584185,0.00819299841633155,-0.0577031114039501,-0.0449109110580718,0.189092276207964,-0.0423469992624647,0.0568318626140179,-0.00820397014584185,-0.0197981067269833,-0.187923685360614,-0.188032440118635,-0.187999822077663,-0.187269677538846,-0.234956094659606,0.0984271368756848,0.0984271368756848,0.126808875739751
"SNAI2",0.154459262752502,0.155166293312276,0.024583146819179,0.0195926624537424,0.114612766111656,0.0106386906525672,0.00815128562494364,0.00808838381176031,-0.0574835894193459,-0.045171118946322,0.189270769000411,-0.0426249266869663,0.057612805959063,-0.00815128562494364,-0.0195248400940669,-0.187973107508204,-0.187914936658264,-0.187645063819981,-0.187724839061908,-0.234871230528518,0.0986432431024472,0.0986432431024472,0.226803869226006
