"","ZEB2","TWIST2","FOXC2","TWIST1","OVOL2","miR200a","ZEB1","miR141","miR200b","miR34a","TGFbeta","CDH1","GSC","GRHL2","CLDN7","NP63","miR205","miR200c","TCF3","SNAI1","SNAI2","miR101","KLF8"
"miR141",-0.0167438961276979,0.0860711373967366,-0.0629730001245908,-0.147105222523343,-0.0368912918681042,-0.01400617148527,-0.0367503119927065,-0.0371835312739777,0.0215569334583239,-0.0289871038293031,-0.0960402893897336,-0.0333393335787453,0.0955914665554459,0.0278756154344697,0.0371835312739777,0.0467983701995251,0.0461088375888978,0.01400617148527,0.146467808855182,0.121009452604246,-0.102638643149107,0.00481236355517368,0.00467007761446549
"miR200a",-0.00997807788723313,0.00617764695213784,-0.0374501385154273,-0.0771122352806783,0.0171474043467632,-0.00144890417271055,-0.00968124498082567,-0.00921543939606892,0.0350035986557671,0.0855683837319813,-0.0798705369201208,0.0239738998019153,0.080342084961208,0.0121589197251564,0.00921543939606892,-0.0395335836391454,-0.0388298338612887,0.00144890417271055,0.0775751366220569,0.0532362784869319,-0.103982896294654,-0.0179570881011867,-0.017939077222616
"OVOL2",-0.00649294028329643,-0.0711745550405717,-0.0624715002830129,-0.0249477377441251,-0.0632422631418069,0.0141858345785599,0.01639452129745,0.0171954625902875,0.0198679677090981,0.0726035535610573,-0.00209962919481185,0.0485641764717763,0.00286503373625806,-0.00983271469777944,-0.0171954625902875,-0.0210967949663599,-0.0200887892618903,-0.0141858345785599,0.0255681967039122,0.0649476368190565,0.0506676393456578,0.0640340935778096,0.0640099662733778
"miR205",-0.00538510809447767,0.0835014981765354,-0.0881399222133744,-0.0922598608007393,-0.0280063859431704,-0.00463547904433357,-0.0117290998805178,-0.0123545579493617,-0.00748975696961101,-0.00786588420091226,-0.0122359497032155,-0.0449303336878567,0.0115931945849803,0.00443210348248226,0.0123545579493617,0.0436248883900431,0.0426537259680829,0.00463547904433357,0.0914938297476525,0.0993075191517237,0.0011725243521109,0.0205997117667899,0.0204883155592676
"FOXC2",0.000756845511321634,-0.0651943898317227,0.0924762688326888,0.0970327402611884,0.0374666006502335,0.0152113003553911,0.0227384801525203,0.0237583027144472,0.0191249535613346,0.0133721852697474,0.0187683751200448,-0.00747173100705204,-0.0177577477929424,-0.0112026259196625,-0.0237583027144472,-0.0439162160952157,-0.0424795123814721,-0.0152113003553911,-0.0959568051552849,-0.110783052216623,-0.0210559091655122,-0.0447347954967521,-0.0445584950671268
"ZEB1",0.00080278318248363,-0.0653685310530967,0.0916864413245304,0.0964300011937213,0.0359338340586161,0.0146574809796246,-0.0767066424249467,0.0227384801525203,0.0187995604135705,0.012768014781152,0.0182247912167145,-0.00688720416048354,-0.0187683751200448,-0.0101363329402745,-0.0227384801525203,-0.0431000303267365,-0.0439162160952157,-0.0146574809796246,-0.0970327402611884,-0.111055001754876,-0.0209031408234261,-0.0447031999201328,-0.0447347954967521
"miR34a",0.00689713961322771,-0.0494864980066183,0.0940605398534117,0.157892091188306,0.0872292319589413,0.126116321298177,0.14852328806641,0.148684155034663,0.0912125071205669,-0.013171351418792,-0.00555739418541028,0.0729974707803221,0.00572212093812103,-0.144807000767138,-0.148684155034663,-0.0262305208313765,-0.0259807431713391,-0.126116321298177,-0.15772439181895,-0.212901466727065,-0.0237724446057009,-0.0980611226207303,-0.0981763653988495
"miR200b",0.00997807788723313,-0.00617764695213784,0.0374501385154273,0.0771122352806783,-0.0171474043467632,0.00144890417271055,0.00968124498082567,0.00921543939606892,-0.0350035986557671,-0.0855683837319813,0.0798705369201208,-0.0239738998019153,-0.080342084961208,-0.0121589197251564,-0.00921543939606892,0.0395335836391454,0.0388298338612887,-0.00144890417271055,-0.0775751366220569,-0.0532362784869319,0.103982896294654,0.0179570881011867,0.017939077222616
"CDH1",0.0204633389165075,0.00284799269876718,-0.0325842148809483,0.0523446164322339,0.0452061592862796,0.0154833818737539,0.0501824483950262,0.0509332786400086,0.0121395175112914,0.0396487417332045,-0.0031386310765543,-0.00752821667561906,0.00377492217461679,-0.0490560376440339,-0.0509332786400086,-0.0176478315212389,-0.0170314987015163,-0.0154833818737539,-0.0521374451174929,0.0147204973835061,-0.00779621275449598,0.00138760054004613,0.00150082884065109
"SNAI2",0.0204895045976002,0.00248691140668169,-0.0330921521971552,0.0518458859280627,0.0441425654480669,0.015082419564211,0.050530208010691,0.0501824483950262,0.0118165569860369,0.0392403336019601,-0.00348894886175305,-0.00718308820200671,0.0031386310765543,-0.0483201458030208,-0.0501824483950262,-0.0172029168417674,-0.0176478315212389,-0.015082419564211,-0.0523446164322339,0.0145107791006135,-0.107833531504114,0.00164357501196871,0.00138760054004613
"TGFbeta",0.0346040177674682,-0.0971645737756793,0.0213183634337101,0.108512440706163,0.0921919113945992,0.0476863658191084,0.122578184764353,0.122600313933514,-0.0715726697265465,-0.0244633681925032,-0.11407226789369,0.0158312366947196,0.0140631455104023,-0.121264177687066,-0.122600313933514,-0.0136868465385402,-0.0137222785363598,-0.0476863658191084,-0.108644040551873,-0.0676936293776001,0.110607221210031,0.0187461964150332,0.0186305542548099
"SNAI1",0.0447664027030141,0.0397814879817938,-0.0684468899158534,-0.206341596219088,-0.0866284005925523,-0.0876341137603108,-0.116829592866094,-0.116957376799291,-0.00868757898093041,0.0843044101455536,0.0187162253340266,-0.0959501833505136,-0.0188354646224939,0.114561561514686,0.116957376799291,0.0137629681669008,0.0135681629720956,0.0876341137603108,0.206174519951582,0.0876949024967686,-0.148757426311416,0.069607811517889,0.0695819176329015
"TWIST1",0.0924935095193585,-0.0944989832258318,-0.194699341554249,-0.0958742858662383,0.0311574265599739,-0.0475413700920753,0.015333300984702,0.0158736734332346,-0.0426424920718825,0.0606148629939756,-0.01203700345686,0.107002169784913,0.0125562292244963,-0.0132707797635743,-0.0158736734332346,-0.0163856160667079,-0.0156628570125795,0.0475413700920753,-0.00360858684528961,0.189676603898791,0.043863033512845,0.0813337224659899,0.0814402802511814
