"","miR200c","miR200a","CDH1","miR200b","miR141","CLDN7","GRHL2","TGFbeta","miR34a","ZEB2","TWIST1","NP63","miR205","SNAI1","TCF3","FOXC2","OVOL2","GSC","ZEB1","miR101","KLF8","SNAI2","TWIST2"
"OVOL2",0.0926187479034053,0.0926187479034053,-0.094160652254224,0.0213156152657035,0.114540271433929,0.114540271433929,0.085567621533831,-0.00829043624928751,0.0904015350065075,0.0433517114956484,0.00991607981202234,-0.0240834337367673,0.0241428552949085,-0.0464280388167083,-0.00993586256146482,-0.053700318090021,-0.134434901338785,0.008124403400963,-0.114688231581156,-0.0621711892901957,-0.0624760706825605,-0.0461428488748806,-0.0743822420740048
"miR200c",-0.226137413035645,-0.226137413035645,0.0849144655046135,-0.245405171039497,-0.342383705034864,-0.342383705034864,-0.325930505023174,0.144641042658659,-0.314329235019723,0.0670304909522184,0.024719907954356,0,0,-0.144589820879837,-0.024188976383893,-0.12847810860725,0.226716252118242,-0.143440015479311,0.343733358303203,-0.180528437811445,-0.178257266023685,-0.201326987200671,-0.0137203468164115
"TCF3",-0.0317888646013088,-0.0317888646013088,-0.398787060937075,0.217684934928215,0.0419670448282538,0.0419670448282538,0.0421507244819259,-0.227529105001842,-0.0154737498681493,0.108604154084356,-0.0835248777449379,0,0,-0.100635713613757,0.0830892533499718,-0.0771577194971892,-0.0379702569383548,0.227220966520784,-0.0422047656343102,0.235158605506212,0.233713217337533,0.32054979867536,0.29959744731751
"KLF8",-0.0317888646013088,-0.0317888646013088,-0.398787060937075,0.217684934928215,0.0419670448282538,0.0419670448282538,0.0421507244819259,-0.227529105001842,-0.0154737498681493,0.108604154084356,-0.0835248777449379,0,0,-0.100635713613757,0.0830892533499718,-0.0771577194971892,-0.0379702569383548,0.227220966520784,-0.0422047656343102,0.235158605506212,0.233713217337533,0.32054979867536,0.29959744731751
"CLDN7",-0.0317888646013088,-0.0317888646013088,-0.398787060937075,0.217684934928215,0.0419670448282538,0.0419670448282538,0.0421507244819259,-0.227529105001842,-0.0154737498681493,0.108604154084356,-0.0835248777449379,0,0,-0.100635713613757,0.0830892533499718,-0.0771577194971892,-0.0379702569383548,0.227220966520784,-0.0422047656343102,0.235158605506212,0.233713217337533,0.32054979867536,0.29959744731751
"SNAI2",-0.0321146343104415,-0.0321146343104415,-0.299646432838321,0.217863133349658,0.0423587820948194,0.0423587820948194,0.0424986529991798,-0.228067698099266,-0.0153108329964025,0.108996585869943,-0.08386705058423,0,0,-0.100919161642139,0.0838489149295329,-0.0773994030641252,-0.0382184870135125,0.227870778999837,-0.0424127713895136,0.235894702959429,0.235724747009237,0.221205669896636,0.300474590143498
"GSC",0.081148012031742,0.081148012031742,-0.051463599042001,0.0806363506221582,0.244063456690825,0.244063456690825,0.23455093556172,-0.0480060794080724,0.211273939806605,0.109868972457184,0.00765913944589607,0,0,0.127236337920691,-0.00800254603930267,0.192004513647299,-0.194114941876356,0.0471833963366407,-0.245011148998518,0.153302577974014,0.151890737612333,0.0676778255610268,-0.0371051645517394
"TWIST2",-0.185006202102343,-0.185006202102343,-0.0779460272741404,-0.164288430097344,-0.222788489181865,-0.222788489181865,-0.214882227503898,0.0247627198922749,-0.185217261485652,0.121375444959344,0.0147287226277539,0,0,-0.0975634315909233,-0.0144366291008314,-0.0611862553579942,0.181489373964461,-0.0241036994994823,0.223530514960669,-0.123700503599222,-0.122583821145475,-0.137846897521255,-0.069602608649234
"GRHL2",0.105718213619967,0.105718213619967,-0.103017417679617,0.182652767092928,0.176400953438329,0.176400953438329,0.136276894323588,-0.148351704049155,0.169329754430867,0.1384860913738,-0.0353998673619715,-0.0255409753580788,0.0256364332958402,0.0829120113258456,0.0350819299089395,0.0890706512133066,-0.167955638566528,0.147657124871009,-0.177113013477589,0.176228951676058,0.174877659805817,0.186342818137734,0.080340639608303
"FOXC2",0.226457829460398,0.226457829460398,-0.24044906215241,0.271748496999807,0.349704918459698,0.349704918459698,0.324582918927996,-0.080268032012128,0.336124024748159,0.19793066341989,-0.0241391649348788,0,0,0.130049657670084,0.0235645817893177,0.124429883280484,-0.221686959067489,0.0787189823926059,-0.351330087969596,0.178094023461084,0.175422130542199,0.203232073418446,-0.0161889381951802
"miR200a",-0.000274424896995407,-0.000274424896995407,-0.159548416688577,-0.00538756624806448,0.221631454958168,0.221631454958168,0.218998171595061,0.0527019848035287,0.128602146419329,0.229947626618276,0.000696648004240812,0,0,-0.051476887311387,-0.000769114987395936,-0.0648599405694234,-0.148158562278721,-0.0531224011293173,-0.221988341939494,-0.00968226090618886,-0.0102225872633086,0.011964752037305,-0.0272886636485976
"miR200b",0.0430114226658822,0.0430114226658822,-0.204645289625757,0.10196226764328,0.316231907355992,0.316231907355992,0.302865179794382,-0.181281958324705,0.295750168402937,0.257925389539061,-0.0297894286450086,0,0,0.14616535043522,0.0292584970745456,0.134750771540407,-0.209055009697685,0.180136607902016,-0.317501657222633,0.210511259834421,0.208348153318085,0.245563941094934,0.0516235795743001
"miR141",0.0430114226658822,0.0430114226658822,-0.204645289625757,0.10196226764328,0.316231907355992,0.316231907355992,0.302865179794382,-0.181281958324705,0.295750168402937,0.257925389539061,-0.0297894286450086,0,0,0.14616535043522,0.0292584970745456,0.134750771540407,-0.209055009697685,0.180136607902016,-0.317501657222633,0.210511259834421,0.208348153318085,0.245563941094934,0.0516235795743001
