"","miR101","ZEB2","SNAI2","miR205","miR34a","TWIST1","CDH1","ZEB1","miR200a","FOXC2","miR200b","GRHL2","miR200c","GSC","TGFbeta","miR141","CLDN7","TCF3","NP63","SNAI1","KLF8","OVOL2","TWIST2"
"CLDN7",-0.0235124965556976,-0.0039831610103377,-0.0271036756796896,0.00641304347826087,0.0127573886788966,-0.0770309840337065,-0.199084959083539,0.00370217444871953,-0.000441921448806681,-0.0241340923466161,0.00908559736987563,-0.00315673266081109,0.000441921448806681,-0.00506035984463772,-0.00489722770760673,-0.0039984111454975,-0.0039984111454975,0.0776602192708798,-0.00623963307363659,0.020363374884773,0.0237658120079402,-0.0252056105589126,0.0233913346096471
"ZEB1",0.0484357555425543,0.00148847649119784,0.0420075846185761,0.0520591441420674,-0.00351169922003283,0.0958510624329396,0.0148562903055501,-0.099399137466707,-0.00122691947674699,-0.081681427037257,-0.010252213263565,0.00852596859480777,0.00122691947674699,-0.0314516264353095,-0.0314738088663668,-0.000593864079315066,-0.000593864079315066,-0.0959117569950673,-0.0520620180356184,-0.0741809050317295,-0.04844751203618,-0.130723020612565,-0.104268016339253
"FOXC2",0.04844751203618,0.00149806787308881,0.04198422004861,0.0521133593765483,-0.00350864167707435,0.0959117569950673,0.0148577045711383,0.000593864079315066,-0.0012190077713789,-0.0817158848669543,-0.0102445187330083,0.00851123766097988,0.0012190077713789,-0.0314852778285858,-0.0314516264353095,-0.000617244754974082,-0.000617244754974082,-0.0958497921460363,-0.0520591441420674,-0.0741549376279033,-0.0485382297329775,-0.130703523842886,-0.104244161377421
"CDH1",0.0239168833435725,0.00396312137639501,0.0268973086816485,-0.00623963307363659,-0.0126408323875059,0.0772381553484475,0.0990669562599382,-0.00374228290197714,0.000329402076367558,0.0238055183577278,-0.00929415565526028,0.00291324988315956,-0.000329402076367558,0.00489722770760673,0.00488290604302011,0.00370217444871953,0.00370217444871953,-0.0770309840337065,0.00608554986870593,-0.0201867617496845,-0.0235124965556976,0.025189300766047,-0.0235597793036392
"TCF3",0.0235124965556976,0.0039831610103377,0.0271036756796896,-0.00641304347826087,-0.0127573886788966,0.0770309840337065,0.199084959083539,-0.00370217444871953,0.000441921448806681,0.0241340923466161,-0.00908559736987563,0.00315673266081109,-0.000441921448806681,0.00506035984463772,0.00489722770760673,0.0039984111454975,0.0039984111454975,-0.0776602192708798,0.00623963307363659,-0.020363374884773,-0.0237658120079402,0.0252056105589126,-0.0233913346096471
"KLF8",0.0235124965556976,0.0039831610103377,0.0271036756796896,-0.00641304347826087,-0.0127573886788966,0.0770309840337065,0.199084959083539,-0.00370217444871953,0.000441921448806681,0.0241340923466161,-0.00908559736987563,0.00315673266081109,-0.000441921448806681,0.00506035984463772,0.00489722770760673,0.0039984111454975,0.0039984111454975,-0.0776602192708798,0.00623963307363659,-0.020363374884773,-0.0237658120079402,0.0252056105589126,-0.0233913346096471
"SNAI2",0.0237205668786562,0.00400831664373691,-0.0730373269629594,-0.00608554986870593,-0.0126200658723578,0.0772154857800761,0.0990675721941564,-0.00377776158134757,0.000361106072936067,0.0239417321242294,-0.00920865661510799,0.00296601732137174,-0.000361106072936067,0.00488290604302011,0.00492987361815746,0.00374228290197714,0.00374228290197714,-0.0772381553484475,0.00617778827786466,-0.0202165942867414,-0.0239168833435725,0.0251731704329556,-0.0234449239238283
"miR200c",-0.00973995805806603,0.00727615230735647,0.0875333553465622,-0.0500184767109922,-0.000350424508027919,-0.0085681559654727,0.0290320284568314,0.000947710670686939,-0.00381004485616559,0.0111867092049023,-0.000183111289060363,-0.00524340733511676,0.00381004485616559,-0.0688114108663798,-0.0688284547714793,-0.000955076068050126,-0.000955076068050126,0.00849568898231757,0.0500113681273775,0.106981979433553,0.00977597981520734,0.127866690322445,-0.0170205380486372
"miR141",-0.00973995805806603,0.00727615230735647,0.0875333553465622,-0.0500184767109922,-0.000350424508027919,-0.0085681559654727,0.0290320284568314,0.000947710670686939,-0.00381004485616559,0.0111867092049023,-0.000183111289060363,-0.00524340733511676,0.00381004485616559,-0.0688114108663798,-0.0688284547714793,-0.000955076068050126,-0.000955076068050126,0.00849568898231757,0.0500113681273775,0.106981979433553,0.00977597981520734,0.127866690322445,-0.0170205380486372
"miR200b",0.0129847090126225,0.0158031226797198,0.106902726480397,0.043140383516231,0.0784327874668846,0.0592324149923067,-0.025788087728722,-0.0169589031555063,0.00220352793239648,-0.0110296609420781,-0.0659663859029741,0.0177581600111281,-0.00220352793239648,-0.111522955781962,-0.111528637083662,0.0169488594318292,0.0169488594318292,-0.0590445924033128,-0.0432327951032223,0.0738461534474296,-0.0128712404776273,-0.101870241612881,-0.0967055916003391
"SNAI1",-0.029879190577778,0.0588102153311568,0.0469515083282722,-0.00874806276920139,0.0253101848925644,0.00769988842958231,-0.0840124012319721,-0.0545254466722394,-0.0114399893168905,0.0283741131057569,-0.0226305373622146,0.0526724495633416,0.0114399893168905,0.00561162718273554,0.0055923069052261,0.0545335538099951,0.0545335538099951,-0.00763193386206459,0.00869782998311955,-0.0968033543469567,0.0300673112120846,0.0794698417111733,-0.0427071756777301
"miR101",-0.042210548242102,0.0907106920560201,0.0453202272276691,-0.0394967949434045,-0.026539460817103,-0.013872432459761,-0.0716929428418278,-0.0966801954419042,0.00196701135479175,0.0293538507723623,-0.00483892849197503,0.0931486814339313,-0.00196701135479175,0.0137228266356095,0.0136884505613571,0.0967405098679284,0.0967405098679284,0.0137491278974922,0.0394259362409061,0.0171607693222639,-0.0577854641990815,0.154826226163338,0.0145054651643757
"NP63",0.0529381559202784,0.0955432478017106,0.0691295454406349,-0.0656873189111369,0.049567265954813,0.104289320787304,0.115002942900713,0.0353712002489194,-0.0594319676256408,0.0181605458397493,-0.145808287589366,-0.125834136411252,0.0594319676256408,-0.0290401766247963,-0.029076121372584,-0.0353769680638336,-0.0353769680638336,-0.104296052527459,-0.0342535667294477,-0.0151898370153682,-0.0527380352996303,-0.210414835067553,-0.0651756857649153
