"","TWIST2","OVOL2","ZEB2","miR141","GRHL2","miR101","miR200c","TCF3","miR200a","GSC","FOXC2","TGFbeta","SNAI1","miR200b","TWIST1","CDH1","SNAI2","KLF8","miR34a","NP63","ZEB1","CLDN7","miR205"
"miR34a",-0.0311662926860503,-0.114669282471309,-0.0172250847036283,-0.121404436362345,-0.112451625819255,0.0244010048074975,-0.105864446127009,-0.0189151615854647,-0.120212968916022,-0.00236609846254125,-0.0772970900848931,0.00251936071597909,-0.0387090985259106,0.109624448718623,0.0190781370289232,0.107682829096538,-0.0986844195389356,-0.0241753210336807,0.0836299029183118,0.113178593828345,0.121414193086751,0.121404436362345,0.113180486083345
"TWIST1",-0.0924429783853875,-0.105933392697553,-0.0163912376317074,-0.11145061317486,-0.104523430309211,0.00437552711814568,-0.0404690708435822,-0.218395604575718,-0.0739871793309114,-0.0159192304305312,0.231400599216436,0.0158117503832776,0.0353818702794384,0.0262153588559277,0.11840622488338,-0.0650412376228416,0.0775774070667902,-0.00444324608443557,0.0253177867353329,0.104557953108055,0.111483561209516,0.11145061317486,0.104636513874808
"miR205",-0.116487070600216,-0.135474594162512,-0.0145332628813706,-0.188324386055228,-0.168796895678978,-0.0100293094149461,-0.0866293954258155,-0.0212471939275026,-0.0991953834579815,-0.0233509107284117,-0.0926986549019014,0.0233763035232062,-0.078433343940799,0.103211059246906,0.0213213259648981,0.116530790707483,-0.00435708662599622,0.0102057910470883,0.194844349153782,0.138748471803006,0.188374695989266,0.188324386055228,0.139154774448928
"miR141",-0.0868071659255827,-0.139402347770018,-0.005094158796459,-0.19963494904824,-0.181637735257279,-0.00692312946083131,-0.0974736994597947,-0.10455390017028,-0.101784913554826,-0.134318251551327,-0.00354016814951497,0.134511415809122,0.034413162003366,0.0362901151573297,0.104581999612728,0.0460940706259271,0.0809184363952902,0.00723111548438954,0.106928870973566,0.145735103298448,0.199689631543815,0.19963494904824,0.145973240849541
"miR200b",0.0868071659255827,0.139402347770018,0.005094158796459,0.19963494904824,0.181637735257279,0.00692312946083131,0.0974736994597947,0.10455390017028,0.101784913554826,0.134318251551327,0.00354016814951497,-0.134511415809122,-0.034413162003366,-0.0362901151573297,-0.104581999612728,-0.0460940706259271,-0.0809184363952902,-0.00723111548438954,-0.106928870973566,-0.145735103298448,-0.199689631543815,-0.19963494904824,-0.145973240849541
"miR200c",0.0576319767527185,0.106822327649388,0.00945876801004459,0.158857650863725,0.150341065298442,-0.0078203534293012,0.0727591705021159,0.0891809432210811,0.0805755094785045,0.120785577786774,0.00495127082504401,-0.12093670041199,-0.0294275553756417,-0.0565265674376995,-0.089268199384472,-0.0963857614125247,-0.0559108299059618,0.00749075435145818,-0.0757477646850013,-0.11349193050628,-0.158967239048735,-0.158857650863725,-0.113715850890143
"SNAI1",0.0327937603592285,-0.0694729928798038,0.0176103136673097,-0.0577918300456208,-0.0553943792604418,0.0740880014241791,-0.0421830259971857,-0.00703200144586695,-0.00752014096873966,-0.00701498179973286,0.0993724320134557,0.00717169071730943,-0.0843607701714024,0.0131513322467354,0.00699879056700491,-0.08624107962196,-0.0304744590415288,-0.0739092400254102,-0.0371998397919248,0.0633780468031233,0.0578723609473276,0.0577918300456208,0.063582653517164
"TCF3",-0.0443343146860567,-0.11404283458207,0.0392906376883602,-0.121062248802947,-0.113050587744,0.0112660300107441,-0.0796805149244986,-0.139879222747125,-0.0397694562645719,-0.0202016447226685,0.084263906136682,0.0210354312008269,0.0708641425798946,0.0172662558680397,0.139395195641607,-0.104286087243082,0.0298756797615833,-0.0116087509167193,0.0432353342499906,0.111583102957192,0.121438944849467,0.121062248802947,0.110253623188406
"KLF8",-0.0443343146860567,-0.11404283458207,0.0392906376883602,-0.121062248802947,-0.113050587744,0.0112660300107441,-0.0796805149244986,-0.139879222747125,-0.0397694562645719,-0.0202016447226685,0.084263906136682,0.0210354312008269,0.0708641425798946,0.0172662558680397,0.139395195641607,-0.104286087243082,0.0298756797615833,-0.0116087509167193,0.0432353342499906,0.111583102957192,0.121438944849467,0.121062248802947,0.110253623188406
"SNAI2",-0.0450187928316166,-0.11392235172576,0.0393473164684408,-0.121053903698194,-0.11274504009434,0.010853688443417,-0.0795487098657719,-0.138848050887291,-0.0398910149369839,-0.0210702123862515,0.0838190873725605,0.0211240742843448,0.0711237095860002,0.0172388703076565,0.139339980520951,-0.0039853609526556,-0.0703801714738997,-0.0106545971874773,0.0433641650035034,0.113067699924544,0.121028023115658,0.121053903698194,0.112918490733258
"FOXC2",0.0918612158938745,0.113354007398704,0.0398267123098309,0.152624533007105,0.138235679423723,-0.00555747931992776,0.155788879693599,0.0142348854394495,0.181074198789062,0.0259666873243744,0.0910856462726142,-0.0259612596802976,0.0771150381012459,-0.193822079100223,-0.0143926141460741,-0.207109770493777,0.0314502382582048,0.00529559615747461,-0.166236680010172,-0.113141937264234,-0.152745687417338,-0.152624533007105,-0.113684089609043
"TGFbeta",-0.0540731330152039,-0.0146182943636586,0.0690339616669359,-0.0203175652447146,-0.0179712202097726,-0.00683735843948494,-0.0481330434059656,-0.0997070379249845,0.0250099402906256,-0.20519424941669,0.033837531551913,0.104945338672694,0.0463949624838938,-0.100331951736995,0.0996162794107014,-0.0952435878827572,0.0570451480208913,0.00650289638327038,-0.0567696422226392,0.016007275218764,0.0203040132729027,0.0203175652447146,0.0159282346082434
"NP63",-0.0498650850074134,-0.231016271995117,0.112619845098214,-0.152198102780209,-0.0117477071833262,0.00671899875689052,-0.136263528397691,-0.157314049215464,-0.0599599623255371,-0.130131565817566,0.0796811195084174,0.130080216177869,0.0791865497600836,-0.0398291832194076,0.157486830546104,-0.0160518373655296,0.0232722320602889,-0.00683687802658732,0.118033886050496,0.122676623450044,0.152003693489277,0.152198102780209,0.222219830672744
