"","miR200a","miR200b","CDH1","miR141","CLDN7","GRHL2","miR34a","TWIST2","SNAI1","FOXC2","TCF3","TWIST1","GSC","TGFbeta","miR205","NP63","KLF8","miR101","ZEB1","SNAI2","OVOL2","miR200c","ZEB2"
"TGFbeta",-0.050610547410734,-0.0460881902189066,0.0176223056524111,-0.118199014820282,-0.118199014820282,-0.116416678953215,-0.00895879936973619,-0.0849591169426312,-0.00682446076233803,-0.0869001518445986,-0.056665675246003,-0.0563956686660107,-0.123767349417362,0.0235714353762766,0.0217051291892345,0.0212826707536935,0.0426066727213953,0.0420229221760767,0.118226290307853,0.0788651338410252,0.150038197278336,-0.0698415504316151,-0.0222970621201458
"GRHL2",0.000531586568081981,0.0668930868320496,0.103566160626553,-0.00693056220341918,-0.00693056220341918,0.025722034500574,-0.00199943784072561,0.0350951379123523,-0.0684521190323114,-0.0766924113101039,-0.0117397804742588,-0.0121617701846466,-0.0902822485820205,0.0902295869523925,-0.0208928179162724,-0.0210681134019798,-0.00908949329529798,-0.00976645971107332,0.00729718250575537,-0.0250403565627101,-0.144608168868077,-0.012079800455385,-0.0210809044019368
"ZEB1",-0.00954578087169411,0.0106970781832926,0.0655633577632381,-0.015424918270038,-0.015424918270038,-0.00218936206318391,-0.0194511178494454,0.0647113320561115,-0.0561812654460475,-0.0366759971694967,0.0403171682240386,0.0406843402780988,0.0711565654504921,-0.0709765904686154,0.0588149981039481,0.0587977547426422,0.0261266042145278,0.0261875910252115,-0.0847605862048826,0.0176673522637354,0.152835483134684,-0.0117396818278157,-0.00274183969980124
"FOXC2",0.00938606331957575,-0.0105768725170403,-0.0654220399940789,0.0150606048329511,0.0150606048329511,0.00186414837021434,0.0191282413130301,-0.0649626043207426,0.0561992065614183,0.0366942395499247,-0.0411565102700052,-0.0403171682240386,-0.0712900854947817,0.0711565654504921,-0.0588285519125683,-0.0588149981039481,-0.0265459596053842,-0.0261266042145278,-0.015424918270038,-0.0178311438901131,-0.152715564647206,0.0114756286611557,0.00270095012437133
"miR34a",0.0818808074864329,-0.0157403310183502,-0.0538140746585942,0.0872337536245399,0.0872337536245399,0.0824494403889945,-0.0053021138303167,-0.0192391355577185,0.0976425853204644,0.0953982661418291,0.0174873247821778,0.0179038175821274,-0.0755774859781302,0.0754018981208451,-0.0312466521398147,-0.0311217633097959,-0.0796092154010254,-0.07931726702979,-0.0873375080596851,-0.0667856209680031,-0.143728311888754,0.102408012861346,0.0248829394805232
"TCF3",-0.00103346135711223,-0.019032914394176,0.177555115273789,0.0562356259897337,0.0562356259897337,0.0528811212538948,0.0371328764779038,0.0665968409463336,-0.000717146700194571,0.0282895538218665,0.085978696853552,0.0823968962727195,-0.0412149588511563,0.0416318520902355,-0.0271376811594203,-0.0260394152634665,-0.0432814668106532,-0.0403757895643412,-0.0565391771728519,-0.0695772698665245,-0.116878778129041,0.0584284068948236,0.0626736425792718
"KLF8",-0.00103346135711223,-0.019032914394176,0.177555115273789,0.0562356259897337,0.0562356259897337,0.0528811212538948,0.0371328764779038,0.0665968409463336,-0.000717146700194571,0.0282895538218665,0.085978696853552,0.0823968962727195,-0.0412149588511563,0.0416318520902355,-0.0271376811594203,-0.0260394152634665,-0.0432814668106532,-0.0403757895643412,-0.0565391771728519,-0.0695772698665245,-0.116878778129041,0.0584284068948236,0.0626736425792718
"CDH1",-0.0012436390528004,-0.0195491331289224,0.077044403593747,0.0565391771728519,0.0565391771728519,0.0532739401351726,0.0366719493255859,0.0662599515583494,-0.001530388578044,0.029370860948935,0.0823968962727195,0.0840702030456279,-0.0416318520902355,0.0405209001087309,-0.0260394152634665,-0.0263219011391727,-0.0403757895643412,-0.04093546087876,-0.0562295399137031,-0.0700937111357339,-0.11643375378085,0.0589910037570192,0.0628629057887305
"TWIST1",-0.0390828060206856,-0.090275256660475,-0.119454939328995,0.040989199517381,0.040989199517381,0.0415253211580467,0.0314536468094382,-0.133068559985276,0.000161994570645089,-0.0126366700556611,-0.0249576703093082,-0.124661118641511,-0.0527137340433508,0.052687099046218,-0.0190273959944359,-0.0190784604928254,0.0933898820715627,0.0931150227377979,-0.0410475681330823,0.123452193758917,-0.0903602010258499,0.069129132749892,0.109839553134164
"TWIST2",-0.0528005258018704,-0.0551120150234554,0.0815263803306696,0.0587604575689095,0.0587604575689095,0.0574339886836486,0.0720575075901482,0.0582403695219619,-0.0874266989344028,-0.0264351879996692,0.0122348693729354,0.0128019582691068,-0.0523679314066301,0.0521908282037637,-0.0245822195069658,-0.0245342931765822,0.0144330840637094,0.014338361583197,-0.058765085140844,-0.07212286250815,-0.113365715743487,0.110397574793124,0.168602676938353
"SNAI1",-0.0447693029686184,-0.0792031986231762,-0.138710301980622,0.0869889187087968,0.0869889187087968,0.0868544655063448,-0.00951408429962614,0.0205600890327312,-0.0992961968780616,0.0754019496822686,-0.00557662003644565,-0.00485364475044889,-0.0680107097492457,0.0677392500925222,-0.0157012738758186,-0.0156730945080166,-0.0626473599226992,-0.0629958354592174,-0.0869111673971777,-0.0283683462044816,-0.117851554408964,0.129624947832799,0.191068899347298
"miR200c",-0.171484940155142,-0.0983617039671977,-0.0406268124203708,-0.0679595232449234,-0.0679595232449234,-0.0522894013392477,-0.0644470711984241,-0.0276023292765633,-0.0594830037094759,-0.0947679935910178,-0.0655225928992074,-0.0660831028301419,-0.0557364442727647,0.0561023201022347,0.0696983051788778,0.0702812090352844,0.105128635027739,0.105314147077016,0.0681646384017952,0.128408369305812,0.212150393307614,0.0941824832836183,0.277188810235848
"ZEB2",-0.430403617403619,-0.284065935564944,-0.267029721226883,-0.16278126695556,-0.16278126695556,-0.150359018442409,-0.135801160329225,-0.0964890585985361,-0.0409734276704488,-0.0408898783315899,-0.0373579850454357,-0.036505532417446,-0.00356735291579288,0.00244473993092321,0.0548094872591977,0.055491235012529,0.155352869858578,0.155819225621403,0.163035846065343,0.163703723944764,0.228487741506051,0.274995318679768,0.395247972653176
