"","miR200b","CDH1","miR200c","TGFbeta","GSC","SNAI1","miR200a","FOXC2","miR101","KLF8","CLDN7","OVOL2","TWIST1","TCF3","miR34a","miR205","NP63","miR141","ZEB1","GRHL2","ZEB2","TWIST2","SNAI2"
"TWIST1",-0.0545360456702228,-0.161618316282442,0.000694190617404517,0.00134684790368631,0.00179337579679537,-0.265964880385841,0.0694128396656166,-0.344021397901236,-0.0975019513457278,-0.096927335999415,-0.074153235882818,-0.0863686456872925,0.0941289105253792,0.194387882642987,0.0616252359558387,0.0845758909641419,0.0847840769960376,0.074153235882818,0.074226906207498,0.0807879853371843,-0.0641192666719068,0.223382251657576,0.305047918270279
"ZEB1",0.0328198592168692,-0.00440777705435357,0.013402073122251,0.0238930838259059,0.0236102006587121,0.1291057382922,0.028381964637476,0.139212939573619,-0.0307767031857463,-0.0312102238881967,-0.0111061389546057,-0.0812688147884639,-0.102298950096036,-0.102485841272489,-0.0312520095453406,0.0703260488934105,0.070570329845244,0.0111061389546057,-0.0888439629774221,0.0230710646585824,-0.0605751218766324,0.0821671468046039,-0.00826082129177779
"FOXC2",0.0326103969961593,-0.004759929185815,0.0131301082502229,0.0236102006587121,0.02325957485135,0.128706784542507,0.0284506975778613,0.138808228985606,-0.0312102238881967,-0.0314104874830139,-0.0113990350551341,-0.0814154411796118,-0.102485841272489,-0.102209816035896,-0.0313639156176209,0.0711392774106238,0.0703260488934105,0.0113990350551341,0.0111061389546057,0.0234219630566878,-0.0603623446415249,0.0825941506213977,-0.00791298874505165
"OVOL2",0.028096593793847,-0.0656619778199977,-0.0155935590715128,-0.0140574591542367,-0.0138996935016793,-0.117391378326198,0.00258181017579716,-0.108943332540758,0.0679049176934144,0.068131933694204,-0.0142541235234765,-0.0791032518072864,0.0224410047294132,0.0225093451365781,-0.00542490263631938,-0.0225393551897996,-0.0225123453906445,0.0142541235234765,0.0142398573935787,-0.0246785311492585,0.0160391661563412,-0.043873469321147,-0.0323306100355088
"miR34a",-0.134637015080245,-0.00952354410442409,0.0677066321221774,-0.0495202058073037,-0.049079124282646,-0.19168481196316,-0.097511602981801,-0.222631932621644,-0.0342594922827875,-0.0337773933276554,0.0710576525548932,0.0848692120008687,0.108455544438047,0.108454757117064,0.110140999086821,-0.0836144073905898,-0.0830788992255095,-0.0710576525548932,-0.0708668015067592,-0.0784340843228613,0.0362300026276128,0.0277079726492505,0.206340250769851
"TCF3",-0.288534116221287,-0.381243774687768,-0.0619364787228574,-0.245610315071389,-0.244359635354151,-0.00852241151037574,-0.0247802369397652,0.0392383119098002,-0.334749909678901,-0.332976701513203,-0.0354707317338692,-0.036665798994988,-0.207460341113921,-0.206008259797368,-0.0207937519232048,0.0347101449275362,0.037080087124068,0.0354707317338692,0.0361034348022962,0.0374370338511335,0.0908478196607716,0.391949864570469,0.423406746080802
"CLDN7",-0.288534116221287,-0.381243774687768,-0.0619364787228574,-0.245610315071389,-0.244359635354151,-0.00852241151037574,-0.0247802369397652,0.0392383119098002,-0.334749909678901,-0.332976701513203,-0.0354707317338692,-0.036665798994988,-0.207460341113921,-0.206008259797368,-0.0207937519232048,0.0347101449275362,0.037080087124068,0.0354707317338692,0.0361034348022962,0.0374370338511335,0.0908478196607716,0.391949864570469,0.423406746080802
"SNAI2",-0.28981710000411,-0.28240031993131,-0.0629976447273722,-0.246872179572978,-0.246467568994502,-0.00954173757666855,-0.0250378396968241,0.0382636979473997,-0.336641616614465,-0.336144235323494,-0.0361627953131175,-0.0371073495046245,-0.208752939310182,-0.20845370100768,-0.0208729525697631,0.0373368924656191,0.0378876100261845,0.0361627953131175,0.0363323045589984,0.038346165672935,0.0917235104606972,0.394488821344331,0.325219513464368
"ZEB2",-0.254385325193145,-0.252215915277754,-0.234195466297055,-0.219330636460929,-0.218674803861431,-0.197515014981274,-0.186579818139073,-0.167834030079846,-0.157026704540611,-0.156182491230082,-0.0506937159070006,-0.0469165375107171,-0.0159015601380391,-0.015770038875435,0.0109966015949645,0.0493348061124744,0.0501095194685326,0.0506937159070006,0.0509448580760539,0.0542545309576872,0.127965131509116,0.23684242304071,0.302456797676113
"miR200c",-0.062140735002976,-0.0507853822133279,-0.0856869212674357,0.0454119054122539,0.045334639709136,0.12927677073017,-0.095544147419735,0.104763469961777,0.00657564860279683,0.00640994851994679,0.0092155487586403,0.0793418887818719,0.00913614020204434,0.00898085380956908,0.00399275451115783,-0.0666194957652879,-0.0662462951255154,-0.0092155487586403,-0.00907560620873973,-0.0181305378602612,0.177346985290924,-0.0957228257457217,-0.124153204195379
"miR200a",-0.062140735002976,-0.0507853822133279,-0.0856869212674357,0.0454119054122539,0.045334639709136,0.12927677073017,-0.095544147419735,0.104763469961777,0.00657564860279683,0.00640994851994679,0.0092155487586403,0.0793418887818719,0.00913614020204434,0.00898085380956908,0.00399275451115783,-0.0666194957652879,-0.0662462951255154,-0.0092155487586403,-0.00907560620873973,-0.0181305378602612,0.177346985290924,-0.0957228257457217,-0.124153204195379
"TWIST2",-0.118337213142282,-0.164010903100421,-0.154736007151227,-0.0844804594745834,-0.0840566670646427,-0.161691302780588,-0.066137980668245,-0.0739489699320254,-0.0695143920698244,-0.0689330219830099,-0.085718161862894,-0.0947112770856861,-0.0413064663342281,-0.0410955890562548,0.022697619172759,0.0941599198324612,0.0943499134993389,0.085718161862894,0.0857877906778159,0.0920565729170649,0.224942713378087,0.190719868382692,0.236329745820879
"miR101",-0.174670897890965,-0.0456837644544327,-0.125450291394066,-0.102439171535186,-0.101579769678878,-0.397669509881797,-0.125994180233529,-0.394745287345537,0.0885020800448666,0.189428522876565,0.000468568672162863,0.0545440127570131,0.28880976878996,0.288738841386885,0.117620492490399,-0.0400595390315041,-0.0391488734845799,-0.000468568672162863,-0.000122502293335534,-0.00513807355010982,0.262586369981595,0.0402791150426631,0.217018374581264
