"","TWIST2","KLF8","TWIST1","ZEB2","miR200b","TGFbeta","ZEB1","GRHL2","miR200c","NP63","miR205","miR34a","miR141","CLDN7","miR200a","GSC","OVOL2","CDH1","SNAI1","TCF3","FOXC2","miR101","SNAI2"
"SNAI2",-0.39323867485313,-0.459754807237413,-0.062212558114182,-0.000669613142248501,-0.290685598040943,-0.229573947597584,-0.00138880302096457,-0.00116288025041435,0.00089266756208061,0,0,0.0882935889746807,0.0012662558917382,0.0012662558917382,0.000378521705031309,0.229127109291002,0.0150917595515215,0.296790380956527,-0.241214096165518,0.0621014772291621,-0.114693543534935,0.461431474713394,0.374099627444216
"KLF8",-0.390059114814824,-0.450215942477076,-0.0627867361933055,-0.000285389150126338,-0.289172441276807,-0.229301015218125,-0.0017459529926992,-0.00115102919727518,0.000848118741492218,0,0,0.0870018926621201,0.00125222516473592,0.00125222516473592,0.000407475979699149,0.227597190675801,0.0150786491459009,0.395285968765066,-0.238791710703621,0.0626899307722019,-0.111904625657052,0.456548828783141,0.471481438999193
"CLDN7",-0.390059114814824,-0.450215942477076,-0.0627867361933055,-0.000285389150126338,-0.289172441276807,-0.229301015218125,-0.0017459529926992,-0.00115102919727518,0.000848118741492218,0,0,0.0870018926621201,0.00125222516473592,0.00125222516473592,0.000407475979699149,0.227597190675801,0.0150786491459009,0.395285968765066,-0.238791710703621,0.0626899307722019,-0.111904625657052,0.456548828783141,0.471481438999193
"TCF3",0.390059114814824,0.450215942477076,0.0627867361933055,0.000285389150126338,0.289172441276807,0.229301015218125,0.0017459529926992,0.00115102919727518,-0.000848118741492218,0,0,-0.0870018926621201,-0.00125222516473592,-0.00125222516473592,-0.000407475979699149,-0.227597190675801,-0.0150786491459009,-0.395285968765066,0.238791710703621,-0.0626899307722019,0.111904625657052,-0.456548828783141,-0.471481438999193
"FOXC2",0.114777782062276,0.0751214548082167,-0.0178225561031692,0.00396586961396319,0.0027418162276796,-0.00528207970444272,-0.0149701827853174,-0.01188125648022,0.0082248236795157,0,0,-0.00596178770871955,0.0150760334805737,0.0150760334805737,0.0114659238487834,0.00547421830476187,0.0800426503045216,0.0532906913575471,0.137474666283453,0.0179070536245752,0.130909034353152,-0.075660626025032,-0.0545028627979128
"GSC",0.0230657091261994,-0.174843373370084,0.10330047995499,0.0070581821235459,-0.0605962148955914,-0.0222217858707877,-0.0553680091789839,-0.0552449414846135,0.0147756419410495,0,0,0.10263636453901,0.0556291253177471,0.0556291253177471,0.0348942675331965,0.0225218879421643,0.0712691583809858,0.0723191127278384,-0.191702243685773,-0.102905961682565,-0.0152611024179707,0.174954449837462,0.0416055636143742
"miR34a",0.331867051610325,0.321117751691889,-0.0545128427100442,0.019414574435707,0.0747931656059048,0.0193517197617534,-0.0883341054624557,-0.0862946530166923,0.0847110830726941,0,0,-0.078876984969809,0.088346479844629,0.088346479844629,0.100758471579324,-0.0191338942755682,0.0954696151007692,-0.12519306381447,0.315059985021251,0.0544837118336772,0.240173585739083,-0.322375818686357,-0.327326714606722
"GRHL2",-0.0748908787251548,-0.122522705287537,-0.0648759214968194,0.0267343933794101,-0.137895841908386,-0.124020042019232,-0.0373040638449303,0.0140570419601306,0.0187632802776224,0.0255409753580788,-0.0256364332958402,0.0296528821215007,0.0374007957055229,0.0374007957055229,0.0353148165253798,0.123948533069527,-0.0344519035636987,0.118353761066679,0.0632354210957539,0.0649366186469437,0.0955692066842493,0.123004240566378,0.14185338222599
"miR141",-0.0243009485098001,0.00583862583991072,-0.136503729236413,0.0272605657378291,-0.0946700019653418,-0.135872520345994,-0.0299441641795423,-0.0256601855824928,0.00463946193553011,0,0,0.0198638414938616,0.0302729287345718,0.0302729287345718,0.0291823491759143,0.136292936671783,0.0929033342328522,0.0911870242560572,0.133534251717071,0.13695775706965,0.180677532051355,-0.00574496927134331,0.108742114281499
"NP63",-0.300712943275449,-0.373906397015297,-0.0960171118313457,0.101533452217086,-0.254017100000185,-0.151971715727997,-0.0817485919769398,0.0721627344812087,0.0216032285266526,0.0215802590359401,-0.12148890048048,0.124067474892134,0.0817190743359083,0.0817190743359083,0.0895670906956546,0.151749200622644,-0.0194836373639868,0.249831411655546,-0.146625721148121,0.0960373070518102,-0.0396524121445776,0.375622499871814,0.388919858455452
"SNAI1",0.0693602811922613,0.272975669350978,-0.20055250987515,0.105145411177729,-0.00745387836164256,-0.0263676298346399,-0.110486846517057,-0.1098087973837,0.00392797323739375,0,0,-0.103717325722075,0.110537419614485,0.110537419614485,0.108291232109271,0.0265079457894812,0.107070322862564,-0.0976914420154805,0.141000408067236,0.200566305163293,0.249489545325492,-0.273441447306234,-0.20016207729035
"TWIST1",-0.0931421074248955,0.0414403453611422,-0.200887168190412,0.1137113463945,-0.0907168638436675,-0.0547731521693974,-0.0850617628524377,-0.0835813521719654,-0.0148852782769584,0,0,-0.0346610919886418,0.0852593276594942,0.0852593276594942,0.0966349469952539,0.0550210143191863,0.0946729205045485,-0.0359313909133627,0.194583981105104,0.101110194651317,0.126912207527081,-0.0413795974649115,0.077079168914012
