"","miR200b","CDH1","TWIST2","GSC","miR101","ZEB1","CLDN7","SNAI2","NP63","miR205","TWIST1","SNAI1","OVOL2","TCF3","FOXC2","miR34a","miR141","GRHL2","KLF8","TGFbeta","miR200c","miR200a","ZEB2"
"NP63",0.0625950784823601,0.0496027389725397,0.00573402929086341,0.0867272543893162,-0.0102412950984535,0.00257326768850338,0.00254035721516935,0.00353148357992389,0.0233963468859109,0.122557997788748,0.115495108408293,-0.0405594419346196,0.0782520646962894,-0.115618523644465,-0.0209413055648634,-0.0152509003739283,-0.00254035721516935,-0.124989841124035,0.0101755020176925,-0.0867289660439727,0.0171811418524355,0.0171811418524355,0.0630914059657471
"OVOL2",-0.152530328012669,-0.0685577156520717,-0.138831465301445,-0.0510228494866966,-0.0927491662372723,-0.134782291313301,-0.134727536548074,-0.11100786914288,-0.0786888968465789,-0.0791459026482838,-0.0648679669420546,0.102690511131615,-0.0394297545783493,0.0646719378793972,-0.0679639890656254,0.160057132484151,0.134727536548074,0.1117873685254,0.0927239422371845,0.0513032452098006,0.163383350437737,0.163383350437737,0.107855671050455
"GSC",-0.0853979462917228,0.00579943886496215,-0.01024046661967,-0.0243784131263141,-0.0654840306862109,-0.0507245626113591,-0.0507100829733501,-0.0169397081086463,-0.0507675617689255,-0.0508652647900562,0.100225034079633,-0.01286123052772,0.0490103754480765,-0.100343229837364,-0.162805899984707,-0.00283262201229125,0.0507100829733501,0.0542962210064864,0.0655921840886584,0.0245226577064462,0.0776368498109041,0.0776368498109041,0.116676000918111
"FOXC2",-0.259550189819749,0.137956004034984,-0.156215510758897,-0.0821182870481928,0.00644337328399131,-0.237678304556231,-0.237562251384323,-0.0238782313062501,-0.127471771537073,-0.127553094388795,-0.126356376808553,0.0997715229817976,0.0752952147230314,0.126187381765741,-0.0656595689887731,0.242217448479356,0.237562251384323,0.254825250853981,-0.00654093759941503,0.0825188471810616,0.279051214672965,0.279051214672965,0.153207267159253
"SNAI1",-0.112489631674143,0.0505524644615607,-0.0773830740805285,-0.0405982531150249,0.0275465775645938,-0.115970705620396,-0.115913646812763,-0.0630857256434201,-0.100343834819564,-0.100106147978103,-0.0434478799004216,-0.0746490078961875,0.0849068909389235,0.0434432814710407,-0.0168399175657956,0.11816671357816,0.115913646812763,0.12132933822504,-0.0275762151437964,0.0407971153653493,0.136793360263776,0.136793360263776,0.166001862378416
"TCF3",-0.090286707637687,-0.13942689129966,-0.0461551420842402,-0.031080925033393,0.000886552907275079,-0.0763044850721181,-0.0759131600529176,-0.0223558279942065,-0.0543495015498031,-0.0549275362318841,-0.119807239516492,0.0331159228515914,0.0398998331455656,0.119129601568767,0.018131641780171,0.0556308288537043,0.0759131600529176,0.079868896572526,-0.00131867926698302,0.0316609504095032,0.125242211578903,0.125242211578903,0.18139849012683
"KLF8",-0.090286707637687,-0.13942689129966,-0.0461551420842402,-0.031080925033393,0.000886552907275079,-0.0763044850721181,-0.0759131600529176,-0.0223558279942065,-0.0543495015498031,-0.0549275362318841,-0.119807239516492,0.0331159228515914,0.0398998331455656,0.119129601568767,0.018131641780171,0.0556308288537043,0.0759131600529176,0.079868896572526,-0.00131867926698302,0.0316609504095032,0.125242211578903,0.125242211578903,0.18139849012683
"CLDN7",-0.090286707637687,-0.13942689129966,-0.0461551420842402,-0.031080925033393,0.000886552907275079,-0.0763044850721181,-0.0759131600529176,-0.0223558279942065,-0.0543495015498031,-0.0549275362318841,-0.119807239516492,0.0331159228515914,0.0398998331455656,0.119129601568767,0.018131641780171,0.0556308288537043,0.0759131600529176,0.079868896572526,-0.00131867926698302,0.0316609504095032,0.125242211578903,0.125242211578903,0.18139849012683
"miR200a",0.044066165634819,-0.149266430797169,0.125062486139799,-0.0678142292853207,-0.00103875149026885,0.219674994089184,0.219672985344448,0.0923767981777366,0.117703858182489,0.118141036074794,0.0391418804830408,-0.0862669273380259,-0.0734175763064381,-0.0389392687138111,0.0796845794495589,-0.217470773535284,-0.219672985344448,-0.232541373411517,0.0009522992731297,0.0677494624459425,-0.017061055993764,-0.017061055993764,0.185512228396789
"miR34a",-0.171093370630837,0.0324936834483261,-0.229234616086388,-0.0636791390297592,0.0240374871530406,-0.167299369562634,-0.167177767460892,-0.0626157585520352,-0.125413648822481,-0.125252807147457,-0.153074373050364,0.103516957073566,0.0932638132272424,0.152942890446221,-0.0327526904402675,0.14488711852508,0.167177767460892,0.175845850789698,-0.0241248795931144,0.0639959212465106,0.228537466530158,0.228537466530158,0.218089729636814
"miR205",-0.0131864585616973,-0.175977942917757,0.119191189155718,0.0178368929217715,-0.0259880115553429,0.202103671136824,0.20220615433579,-0.00723645369855804,0.106662016428963,0.107167417281207,0.107240873625848,-0.103606428878112,-0.0644945229124496,-0.107409729933248,0.0878498861545758,-0.213381687676366,-0.20220615433579,-0.218308307732031,0.0260668650505554,-0.0177115159974738,0.0155258384355008,0.0155258384355008,0.240392783350917
"miR200c",-0.291118315444148,-0.0166163355934369,-0.158031139786865,0.000783526575523136,-0.0226769089098696,-0.257685755048262,-0.257414574508981,-0.125645209062983,-0.141156595036581,-0.140954000403561,-0.0558214507739814,0.0830410780271736,0.0888066259639066,0.0551988262860567,-0.0626361167436357,0.243715579697962,0.257414574508981,0.26854115467998,0.0227741676541512,-0.000119950536981186,0.318430595751621,0.318430595751621,0.403339661584903
"ZEB2",-0.378054245872745,-0.284690602236438,-0.123150053505788,-0.121837948080771,-0.103999463211273,-0.0976587718632812,-0.0972996115570007,-0.0970173277153894,-0.0639989983417354,-0.0633869747904493,-0.0443678921548744,-0.0129284228876261,0.0429438116040663,0.0437947192450071,0.0445401292948237,0.070705977329639,0.0972996115570007,0.100938954935809,0.103908976272217,0.122533192216765,0.415801597347133,0.415801597347133,0.433865490638111
