"","TWIST2","ZEB2","CDH1","TCF3","miR200b","OVOL2","NP63","miR205","FOXC2","miR200c","ZEB1","miR141","TGFbeta","GSC","CLDN7","miR34a","miR200a","GRHL2","SNAI1","TWIST1","SNAI2","miR101","KLF8"
"miR141",0.0217428428934136,-0.0363023356480589,0.0506480242291023,-0.0566705223790633,0.0494175788634868,-0.0589791682192133,-0.0480053795465368,-0.0477459162445997,-0.00625713884522549,0.0135801404066838,0.00501113869568782,0.00508769418949307,0.0927102935323045,0.0927523351648834,-0.00508769418949307,0.00977057916872408,-0.0135801404066838,0.00408409199707261,0.046337508873815,0.0565004468063523,-0.098151572418107,-0.0181343295468927,-0.0175904010140588
"miR200b",0.126523659477135,-0.0267587676890422,0.0736986749178885,-5.06784116629328e-05,0.092890220005698,0.0729556305152442,0.0633002710122642,0.0636592544848073,0.0414336710404957,0.00514931425855383,0.0128643735192719,0.0129547670323656,0.120424216212988,0.120458304023187,-0.0129547670323656,-0.0920576318080406,-0.00514931425855383,-0.0215322382299931,0.000680210575911779,-0.00017855388199103,-0.138586345883834,-0.059160889598903,-0.0583017706910827
"OVOL2",-0.16845785955904,-0.0110609584725393,-0.220939348971519,-0.00406251572759411,-0.129955156732148,0.0866960109876639,0.198669536988472,0.19869006443583,-0.0589200248274306,0.11260269925389,-0.113322543680239,-0.113307190607111,-0.28538161638604,-0.285394706112672,0.113307190607111,0.126895880121072,-0.11260269925389,-0.0219216413802925,-0.036372458523019,0.00419739811015652,0.157978949001382,0.145012188301361,0.144586670386838
"TWIST1",0.0664511058624532,-0.00983124244685038,0.155670426098513,-0.00647735749123983,0.0189524526620163,-0.0712805228245927,-0.0689439267838542,-0.0688339417103998,0.00619351552489814,0.0387844621992711,-0.0576528335978394,-0.0576295108317347,-0.0147782366937221,-0.0146557157069111,0.0576295108317347,0.0461233609627315,-0.0387844621992711,0.0638977226204082,-0.0129903620366841,-0.0937244283543409,-0.0819640555424966,-0.0650581893943051,-0.0641519502866021
"miR205",0.121556583261248,-0.00752075042882333,0.0285529909139016,0.0918047803126766,0.0194658405792948,0.0702231863466011,0.0604528078377619,0.0609284792281097,0.109105653197182,-0.00100882485213597,0.0090966142526929,0.00920903521640764,0.00979692531030017,0.00989849648947808,-0.00920903521640764,-0.00567611318939598,0.00100882485213597,-0.0178957203929946,-0.0863963017987447,-0.0920765977831267,-0.0483576357829556,-0.0552795866539467,-0.0540842677979482
"miR200c",0.00034615143147986,-0.00298599444755466,0.0363757233962865,0.0694284269811914,0.00876454181456219,0.0673959971301789,0.0563296393982532,0.0566530799527227,0.0109766409234792,-1.71380365016344e-05,0.00338816414145791,0.0034593629826354,-0.0998158954293151,-0.0997045419159981,-0.0034593629826354,-0.0151338258924447,1.71380365016344e-05,-0.0122750509997104,-0.0546071437024238,-0.069589629045761,0.0739615825095801,-0.00229842351975591,-0.00143750352407852
"miR200a",0.104434665152242,0.0125295624065714,-0.0133250727075003,-0.0128085830137911,0.0347080993276489,0.0645388016042787,0.0549760111605478,0.0547520907766842,0.0367141689622419,-0.00841368811162834,0.00446507068212618,0.00440770986023711,0.127529818109999,0.127410510774302,-0.00440770986023711,-0.08669438508432,0.00841368811162834,-0.0133412792273553,0.00894984540452062,0.0129106283574177,-0.114396355975307,-0.0387281365322544,-0.0392738661529453
"ZEB1",0.104378431506247,0.0145915713315294,0.0214186400995686,0.0742420486217421,0.00959226848727802,0.0655356391247313,0.0581696922248286,0.0581122143538089,0.107889501617913,-0.0096940607538012,-0.0923054805972397,0.00767116092649639,0.0242584862122378,0.0242404201085933,-0.00767116092649639,-0.00441301646267452,0.0096940607538012,-0.0189610473293826,-0.0707196896158741,-0.0742005840198924,-0.0398264589385248,-0.0460276920535313,-0.0461673004153374
"GRHL2",-0.0614687441357073,0.0146371673311787,-0.105315966146284,0.00285515059659854,-0.0100693328439358,0.199454512680727,0.0409139975422681,0.0409920994913456,0.00617249779639728,0.000634925814798208,-0.00699939926470567,-0.00700616831138371,-0.133287206909364,-0.133141417345236,0.00700616831138371,0.00637960829879556,-0.000634925814798208,0.0282192103062465,-0.0539090919513589,-0.00303146136600717,0.112699783583401,0.10222625248497,0.102896176337252
"FOXC2",0.104479417511336,0.0146844562929998,0.0215022993485935,0.0741857169408048,0.00969503321760182,0.0655513967878965,0.0581122143538089,0.0582070910141505,0.107959092921028,-0.00961741610804781,0.00767116092649639,0.0076843391255042,0.0242404201085933,0.0242328214068857,-0.0076843391255042,-0.00437632594717278,0.00961741610804781,-0.0189833325882504,-0.0706224298851797,-0.0742420486217421,-0.0397391113923438,-0.0461673004153374,-0.04586776085044
"CDH1",0.0813395278440509,0.0467287022633916,0.107314769609303,0.107289690388036,0.0171093445956923,0.0381958411712548,0.0416400593356519,0.041434615062411,0.0825188771664966,-0.0447363232646305,0.0430578658929779,0.0429744403102021,0.0252164635613811,0.0255540456552085,-0.0429744403102021,-0.0152549978309366,0.0447363232646305,-0.0466030237567262,-0.0398500643278061,-0.10807056688206,-0.0642707542687392,-0.0560412637220107,-0.0532881984701586
"CLDN7",0.079086580061906,0.0469936707566338,0.2067453118733,0.108306147309624,0.0165960841344975,0.0382634103131267,0.041434615062411,0.0413768115942029,0.0807326294814497,-0.0445728517235397,0.0429744403102021,0.0430731858757947,0.0255540456552085,0.0245752528330225,-0.0430731858757947,-0.0163146004799433,0.0445728517235397,-0.0466841846826101,-0.0417065558873411,-0.107289690388036,-0.0653717274410294,-0.0532881984701586,-0.0583396066060549
"TWIST2",0.0586394260183471,0.146719759074071,0.0641758731928217,0.154902047256277,-0.0399734239145462,-0.0450754790241931,-0.0325713562883867,-0.0327408100993858,0.0701171625659635,-0.0674784086286465,-0.00860065711429097,-0.00864015290266242,0.0138473981370794,0.0139082517799749,0.00864015290266242,0.0105807730213477,0.0674784086286465,0.0104508780020679,-0.0178353521735974,-0.155028858592355,-0.0550963132309046,-0.0428644496550051,-0.0425003329638612
