"","ZEB2","KLF8","SNAI2","SNAI1","OVOL2","miR34a","TWIST1","miR200b","miR200a","NP63","miR205","GSC","FOXC2","CLDN7","GRHL2","CDH1","ZEB1","miR141","TGFbeta","miR200c","TCF3","miR101","TWIST2"
"OVOL2",-0.0466338769786582,0.00376095484872745,0.0425107227750127,0.199136165069412,0.218531956871089,0.150017191883695,0.06180081698189,0.0473921152587441,0.108398708592997,0.286687848139937,0.286920132412671,0.241128797027444,0.028503875998031,0.0844822114304284,0.0596674075136682,0.199155826029485,-0.0845657701912588,-0.0844822114304284,-0.24123971523732,-0.108398708592997,-0.0618277934584025,-0.00393532945802963,-0.079477235174432
"GRHL2",-0.04261874379265,-0.071623581597047,-0.0681084334267021,-0.00733303889168719,-0.146171312067754,0.00317727503735204,-0.000689139978666664,0.0993737921081759,0.0158922867455788,-0.0220078428847068,-0.0220199920767855,-0.103988702566618,0.029283128501233,0.00716464380015173,0.0240507882162201,-0.0484440361246058,-0.00725788195923306,-0.00716464380015173,0.103887259637967,-0.0158922867455788,0.000223795161047148,0.0713022646376738,0.0244087949225008
"miR200c",-0.034552783905929,-0.0898779280133496,-0.0470712716337052,0.173341298385705,-0.149068433168044,0.00790792548614542,0.0162444087641261,0.028965247294025,0.0057344386058503,-0.0552556799890629,-0.0549855538117037,0.0887276632655182,0.036690948322569,-0.0153150853756668,0.00815156356452885,-0.0981106023080189,0.0150889899960029,0.0153150853756668,-0.0890026382677907,-0.0057344386058503,-0.0173225400033115,0.0890296156326717,0.031239464589515
"miR200b",-0.034552783905929,-0.0898779280133496,-0.0470712716337052,0.173341298385705,-0.149068433168044,0.00790792548614542,0.0162444087641261,0.028965247294025,0.0057344386058503,-0.0552556799890629,-0.0549855538117037,0.0887276632655182,0.036690948322569,-0.0153150853756668,0.00815156356452885,-0.0981106023080189,0.0150889899960029,0.0153150853756668,-0.0890026382677907,-0.0057344386058503,-0.0173225400033115,0.0890296156326717,0.031239464589515
"miR141",-0.0332869554125547,-0.148000106964063,-0.0920027500228406,0.258063134076995,0.108855301797431,0.121085297346002,0.0936783826363132,0.0328751199035743,0.00492260602637203,0.0455065674355418,0.0455918704389184,0.125239572438461,0.0752571723368605,-0.0167096279552767,0.0184452757866494,0.0952954278123375,0.0167683279403227,0.0167096279552767,-0.125162306735344,-0.00492260602637203,-0.0929995592634928,0.148367528886905,-0.0108808442772187
"TWIST1",-0.0150217306553027,-0.112285850817108,-0.0254074694128292,0.337601009224988,0.108221566862331,0.126880775034668,0.21593869743465,0.0146792837609521,0.0196136960808685,0.0234348041208756,0.0233130349324083,0.012304233945883,0.0733204855139345,0.054899321699931,-0.0537015563178619,-0.0661432807634224,-0.0546069850179091,-0.054899321699931,-0.0119178698110034,-0.0196136960808685,-0.314201051711774,0.113420143502464,0.0139671099785603
"miR205",-0.00172883181003419,0.0524847175664731,0.0343168232921582,-0.111310235397825,-0.128608120220406,-0.00965819500067516,-0.0974624189525433,-0.00162125880331445,-0.000521641994283579,-0.0505222166420966,-0.0503933889738774,-0.0197059909432709,-0.0979982953693197,-0.00145096410176766,-0.00564194998808841,-0.096036117965316,0.00125282991709914,0.00145096410176766,0.0194599982436994,0.000521641994283579,0.0962392403355176,-0.0533295764437495,0.051619973950626
"miR34a",0.00561469611222791,-0.0726986516752238,-0.0184952412625684,0.159374326956808,-0.167298353172364,0.00307606732952219,0.124716736848013,-0.0428001823048974,-0.11775337122055,-0.0339415066904026,-0.0341458702304332,-0.0230874352033912,0.0908295900114934,-0.126013989566228,0.123447014139323,-0.0605281154218898,0.126257907676375,0.126013989566228,0.0234271464186884,0.11775337122055,-0.123420019189191,0.0735821796408046,-0.0469938931559257
"FOXC2",0.0221530284699118,0.05320943786229,0.0243534227355499,-0.131922578591945,-0.134782337656471,-0.0220013054728949,-0.102429084263915,-0.0125621306492024,-0.0104962977708221,-0.0532061839288398,-0.0531113072684983,-0.0372839248879788,-0.0982241113869472,-0.00381003407883486,-0.00608205148429007,-0.127317093354732,0.00361321130010532,0.00381003407883486,0.0370288256163686,0.0104962977708221,0.1010940234257,-0.0540464369893461,0.0615615972632713
"ZEB1",0.0223461181316642,0.0540464369893461,0.0245011587087202,-0.132246935072464,-0.134682183017709,-0.0218392556960955,-0.102178493844041,-0.0122825627056427,-0.0102406507911156,-0.0530826065061475,-0.0532061839288398,-0.0370288256163686,-0.0978126443617389,-0.00361321130010532,-0.00626751016402069,-0.127369203602174,-0.096302171029071,0.00361321130010532,0.0371383656625172,0.0102406507911156,0.102429084263915,-0.053801020184908,0.0619448669833731
"SNAI2",0.0822983485264353,0.072588858864918,-0.078141052406342,-0.156029833132326,-0.0087518881282049,-0.0453427852181609,-0.0230528731647816,-0.0287887830233923,-0.0315802049039805,-0.00340084318799722,-0.00371553893689172,-0.0105131847454225,-0.0937654934858365,0.0173449985258457,-0.0179630395470864,0.00353669839138867,-0.01713881083849,-0.0173449985258457,0.0107945593010619,0.0315802049039805,0.0239120498060583,-0.0719055665753685,-0.00907415072772239
"KLF8",0.0827065444541511,0.0730020485222709,0.0222527916468533,-0.155796630570425,-0.00887510511524852,-0.0444653222964757,-0.0209319701247834,-0.0282479069265974,-0.0310509526265684,-0.00351009466365083,-0.0044927536231884,-0.0101718341243021,-0.0922070170408984,0.01764557121295,-0.0183167623333478,-0.0966867614154526,-0.016830005986018,-0.01764557121295,0.0112231301185019,0.0310509526265684,0.0234489110734765,-0.0707222094520876,-0.00859799761636681
"TGFbeta",0.134486285801918,0.157614331431783,0.00862188394048974,-0.336110468323402,0.132867061500245,-0.141227695847806,-0.150946702630277,-0.0779360713982107,-0.0122501407440838,0.0179748213967683,0.0180320577009384,-0.187699919293433,-0.0998510335849891,0.104951996992486,-0.102279860693202,0.00323062193677926,-0.105169000085423,-0.104951996992486,0.0873832422735851,0.0122501407440838,0.149505911216033,-0.158465374634863,0.0061005522969668
