"","ZEB2","miR101","SNAI1","SNAI2","TWIST1","NP63","miR205","miR200b","miR141","ZEB1","GRHL2","CLDN7","GSC","TGFbeta","miR34a","miR200a","miR200c","CDH1","OVOL2","TCF3","FOXC2","TWIST2","KLF8"
"miR200c",0.00609768955763968,0.0594616775820111,0.282963578685204,-0.10465939351539,0.154714193402359,-0.0795593026077559,-0.0794135766436542,0.0818139088447565,0.0331694070665421,-0.0332571222533219,0.0411582623139664,-0.0331694070665421,-0.106362737244928,-0.106378644889687,-0.168850689652804,0.0222995301826363,-0.0155594935910497,0.0566588785067218,0.0866894944692578,-0.154088611078388,-0.262509338052273,0.121605311662953,-0.0591086643620262
"miR200a",0.0107238388085983,-0.0241874282150889,-0.2074738417405,0.119246358884101,-0.15200462404352,-0.0414287654885125,-0.0419157034661205,-0.0518552739510778,-0.0174814685660633,0.0175732012423139,-0.00818146795566528,0.0174814685660633,0.116726196202349,0.11669778969385,0.0390800806885435,-0.00509026547281018,0.0156361854456597,0.00302216792117926,0.055819603113149,0.151639331291698,0.22185094682443,-0.0488538723171598,0.023915463948672
"miR200b",0.0133494179329512,0.0431488022609492,0.268175354553857,-0.120650352508635,0.140406371234238,-0.0851654392315329,-0.085275622277561,0.0502772202919606,0.0379694335751959,-0.0380272407848039,0.04571137546206,-0.0379694335751959,-0.0983822831646422,-0.0984743202521797,-0.169689583232068,0.0278386192164271,-0.0150262359340142,-0.00442028597749552,0.0926267192348557,-0.139768957566077,-0.244660917649485,0.135736031677071,-0.0428822412581035
"miR141",0.0133494179329512,0.0431488022609492,0.268175354553857,-0.120650352508635,0.140406371234238,-0.0851654392315329,-0.085275622277561,0.0502772202919606,0.0379694335751959,-0.0380272407848039,0.04571137546206,-0.0379694335751959,-0.0983822831646422,-0.0984743202521797,-0.169689583232068,0.0278386192164271,-0.0150262359340142,-0.00442028597749552,0.0926267192348557,-0.139768957566077,-0.244660917649485,0.135736031677071,-0.0428822412581035
"SNAI2",0.0182403794632747,-0.0108437742244907,-0.0102251417951681,-0.113103961581633,0.0500313676236358,0.012930293217204,0.0128299161248842,-0.00470885961183901,-0.00519588819104767,0.00521936924937496,-0.00589545877417896,0.00519588819104767,-0.000144409478317771,-0.000106921597244841,0.00652697816918026,0.00635956410639091,0.0121968893878105,-0.0951861884984123,-0.0167393472241017,-0.049954291091173,-0.00455059995042042,0.0163216651240046,0.0108222695940582
"CDH1",0.0182579818305552,-0.0108222695940582,-0.0101409873249628,-0.0130937837408282,0.049954291091173,0.0128299161248842,0.0129839993298149,-0.00472466886832,-0.00521674458674162,0.00519588819104767,-0.00593111244864665,0.00521674458674162,-0.000113720197060738,-0.000144409478317771,0.00651774860689225,0.00636329398834014,0.0122248635024298,-0.0951983018713707,-0.0167605182862841,-0.0504376908255687,-0.00467662951008078,0.0163794681582886,0.0109419680832691
"TCF3",0.018295834472447,-0.0109419680832691,-0.0100547343985242,-0.0131053067711756,0.0504376908255687,0.0129839993298149,0.012463768115942,-0.00451315230938379,-0.00511799902114897,0.00521674458674162,-0.00578502278205574,0.00511799902114897,0.000194418283997809,-0.000113720197060738,0.00634291416980616,0.00633569489698715,0.0120826220316105,0.00488602714444334,-0.0166929491444122,-0.0502440799833616,-0.00504104793412044,0.0166461722571095,0.0103906344519176
"CLDN7",0.018295834472447,-0.0109419680832691,-0.0100547343985242,-0.0131053067711756,0.0504376908255687,0.0129839993298149,0.012463768115942,-0.00451315230938379,-0.00511799902114897,0.00521674458674162,-0.00578502278205574,0.00511799902114897,0.000194418283997809,-0.000113720197060738,0.00634291416980616,0.00633569489698715,0.0120826220316105,0.00488602714444334,-0.0166929491444122,-0.0502440799833616,-0.00504104793412044,0.0166461722571095,0.0103906344519176
"TWIST1",0.0216664734034098,0.0299805871694879,0.335668051918488,-0.156345205104994,0.136526684863793,-0.142545041879756,-0.142548969918093,0.0903393738862058,0.15051154637159,-0.150573617013657,0.162090443869118,-0.15051154637159,0.00509473016323101,0.00500291776134964,-0.198721280986559,0.0990205560934097,-0.0609985327745241,-0.10183884398837,0.129404574504611,-0.236050404912483,-0.40169082692263,0.202982162674733,-0.0297206658429928
"OVOL2",0.022870354969316,0.0810296864412629,-0.194530644008373,0.136135915208604,-0.0853162567321923,-0.290184622063376,-0.290343439682408,-0.0376831726648731,0.0672316272967814,-0.0671980679245455,0.123716102018311,-0.0672316272967814,0.245469803240841,0.245517339616503,-0.0163926486309322,0.0877828336486348,-0.0722218870087327,0.130820146809653,0.169949141663563,0.0848702456538526,0.196810484492335,-0.131515812436118,-0.0812479288768046
"miR34a",0.114280230932631,-0.0748424876525552,-0.302630077701262,0.0992096247627645,-0.0877657609935839,-0.0727189089992024,-0.0729592253842384,-0.0415976797637171,0.0606746330245364,-0.0606058600159196,0.0679167338166722,-0.0606746330245364,0.0364540948552373,0.0365102105622047,0.0941665914187859,0.122344379294896,-0.0306893748526833,-0.00510651457895129,0.0746349212778006,0.0872784093051741,0.244309720894958,-0.228516681177248,0.0746264074435816
"NP63",0.119811033844894,0.0219412789953667,-0.00494708008681429,0.0335599392868216,0.0468350030510651,-0.0802966574358294,0.0199290519364835,-0.071957484065098,0.0851740832520664,-0.0852226007539918,-0.0535965734788591,-0.0851740832520664,0.126863280996142,0.126955710347596,-0.0882501012326823,0.0990139792931238,-0.0163506504104015,-0.0689474839678246,0.211829989218092,-0.0473892496571461,-0.000342240630721275,0.00161052328384857,-0.0220152962112228
