"","FOXC2","TGF","TGFR","CDC42","PAK1","SOSGRB2","SNAI1","HEY1","EGR1","SMAD","ILK","MEK","SHH","TWIST1","AKT","cfos","IKK","ERK","NFB","SMO","Csn","FUS","Jagged","NOTCH","NOTCHic","Csl","KLF4","cateninmemb","ZEB2","ZEB1","SNAI2","RAS","RAF","PI3K","DELTA","GSK3","Ecadherin","miR200","cateninnuc","GLI","TCFLEF","Wnt","CD44","cMet","Frizzled","SRC","DSH","STAT","AXIN2","TrCP","SUFU","LIV1","Destcompl","Patched"
"AXIN2",0.107973934144965,0.0624665374094979,0.0629673721340388,0.0647530864197531,0.0783333333333333,-0.0657979407979408,0.150612027612028,0.0125901875901876,0.122222222222222,0.0120477831406439,0.0155674518777039,0.0706709956709956,-0.15759442042581,-0.0388500439303863,0.0987509364747216,0.0972222222222222,0.103296391020176,0.0797619047619047,0.109178743961353,-0.155253283302064,0.122222222222222,-0.157692307692308,-0.222505725825612,-0.0552838130127243,-0.0532290184921764,-0.0505263157894737,-0.251968153611989,0.250010852665555,0.242720270815801,0.242720270815801,-0.280322751504638,0.0666764989727169,0.0694802372904739,0.0694802372904739,0.0694802372904739,-0.167794900438596,0.0645448109259825,-0.257119058936247,-0.240587746071882,-0.237208142308837,-0.238894302737101,-0.235950280673617,-0.236896652913364,-0.235950280673617,-0.237674418604651,-0.237674418604651,-0.24,-0.24,0.182032686545068,-0.133333333333333,0.15,-0.233333333333333,0.160366315603491,0.155253283302064
"Wnt",0.174017094017094,0.201212121212121,0.146666666666667,0.1,0.1,0.12,0.0990058479532164,0.058974358974359,0.1,0.0506410256410256,0.0506410256410256,0.155555555555556,0.104285714285714,0.22030959752322,0.133333333333333,0.1,0.0866666666666667,0.1,0.0666666666666667,0.05,0.1,0,0.149583333333333,0.190683229813665,0.142857142857143,0.1,-0.262745098039216,-0.334123931623932,0.301206636500754,0.301206636500754,0.336923076923077,0.156187929717341,0.12436974789916,0.12436974789916,0.12436974789916,-0.0737012987012987,-0.40009074941452,-0.304067085953878,0.327733763940051,0.286842105263158,0.308270676691729,0.25,0.286842105263158,0.25,0.3,0.2,0.2,0.1,0.31030303030303,-0.1,0,0,-0.0199097195543603,-0.09
"Frizzled",0.208956853053239,0.23650623885918,0.201212121212121,0.146666666666667,0.1,0.160740740740741,0.116079018684924,0.058974358974359,0.1,0.0578575204863865,0.0506410256410256,0.196296296296296,0.11576112412178,0.241463443677066,0.16,0.1,0.133333333333333,0.155555555555556,0.0866666666666667,0.09,0.0666666666666667,0.05,0.161828231292517,0.221295474711624,0.190683229813665,0.142857142857143,-0.297745098039216,-0.364868268193511,0.333859697725244,0.333859697725244,0.364791929382093,0.180381478104438,0.156187929717341,0.156187929717341,0.156187929717341,-0.0947204069815535,-0.434219627696143,-0.337400419287212,0.346574343650196,0.308270676691729,0.327733763940051,0.286842105263158,0.308270676691729,0.286842105263158,0.25,0.25,0.3,0.2,0.340535588442565,-0.1,0,0.1,-0.00539359052210228,-0.104285714285714
"RAF",0.272390572390572,0.303757298806804,0.251282051282051,0.207692307692308,0.2,0.207272727272727,0.194270137961727,0.132153110047847,0.1,0.127851274897311,0.125677361853832,0.236682615629984,0.187432321575062,0.363210702341137,0.137173579109063,0.133333333333333,0.0952380952380952,0.178787878787879,0.0666666666666667,0.12,0.1,0.08,0.245993497800727,0.202,0.15,0.1,-0.318245614035088,-0.468475137544257,0.353801169590643,0.353801169590643,0.613382428875096,0.115531135531136,0.0688644688644689,0.0688644688644689,0.0688644688644689,-0.143712121212121,-0.533359483156437,-0.363716707021792,0.369591303174092,0.318,0.346348059930849,0.27,0.316421052631579,0.268421052631579,0.2,0.2,0.1,0.1,0.336219336219336,-0.1,-0.1,0,0.0402076242341729,-0.159130434782609
"HEY1",0.390184513006655,0.373652623798965,0.340969696969697,0.307636363636364,0.263636363636364,0.3,0.335454758886228,0.108561915332171,0.2,0.100092592592593,0.0875,0.358419307295505,0.323191391941392,0.412614379084967,0.33989417989418,0.275,0.302857142857143,0.322826086956522,0.26,0.266666666666667,0.2,0.233333333333333,0.353289306267112,0.376317269274404,0.342296650717703,0.305454545454545,-0.266666666666667,-0.592777865765671,0.354514963880289,0.354514963880289,0.463834025111634,0.401270570225794,0.375897435897436,0.375897435897436,0.375897435897436,-0.346211168371395,-0.673337617420235,-0.362568172568173,0.395647049521164,0.353897196408636,0.376344434328137,0.326310989512084,0.353267511251214,0.326310989512084,0.296078431372549,0.296078431372549,0.266666666666667,0.266666666666667,0.40259545543053,-0.1,-0.2,0.233333333333333,0.342269118942678,-0.297916666666667
"FOXC2",0.390184513006655,0.373652623798965,0.340969696969697,0.307636363636364,0.263636363636364,0.3,0.335454758886228,0.108561915332171,0.2,0.100092592592593,0.0875,0.358419307295505,0.323191391941392,0.412614379084967,0.33989417989418,0.275,0.302857142857143,0.322826086956522,0.26,0.266666666666667,0.2,0.233333333333333,0.353289306267112,0.376317269274404,0.342296650717703,0.305454545454545,-0.266666666666667,-0.592777865765671,0.354514963880289,0.354514963880289,0.463834025111634,0.401270570225794,0.375897435897436,0.375897435897436,0.375897435897436,-0.346211168371395,-0.673337617420235,-0.362568172568173,0.395647049521164,0.353897196408636,0.376344434328137,0.326310989512084,0.353267511251214,0.326310989512084,0.296078431372549,0.296078431372549,0.266666666666667,0.266666666666667,0.40259545543053,-0.1,-0.2,0.233333333333333,0.342269118942678,-0.297916666666667
"DSH",0.227899584330772,0.255940867834445,0.23650623885918,0.201212121212121,0.146666666666667,0.196851851851852,0.133256932795353,0.0685897435897436,0.1,0.069504106831768,0.0578575204863865,0.23150756390193,0.128179424775375,0.259874996023636,0.176279069767442,0.155555555555556,0.16,0.196296296296296,0.133333333333333,0.104285714285714,0.0866666666666667,0.09,0.17646237763398,0.239605333866553,0.221295474711624,0.190683229813665,-0.327745098039216,-0.391398880438409,0.359062949757764,0.359062949757764,0.387628467843632,0.202962123265729,0.180381478104438,0.180381478104438,0.180381478104438,-0.111066560827707,-0.461114934555349,-0.36404618731229,0.363271258350741,0.327475974704974,0.346574343650196,0.308270676691729,0.327733763940051,0.308270676691729,0.286842105263158,0.286842105263158,0.25,0.25,0.363939843761714,-0.0666666666666667,-0.05,0.2,0.0067541257072466,-0.11576112412178
"PI3K",0.250881009025339,0.270441176470588,0.232107843137255,0.177941176470588,0.125,0.204166666666667,0.170313509586894,0.0712971342383107,0.1,0.0746854936664931,0.0649509803921569,0.232638888888889,0.12914901999409,0.274032533123442,0.274324324324324,0.133333333333333,0.25,0.188888888888889,0.2,0.0954545454545455,0.166666666666667,0.05,0.181361848574238,0.235333333333333,0.202,0.15,-0.3343058733791,-0.395409143296197,0.371326232247285,0.371326232247285,0.392700020046703,0.222230436230436,0.190761904761905,0.190761904761905,0.190761904761905,-0.183624301675978,-0.469481746979955,-0.371976610959662,0.379522044907177,0.332612411742847,0.357183840314275,0.303381642512077,0.332612411742847,0.303381642512077,0.255555555555556,0.255555555555556,0.2,0.2,0.358952380952381,-0.2,0,0.1,-0.0166034740453345,-0.110839160839161
"ILK",0.250881009025339,0.270441176470588,0.232107843137255,0.177941176470588,0.125,0.204166666666667,0.170313509586894,0.0712971342383107,0.1,0.0746854936664931,0.0649509803921569,0.232638888888889,0.12914901999409,0.274032533123442,0.274324324324324,0.133333333333333,0.25,0.188888888888889,0.2,0.0954545454545455,0.166666666666667,0.05,0.181361848574238,0.235333333333333,0.202,0.15,-0.3343058733791,-0.395409143296197,0.371326232247285,0.371326232247285,0.392700020046703,0.222230436230436,0.190761904761905,0.190761904761905,0.190761904761905,-0.183624301675978,-0.469481746979955,-0.371976610959662,0.379522044907177,0.332612411742847,0.357183840314275,0.303381642512077,0.332612411742847,0.303381642512077,0.255555555555556,0.255555555555556,0.2,0.2,0.358952380952381,-0.2,0,0.1,-0.0166034740453345,-0.110839160839161
"SHH",0.35,0.44,0.4,0.3,0.2,0.3,0.283333333333333,0.0666666666666667,0,0.0939393939393939,0.0666666666666667,0.2,0.253333333333333,0.2,0.15,0,0.1,0.1,0,0.3,0,0.2,0.162857142857143,0.233333333333333,0.2,0.1,-0.3,-0.299068100358423,0.375,0.375,0.365555555555556,0.303846153846154,0.25,0.25,0.25,-0.266666666666667,-0.341666666666667,-0.383333333333333,0.241111111111111,0.25,0.196666666666667,0.2,0.15,0.1,0.2,0.1,0.2,0.1,0.276190476190476,0,-0.2,0,0.272987012987013,-0.333333333333333
"SNAI2",0.425495673461765,0.41151863197899,0.375493787258493,0.333613445378151,0.276470588235294,0.339684959349593,0.370707106464215,0.114393939393939,0.2,0.107971014492754,0.091304347826087,0.388014184397163,0.364441776710684,0.448322008191805,0.36889281262983,0.283333333333333,0.326724137931034,0.343333333333333,0.275,0.301176470588235,0.2,0.26,0.40120049600868,0.41441672362725,0.376754385964912,0.332894736842105,-0.286538461538462,-0.63753975365315,0.378588839941263,0.378588839941263,0.709972263610913,0.442320695323872,0.412827607766268,0.412827607766268,0.412827607766268,-0.385059817342904,-0.808697355889322,-0.386587993124707,0.449540131104475,0.402974962071897,0.427956280172798,0.373563197366014,0.40259545543053,0.373563197366014,0.341168831168831,0.341168831168831,0.305454545454545,0.305454545454545,0.447100565604419,-0.1,-0.2,0.26,0.385920165344709,-0.335870348139256
"cateninnuc",0.393244677451218,0.377141447631356,0.357317659085101,0.331736263736264,0.299428571428571,0.289689722042663,0.335128942430957,0.118725038402458,0.293333333333333,0.104430120432114,0.0969802636985899,0.364000687994496,0.214255812569682,0.323632480860926,0.343747120362089,0.321111111111111,0.326615646258503,0.343216374269006,0.304166666666667,0.185367231638418,0.270833333333333,0.163333333333333,0.246302274467011,0.374353491250387,0.355732801595214,0.332203389830509,-0.300580085778642,-0.409600622756577,0.381084727746223,0.381084727746223,0.461646999647706,0.389734024942059,0.373323768531803,0.373323768531803,0.373323768531803,-0.335644464447271,-0.492226420800541,-0.388466698140804,0.181888924060339,0.255050909979439,0.268997324393025,0.238054862548609,0.254090957351827,0.237027465288335,0.217402688635565,0.216375291375291,0.191375291375291,0.191375291375291,0.395647049521164,-0.233333333333333,-0.133333333333333,0.160606060606061,0.32068708707023,-0.201617231638418
"SOSGRB2",0.353784403669725,0.379794724907507,0.332426303854875,0.293650793650794,0.271428571428571,0.15021645021645,0.331263982102908,0.233981191222571,0.166666666666667,0.228135452174052,0.224318658280922,0.281247947454844,0.275212630506748,0.39422559721563,0.321535947712418,0.186666666666667,0.292647058823529,0.22952380952381,0.275,0.213333333333333,0.3,0.18,0.343893557422969,0.38578431372549,0.341666666666667,0.3,-0.353400673400673,-0.489972994728779,0.387775673400673,0.387775673400673,0.636440030557678,0.348750623398511,0.298046398046398,0.298046398046398,0.298046398046398,-0.290455270587659,-0.556616911483129,-0.399257703081233,0.394891245709639,0.330223880597015,0.367180402336145,0.275,0.329136924075276,0.273913043478261,0.2,0.2,0.1,0.1,0.344886363636364,-0.2,-0.2,0,-0.0211566109555276,-0.242745098039216
"MEK",0.315104140229768,0.34753239920841,0.303757298806804,0.251282051282051,0.207692307692308,0.243504611330698,0.22109940625441,0.134153110047847,0.133333333333333,0.137416492288615,0.127851274897311,0.187502287761132,0.205742180729991,0.395210702341137,0.173284690220174,0.178787878787879,0.137173579109063,0.236682615629984,0.0952380952380952,0.159130434782609,0.0666666666666667,0.12,0.264770790377146,0.242983606557377,0.202,0.15,-0.350854309687262,-0.503030111366247,0.391578947368421,0.391578947368421,0.646627461987679,0.15021127021127,0.115531135531136,0.115531135531136,0.115531135531136,-0.172167405764967,-0.57308280331454,-0.40030207287545,0.390424636507426,0.34792700729927,0.369591303174092,0.318,0.346348059930849,0.316421052631579,0.27,0.268421052631579,0.2,0.2,0.376406252107187,-0.1,-0.08,0.1,0.05857045609258,-0.187432321575062
"RAS",0.336843480008037,0.36125,0.31125,0.28,0.26,0.146078431372549,0.291111111111111,0.143680709534368,0.1,0.141063094209162,0.137692307692308,0.225714285714286,0.179329004329004,0.370927630927631,0.206060606060606,0.133333333333333,0.166666666666667,0.173333333333333,0.166666666666667,0.109090909090909,0.2,0.1,0.250465415581695,0.274222222222222,0.222222222222222,0.2,-0.353007518796992,-0.398763532763533,0.392137953579601,0.392137953579601,0.571365156582548,0.168585635595945,0.216008316008316,0.216008316008316,0.216008316008316,-0.205768806212265,-0.467116655795263,-0.401593220338983,0.407493368068782,0.338970588235294,0.378797715894869,0.276470588235294,0.338172715894869,0.276470588235294,0.2,0.2,0.1,0.1,0.349934123847167,-0.2,-0.1,0,-0.0256590194253314,-0.150757575757576
"AKT",0.275308489941369,0.29582343946753,0.270441176470588,0.232107843137255,0.177941176470588,0.244166666666667,0.193185850012426,0.0836938284531867,0.133333333333333,0.085717522136244,0.0746854936664931,0.269224254742547,0.14600295257836,0.298256135607914,0.19473248758963,0.188888888888889,0.274324324324324,0.232638888888889,0.25,0.110839160839161,0.2,0.0954545454545455,0.200111848574238,0.259259713701432,0.235333333333333,0.202,-0.365884820747521,-0.426186345368736,0.400903697036017,0.400903697036017,0.420029212593287,0.249825372939297,0.222230436230436,0.222230436230436,0.222230436230436,-0.203374821426497,-0.501416478914687,-0.401839624658292,0.398521263046348,0.356906197053581,0.379522044907177,0.332612411742847,0.357183840314275,0.332612411742847,0.303381642512077,0.303381642512077,0.255555555555556,0.255555555555556,0.388406926406926,-0.166666666666667,-0.05,0.2,-0.00178865923051971,-0.12914901999409
"CD44",0.373333333333333,0.367647058823529,0.35,0.3,0.2,0.16,0.354981667463733,0.188888888888889,0.1,0.174313725490196,0.167647058823529,0.161111111111111,0.162698412698413,0.347785547785548,0.252380952380952,0.05,0.266666666666667,0.15,0.2,0.15,0.2,0.1,0.180416666666667,0.242857142857143,0.242857142857143,0.2,-0.277777777777778,-0.144133148404993,0.417777777777778,0.417777777777778,0.430625610948192,0.206060606060606,0.166666666666667,0.166666666666667,0.166666666666667,-0.190232558139535,-0.281164383561644,-0.429778506972929,0.131436531007752,0.0233333333333333,0.0861240310077519,-0.05,0.0233333333333333,0.05,-0.1,0,0,0.1,-0.02,-0.1,-0.1,0.1,-0.152272727272727,-0.138888888888889
"ERK",0.34434063929867,0.376909253807817,0.34753239920841,0.303757298806804,0.251282051282051,0.282328140742463,0.244613618140715,0.146953110047847,0.178787878787879,0.148644562464054,0.137416492288615,0.230031023393316,0.222908393264051,0.420098928868708,0.199173015093271,0.236682615629984,0.173284690220174,0.187502287761132,0.137173579109063,0.187432321575062,0.0952380952380952,0.159130434782609,0.282770790377146,0.270528516737018,0.242983606557377,0.202,-0.385053443886396,-0.533327141069217,0.423286264441592,0.423286264441592,0.673792816318387,0.177901717611512,0.15021127021127,0.15021127021127,0.15021127021127,-0.192723513014222,-0.605792384152864,-0.433816319822533,0.409009366488804,0.370593673965937,0.390424636507426,0.34792700729927,0.369591303174092,0.346348059930849,0.318,0.316421052631579,0.27,0.268421052631579,0.405858306901707,-0.0666666666666667,-0.12,0.2,0.0728790733270489,-0.205742180729991
"IKK",0.496190476190476,0.527869605142332,0.469191919191919,0.405555555555556,0.35,0.33875,0.289651162790698,0.174509803921569,0.1,0.177714646464646,0.164583333333333,0.283232323232323,0.251586206896552,0.531331981068289,0.318571428571429,0.16,0.264285714285714,0.205454545454545,0.314285714285714,0.18,0.3,0.12,0.284815905743741,0.361457668015045,0.307359307359307,0.245454545454545,-0.363369963369963,-0.568967287394254,0.423668546365915,0.423668546365915,0.65849589328731,0.384685500919749,0.338206627680312,0.338206627680312,0.338206627680312,-0.224097194939892,-0.681714469917212,-0.427570738440304,0.438934351700309,0.376239316239316,0.40957264957265,0.331623931623932,0.376239316239316,0.331623931623932,0.277777777777778,0.277777777777778,0.2,0.2,0.403095238095238,-0.2,-0.1,0.1,0.141469235253142,-0.224
"Csn",0.248840623678789,0.276029740504317,0.248184704184704,0.204184704184704,0.145454545454545,0.234898111597141,0.161294713620714,0.0689817428947864,0.153333333333333,0.0730826570605576,0.0609279609279609,0.306915642915643,0.134889771956913,0.291439679320004,0.204853372434018,0.216969696969697,0.182272727272727,0.262915642915643,0.150454545454545,0.101569264069264,0.105,0.0803571428571429,0.183495642865506,0.263725614056693,0.238121749322394,0.198395721925134,-0.393499011077704,-0.43860721406944,0.430573313114249,0.430573313114249,0.433000611738948,0.249596882690124,0.220590797497426,0.220590797497426,0.220590797497426,-0.150302162814311,-0.51172708227129,-0.438554376687745,0.416045760890945,0.372955730969856,0.396021115173138,0.348511286525412,0.373398164353466,0.348511286525412,0.318390804597701,0.318390804597701,0.266666666666667,0.266666666666667,0.406284025787966,-0.18,-0.0428571428571429,0.2,0.0545028037811137,-0.11896056841709
"STAT",0.208176237695689,0.204009658901072,0.186936488169365,0.160909090909091,0.140909090909091,0.0926330532212885,0.133475935828877,0.0451741293532338,0.1,0.0510958754294463,0.0479902853673345,0.0953846153846154,0.0525802879291251,0.0737587432633872,0.0353751610665081,0.08,0.0269005847953216,0.08,0.0111111111111111,0.0342857142857143,0,0.0142857142857143,0.0616773367477593,0.0300023116042534,0.0173809523809524,-0.00833333333333333,-0.317272727272727,-0.0578775396563982,0.431138731752229,0.431138731752229,0.0927131786983009,-0.0254786314229249,-0.0387598814229249,-0.0387598814229249,-0.0387598814229249,0.072258188896559,-0.197357761331353,-0.447387841226704,0.0279485555123698,0.00965007215007215,0.0191680677074917,-0.00146103896103896,0.009843308865048,-0.00146103896103896,-0.0196428571428571,-0.0196428571428571,-0.0571428571428571,-0.0571428571428571,-0.044031284031284,0,0,0,-0.0601859950420651,-0.0459136212624585
