"","FOXC2","TGF","TGFR","CDC42","PAK1","MEK","cfos","ERK","EGR1","SNAI1","TWIST1","Jagged","Csn","NOTCH","NOTCHic","SOSGRB2","ZEB2","ZEB1","IKK","Csl","SHH","AKT","SMO","NFB","HEY1","SNAI2","FUS","ILK","SMAD","RAS","RAF","PI3K","DELTA","cateninmemb","cateninnuc","KLF4","GLI","TCFLEF","CD44","Wnt","cMet","GSK3","Frizzled","SRC","Ecadherin","AXIN2","miR200","DSH","STAT","Patched","Destcompl","TrCP","LIV1","SUFU","RKIP"
"miR200",0.255013116964336,0.223534927849609,0.211907020872865,0.210294117647059,0.208333333333333,0.148491032776747,0.151428571428571,0.155974025974026,0.171428571428571,0.15962148962149,0.0523259971112732,0.0780024134899704,0.1,0.0741242937853107,0.06,0.0612379110251451,-0.0140681003584229,-0.0140681003584229,0.0891729323308271,0.0772413793103448,0.0952916895982389,0.100493687047808,0.085,0.126315789473684,0.0820338983050847,-0.0906174793469075,0.125,0.0757119445615021,0.0835489351571134,-0.112607240032334,-0.118342900880214,-0.118342900880214,-0.118342900880214,0.161107373701132,-0.149427018308377,0.0247412008281573,-0.150701129856059,-0.152911866793225,-0.159657898539257,-0.16169014084507,-0.168646662584201,0.0601612112522695,-0.18,-0.18695652173913,0.125446845852116,-0.200751951770151,-0.0216012581944322,-0.2,-0.2,-0.103987341772152,-0.217645754121369,-0.2,-0.2,-0.1,-0.197036555370219
"Destcompl",0.026695276035697,0.000815956146523939,0.00347605466869143,0.000844475721323006,-0.00122448979591837,0.0353002755700411,0.0397202797202797,0.0369880392831212,0.0548717948717949,0.0551853255496837,-0.0620898636841657,-0.241707759451563,-0.00952380952380952,-0.0936152014173274,-0.0918115942028986,-0.0712786802968671,0.155009911457645,0.155009911457645,-0.00936713110626154,-0.0950724637681159,-0.216570355416622,-0.00936713110626154,-0.218456486042693,-0.013871635610766,-0.14853385930309,-0.242990298217322,-0.229885057471264,-0.140396825396825,-0.138876357560568,-0.00358215250172851,-0.000285449205025214,-0.000285449205025214,-0.000285449205025214,0.229485965577747,-0.196769140306114,-0.167859572145447,-0.19144911276143,-0.194423398337731,-0.190450795598005,-0.185326663781838,-0.184853780672632,-0.0827568952194985,-0.180376168732333,-0.180376168732333,0.074258799365639,-0.242496114453817,-0.167141148142399,-0.181746031746032,-0.181746031746032,0.214829543037512,-0.0230158665756805,-0.0333333333333333,-0.188888888888889,0.233333333333333,-0.086929001469298
"AXIN2",0.0810357714104787,0.0405567981822764,0.0415468971921774,0.0486265432098765,0.0720833333333333,0.097912379574972,0.12650406504065,0.106877896816351,0.153333333333333,0.1167598332683,-0.0563630262007544,-0.281365391365391,0.1,-0.0899290455869403,-0.088577694235589,-0.0841395724425177,0.211723278240419,0.211723278240419,0.0449275362318841,-0.0796491228070176,-0.263395334174023,0.0415942028985507,-0.268131868131868,0.0608695652173913,-0.187689558582054,-0.28221017231382,-0.253846153846154,-0.184794110881067,-0.183206809293766,0.0644953863021868,0.0689573285594047,0.0689573285594047,0.0689573285594047,0.258727566014975,-0.246603334514345,-0.225485220983448,-0.238466003944057,-0.242496114453817,-0.238158482566361,-0.235950280673617,-0.235950280673617,-0.166171067300358,-0.237674418604651,-0.237674418604651,0.081556014051835,0.181234283351456,-0.226569061602264,-0.24,-0.24,0.266346153846154,0.158689631566781,-0.133333333333333,-0.233333333333333,0.2,-0.143743944227815
"Wnt",0.0950607287449393,0.134492753623188,0.0866666666666667,0.0666666666666667,0.1,0.087843137254902,0.0666666666666667,0.0466666666666667,0.1,0.00781573498964804,0.166176470588235,0.047328431372549,0.1,0.105952380952381,0.0642857142857143,0.0757575757575758,0.227833572453372,0.227833572453372,-0.02,0.05,-0.0393939393939394,0.0175,-0.1,0,-0.0902564102564102,0.328362068965517,-0.1,-0.0991452991452991,-0.110773206122043,0.14606971975393,0.118796992481203,0.118796992481203,0.118796992481203,-0.312838983050847,0.312386097694567,-0.205882352941176,0.286842105263158,0.301127819548872,0.286842105263158,0.25,0.25,-0.060423197492163,0.3,0.2,-0.353884268105354,0.31030303030303,-0.235858585858586,0.2,0.1,0.0727272727272727,-0.0247668861594981,-0.1,0,0,-0.0466666666666667
"Frizzled",0.132270031070521,0.171635610766046,0.134492753623188,0.0866666666666667,0.0666666666666667,0.124880174291939,0.0466666666666667,0.087843137254902,0.0666666666666667,0.015752242926156,0.184271708683473,0.0503587344028521,0,0.143207282913165,0.105952380952381,0.103030303030303,0.254566245720698,0.254566245720698,0.0175,0.0642857142857143,-0.0361681329423265,0.055,-0.0727272727272727,-0.02,-0.105150027277687,0.348235886000218,-0.1,-0.110773206122043,-0.126661056589333,0.162605152824796,0.14606971975393,0.14606971975393,0.14606971975393,-0.333473903685768,0.324290859599329,-0.224929971988796,0.301127819548872,0.312386097694567,0.301127819548872,0.286842105263158,0.286842105263158,-0.0767868338557994,0.25,0.25,-0.381156995378081,0.335884425651867,-0.260858585858586,0.3,0.2,0.0393939393939394,-0.0133610506157315,-0.1,0.1,0.1,-0.0680952380952381
"DSH",0.144824143624633,0.184527596828763,0.171635610766046,0.134492753623188,0.0866666666666667,0.149692204367127,0.087843137254902,0.124880174291939,0.0466666666666667,0.02067977915804,0.193491566839502,0.0503587344028521,-0.02,0.153696793402676,0.143207282913165,0.129859571322986,0.271101678791564,0.271101678791564,0.055,0.105952380952381,-0.0416896053349645,0.0630459770114943,-0.0393939393939394,0.0175,-0.119185114996985,0.364417492519426,-0.0727272727272727,-0.126661056589333,-0.136095018853484,0.178571539379418,0.162605152824796,0.162605152824796,0.162605152824796,-0.353144103921339,0.336490325316159,-0.24920181664899,0.3109317411175,0.324290859599329,0.312386097694567,0.301127819548872,0.301127819548872,-0.0909399661063794,0.286842105263158,0.286842105263158,-0.400208795202489,0.352340121854399,-0.280370780980537,0.25,0.25,0.0361681329423265,-0.00496410405084604,0,0.2,0.1,-0.07998334998335
"STAT",0.0663135650988412,0.0910268300857546,0.0818480861244019,0.0607954545454545,0.0545454545454545,0.12831119544592,0.126666666666667,0.12078431372549,0.166666666666667,-0.039403806995705,-0.0202860690866688,-0.082007071377812,-0.15,-0.0963305395629782,-0.103126656067833,-0.0507389162561576,0.281513358436435,0.281513358436435,-0.155714285714286,-0.127450980392157,-0.138947314262194,-0.150629539951574,-0.155,-0.17,-0.181333333333333,0.06671072805607,-0.175,-0.168921095008051,-0.17236937087012,-0.0545691208967569,-0.0590467328370554,-0.0590467328370554,-0.0590467328370554,-0.00547199208019548,-0.00957091383508779,-0.182739156268568,-0.0113922841864018,-0.0106436194369948,-0.00969724719724719,-0.010551948051948,-0.010551948051948,0.0742834890965732,-0.0196428571428571,-0.0196428571428571,-0.112311458455184,-0.0584693737634914,-0.30357511100962,-0.0571428571428571,-0.0571428571428571,0.143372093023256,-0.0763071439674973,0.1,0,0.15,-0.0189414414414414
"PI3K",0.18605574912892,0.213997130559541,0.177411764705882,0.129411764705882,0.1,0.159833769573403,0.080952380952381,0.122128851540616,0.0666666666666667,0.087548309178744,0.226228376834221,0.0555263157894737,0.1,0.153411910669975,0.121153846153846,0.143076923076923,0.301999772789977,0.301999772789977,0.141176470588235,0.075,-0.0457264957264957,0.164253393665158,-0.0666666666666667,0.1,-0.128924091077254,0.378218744552172,-0.1,-0.133501400560224,-0.148701400560224,0.206873984463026,0.18221645021645,0.18221645021645,0.18221645021645,-0.368587897002309,0.3602613496766,-0.274122807017544,0.326458565589,0.343972689882786,0.326458565589,0.303381642512077,0.303381642512077,-0.17027417027417,0.255555555555556,0.255555555555556,-0.422332651115194,0.354952380952381,-0.304302103892268,0.2,0.2,0.0512820512820513,-0.0237496993086714,-0.2,0.1,0.1,-0.0983354880413704
"ILK",0.18605574912892,0.213997130559541,0.177411764705882,0.129411764705882,0.1,0.159833769573403,0.080952380952381,0.122128851540616,0.0666666666666667,0.087548309178744,0.226228376834221,0.0555263157894737,0.1,0.153411910669975,0.121153846153846,0.143076923076923,0.301999772789977,0.301999772789977,0.141176470588235,0.075,-0.0457264957264957,0.164253393665158,-0.0666666666666667,0.1,-0.128924091077254,0.378218744552172,-0.1,-0.133501400560224,-0.148701400560224,0.206873984463026,0.18221645021645,0.18221645021645,0.18221645021645,-0.368587897002309,0.3602613496766,-0.274122807017544,0.326458565589,0.343972689882786,0.326458565589,0.303381642512077,0.303381642512077,-0.17027417027417,0.255555555555556,0.255555555555556,-0.422332651115194,0.354952380952381,-0.304302103892268,0.2,0.2,0.0512820512820513,-0.0237496993086714,-0.2,0.1,0.1,-0.0983354880413704
"RAF",0.221367521367521,0.257329773030708,0.217142857142857,0.193333333333333,0.2,0.201107850330154,0.17,0.173448275862069,0.17,0.127259352324766,0.327394533571004,0.142483224189506,0.1,0.123310023310023,0.0848484848484849,0.0453968253968254,0.302744141559063,0.302744141559063,0.0160714285714286,0.0666666666666667,0.0466448087431694,0.0372835497835498,0.0133333333333333,0.0285714285714286,-0.0167247386759582,0.614897126537273,0.0333333333333333,-0.0348951647411211,-0.045786253850032,0.0911449661449661,0.050974025974026,0.050974025974026,0.050974025974026,-0.457271557271557,0.36375993766512,-0.284744141559063,0.32,0.345693779904306,0.318421052631579,0.27,0.268421052631579,-0.152718676122931,0.2,0.2,-0.501447943773244,0.337271448663854,-0.314650611930121,0.1,0.1,-0.0253333333333333,0.0215419268752797,-0.1,0,-0.1,-0.156792717086835
"Csn",0.123141075666977,0.166044346420509,0.147667258115019,0.105359565807327,0.0590909090909091,0.180595238095238,0.116363636363636,0.151428571428571,0.08,0.00771561362044378,0.198957456755493,0.0217501595917584,-0.025,0.13955488955489,0.124170274170274,0.13206733540874,0.308767576509512,0.308767576509512,0.0375,0.0813131313131313,-0.0639537323831348,0.0495,-0.0698412698412698,0,-0.14781838316722,0.399663081092986,-0.103174603174603,-0.151257763975155,-0.16179760973351,0.213075981612883,0.193690185067778,0.193690185067778,0.193690185067778,-0.385704658165752,0.378119145586029,-0.28616102851397,0.350663125321645,0.365190703012367,0.352650510086322,0.338872732308544,0.338872732308544,-0.11934292744854,0.318390804597701,0.318390804597701,-0.427298567341069,0.390621458923513,-0.321813785857429,0.266666666666667,0.266666666666667,0.0623143881208397,0.0370949308460082,-0.1,0.2,0.114285714285714,-0.0618801677716732
"AKT",0.20184522281313,0.231217674366187,0.213997130559541,0.177411764705882,0.129411764705882,0.183884402484796,0.122128851540616,0.159833769573403,0.080952380952381,0.0983252515346337,0.241213086314344,0.0594998257232485,0.1,0.168046057011439,0.153411910669975,0.174188034188034,0.321177854981758,0.321177854981758,0.164253393665158,0.121153846153846,-0.0478317588843905,0.0733443027560675,-0.0512820512820513,0.141176470588235,-0.141706045964472,0.399424774702925,-0.0666666666666667,-0.148701400560224,-0.157792309651133,0.228319767595556,0.206873984463026,0.206873984463026,0.206873984463026,-0.392543044810668,0.374722888138139,-0.297199730094467,0.342659682907436,0.3602613496766,0.343972689882786,0.326458565589,0.326458565589,-0.187209654145138,0.303381642512077,0.303381642512077,-0.445969014751558,0.3784180849235,-0.324622959507241,0.255555555555556,0.255555555555556,0.0457264957264957,-0.0124180202350569,-0.1,0.2,0.1,-0.113863438351929
"Jagged",0.125714285714286,0.163111111111111,0.111111111111111,0.1,0.2,0.213333333333333,0.2,0.18,0.1,0.05,0.202,-0.00987012987012988,0,0.0628571428571429,0.02,0.08,0.324154589371981,0.324154589371981,-0.133333333333333,0,-0.0948717948717949,-0.122222222222222,-0.133333333333333,-0.1,-0.0666666666666667,0.419230769230769,-0.1,-0.166666666666667,-0.180952380952381,0.243636363636364,0.18,0.18,0.18,-0.397987927565392,0.323443223443224,-0.311111111111111,0.269230769230769,0.302564102564103,0.269230769230769,0.2,0.2,-0.20727969348659,0.1,0.1,-0.434035087719298,0.28,-0.344242424242424,0,0,0.133333333333333,0.297837837837838,0,0,0,-0.0717948717948718
"DELTA",0.125714285714286,0.163111111111111,0.111111111111111,0.1,0.2,0.213333333333333,0.2,0.18,0.1,0.05,0.202,-0.00987012987012988,0,0.0628571428571429,0.02,0.08,0.324154589371981,0.324154589371981,-0.133333333333333,0,-0.0948717948717949,-0.122222222222222,-0.133333333333333,-0.1,-0.0666666666666667,0.419230769230769,-0.1,-0.166666666666667,-0.180952380952381,0.243636363636364,0.18,0.18,0.18,-0.397987927565392,0.323443223443224,-0.311111111111111,0.269230769230769,0.302564102564103,0.269230769230769,0.2,0.2,-0.20727969348659,0.1,0.1,-0.434035087719298,0.28,-0.344242424242424,0,0,0.133333333333333,0.297837837837838,0,0,0,-0.0717948717948718
"MEK",0.256502656502657,0.29528597741027,0.257329773030708,0.217142857142857,0.193333333333333,0.137774516996821,0.173448275862069,0.201107850330154,0.17,0.145208070273484,0.35340185957833,0.153958634025572,0.0285714285714286,0.159076446667688,0.123310023310023,0.0698412698412698,0.327347316162237,0.327347316162237,0.0372835497835498,0.0848484848484849,0.0564487303117968,0.0643423733129616,0.0253333333333333,0.0160714285714286,-0.0294520114032309,0.642147734809779,0.0133333333333333,-0.045786253850032,-0.0550113461009545,0.120668775668776,0.0911449661449661,0.0911449661449661,0.0911449661449661,-0.483856923125216,0.378815699746905,-0.300430416068867,0.347272727272727,0.36375993766512,0.345693779904306,0.32,0.318421052631579,-0.176551599955855,0.27,0.268421052631579,-0.53259548475685,0.376010187402592,-0.337251231125167,0.2,0.2,-0.0466448087431694,0.0384875335698404,-0.1,0.1,-0.0333333333333333,-0.181792717086835
"HEY1",0.374645985973875,0.361490022172949,0.335636363636364,0.307636363636364,0.263636363636364,0.360835768234192,0.281818181818182,0.328877005347594,0.2,0.302874661243378,0.40237908496732,0.306230521103085,0.2,0.355481675134415,0.33177033492823,0.28138936535163,0.337461300309598,0.337461300309598,0.283809523809524,0.305454545454545,0.236559139784946,0.302328042328042,0.233333333333333,0.26,-0.0446600458365164,0.464333025702278,0.233333333333333,-0.0866666666666667,-0.102608695652174,0.400897435897436,0.375897435897436,0.375897435897436,0.375897435897436,-0.591384137542674,0.394650785511201,-0.259259259259259,0.353897196408636,0.376344434328137,0.353267511251214,0.326310989512084,0.326310989512084,-0.346953472415037,0.296078431372549,0.296078431372549,-0.666368582675683,0.40259545543053,-0.346890516890517,0.266666666666667,0.266666666666667,-0.233333333333333,0.341987979717644,-0.1,0.233333333333333,-0.2,-0.307359307359307
"FOXC2",0.374645985973875,0.361490022172949,0.335636363636364,0.307636363636364,0.263636363636364,0.360835768234192,0.281818181818182,0.328877005347594,0.2,0.302874661243378,0.40237908496732,0.306230521103085,0.2,0.355481675134415,0.33177033492823,0.28138936535163,0.337461300309598,0.337461300309598,0.283809523809524,0.305454545454545,0.236559139784946,0.302328042328042,0.233333333333333,0.26,-0.0446600458365164,0.464333025702278,0.233333333333333,-0.0866666666666667,-0.102608695652174,0.400897435897436,0.375897435897436,0.375897435897436,0.375897435897436,-0.591384137542674,0.394650785511201,-0.259259259259259,0.353897196408636,0.376344434328137,0.353267511251214,0.326310989512084,0.326310989512084,-0.346953472415037,0.296078431372549,0.296078431372549,-0.666368582675683,0.40259545543053,-0.346890516890517,0.266666666666667,0.266666666666667,-0.233333333333333,0.341987979717644,-0.1,0.233333333333333,-0.2,-0.307359307359307
"RAS",0.268412698412698,0.300535818287711,0.265882352941176,0.26,0.26,0.289514963880289,0.26,0.275789473684211,0.26,0.198544739429695,0.324091653027823,0.0988251527695644,0.2,0.166285998013903,0.134210526315789,0.00346320346320345,0.338516200294551,0.338516200294551,0.0533333333333333,0.15,-0.034135593220339,0.0644444444444444,-0.05,0.1,-0.0816205533596838,0.569170387141642,0,-0.0922077922077922,-0.100371057513915,0.151794871794872,0.205641025641026,0.205641025641026,0.205641025641026,-0.387063824405212,0.399580429993801,-0.318928571428571,0.338970588235294,0.376634254356407,0.338172715894869,0.276470588235294,0.276470588235294,-0.206343669250646,0.2,0.2,-0.434499087294118,0.349934123847167,-0.350584615384615,0.1,0.1,0.046,-0.0347303544977964,-0.2,0,-0.1,-0.316754716981132
"SOSGRB2",0.301172161172161,0.332574234276362,0.300659340659341,0.281428571428571,0.271428571428571,0.336468936468936,0.30952380952381,0.312226512226512,0.276190476190476,0.257656005685856,0.356347826086956,0.220807457362896,0.3,0.304363242391411,0.28041958041958,-0.0383333333333333,0.340012531328321,0.340012531328321,0.21812865497076,0.272727272727273,0.108170961659334,0.21812865497076,0.1,0.244444444444444,0.0535037878787879,0.637736854817048,0.133333333333333,0.0335483870967742,0.0216602752086623,0.330747501086484,0.285875706214689,0.285875706214689,0.285875706214689,-0.480016731016731,0.389360011551032,-0.324298245614035,0.331521739130435,0.366224256292906,0.330434782608696,0.275,0.273913043478261,-0.305754905839057,0.2,0.2,-0.526840873864215,0.345606435643564,-0.354133870682913,0.1,0.1,-0.0918918918918919,-0.0365054781162164,-0.2,0,-0.2,-0.313559941520468
"cateninnuc",0.363872138790172,0.35390221032293,0.337308323860048,0.316043956043956,0.291428571428571,0.361585691468349,0.320910973084886,0.343695783211468,0.297101449275362,0.287732939676485,0.304426773485027,0.180472914694653,0.245833333333333,0.338751853046295,0.324660943955386,0.253996077635761,0.344154255019171,0.344154255019171,0.272984848484848,0.30721908349027,0.0983726126864779,0.282359848484849,0.0938069216757741,0.260984848484848,-0.0660463544375946,0.458764281902696,0.0888888888888889,-0.10804329004329,-0.116910957164709,0.386294766294766,0.371816651816652,0.371816651816652,0.371816651816652,-0.400938258269962,0.175906802168613,-0.271638987742191,0.253469882311455,0.265274380185735,0.252503655764525,0.238054862548609,0.237027465288335,-0.333842534128491,0.217402688635565,0.216375291375291,-0.474234997371624,0.394650785511201,-0.352758624334603,0.191375291375291,0.191375291375291,-0.0981547477627307,0.318821444566208,-0.233333333333333,0.160606060606061,-0.0888888888888889,-0.31143536116489
