"","FOXC2","TGF","TGFR","CDC42","PAK1","SNAI1","MEK","EGR1","ERK","cfos","HEY1","SMAD","ILK","SHH","TWIST1","AKT","IKK","NFB","SMO","Jagged","FUS","SNAI2","Csn","NOTCH","NOTCHic","Csl","SOSGRB2","KLF4","ZEB2","ZEB1","RAS","cateninmemb","RAF","PI3K","DELTA","miR200","Ecadherin","GSK3","GLI","cateninnuc","TCFLEF","Wnt","CD44","cMet","Frizzled","SRC","DSH","AXIN2","STAT","TrCP","SUFU","LIV1","Destcompl","Patched","RKIP"
"Destcompl",0.0858541309479745,0.0608611430052965,0.0580040001481536,0.0464250527797326,0.0291836734693878,0.11992458876847,0.0712022583489693,0.0625641025641026,0.0636073216401085,0.0565034965034965,0.0114183252644791,0.0171386800334169,0.0146825396825397,-0.0964715504184597,0.00276271489172221,0.062575564851608,0.0612332829724134,0.0567287784679089,-0.0964094143404488,-0.146324433361207,-0.104980842911877,0.186713502786846,0.0523809523809524,-0.0249727343445214,-0.0267763415589503,-0.0354719937328633,-0.0382751074532833,-0.211208834156324,0.20696742434254,0.20696742434254,0.0417852688540528,0.112356774271834,0.0391165090424358,0.0391165090424358,0.0391165090424358,-0.217699151088929,-0.105803255751135,-0.119570564801663,-0.123087363251282,-0.123774717410988,-0.123774717410988,-0.121046546924751,-0.12240485439729,-0.120539182755498,-0.123026744944553,-0.123026744944553,-0.138095238095238,-0.178850120053118,-0.138095238095238,-0.0666666666666667,0.122222222222222,-0.166666666666667,0.0144176785190062,0.0958912796254229,-0.140247439251697
"AXIN2",0.128291326160179,0.0878869828969131,0.0776559597946029,0.0696913580246914,0.0783333333333333,0.17182864552892,0.119232581110858,0.153333333333333,0.119232581110858,0.131382113821138,0.0187481889307447,0.0189095928226363,0.0220841959972395,-0.135633369362878,-0.00263568124960958,0.109951690821256,0.107729468599034,0.109178743961353,-0.148168498168498,-0.184252827078914,-0.157692307692308,0.232865730996602,0.122222222222222,-0.0300121926437716,-0.0381203007518797,-0.0452631578947368,-0.066778868630201,-0.2550190451908,0.251558241320058,0.251558241320058,0.0980957418081086,0.143916183255818,0.0931088651676887,0.0931088651676887,0.0931088651676887,-0.264993808621554,-0.120927137070595,-0.194431790177786,-0.180947884986862,-0.179066289529988,-0.178850120053118,-0.188495054798182,-0.180608619466952,-0.188495054798182,-0.205736434108527,-0.205736434108527,-0.226666666666667,0.231133604912936,-0.226666666666667,-0.133333333333333,0.15,-0.233333333333333,0.190225850094204,0.139239926739927,-0.187882842963488
"Wnt",0.176356275303644,0.203188405797101,0.146666666666667,0.1,0.1,0.104658385093168,0.119607843137255,0.1,0.0666666666666667,0.0666666666666667,0.0656410256410257,0.0566487775790101,0.058974358974359,0.10974025974026,0.217941176470588,0.136666666666667,0.0866666666666667,0.0666666666666667,0.05,0.147009803921569,0,-0.098448275862069,0.1,0.192857142857143,0.142857142857143,0.1,0.0939393939393939,-0.262745098039216,0.304208512673362,0.304208512673362,0.14606971975393,-0.281864406779661,0.118796992481203,0.118796992481203,0.118796992481203,-0.306262626262626,-0.302365966055974,-0.0695141065830721,0.276315789473684,0.289418911517204,0.283458646616541,0.25,0.276315789473684,0.25,0.3,0.2,0.2,0.303636363636364,0.1,-0.1,0,0,-0.0346456202618347,-0.0954545454545455,-0.12
"cateninnuc",0.31490148649165,0.284529991014858,0.272957938613111,0.259164835164835,0.246857142857143,0.271976248783472,0.314910010059036,0.288405797101449,0.307111844921421,0.29951690821256,0.111476351863172,0.0968953656620778,0.0937575757575758,0.151935792294268,0.199826034691725,0.291734848484848,0.285484848484849,0.273484848484848,0.135865209471767,0.119820296359639,0.121111111111111,-0.17466854855298,0.258333333333333,0.278190457989433,0.269099548898524,0.256308851224106,0.195744963766875,-0.267580679502388,0.333009566253105,0.333009566253105,0.291230196230196,-0.159343721406212,0.284159489159489,0.284159489159489,0.284159489159489,-0.342101948653069,-0.1286211258073,-0.261378600223793,0.102470945770529,0.0120275911754528,0.107526072258027,0.0933800366796198,0.101327416544808,0.0922004324178237,0.0803365584187502,0.0791569541569542,0.0652680652680653,0.261134637898411,0.0652680652680653,-0.233333333333333,-0.111111111111111,0.0575757575757576,0.234896688143699,-0.145181979658102,-0.295921016122009
"HEY1",0.343898299388318,0.315831485587583,0.303636363636364,0.291636363636364,0.263636363636364,0.293985114600391,0.3446441369425,0.2,0.322994652406417,0.281818181818182,0.111306340718105,0.102260869565217,0.0906666666666667,0.276478494623656,0.330169934640523,0.315555555555556,0.293333333333333,0.26,0.25,0.261965380945891,0.233333333333333,-0.226617499407479,0.2,0.316464262812608,0.303062200956938,0.287272727272727,0.253430531732418,-0.259259259259259,0.334829721362229,0.334829721362229,0.331644042232278,-0.382338586210537,0.322820512820513,0.322820512820513,0.322820512820513,-0.344774114774115,-0.328418076239414,-0.2933874766894,0.240121389373713,0.261134637898411,0.251047464797539,0.229776561787506,0.23934177917881,0.229776561787506,0.227450980392157,0.227450980392157,0.233333333333333,0.306167818248691,0.233333333333333,-0.1,-0.2,0.233333333333333,0.273885278141552,-0.2625,-0.303277674706246
"FOXC2",0.343898299388318,0.315831485587583,0.303636363636364,0.291636363636364,0.263636363636364,0.293985114600391,0.3446441369425,0.2,0.322994652406417,0.281818181818182,0.111306340718105,0.102260869565217,0.0906666666666667,0.276478494623656,0.330169934640523,0.315555555555556,0.293333333333333,0.26,0.25,0.261965380945891,0.233333333333333,-0.226617499407479,0.2,0.316464262812608,0.303062200956938,0.287272727272727,0.253430531732418,-0.259259259259259,0.334829721362229,0.334829721362229,0.331644042232278,-0.382338586210537,0.322820512820513,0.322820512820513,0.322820512820513,-0.344774114774115,-0.328418076239414,-0.2933874766894,0.240121389373713,0.261134637898411,0.251047464797539,0.229776561787506,0.23934177917881,0.229776561787506,0.227450980392157,0.227450980392157,0.233333333333333,0.306167818248691,0.233333333333333,-0.1,-0.2,0.233333333333333,0.273885278141552,-0.2625,-0.303277674706246
"Frizzled",0.211239996233876,0.236521739130435,0.203188405797101,0.146666666666667,0.1,0.115769496204279,0.164052287581699,0.0666666666666667,0.119607843137255,0.0666666666666667,0.0635133660665576,0.0631908336537765,0.0566487775790101,0.116191872643486,0.232226890756303,0.161666666666667,0.136666666666667,0.0866666666666667,0.0954545454545455,0.150040106951872,0.05,-0.0968709887958229,0.0666666666666667,0.218347338935574,0.192857142857143,0.142857142857143,0.127272727272727,-0.300840336134454,0.338861978019897,0.338861978019897,0.16103034967519,-0.296150121065375,0.14606971975393,0.14606971975393,0.14606971975393,-0.342200126262626,-0.321713285403293,-0.083453500522466,0.283458646616541,0.297990340088632,0.289418911517204,0.276315789473684,0.283458646616541,0.276315789473684,0.25,0.25,0.3,0.322241014799154,0.2,-0.1,0,0.1,-0.0280143205270867,-0.10974025974026,-0.141428571428571
"DSH",0.223794108787989,0.248019996970156,0.236521739130435,0.203188405797101,0.146666666666667,0.126494133885438,0.190368077055384,0.0666666666666667,0.164052287581699,0.119607843137255,0.072285295891119,0.0763983808235878,0.0631908336537765,0.122940338901154,0.240737529054175,0.174310344827586,0.161666666666667,0.136666666666667,0.10974025974026,0.156241657339469,0.0954545454545455,-0.0976858898435528,0.0866666666666667,0.228836849425085,0.218347338935574,0.192857142857143,0.15410199556541,-0.33287917108591,0.362484025263991,0.362484025263991,0.174195615781633,-0.310166611053597,0.16103034967519,0.16103034967519,0.16103034967519,-0.367809882360187,-0.335672899099518,-0.0934302986663176,0.289340999557718,0.307162201175008,0.297990340088632,0.283458646616541,0.289418911517204,0.283458646616541,0.276315789473684,0.276315789473684,0.25,0.332789538005905,0.25,-0.0666666666666667,-0.05,0.2,-0.0228616487713615,-0.116191872643486,-0.157512487512488
"SNAI2",0.38882784676204,0.36564614697607,0.348875960640667,0.324089635854342,0.276470588235294,0.335577218170158,0.37888182299947,0.2,0.345098039215686,0.288235294117647,0.116169379144063,0.110173641530202,0.0934272300469483,0.323272069391137,0.378865951617918,0.349948068134607,0.319827586206897,0.275,0.289411764705882,0.322747465298542,0.26,0.0886902893724524,0.2,0.366866028708134,0.348684210526316,0.322368421052632,0.304124408384043,-0.281538461538462,0.363563876651982,0.363563876651982,0.382259401300952,-0.447801861372809,0.369930634177664,0.369930634177664,0.369930634177664,-0.373145394823827,-0.501120173476341,-0.339017876906748,0.306662326902592,0.326364078734059,0.316270911032196,0.298640936528261,0.306167818248691,0.298640936528261,0.294415584415584,0.294415584415584,0.287272727272727,0.366847609467231,0.287272727272727,-0.1,-0.2,0.26,0.32401131103337,-0.307779111644658,-0.335474358974359
"RAF",0.296006483937518,0.320890075656431,0.267619047619048,0.22,0.2,0.22073762506942,0.227666911225238,0.17,0.187241379310345,0.17,0.159581881533101,0.156725110893631,0.153754813863928,0.208590163934426,0.369964349376114,0.156168831168831,0.110714285714286,0.0857142857142857,0.14,0.254242460991188,0.1,0.21452497522877,0.1,0.21041181041181,0.156565656565657,0.111111111111111,0.0613968253968254,-0.332663797226208,0.372663797226208,0.372663797226208,0.0911449661449661,-0.425825825825826,0.050974025974026,0.050974025974026,0.050974025974026,-0.380952950808151,-0.444822398927704,-0.161544523246651,0.312307692307692,0.340042433794945,0.32960986382039,0.27,0.310728744939271,0.268421052631579,0.2,0.2,0.1,0.332208157524613,0.1,-0.1,-0.1,0,0.0123496785473771,-0.184,-0.226050420168067
"SHH",0.35,0.44,0.4,0.3,0.2,0.283333333333333,0.3,0,0.2,0.1,0.0666666666666667,0.1,0.0666666666666667,0.253333333333333,0.175,0.15,0.1,0,0.3,0.134285714285714,0.2,-0.16544061302682,0,0.233333333333333,0.2,0.1,0.25,-0.3,0.375,0.375,0.288461538461538,-0.188817204301075,0.25,0.25,0.25,-0.383333333333333,-0.187777777777778,-0.256410256410256,0.2,0.147777777777778,0.12,0.2,0.1,0.1,0.2,0.1,0.2,0.247619047619048,0.1,0,-0.2,0,0.237662337662338,-0.333333333333333,-0.26
"PI3K",0.253049941927991,0.270526542324247,0.233941176470588,0.177941176470588,0.125,0.170503220611916,0.192441566790651,0.0666666666666667,0.148179271708683,0.0952380952380952,0.0747923182995325,0.0798917967186875,0.0694917967186875,0.129273504273504,0.265910916516761,0.276018099547511,0.252941176470588,0.2,0.1,0.171228070175439,0.05,-0.0405642385556494,0.166666666666667,0.23287841191067,0.203846153846154,0.15,0.163461538461538,-0.336842105263158,0.375508463573364,0.375508463573364,0.205504121449327,-0.332313249656543,0.18221645021645,0.18221645021645,0.18221645021645,-0.376039526859199,-0.361310928669442,-0.176491101491102,0.311609067261241,0.334401309092449,0.323473474040902,0.294685990338164,0.311609067261241,0.294685990338164,0.255555555555556,0.255555555555556,0.2,0.343238095238095,0.2,-0.2,0,0.1,-0.0370143704307992,-0.115384615384615,-0.165481577246283
"ILK",0.253049941927991,0.270526542324247,0.233941176470588,0.177941176470588,0.125,0.170503220611916,0.192441566790651,0.0666666666666667,0.148179271708683,0.0952380952380952,0.0747923182995325,0.0798917967186875,0.0694917967186875,0.129273504273504,0.265910916516761,0.276018099547511,0.252941176470588,0.2,0.1,0.171228070175439,0.05,-0.0405642385556494,0.166666666666667,0.23287841191067,0.203846153846154,0.15,0.163461538461538,-0.336842105263158,0.375508463573364,0.375508463573364,0.205504121449327,-0.332313249656543,0.18221645021645,0.18221645021645,0.18221645021645,-0.376039526859199,-0.361310928669442,-0.176491101491102,0.311609067261241,0.334401309092449,0.323473474040902,0.294685990338164,0.311609067261241,0.294685990338164,0.255555555555556,0.255555555555556,0.2,0.343238095238095,0.2,-0.2,0,0.1,-0.0370143704307992,-0.115384615384615,-0.165481577246283
"RAS",0.345396825396825,0.367769365171811,0.315294117647059,0.28,0.26,0.306489675516224,0.315727554179567,0.26,0.286315789473684,0.26,0.161857707509881,0.158750773036487,0.156709956709957,0.192870056497175,0.373115111838516,0.212222222222222,0.173333333333333,0.166666666666667,0.116666666666667,0.256376897299428,0.1,0.183103012571746,0.2,0.277259185700099,0.226315789473684,0.2,0.0125541125541125,-0.356428571428571,0.398696612665685,0.398696612665685,0.151794871794872,-0.365350567270001,0.205641025641026,0.205641025641026,0.205641025641026,-0.407661538461538,-0.391136498516842,-0.215439276485788,0.334803921568627,0.382938970073455,0.366225089053625,0.276470588235294,0.333917396745932,0.276470588235294,0.2,0.2,0.1,0.34703557312253,0.1,-0.2,-0.1,0,-0.0406401423843284,-0.160666666666667,-0.392622641509434
"SOSGRB2",0.370573870573871,0.39267243394903,0.343736263736264,0.301428571428571,0.271428571428571,0.356393745557925,0.359400959400959,0.276190476190476,0.323037323037323,0.30952380952381,0.261647727272727,0.259196932100158,0.252903225806452,0.298701026608003,0.40104347826087,0.338011695906433,0.304678362573099,0.288888888888889,0.233333333333333,0.354161830366599,0.2,0.248447970226945,0.3,0.394031320791884,0.347552447552448,0.309090909090909,-0.0272222222222222,-0.362017543859649,0.400588972431078,0.400588972431078,0.330747501086484,-0.45322113022113,0.285875706214689,0.285875706214689,0.285875706214689,-0.410651126415904,-0.477624067028735,-0.313702544922741,0.325724637681159,0.36892871467054,0.353058733790999,0.275,0.32463768115942,0.273913043478261,0.2,0.2,0.1,0.34164603960396,0.1,-0.2,-0.2,0,-0.0439912809040326,-0.268468468468469,-0.381834795321637
"AKT",0.271846934409194,0.288955545345395,0.270526542324247,0.233941176470588,0.177941176470588,0.188297706827455,0.220289668056473,0.0952380952380952,0.192441566790651,0.148179271708683,0.0875742731867506,0.0923497091765999,0.0798917967186875,0.141905083220873,0.280895625996883,0.193189816719228,0.276018099547511,0.252941176470588,0.115384615384615,0.182486348321134,0.1,-0.0432778063948454,0.2,0.249951582642377,0.23287841191067,0.203846153846154,0.19457264957265,-0.370175438596491,0.403590655354186,0.403590655354186,0.224058338316797,-0.34831732712851,0.205504121449327,0.205504121449327,0.205504121449327,-0.404916532206793,-0.377371534730048,-0.190200778910456,0.32334091083666,0.344093616784756,0.334401309092449,0.311609067261241,0.323473474040902,0.311609067261241,0.294685990338164,0.294685990338164,0.255555555555556,0.360927625924016,0.255555555555556,-0.166666666666667,-0.05,0.2,-0.0296529146822467,-0.129273504273504,-0.187220707681066
"MEK",0.335646123577158,0.361036061057891,0.320890075656431,0.267619047619048,0.22,0.243814548146343,0.174333577891905,0.17,0.227666911225238,0.187241379310345,0.163218245169465,0.165950203144554,0.156725110893631,0.224930033215472,0.395239074650839,0.185580595874714,0.156168831168831,0.110714285714286,0.184,0.266537542958401,0.14,0.211361958197139,0.0857142857142857,0.244718379754876,0.21041181041181,0.156565656565657,0.0925079365079365,-0.369918699186992,0.410759035321446,0.410759035321446,0.118764013764014,-0.442411191679484,0.0911449661449661,0.0911449661449661,0.0911449661449661,-0.419033446164188,-0.4648588288002,-0.183411845113973,0.331188811188811,0.348964366880447,0.340042433794945,0.312307692307692,0.32960986382039,0.310728744939271,0.27,0.268421052631579,0.2,0.363739689056145,0.2,-0.1,-0.1,0.1,0.0234375446561637,-0.208590163934426,-0.257629367536488
"CD44",0.37875,0.372222222222222,0.35,0.3,0.2,0.373019670388091,0.415,0.3,0.385,0.325,0.204093567251462,0.197619047619048,0.183333333333333,0.177272727272727,0.351941391941392,0.26,0.266666666666667,0.2,0.15,0.188531468531469,0.1,0.314392274392274,0.2,0.24812030075188,0.242857142857143,0.2,-0.00238095238095239,-0.277777777777778,0.420634920634921,0.420634920634921,0.203809523809524,-0.150164835164835,0.166666666666667,0.166666666666667,0.166666666666667,-0.431699604743083,-0.275259472369992,-0.223809523809524,0.0233333333333333,0.136929039952296,0.0907751937984496,-0.05,0.0233333333333333,0.05,-0.1,0,0,-0.02,0.1,-0.1,-0.1,0.1,-0.157044636036233,-0.15,-0.423703703703704
"IKK",0.495786435786436,0.525991919191919,0.469191919191919,0.405555555555556,0.35,0.290507492225049,0.252190476190476,0.1,0.178857142857143,0.142857142857143,0.181940144478844,0.18578795379538,0.172916666666667,0.252286079182631,0.518496732026144,0.321042471042471,0.264285714285714,0.314285714285714,0.18,0.27049671977507,0.12,0.0895178619392963,0.3,0.35974025974026,0.307359307359307,0.245454545454545,0.301890756302521,-0.363369963369963,0.425418546365915,0.425418546365915,0.367291224661946,-0.480016929067208,0.330671506352087,0.330671506352087,0.330671506352087,-0.428840579710145,-0.524407780436899,-0.213736263736264,0.35008547008547,0.374894166359517,0.363079820367956,0.323931623931624,0.35008547008547,0.323931623931624,0.277777777777778,0.277777777777778,0.2,0.384761904761905,0.2,-0.2,-0.1,0.1,0.115834881995517,-0.228148148148148,-0.277322404371585
"Csn",0.247887287115426,0.271479369014367,0.250238318895035,0.206648575305292,0.145454545454545,0.158016209230207,0.243639069264069,0.106666666666667,0.209264069264069,0.161212121212121,0.0753737541528239,0.0823617387046469,0.0687370600414079,0.133147940842282,0.27599657160667,0.204166666666667,0.184166666666667,0.155,0.108513708513709,0.167234210206823,0.0873015873015873,-0.0759285942898788,0.105,0.255305805305805,0.236075036075036,0.201010101010101,0.170287097890003,-0.399880772821949,0.436138957816377,0.436138957816377,0.218564614888855,-0.36090342691894,0.199178818343749,0.199178818343749,0.199178818343749,-0.444186733221515,-0.388099563711576,-0.134239903715367,0.340483572597875,0.361129399394634,0.350967042208825,0.32956654203019,0.340677653141301,0.32956654203019,0.311494252873563,0.311494252873563,0.266666666666667,0.380219153289267,0.266666666666667,-0.18,-0.0428571428571429,0.2,0.0242208796922814,-0.122492203137364,-0.178146483457669
