"","FOXC2","TGF","TGFR","CDC42","PAK1","EGR1","MEK","SNAI1","ERK","cfos","HEY1","TWIST1","ILK","SMAD","SHH","AKT","IKK","NFB","SMO","Csn","Jagged","FUS","NOTCH","NOTCHic","Csl","SOSGRB2","KLF4","SNAI2","cateninmemb","ZEB2","ZEB1","RAS","RAF","PI3K","DELTA","Ecadherin","miR200","GSK3","cateninnuc","GLI","TCFLEF","Wnt","CD44","cMet","Frizzled","SRC","DSH","STAT","SUFU","AXIN2","TrCP","LIV1","Patched","Destcompl","RKIP"
"Destcompl",0.0553127682438027,0.0244247628480636,0.0269628339140534,0.0245238095238095,0.0188095238095238,0.0625641025641026,0.0503778434782822,0.0936839039233229,0.0512362125769947,0.0517948717948718,0.00195843325339728,-0.0408560145815098,0.00815051020408163,0.00712562001374488,-0.121382583095293,0.0406911928651059,0.0435897435897436,0.0435897435897436,-0.116571428571429,0.0435897435897436,-0.18715977493633,-0.121333333333333,-0.0617274946919974,-0.0590021278156871,-0.0595670995670996,-0.0623549253680443,-0.200267427725807,-0.234457896838122,0.216212369802058,0.18976464267723,0.18976464267723,0.0013937675489668,0.00273551971944825,0.00273551971944825,0.00273551971944825,0.0531746143202585,-0.201237168197757,-0.0882897771606754,-0.187469656213992,-0.186139761851422,-0.186798515274395,-0.183346465762036,-0.18548545376783,-0.182863730921388,-0.180376168732333,-0.180376168732333,-0.181746031746032,-0.181746031746032,0.133333333333333,-0.238894302737101,-0.0666666666666667,-0.188888888888889,0.118325814536341,-0.0202016646301953,-0.119816739886708
"AXIN2",0.107809390714397,0.0623640479497865,0.0615151515151515,0.0633333333333333,0.0783333333333333,0.153333333333333,0.110322861917795,0.152188432653867,0.116287774198497,0.131382113821138,0.00920619860847565,-0.0384966998109483,0.0137089056953234,0.0115191246734255,-0.159594960273927,0.0954094516594516,0.097790404040404,0.104040404040404,-0.163963963963964,0.122222222222222,-0.223103804363234,-0.166666666666667,-0.0570214771833832,-0.0563172518312705,-0.0535135135135135,-0.0778908539436025,-0.250587550901687,-0.277420320462001,0.25012809360839,0.242403826614353,0.242403826614353,0.0666270310543008,0.069649370081896,0.069649370081896,0.069649370081896,0.0642819685203486,-0.256584825802406,-0.170027081219346,-0.240460882371566,-0.237208142308837,-0.238894302737101,-0.235950280673617,-0.236896652913364,-0.235950280673617,-0.237674418604651,-0.237674418604651,-0.24,-0.24,0.15,0.182032686545068,-0.133333333333333,-0.233333333333333,0.159963963963964,0.15967421593344,-0.175712648785165
"Wnt",0.168888888888889,0.197402597402597,0.142857142857143,0.1,0.1,0.1,0.116666666666667,0.0984126984126984,0.0666666666666667,0.0666666666666667,0.0333333333333333,0.218717948717949,0.025,0.0221428571428571,0.0933333333333333,0.113333333333333,0.0666666666666667,0.0666666666666667,0.0333333333333333,0.1,0.143413978494624,0,0.181159420289855,0.133333333333333,0.1,0.0939393939393939,-0.258333333333333,0.339673913043478,-0.333534482758621,0.296794871794872,0.296794871794872,0.150615174299385,0.118796992481203,0.118796992481203,0.118796992481203,-0.398737646001797,-0.298695456590193,-0.0715709728867624,0.327733763940051,0.286842105263158,0.308270676691729,0.25,0.286842105263158,0.25,0.3,0.2,0.2,0.1,0,0.31030303030303,-0.1,0,-0.0733333333333333,-0.0233176107971793,-0.110683229813665
"Frizzled",0.206984126984127,0.2352666750725,0.197402597402597,0.142857142857143,0.1,0.0666666666666667,0.160062893081761,0.112942612942613,0.116666666666667,0.0666666666666667,0.0307692307692308,0.241794871794872,0.0221428571428571,0.0221428571428571,0.104444444444444,0.142365591397849,0.113333333333333,0.0666666666666667,0.0733333333333333,0.0666666666666667,0.155501890582536,0.0333333333333333,0.213159420289855,0.181159420289855,0.133333333333333,0.125189393939394,-0.293333333333333,0.366830462564245,-0.364053963278101,0.330815490351573,0.330815490351573,0.172837396521607,0.150615174299385,0.150615174299385,0.150615174299385,-0.433187406767347,-0.333654806183689,-0.0910831680087136,0.346377831736662,0.308270676691729,0.327733763940051,0.286842105263158,0.308270676691729,0.286842105263158,0.25,0.25,0.3,0.2,0,0.340535588442565,-0.1,0.1,-0.0933333333333333,-0.00834434876509372,-0.134319593450028
"HEY1",0.38528050896472,0.36979647928309,0.339143212951432,0.307636363636364,0.263636363636364,0.2,0.363613847452857,0.327281090812458,0.328877005347594,0.281818181818182,0.0612587412587413,0.409395738203957,0.0219114219114219,0.0301683026453669,0.2967131242741,0.328842105263158,0.296842105263158,0.26,0.253333333333333,0.2,0.33977873977874,0.233333333333333,0.369970674486804,0.338787878787879,0.305454545454545,0.28138936535163,-0.264529914529915,0.464749561875156,-0.592305954279639,0.350000822246707,0.350000822246707,0.400897435897436,0.375897435897436,0.375897435897436,0.375897435897436,-0.67147779081489,-0.358432868543366,-0.347641773797487,0.395243057607236,0.353897196408636,0.376344434328137,0.326310989512084,0.353267511251214,0.326310989512084,0.296078431372549,0.296078431372549,0.266666666666667,0.266666666666667,-0.2,0.40259545543053,-0.1,0.233333333333333,-0.274761904761905,0.341987979717644,-0.322801228808738
"FOXC2",0.38528050896472,0.36979647928309,0.339143212951432,0.307636363636364,0.263636363636364,0.2,0.363613847452857,0.327281090812458,0.328877005347594,0.281818181818182,0.0612587412587413,0.409395738203957,0.0219114219114219,0.0301683026453669,0.2967131242741,0.328842105263158,0.296842105263158,0.26,0.253333333333333,0.2,0.33977873977874,0.233333333333333,0.369970674486804,0.338787878787879,0.305454545454545,0.28138936535163,-0.264529914529915,0.464749561875156,-0.592305954279639,0.350000822246707,0.350000822246707,0.400897435897436,0.375897435897436,0.375897435897436,0.375897435897436,-0.67147779081489,-0.358432868543366,-0.347641773797487,0.395243057607236,0.353897196408636,0.376344434328137,0.326310989512084,0.353267511251214,0.326310989512084,0.296078431372549,0.296078431372549,0.266666666666667,0.266666666666667,-0.2,0.40259545543053,-0.1,0.233333333333333,-0.274761904761905,0.341987979717644,-0.322801228808738
"DSH",0.225536163183222,0.254400249079721,0.2352666750725,0.197402597402597,0.142857142857143,0.0666666666666667,0.188307167890921,0.12714014380681,0.160062893081761,0.116666666666667,0.0328968903436988,0.258831908831909,0.0221428571428571,0.0259523809523809,0.112777777777778,0.158821287600381,0.142365591397849,0.113333333333333,0.0933333333333333,0.0666666666666667,0.167738177502367,0.0733333333333333,0.231677938808374,0.213159420289855,0.181159420289855,0.154303317990027,-0.324646464646465,0.389761904644623,-0.390648427778703,0.355815490351573,0.355815490351573,0.19408385544512,0.172837396521607,0.172837396521607,0.172837396521607,-0.460229149054099,-0.36034290907758,-0.108454060027493,0.362893258233939,0.327475974704974,0.346377831736662,0.308270676691729,0.327733763940051,0.308270676691729,0.286842105263158,0.286842105263158,0.25,0.25,-0.0333333333333333,0.363939843761714,-0.0666666666666667,0.2,-0.104444444444444,0.00390251719440484,-0.153116585931231
"RAF",0.289327888754001,0.315980392156863,0.265,0.22,0.2,0.17,0.225019157088123,0.210403500243072,0.187241379310345,0.17,0.127960927960928,0.369794891640867,0.115064102564103,0.115064102564103,0.186787365177196,0.14,0.1,0.0857142857142857,0.125,0.1,0.247527472527472,0.1,0.202131519274376,0.151111111111111,0.111111111111111,0.0613968253968254,-0.329411764705882,0.624003738443098,-0.474191788761325,0.36625386996904,0.36625386996904,0.0945637695637696,0.050974025974026,0.050974025974026,0.050974025974026,-0.5406380115085,-0.374908890530877,-0.163442579269917,0.376738056964007,0.32,0.351288185498712,0.27,0.318421052631579,0.268421052631579,0.2,0.2,0.1,0.1,-0.1,0.337271448663854,-0.1,0,-0.161363636363636,0.0227081076332972,-0.216558441558442
"PI3K",0.247918765987133,0.268191489361702,0.228191489361702,0.175,0.125,0.0666666666666667,0.187610976594027,0.163840733910247,0.145238095238095,0.0952380952380952,0.0310077519379845,0.273071046600458,0.0224358974358974,0.0263574660633484,0.109462365591398,0.259649122807018,0.233333333333333,0.186666666666667,0.0733333333333333,0.166666666666667,0.170022624434389,0.0333333333333333,0.22728337236534,0.192857142857143,0.142857142857143,0.161538461538462,-0.329444444444444,0.394016290726817,-0.394439784146531,0.367121212121212,0.367121212121212,0.215871622630243,0.18621645021645,0.18621645021645,0.18621645021645,-0.467840907632038,-0.367561933173696,-0.182912610265551,0.379032579810073,0.332612411742847,0.357183840314275,0.303381642512077,0.332612411742847,0.303381642512077,0.255555555555556,0.255555555555556,0.2,0.2,0,0.358952380952381,-0.2,0.1,-0.0933333333333333,-0.0193564014423887,-0.155739161336176
"ILK",0.247918765987133,0.268191489361702,0.228191489361702,0.175,0.125,0.0666666666666667,0.187610976594027,0.163840733910247,0.145238095238095,0.0952380952380952,0.0310077519379845,0.273071046600458,0.0224358974358974,0.0263574660633484,0.109462365591398,0.259649122807018,0.233333333333333,0.186666666666667,0.0733333333333333,0.166666666666667,0.170022624434389,0.0333333333333333,0.22728337236534,0.192857142857143,0.142857142857143,0.161538461538462,-0.329444444444444,0.394016290726817,-0.394439784146531,0.367121212121212,0.367121212121212,0.215871622630243,0.18621645021645,0.18621645021645,0.18621645021645,-0.467840907632038,-0.367561933173696,-0.182912610265551,0.379032579810073,0.332612411742847,0.357183840314275,0.303381642512077,0.332612411742847,0.303381642512077,0.255555555555556,0.255555555555556,0.2,0.2,0,0.358952380952381,-0.2,0.1,-0.0933333333333333,-0.0193564014423887,-0.155739161336176
"SHH",0.342857142857143,0.433333333333333,0.4,0.3,0.2,0,0.3,0.260606060606061,0.2,0.1,0,0.192857142857143,0,0.0111111111111111,0.2,0.133333333333333,0.1,0,0.3,0,0.133333333333333,0.2,0.22,0.2,0.1,0.25,-0.3,0.36727969348659,-0.299068100358423,0.371428571428571,0.371428571428571,0.303846153846154,0.25,0.25,0.25,-0.339705882352941,-0.381818181818182,-0.271794871794872,0.241111111111111,0.25,0.196666666666667,0.2,0.15,0.1,0.2,0.1,0.2,0.1,-0.2,0.276190476190476,0,0,-0.3,0.272987012987013,-0.25
"cateninnuc",0.387160961371488,0.37238600152857,0.352251018401461,0.326587301587302,0.296428571428571,0.297101449275362,0.371454418710299,0.326179931429932,0.350611327375404,0.324970301734379,0.0748088930671119,0.319659172363925,0.0375115207373272,0.0404680424764576,0.186036019951232,0.330324387819644,0.313517665130568,0.290937019969278,0.158730158730159,0.261904761904762,0.23155432491821,0.136507936507937,0.366611004028814,0.348127591706539,0.324491228070175,0.258137396268424,-0.293413520632133,0.462158283516184,-0.407175447753561,0.373520793435379,0.373520793435379,0.387772360573956,0.372348631760396,0.372348631760396,0.372348631760396,-0.488521969612631,-0.381085220197909,-0.336657526520899,0.180104056691244,0.25438952390319,0.267691616231731,0.238054862548609,0.253427465288335,0.237027465288335,0.217402688635565,0.216375291375291,0.191375291375291,0.191375291375291,-0.114285714285714,0.395243057607236,-0.233333333333333,0.160606060606061,-0.174814074814075,0.319526838763255,-0.341700580686088
"SNAI2",0.422131815414475,0.408877915054141,0.374483010595543,0.333613445378151,0.276470588235294,0.2,0.392855224281493,0.363707186705856,0.349019607843137,0.288235294117647,0.0615770609318996,0.445967084112177,0.0177777777777778,0.0269802317655078,0.342114728682171,0.360810485810486,0.323148148148148,0.275,0.293333333333333,0.2,0.389611522198732,0.26,0.409848053795422,0.374712918660287,0.332894736842105,0.323799864773496,-0.28525641025641,0.710642286405021,-0.63726470509432,0.375456621004566,0.375456621004566,0.442051352058506,0.412827607766268,0.412827607766268,0.412827607766268,-0.807435596712747,-0.383793542789045,-0.386190476190476,0.449295844035727,0.402974962071897,0.427956280172798,0.373563197366014,0.40259545543053,0.373563197366014,0.341168831168831,0.341168831168831,0.305454545454545,0.305454545454545,-0.2,0.447100565604419,-0.1,0.26,-0.318914728682171,0.385743987724154,-0.350777777777778
"TWIST1",0.533044747190696,0.518783935242839,0.484283935242839,0.441818181818182,0.381818181818182,0.28,0.476977931488801,0.373630965973967,0.433227931488801,0.370909090909091,0.158816291374431,0.457411768685598,0.119617224880383,0.128791536806988,0.348852813852814,0.364262626262626,0.326262626262626,0.281818181818182,0.301428571428571,0.2,0.397306277338432,0.271428571428571,0.415449735449735,0.38,0.34,0.322011013571116,-0.300407925407925,0.721665217601565,-0.646854703000852,0.387155701441416,0.387155701441416,0.44555243206406,0.415677655677656,0.415677655677656,0.415677655677656,-0.818937285017856,-0.395389259326005,-0.39669999786827,0.458698022500181,0.40875812903718,0.435856626296875,0.37740219683379,0.408466026621024,0.37740219683379,0.344817927170868,0.344817927170868,0.309523809523809,0.309523809523809,-0.2,0.454083738929766,-0.1,0.266666666666667,-0.326428571428571,0.392176427086898,-0.360003487561032
"RAS",0.338838785735337,0.36280701754386,0.313333333333333,0.28,0.26,0.26,0.314315789473684,0.294678362573099,0.286315789473684,0.26,0.12991452991453,0.371263552138774,0.120608108108108,0.120608108108108,0.168720538720539,0.195698924731183,0.166666666666667,0.166666666666667,0.109090909090909,0.2,0.245454545454545,0.1,0.268055555555556,0.222222222222222,0.2,0.0125541125541125,-0.354761904761905,0.576157244817039,-0.40004292736966,0.393223443223443,0.393223443223443,0.153717948717949,0.205641025641026,0.205641025641026,0.205641025641026,-0.46899338209683,-0.402848122299767,-0.216493055555556,0.40962570734786,0.338970588235294,0.37971117743333,0.276470588235294,0.338172715894869,0.276470588235294,0.2,0.2,0.1,0.1,-0.1,0.349934123847167,-0.2,0,-0.139090909090909,-0.0340659026705538,-0.383333333333333
"AKT",0.271540813231227,0.292956379643834,0.268191489361702,0.228191489361702,0.175,0.0952380952380952,0.217098156081207,0.184484165545636,0.187610976594027,0.145238095238095,0.0374297702866083,0.295754752670746,0.0263574660633484,0.029747296571823,0.123234820681218,0.178750246402523,0.259649122807018,0.233333333333333,0.0933333333333333,0.186666666666667,0.18699013345966,0.0733333333333333,0.250659995741963,0.22728337236534,0.192857142857143,0.194096601073345,-0.361587301587302,0.421289017999544,-0.424919951161145,0.395588365405884,0.395588365405884,0.241725281166829,0.215871622630243,0.215871622630243,0.215871622630243,-0.499498409595903,-0.396740403428654,-0.203482875031336,0.39755691262012,0.356906197053581,0.379032579810073,0.332612411742847,0.357183840314275,0.332612411742847,0.303381642512077,0.303381642512077,0.255555555555556,0.255555555555556,-0.0333333333333333,0.388406926406926,-0.166666666666667,0.2,-0.109462365591398,-0.00471204997795357,-0.179229094222082
"SOSGRB2",0.364423892330869,0.388095238095238,0.341428571428571,0.301428571428571,0.271428571428571,0.276190476190476,0.357412323037323,0.344893029675638,0.323037323037323,0.30952380952381,0.22702589807853,0.400261194029851,0.213146853146853,0.215667861550215,0.27385500575374,0.322043969102793,0.294771241830065,0.288888888888889,0.22,0.3,0.344313144612684,0.2,0.385707824513795,0.342424242424242,0.309090909090909,-0.0272222222222222,-0.359848484848485,0.645185136153225,-0.49369289849935,0.395669380370873,0.395669380370873,0.333311603650587,0.285875706214689,0.285875706214689,0.285875706214689,-0.56151610561235,-0.406116855274227,-0.315163507989595,0.399914551394823,0.331521739130435,0.370434782608696,0.275,0.330434782608696,0.273913043478261,0.2,0.2,0.1,0.1,-0.2,0.345606435643564,-0.2,0,-0.247272727272727,-0.0356106235300866,-0.373888888888889
"MEK",0.330341713638793,0.358731321524893,0.315980392156863,0.265,0.22,0.17,0.170318302387268,0.236176696119361,0.225019157088123,0.187241379310345,0.129059829059829,0.402636220054151,0.115064102564103,0.117347207586934,0.206190350251823,0.170120481927711,0.14,0.1,0.161363636363636,0.0857142857142857,0.268416361416361,0.125,0.239909297052154,0.202131519274376,0.151111111111111,0.0909422799422799,-0.363432383262583,0.658075079156505,-0.510510196721524,0.402879384372332,0.402879384372332,0.129388050713929,0.0945637695637696,0.0945637695637696,0.0945637695637696,-0.580992158759199,-0.411243295675572,-0.190670302042195,0.398624849416838,0.352867132867133,0.376738056964007,0.32,0.351288185498712,0.318421052631579,0.27,0.268421052631579,0.2,0.2,-0.1,0.379613791006196,-0.1,0.1,-0.186787365177196,0.0427081076332972,-0.248558441558442
"IKK",0.456906861254687,0.507501305606989,0.448179271708683,0.386274509803922,0.333333333333333,0.1,0.240761904761905,0.189474983541804,0.169333333333333,0.133333333333333,0.037037037037037,0.522866425640024,0.0285714285714286,0.0312741312741313,0.144749163879599,0.211861471861472,0.154285714285714,0.214285714285714,0.07,0.2,0.279183232497839,0.02,0.359281485686481,0.303349282296651,0.245454545454545,0.300892857142857,-0.347032967032967,0.657090252547476,-0.564261196942219,0.407446670976083,0.407446670976083,0.378657074340528,0.333333333333333,0.333333333333333,0.333333333333333,-0.677077446132109,-0.409328449328449,-0.222269686834904,0.43394659875688,0.374481074481074,0.405876423318284,0.331623931623932,0.374481074481074,0.331623931623932,0.277777777777778,0.277777777777778,0.2,0.2,0,0.402170596393897,-0.2,0.1,-0.117826086956522,0.138275347907088,-0.1725
"CD44",0.376129032258064,0.37,0.35,0.3,0.2,0.3,0.415,0.361517615176152,0.385,0.325,0.179166666666667,0.349924585218703,0.156666666666667,0.161212121212121,0.154678362573099,0.252380952380952,0.266666666666667,0.2,0.15,0.2,0.176666666666667,0.1,0.242857142857143,0.242857142857143,0.2,-0.00238095238095239,-0.277777777777778,0.439156399156399,-0.144450549450549,0.419241192411924,0.419241192411924,0.203809523809524,0.166666666666667,0.166666666666667,0.166666666666667,-0.28253878314446,-0.430756843800322,-0.223809523809524,0.132277877161598,0.0233333333333333,0.0861240310077519,-0.05,0.0233333333333333,0.05,-0.1,0,0,0.1,-0.1,-0.02,-0.1,0.1,-0.138888888888889,-0.159085452362763,-0.42
