"","FOXC2","TGF","TGFR","PAK1","CDC42","cateninmemb","EGR1","cfos","HEY1","ILK","SMAD","ERK","Ecadherin","MEK","SNAI1","NFB","Csn","SHH","IKK","SMO","AKT","FUS","Jagged","TWIST1","KLF4","Csl","NOTCHic","NOTCH","GSK3","SOSGRB2","ZEB2","ZEB1","miR200","SNAI2","RAF","PI3K","DELTA","RAS","TrCP","SUFU","Patched","Wnt","GLI","Frizzled","DSH","cateninnuc","TCFLEF","SRC","cMet","CD44","RKIP","STAT","LIV1","AXIN2","Destcompl"
"Destcompl",0.0391626575436388,0.0050375939849624,0.00868291418200674,0.0128571428571429,0.0107881773399015,0.27262714999533,0.0625641025641026,0.0504428904428904,0.00786802940649095,0.0121428571428571,0.0108563074352548,0.0433390653062784,0.14184858799277,0.0370099513822278,0.0814432832799275,0.0480331262939959,0.0523809523809524,-0.132052798474856,0.0399250181858878,-0.124488232074439,0.0332136087899146,-0.118773946360153,-0.206846041490495,-0.0639812804218324,-0.196298006751588,-0.0717822169996083,-0.0761300430865648,-0.0799376583170257,-0.0721151790803634,-0.0779790768509488,0.181615824559858,0.181615824559858,-0.193660912803527,-0.263641942805866,-0.0176521011395644,-0.0176521011395644,-0.0176521011395644,-0.0198499033373666,-0.0666666666666667,0.122222222222222,0.129151444509672,-0.21688410524027,-0.219295979080715,-0.21688410524027,-0.218253968253968,-0.222280020051938,-0.220954165895896,-0.21688410524027,-0.216386592802459,-0.218625398772608,-0.109620786949161,-0.218253968253968,-0.211111111111111,-0.271114387825728,-0.0381623797365985
"AXIN2",0.0971476376862793,0.047559784001999,0.0518502130449033,0.0783333333333333,0.0598148148148148,0.310055372486422,0.153333333333333,0.131382113821138,0.0187481889307447,0.0220841959972395,0.0173222912353347,0.115494263353849,0.178401823329325,0.105149435767642,0.142767563595044,0.109178743961353,0.122222222222222,-0.165526031345703,0.101932367149758,-0.157692307692308,0.0941545893719807,-0.157692307692308,-0.24094121507165,-0.0582764069376645,-0.250958131485216,-0.0557894736842105,-0.064718045112782,-0.070799126193863,-0.155911459250132,-0.0865638148667602,0.2395724886895,0.2395724886895,-0.254341848207563,-0.304837989128027,0.0528359674553446,0.0528359674553446,0.0528359674553446,0.0475866236233236,-0.133333333333333,0.15,0.161263736263736,-0.268409516172147,-0.269667377807367,-0.264961240310078,-0.253333333333333,-0.273232848699052,-0.271114387825728,-0.264961240310078,-0.268409516172147,-0.269355888411894,-0.17072265548072,-0.253333333333333,-0.233333333333333,0.151864873832897,0.143135625478814
"Wnt",0.145182186234818,0.159130434782609,0.12,0.1,0.1,-0.16364406779661,0.1,0.0666666666666667,0.0656410256410257,0.058974358974359,0.0566487775790101,0.0666666666666667,-0.146413585103593,0.107843137254902,0.0725672877846791,0.0666666666666667,0.1,0.082034632034632,0.0866666666666667,0.05,0.124166666666667,0,0.101495098039216,0.161176470588235,-0.262745098039216,0.1,0.114285714285714,0.147619047619048,-0.022884012539185,0.0757575757575758,0.294452415112386,0.294452415112386,-0.298989898989899,0.243362068965517,0.0691729323308271,0.0691729323308271,0.0691729323308271,0.0919002050580998,-0.1,0,-0.0772727272727273,0.125,0.161842105263158,0.2,0.2,0.194528954837425,0.183270676691729,0.1,0.125,0.161842105263158,-0.103333333333333,0.1,0,0.193939393939394,-0.0887653917402201
"Frizzled",0.170763581583655,0.186749482401656,0.159130434782609,0.1,0.12,-0.180469464622007,0.0666666666666667,0.0666666666666667,0.0635133660665576,0.0566487775790101,0.0594525158967671,0.107843137254902,-0.168558107248115,0.133769063180828,0.0836783988957902,0.0866666666666667,0.0666666666666667,0.0917120513894708,0.124166666666667,0.0772727272727273,0.136666666666667,0.05,0.112606209150327,0.177366946778712,-0.291316526610644,0.114285714285714,0.147619047619048,0.169187675070028,-0.0392476489028213,0.0909090909090909,0.319204890359911,0.319204890359911,-0.323989898989899,0.263235886000218,0.0919002050580998,0.0919002050580998,0.0919002050580998,0.108435638128966,-0.1,0,-0.082034632034632,0.161842105263158,0.183270676691729,0.125,0.2,0.203576573885044,0.194528954837425,0.125,0.161842105263158,0.183270676691729,-0.114047619047619,0.1,0.1,0.219520789288231,-0.0784205641540132
"DSH",0.184183495003568,0.201732060798869,0.186749482401656,0.12,0.159130434782609,-0.196134953432372,0.0666666666666667,0.107843137254902,0.0670221379963821,0.0594525158967671,0.0688864781609181,0.133769063180828,-0.184098054570328,0.149558536865038,0.0961421670117322,0.124166666666667,0.0866666666666667,0.100914505377201,0.136666666666667,0.082034632034632,0.147011494252874,0.0772727272727273,0.120358147134823,0.188714464509208,-0.315588371270838,0.147619047619048,0.169187675070028,0.183872989755343,-0.0506165584155823,0.112860310421286,0.337315126580384,0.337315126580384,-0.34350209411185,0.277787690423966,0.108435638128966,0.108435638128966,0.108435638128966,0.12272135241468,-0.0666666666666667,-0.05,-0.0917120513894708,0.183270676691729,0.19438178780284,0.161842105263158,0.125,0.2132827181415,0.203576573885044,0.161842105263158,0.183270676691729,0.194528954837425,-0.128732933732934,0.125,0.1,0.235976485490763,-0.0715503351463797
"HEY1",0.387715377204185,0.369750184774575,0.340969696969697,0.263636363636364,0.307636363636364,-0.548185015075259,0.2,0.281818181818182,0.111306340718105,0.0906666666666667,0.105159420289855,0.328877005347594,-0.592704067336292,0.364959479574398,0.33328072361438,0.26,0.2,0.320497311827957,0.302857142857143,0.266666666666667,0.33989417989418,0.233333333333333,0.341239380309845,0.40237908496732,-0.266666666666667,0.305454545454545,0.342296650717703,0.372193557934198,-0.340970852840835,0.28138936535163,0.354514963880289,0.354514963880289,-0.362568172568173,0.448668834025732,0.372051282051282,0.372051282051282,0.372051282051282,0.391904223227753,-0.1,-0.2,-0.297916666666667,0.317008663930689,0.335974181172068,0.296078431372549,0.266666666666667,0.366149552821429,0.352326389683197,0.296078431372549,0.317008663930689,0.335269533495906,-0.328674500103071,0.266666666666667,0.233333333333333,0.389434770893199,0.330145924208178
"FOXC2",0.387715377204185,0.369750184774575,0.340969696969697,0.263636363636364,0.307636363636364,-0.548185015075259,0.2,0.281818181818182,0.111306340718105,0.0906666666666667,0.105159420289855,0.328877005347594,-0.592704067336292,0.364959479574398,0.33328072361438,0.26,0.2,0.320497311827957,0.302857142857143,0.266666666666667,0.33989417989418,0.233333333333333,0.341239380309845,0.40237908496732,-0.266666666666667,0.305454545454545,0.342296650717703,0.372193557934198,-0.340970852840835,0.28138936535163,0.354514963880289,0.354514963880289,-0.362568172568173,0.448668834025732,0.372051282051282,0.372051282051282,0.372051282051282,0.391904223227753,-0.1,-0.2,-0.297916666666667,0.317008663930689,0.335974181172068,0.296078431372549,0.266666666666667,0.366149552821429,0.352326389683197,0.296078431372549,0.317008663930689,0.335269533495906,-0.328674500103071,0.266666666666667,0.233333333333333,0.389434770893199,0.330145924208178
"PI3K",0.217082462253194,0.226119081779053,0.194411764705882,0.125,0.154411764705882,-0.210764163845225,0.0666666666666667,0.0952380952380952,0.0747923182995325,0.0694917967186875,0.0766917967186875,0.136414565826331,-0.192450484917552,0.164283418285347,0.142000805152979,0.2,0.166666666666667,0.107692307692308,0.241176470588235,0.0833333333333333,0.253996983408748,0.05,0.129210526315789,0.22024120648497,-0.328508771929825,0.125,0.163461538461538,0.189267990074442,-0.13457190957191,0.133076923076923,0.358302173101579,0.358302173101579,-0.360022690350559,0.302521780137945,0.131463203463203,0.131463203463203,0.131463203463203,0.153381011682382,-0.2,0,-0.091025641025641,0.181159420289855,0.204236343366778,0.133333333333333,0.1,0.232480271376563,0.219490580654914,0.133333333333333,0.181159420289855,0.204236343366778,-0.141273432449903,0.1,0.1,0.239523809523809,-0.0850918808111868
"ILK",0.217082462253194,0.226119081779053,0.194411764705882,0.125,0.154411764705882,-0.210764163845225,0.0666666666666667,0.0952380952380952,0.0747923182995325,0.0694917967186875,0.0766917967186875,0.136414565826331,-0.192450484917552,0.164283418285347,0.142000805152979,0.2,0.166666666666667,0.107692307692308,0.241176470588235,0.0833333333333333,0.253996983408748,0.05,0.129210526315789,0.22024120648497,-0.328508771929825,0.125,0.163461538461538,0.189267990074442,-0.13457190957191,0.133076923076923,0.358302173101579,0.358302173101579,-0.360022690350559,0.302521780137945,0.131463203463203,0.131463203463203,0.131463203463203,0.153381011682382,-0.2,0,-0.091025641025641,0.181159420289855,0.204236343366778,0.133333333333333,0.1,0.232480271376563,0.219490580654914,0.133333333333333,0.181159420289855,0.204236343366778,-0.141273432449903,0.1,0.1,0.239523809523809,-0.0850918808111868
"RAF",0.268803418803419,0.283150867823765,0.248571428571429,0.2,0.22,-0.322230297524415,0.17,0.17,0.159581881533101,0.153754813863928,0.156725110893631,0.187241379310345,-0.354626050854094,0.219156272927366,0.190708218392374,0.0857142857142857,0.1,0.182754098360656,0.110714285714286,0.14,0.144047619047619,0.1,0.209881558735549,0.3233541295306,-0.332663797226208,0.111111111111111,0.138383838383838,0.172999222999223,-0.11371158392435,0.0453968253968254,0.364663797226208,0.364663797226208,-0.374751400420554,0.544393833420761,-0.000324675324675328,-0.000324675324675328,-0.000324675324675328,0.0312992562992563,-0.1,-0.1,-0.168,0.173333333333333,0.215641025641026,0.133333333333333,0.1,0.25680420423289,0.239755858176911,0.133333333333333,0.170175438596491,0.212483130904184,-0.210364145658263,0.1,0,0.232512892639475,-0.0484322648920195
"SHH",0.35,0.44,0.4,0.2,0.3,-0.211039426523297,0,0.1,0.0666666666666667,0.0666666666666667,0.1,0.2,-0.215277777777778,0.3,0.283333333333333,0,0,0.253333333333333,0.1,0.3,0.15,0.2,0.134285714285714,0.175,-0.3,0.1,0.2,0.233333333333333,-0.256410256410256,0.25,0.375,0.375,-0.383333333333333,0.331264367816092,0.25,0.25,0.25,0.288461538461538,0,-0.2,-0.333333333333333,0.2,0.2,0.2,0.2,0.161111111111111,0.133333333333333,0.1,0.1,0.1,-0.26,0.1,0,0.247619047619048,0.243376623376623
"cateninnuc",0.38189877335779,0.362429277995006,0.346272072754831,0.299428571428571,0.325582417582418,-0.344812140214384,0.297101449275362,0.327260179434092,0.124481847142868,0.103393939393939,0.110624498739096,0.351310812345485,-0.392820550097501,0.367824573813375,0.326168488516292,0.304166666666667,0.270833333333333,0.20552070959056,0.324166666666667,0.181366120218579,0.337447916666667,0.163333333333333,0.224870641705028,0.302572688714729,-0.298771177418864,0.325423728813559,0.34402837997635,0.358573834521805,-0.322029631000879,0.250977209711233,0.376770419541364,0.376770419541364,-0.384520223524015,0.433399008690728,0.356557271557272,0.356557271557272,0.356557271557272,0.368173433173433,-0.233333333333333,-0.133333333333333,-0.194409598479449,0.210103242994845,0.221960950504727,0.193798895168758,0.175990675990676,0.138829463361233,0.230351142455406,0.192657342657343,0.20896169048343,0.220866452388191,-0.342077047022456,0.175990675990676,0.160606060606061,0.366149552821429,0.298935905322456
"SNAI2",0.423902047963757,0.409034159929301,0.375493787258493,0.276470588235294,0.333613445378151,-0.599135169482241,0.2,0.288235294117647,0.116169379144063,0.0934272300469483,0.112087517128288,0.349019607843137,-0.735817447345973,0.393614202437732,0.369282114766603,0.275,0.2,0.362630911519537,0.326724137931034,0.301176470588235,0.36889281262983,0.26,0.391966731110401,0.440584351596374,-0.286538461538462,0.332894736842105,0.376754385964912,0.411819321029847,-0.381288925762321,0.323799864773496,0.378588839941263,0.378588839941263,-0.386587993124707,0.697918745669399,0.410417969212052,0.410417969212052,0.410417969212052,0.435532124463193,-0.1,-0.2,-0.335870348139256,0.367929394549113,0.389854528238952,0.341168831168831,0.305454545454545,0.423880887304802,0.408197657491137,0.341168831168831,0.367929394549113,0.389434770893199,-0.355166666666667,0.305454545454545,0.26,0.437789682464365,0.376253113906183
"AKT",0.235127575035149,0.245152314407452,0.226119081779053,0.154411764705882,0.194411764705882,-0.230437966087835,0.0952380952380952,0.136414565826331,0.0830629949912618,0.0766917967186875,0.0857827058095966,0.164283418285347,-0.211238363705431,0.183270760057499,0.159294038235686,0.241176470588235,0.2,0.120323886639676,0.253996983408748,0.091025641025641,0.169148498560263,0.0833333333333333,0.141131056117114,0.237060778350413,-0.355004498425551,0.163461538461538,0.189267990074442,0.207560673001271,-0.148281586991264,0.15974358974359,0.381589844334456,0.381589844334456,-0.383552102115265,0.321114744962065,0.153381011682382,0.153381011682382,0.153381011682382,0.171453300839008,-0.166666666666667,-0.05,-0.107692307692308,0.204236343366778,0.21932014224946,0.181159420289855,0.133333333333333,0.244480271376563,0.232480271376563,0.181159420289855,0.204236343366778,0.219490580654914,-0.161770326859841,0.133333333333333,0.1,0.260101426852329,-0.0760761653438584
"MEK",0.297632247632248,0.314537729137634,0.283150867823765,0.22,0.248571428571429,-0.345644931670757,0.17,0.187241379310345,0.163218245169465,0.156725110893631,0.162998173624258,0.219156272927366,-0.379580513513474,0.147489606260699,0.210580013264169,0.110714285714286,0.0857142857142857,0.199093967641701,0.144047619047619,0.168,0.161694677871148,0.14,0.227094673489647,0.347163653340124,-0.36207556193209,0.138383838383838,0.172999222999223,0.200006522269296,-0.135087505300271,0.060952380952381,0.393235225797636,0.393235225797636,-0.402924775033557,0.56945466067137,0.0312992562992563,0.0312992562992563,0.0312992562992563,0.057013542013542,-0.1,-0.1,-0.182754098360656,0.215641025641026,0.242913752913753,0.173333333333333,0.133333333333333,0.270372977467091,0.25680420423289,0.170175438596491,0.212483130904184,0.239755858176911,-0.231416777237211,0.133333333333333,0.1,0.264945325071907,-0.0344155284903459
"RAS",0.324444444444444,0.336202679091439,0.303529411764706,0.26,0.28,-0.2186977371915,0.26,0.26,0.161857707509881,0.156709956709957,0.158750773036487,0.286315789473684,-0.24118225595025,0.311805985552116,0.281671583087512,0.166666666666667,0.2,0.171310734463277,0.173333333333333,0.116666666666667,0.206666666666667,0.1,0.21524935935344,0.321963993453355,-0.356428571428571,0.2,0.215789473684211,0.247864945382324,-0.167480620155039,0.00346320346320345,0.394572901325479,0.394572901325479,-0.404461538461538,0.497898518067079,0.166666666666667,0.166666666666667,0.166666666666667,0.0974358974358974,-0.2,-0.1,-0.152666666666667,0.179411764705882,0.225245098039216,0.15,0.1,0.279751800777339,0.257938769615866,0.15,0.179411764705882,0.224092615769712,-0.385075471698113,0.1,0,0.238392621870883,-0.105884765768487
"SOSGRB2",0.348009768009768,0.36026654196867,0.328351648351648,0.271428571428571,0.301428571428571,-0.323279318279318,0.276190476190476,0.30952380952381,0.261647727272727,0.252903225806452,0.259196932100158,0.323037323037323,-0.347775129941403,0.353340353340353,0.3325486851457,0.288888888888889,0.3,0.278587890215797,0.304678362573099,0.233333333333333,0.329678362573099,0.2,0.309431208750244,0.353449275362319,-0.362017543859649,0.309090909090909,0.332167832167832,0.361745296956565,-0.270173937018257,-0.0383333333333333,0.394874686716792,0.394874686716792,-0.406231236913141,0.568725539605503,0.24331450094162,0.24331450094162,0.24331450094162,0.275365782992902,-0.2,-0.2,-0.257657657657658,0.18452380952381,0.223654244306418,0.142857142857143,0.1,0.273920669159806,0.252696959790781,0.142857142857143,0.181987577639752,0.22111801242236,-0.371308479532164,0.1,0,0.239899614961496,-0.105242930075145
"STAT",0.141521472392638,0.121351963571643,0.115071770334928,0.104545454545455,0.104545454545455,0.152894534053241,0.2,0.16,0.0506666666666667,0.0557165861513687,0.0534177355766561,0.142352941176471,0.107332620366597,0.139127134724858,0.0797764982846968,0,0,0.0127584551005008,-0.00476190476190476,0.00666666666666667,-0.00645682001614205,0,-0.00828912265986323,-0.0278476562584509,-0.300148544266191,-0.0607843137254902,-0.0526762056173821,-0.0497635842581588,0.154394748553627,-0.0743021346469622,0.399381387842926,0.399381387842926,-0.417392849956131,-0.0367398048991069,-0.158767576509512,-0.158767576509512,-0.158767576509512,-0.155782501882646,0,0,-0.0136434108527132,-0.151623376623377,-0.1457410236822,-0.160714285714286,-0.185714285714286,-0.138559786485156,-0.141539524268231,-0.160714285714286,-0.151623376623377,-0.145640470640471,-0.116036036036036,-0.185714285714286,-0.1,-0.19678439207851,-0.201354558752299
"Csn",0.185101775555568,0.196505314939397,0.177173572695961,0.109090909090909,0.14640434192673,-0.176241934022235,0.106666666666667,0.143030303030303,0.0683970099667774,0.063768115942029,0.0722514064304609,0.165108225108225,-0.195146232401852,0.182816558441558,0.107493734468656,0.138333333333333,0.105,0.0979848343677006,0.150833333333333,0.0741702741702742,0.164433333333333,0.0650793650793651,0.112056583600625,0.192125603864734,-0.376724843783667,0.142424242424242,0.167099567099567,0.185368797868798,-0.0524953688928563,0.108961143779546,0.400224979321753,0.400224979321753,-0.409909283161563,0.276086748029239,0.106465128292861,0.106465128292861,0.106465128292861,0.123163784722804,-0.18,-0.0428571428571429,-0.0881487687939301,0.170128791026174,0.184539271375519,0.144827586206897,0.1,0.207495494236258,0.196371020393805,0.144827586206897,0.170128791026174,0.18479545769284,-0.134743864209802,0.1,0.0666666666666667,0.21257859222537,-0.0769438622975848
"ERK",0.319341649341649,0.337339926939832,0.314537729137634,0.248571428571429,0.283150867823765,-0.364964158901667,0.187241379310345,0.219156272927366,0.171068074521001,0.162998173624258,0.170900909186568,0.147489606260699,-0.399182298614745,0.170609383419474,0.228404087338243,0.144047619047619,0.110714285714286,0.212620537690011,0.161694677871148,0.182754098360656,0.180043301724359,0.168,0.239745275899285,0.365610255281872,-0.389207344877826,0.172999222999223,0.200006522269296,0.221890178778991,-0.15007388132207,0.0823116042533518,0.417329713986612,0.417329713986612,-0.428169873072772,0.588931666983362,0.057013542013542,0.057013542013542,0.057013542013542,0.0762654672060613,-0.0857142857142857,-0.14,-0.199093967641701,0.242913752913753,0.259705732863628,0.215641025641026,0.173333333333333,0.281900755244869,0.270372977467091,0.212483130904184,0.239755858176911,0.25680420423289,-0.252865245203785,0.170175438596491,0.133333333333333,0.287546951088168,-0.0244568663332621
