"","KLF4","miR200","Ecadherin","cateninmemb","RKIP","GSK3","Csn","HEY1","ILK","SMAD","NFB","FUS","SMO","IKK","SHH","AKT","Csl","Patched","NOTCHic","Jagged","NOTCH","SUFU","TrCP","EGR1","LIV1","SNAI1","cfos","RAF","PI3K","DELTA","SOSGRB2","ERK","DSH","STAT","RAS","MEK","PAK1","Frizzled","TWIST1","SRC","CDC42","Wnt","cMet","FOXC2","GLI","TGFR","CD44","Destcompl","TGF","TCFLEF","cateninnuc","AXIN2","SNAI2","ZEB2","ZEB1"
"TGFR",0.0977370963640986,0.109379734713439,0.0232495317281215,0.0241436226900258,-0.0467099567099567,-0.155840314265953,0.233333333333333,0.159612960343351,0.128875855327468,0.130655214758073,0.233333333333333,0.113333333333333,0.116781609195402,0.228070175438596,0.124126241963764,0.225744594043248,0.223333333333333,-0.116781609195402,0.219885057471264,0.122261264434057,0.222043330852559,-0.113333333333333,-0.233333333333333,0.0476190476190476,0,0.0534291238394215,0.0739348370927318,0.107142857142857,0.107142857142857,0.107142857142857,-0.075909681611436,0.0628237259816207,-0.0142857142857143,-0.0333333333333333,0.110651629072682,0.0614538629679221,0.153333333333333,-0.0142857142857143,0.0450546988269408,-0.0333333333333333,0.153333333333333,-0.00485175202156334,-0.0238993710691824,0.0551454473948303,0.000954699591339885,0.0479761904761905,-0.0186362131744455,-0.0950561026225592,0.0508130699088146,-0.0133730552797087,-0.0102729667057494,-0.023718123396235,0.0354709763021481,-0.0958503039112684,-0.0958503039112684
"RKIP",0.0514108082257293,0.0622219436260682,0.298210561155882,0.291252428899488,0.0720588235294118,0.103782505910165,-0.1,-0.11831204026326,-0.107702182284981,-0.108692281294882,-0.0857142857142857,-0.1,-0.12,-0.0982142857142857,-0.151475409836066,-0.119426406926407,-0.111111111111111,0.14,-0.138383838383838,-0.181188859244886,-0.161460761460761,0.1,0.1,-0.12,0,-0.0609118801154417,-0.07,0.00487012987012987,0.00487012987012987,0.00487012987012987,0.0386031746031746,-0.0803448275862069,-0.1,-0.1,-0.0164973914973915,-0.108004402054292,-0.0333333333333333,-0.166666666666667,-0.206937017231135,-0.166666666666667,-0.0533333333333333,-0.196666666666667,-0.192982456140351,-0.0906424992631889,-0.215897435897436,-0.0866666666666667,-0.21221322537112,0.0507131772569655,-0.110031152647975,-0.226898540056435,-0.238857827588241,-0.242323019221753,-0.480917118377339,-0.0674108082257293,-0.0674108082257293
"RAF",-0.0514108082257293,-0.0622219436260682,-0.298210561155882,-0.291252428899488,-0.0720588235294118,-0.103782505910165,0.1,0.11831204026326,0.107702182284981,0.108692281294882,0.0857142857142857,0.1,0.12,0.0982142857142857,0.151475409836066,0.119426406926407,0.111111111111111,-0.14,0.138383838383838,0.181188859244886,0.161460761460761,-0.1,-0.1,0.12,0,0.0609118801154417,0.07,-0.00487012987012987,-0.00487012987012987,-0.00487012987012987,-0.0386031746031746,0.0803448275862069,0.1,0.1,0.0164973914973915,0.108004402054292,0.0333333333333333,0.166666666666667,0.206937017231135,0.166666666666667,0.0533333333333333,0.196666666666667,0.192982456140351,0.0906424992631889,0.215897435897436,0.0866666666666667,0.21221322537112,-0.0507131772569655,0.110031152647975,0.226898540056435,0.238857827588241,0.242323019221753,0.480917118377339,0.0674108082257293,0.0674108082257293
"MEK",-0.0651362984218078,-0.0780114173102788,-0.316425497403605,-0.308325599631195,-0.0865325077399381,-0.116804618932279,0.0857142857142857,0.120130222081442,0.108692281294882,0.114965344025509,0.0982142857142857,0.12,0.14,0.119426406926407,0.158664952319726,0.134720524573466,0.138383838383838,-0.151475409836066,0.161460761460761,0.190205252687509,0.178249082628645,-0.1,-0.1,0.07,0.1,0.0711682903718519,0.0803448275862069,0.0164973914973915,0.0164973914973915,0.0164973914973915,-0.0208253968253968,0.108004402054292,0.166666666666667,0.166666666666667,0.033957708957709,0.0313377353876253,0.0533333333333333,0.196666666666667,0.221222731516849,0.192982456140351,0.0866666666666667,0.215897435897436,0.21221322537112,0.107759616380306,0.230582750582751,0.110031152647975,0.226898540056435,-0.0415081563364634,0.127549400823158,0.238857827588241,0.249452623127275,0.261241938140672,0.496488894533056,0.0824901733050944,0.0824901733050944
"ZEB1",-0.0715107443974926,-0.138571203934029,-0.269011768670886,-0.35538995935479,-0.0165833521732941,-0.263013934498304,0.153333333333333,0.111777238305736,0.091312136969264,0.0970813677384947,0.15859649122807,0.133333333333333,0.142424242424242,0.170071901064136,0.161299408148895,0.182929043921279,0.214583333333333,-0.150267379679144,0.224387254901961,0.198450591581389,0.236783949116837,-0.133333333333333,-0.133333333333333,-0.05,0.233333333333333,0.0410407492661643,-0.006,0.280081151922685,0.280081151922685,0.280081151922685,0.0486939571150097,0.014,0.247619047619048,0.241025641025641,0.290947293654968,0.0285374449339207,-0.0496168582375479,0.254936120789779,0.138819135058427,0.248342714196373,-0.030776278527403,0.266474582328241,0.260107420078726,-0.0314503791516275,0.277814788513808,-0.0221468369030375,0.271218531189837,0.272527936109627,-0.0130917187928013,0.28132491416856,0.289348397534509,0.310412296345956,0.249832416383069,0.0936975339091928,0.0936975339091928
"ERK",-0.0783145929954512,-0.0912467114279258,-0.331221240623653,-0.322769021894305,-0.0990673266814422,-0.127431321929554,0.0982142857142857,0.127980051432977,0.114965344025509,0.120740420013351,0.119426406926407,0.14,0.151475409836066,0.134720524573466,0.167843696281078,0.146647130078053,0.161460761460761,-0.158664952319726,0.178249082628645,0.199843806904377,0.191268473210362,-0.12,-0.0857142857142857,0.0803448275862069,0.166666666666667,0.0788071792607408,0.108004402054292,0.033957708957709,0.033957708957709,0.033957708957709,-0.0101457851749114,0.0313377353876253,0.196666666666667,0.192982456140351,0.0472690400908223,0.0488864819057312,0.0866666666666667,0.215897435897436,0.232457128188139,0.21221322537112,0.110031152647975,0.230582750582751,0.226898540056435,0.119896368517058,0.242362199204304,0.127549400823158,0.238857827588241,-0.0343304036119238,0.14018676346052,0.249452623127275,0.258202623127275,0.275713482856119,0.509744079384274,0.0955610394468267,0.0955610394468267
"SOSGRB2",-0.102456140350877,-0.112996985292263,-0.344216237279442,-0.330590187590188,-0.221491228070175,-0.268771412474077,0.3,0.227840909090909,0.216344086021505,0.218441988119407,0.288888888888889,0.2,0.216666666666667,0.294152046783626,0.254190236748376,0.310818713450292,0.309090909090909,-0.235585585585586,0.332167832167832,0.295777168709915,0.356111494139663,-0.2,-0.2,0.242857142857143,0,0.153084577114428,0.231746031746032,0.24331450094162,0.24331450094162,0.24331450094162,-0.139722222222222,0.23985413985414,0.1,0.1,0.271519629146748,0.264096564096564,0.0928571428571429,0.171428571428571,0.215971014492754,0.171428571428571,0.112857142857143,0.213095238095238,0.21055900621118,0.14978021978022,0.243530020703934,0.143626373626374,0.240993788819876,-0.0960419893305799,0.168449068661835,0.263099051977771,0.279351442035132,0.264411441144114,0.522769041272378,0.119598997493734,0.119598997493734
"TWIST1",-0.0969460079216177,-0.142424623554484,-0.755747998675101,-0.615516550131235,-0.225591812548334,-0.391413941035928,0.3,0.218557149065624,0.190822640822641,0.207654323990958,0.369230769230769,0.355555555555556,0.383555555555556,0.412087912087912,0.438431053227463,0.449376047681132,0.335555555555555,-0.412322678843227,0.374017094017094,0.388270689142963,0.407035961941622,-0.3,-0.2,0.213333333333333,0.266666666666667,0.233780671545415,0.295942028985507,0.410175283053208,0.410175283053208,0.410175283053208,0.280711533571945,0.351205186880244,0.309523809523809,0.309523809523809,0.437230077573756,0.392498719218553,0.295151515151515,0.342857142857143,0.390916330681777,0.342857142857143,0.350323928944619,0.371278195488722,0.370516717325228,0.385086247211153,0.398478195488722,0.389073928944619,0.397424347847316,0.384105471668764,0.416180990448035,0.421773505580854,0.441957519381889,0.444961436413049,0.700041383638417,0.162140210385824,0.162140210385824
"Destcompl",-0.192754195867828,-0.194148367220032,0.0559801170532754,0.217668277694197,-0.114330880118701,-0.0884561020311128,0.0523809523809524,0.00905146135915367,0.0127777777777778,0.0121929824561404,0.0523809523809524,-0.111877394636015,-0.111877394636015,0.0496782496782497,-0.120215655427148,0.0449802631010685,-0.0549784567175871,0.116540607071248,-0.0560654132393263,-0.186096152749952,-0.0598730284697872,0.122222222222222,-0.0666666666666667,0.0625641025641026,-0.188888888888889,0.0892512180895982,0.0504428904428904,0.00295231120545534,0.00295231120545534,0.00295231120545534,-0.0649129529479591,0.047710650005732,-0.181746031746032,-0.181746031746032,0.00153943836401107,0.0468667681491919,0.0169387755102041,-0.180376168732333,-0.0438046896302413,-0.180376168732333,0.0190077410274455,-0.183346465762036,-0.182863730921388,0.049614361659778,-0.186129397116396,0.0205866883958665,-0.185475671219895,-0.0204800971927487,0.0196999888884773,-0.187256493137704,-0.188531352903129,-0.238889618915709,-0.235511067768481,0.182865622659795,0.182865622659795
"AXIN2",-0.246187948605027,-0.250250080127001,0.0661027998692132,0.250510879508563,-0.168122316751349,-0.170421160202625,0.122222222222222,0.0187481889307447,0.0220841959972395,0.0177191166321601,0.109178743961353,-0.157692307692308,-0.152930402930403,0.104830917874396,-0.153439770611902,0.101497584541063,-0.0505263157894737,0.151144688644689,-0.052312030075188,-0.220035634166069,-0.0536633814265393,0.15,-0.133333333333333,0.153333333333333,-0.233333333333333,0.145229572057082,0.131382113821138,0.069649370081896,0.069649370081896,0.069649370081896,-0.0784895235666624,0.115494263353849,-0.24,-0.24,0.0667622309742845,0.107908056457297,0.0783333333333333,-0.237674418604651,-0.042614822134768,-0.237674418604651,0.0622839506172839,-0.235950280673617,-0.235950280673617,0.101505839983592,-0.237208142308837,0.057859171856222,-0.236896652913364,0.15963092790824,0.0571991058496213,-0.238889618915709,-0.24074867641679,0.182032686545068,-0.277901483309753,0.235830937086628,0.235830937086628
"CD44",-0.138095238095238,-0.269745278875714,-0.18396482466616,-0.0837728937728938,-0.318888888888889,-0.215476190476191,0.2,0.193567251461988,0.172222222222222,0.178344671201814,0.2,0.1,0.15,0.266666666666667,0.168181818181818,0.26,0.2,-0.15,0.242857142857143,0.176410256410256,0.24812030075188,-0.1,-0.1,0.3,0.1,0.20441254651781,0.3,0.166666666666667,0.166666666666667,0.166666666666667,-0.0523809523809524,0.36,0,0.1,0.192380952380952,0.36,0.133333333333333,-0.1,0.20974358974359,0,0.193333333333333,-0.05,0.05,0.226666666666667,0.01,0.218333333333333,0.01,-0.175171886936593,0.223888888888889,0.0541860465116279,0.0849552772808587,-0.03,0.394161394161394,0.257142857142857,0.257142857142857
"RAS",-0.237857142857143,-0.269230769230769,-0.375941266273747,-0.334793795164814,-0.287314465408805,-0.200348837209302,0.2,0.144071146245059,0.137662337662338,0.139703153988868,0.166666666666667,0.1,0.116666666666667,0.173333333333333,0.174700564971751,0.206666666666667,0.2,-0.152666666666667,0.226315789473684,0.234614626453775,0.269712015888779,-0.1,-0.2,0.22,0,0.188997050147493,0.22,0.195384615384615,0.195384615384615,0.195384615384615,-0.016017316017316,0.235789473684211,0.1,0.1,0.131923076923077,0.257358101135191,0.18,0.2,0.277043098745226,0.2,0.2,0.264705882352941,0.264705882352941,0.23968253968254,0.310539215686275,0.229411764705882,0.309386733416771,-0.0570601146182541,0.264065230052417,0.33861750264754,0.360997106046974,0.32635046113307,0.522686796234843,0.257444771723122,0.257444771723122
"cMet",-0.157142857142857,-0.285370278875714,-0.213735817032572,-0.117580722954388,-0.337407407407407,-0.2428955453149,0.2,0.199449604403165,0.178344671201814,0.187435580292723,0.266666666666667,0.15,0.15,0.26,0.186931818181818,0.26625,0.242857142857143,-0.168181818181818,0.24812030075188,0.200323299888517,0.271524556071029,-0.1,-0.2,0.3,0.1,0.221361699060183,0.36,0.192380952380952,0.192380952380952,0.192380952380952,-0.0523809523809524,0.36,-0.1,0,0.222569631626235,0.358181818181818,0.193333333333333,-0.05,0.235586286372803,0.05,0.218333333333333,0.01,0.01,0.240590717299578,0.0554545454545454,0.223888888888889,0.0541860465116279,-0.152874589639296,0.24516548463357,0.0849552772808587,0.106424203834531,0.016031746031746,0.42846796350446,0.27027417027417,0.27027417027417
"Wnt",-0.250980392156863,-0.278080808080808,-0.391932673935034,-0.333008474576271,-0.07,-0.0729623824451411,0.1,0.0656410256410257,0.058974358974359,0.0566487775790101,0.0666666666666667,0,0.05,0.0866666666666667,0.10974025974026,0.136666666666667,0.1,-0.0954545454545455,0.142857142857143,0.153259803921569,0.192857142857143,0,-0.1,0.1,0,0.0554347826086957,0.0666666666666667,0.118796992481203,0.118796992481203,0.118796992481203,0.0939393939393939,0.0666666666666667,0.2,0.1,0.150615174299385,0.107843137254902,0.1,0.3,0.196176470588235,0.2,0.1,0.25,0.25,0.139919028340081,0.286842105263158,0.133333333333333,0.286842105263158,-0.0233176107971793,0.172463768115942,0.308270676691729,0.327475974704974,0.31030303030303,0.338534482758621,0.272931611669058,0.272931611669058
"Frizzled",-0.270028011204482,-0.303080808080808,-0.421070203072563,-0.360627522195319,-0.095,-0.0929623824451411,0.0666666666666667,0.0635133660665576,0.0566487775790101,0.0613216747752718,0.0866666666666667,0.05,0.0954545454545455,0.136666666666667,0.119417679095098,0.161666666666667,0.142857142857143,-0.10974025974026,0.192857142857143,0.16437091503268,0.222268907563025,0,-0.1,0.0666666666666667,0.1,0.0713077984817115,0.0666666666666667,0.150615174299385,0.150615174299385,0.150615174299385,0.121212121212121,0.107843137254902,0.3,0.2,0.173449819968676,0.141176470588235,0.1,0.25,0.219985994397759,0.25,0.133333333333333,0.286842105263158,0.286842105263158,0.172477167874965,0.308270676691729,0.172463768115942,0.308270676691729,-0.00872875138073365,0.205797101449275,0.327475974704974,0.344142641371641,0.340535588442565,0.363455618405308,0.299664284936385,0.299664284936385
"DSH",-0.294299855864676,-0.325641783690564,-0.445038596400044,-0.383595720075177,-0.113881118881119,-0.10943570031057,0.0866666666666667,0.0705309099262067,0.0613216747752718,0.0707556370394228,0.136666666666667,0.0954545454545455,0.10974025974026,0.161666666666667,0.129847126947859,0.176609195402299,0.192857142857143,-0.119417679095098,0.222268907563025,0.177549209606323,0.239751425045543,-0.05,-0.0666666666666667,0.0666666666666667,0.2,0.0837715665976536,0.107843137254902,0.173449819968676,0.173449819968676,0.173449819968676,0.143163340724316,0.141176470588235,0.25,0.25,0.194458223330021,0.168996019460416,0.133333333333333,0.286842105263158,0.23771649085166,0.286842105263158,0.172463768115942,0.308270676691729,0.308270676691729,0.191957687355484,0.327224925057742,0.205797101449275,0.327475974704974,0.00253079060399917,0.225657728626976,0.344142641371641,0.358123050988738,0.363742339497418,0.384526631210896,0.320136725881267,0.320136725881267
"PI3K",-0.305482456140351,-0.335871900216163,-0.455518210572831,-0.391066473790209,-0.112653522947641,-0.18481240981241,0.166666666666667,0.0747923182995325,0.0694917967186875,0.0782917967186875,0.2,0.05,0.1,0.252941176470588,0.132051282051282,0.276018099547511,0.15,-0.115384615384615,0.203846153846154,0.183245614035088,0.236104218362283,0,-0.2,0.0666666666666667,0.1,0.115813204508857,0.0952380952380952,0.18621645021645,0.18621645021645,0.18621645021645,0.158461538461538,0.136414565826331,0.2,0.2,0.21635343651782,0.167562106809937,0.125,0.255555555555556,0.249953048456256,0.255555555555556,0.166176470588235,0.303381642512077,0.303381642512077,0.211326364692218,0.332612411742847,0.202176470588235,0.332612411742847,-0.0197171932686978,0.237135820181731,0.356906197053581,0.376906197053581,0.358952380952381,0.390636608064797,0.335009899865297,0.335009899865297
"ILK",-0.305482456140351,-0.335871900216163,-0.455518210572831,-0.391066473790209,-0.112653522947641,-0.18481240981241,0.166666666666667,0.0747923182995325,0.0694917967186875,0.0782917967186875,0.2,0.05,0.1,0.252941176470588,0.132051282051282,0.276018099547511,0.15,-0.115384615384615,0.203846153846154,0.183245614035088,0.236104218362283,0,-0.2,0.0666666666666667,0.1,0.115813204508857,0.0952380952380952,0.18621645021645,0.18621645021645,0.18621645021645,0.158461538461538,0.136414565826331,0.2,0.2,0.21635343651782,0.167562106809937,0.125,0.255555555555556,0.249953048456256,0.255555555555556,0.166176470588235,0.303381642512077,0.303381642512077,0.211326364692218,0.332612411742847,0.202176470588235,0.332612411742847,-0.0197171932686978,0.237135820181731,0.356906197053581,0.376906197053581,0.358952380952381,0.390636608064797,0.335009899865297,0.335009899865297
"IKK",-0.295238095238095,-0.336577480490524,-0.649602062778887,-0.55320402130458,-0.132149362477231,-0.222307692307692,0.3,0.176057791537668,0.166666666666667,0.175577557755776,0.314285714285714,0.12,0.18,0.264285714285714,0.252286079182631,0.321042471042471,0.245454545454545,-0.228148148148148,0.307359307359307,0.283289597000937,0.362914862914863,-0.1,-0.2,0.1,0.1,0.147589765337857,0.114285714285714,0.334119782214156,0.334119782214156,0.334119782214156,0.276890756302521,0.150285714285714,0.2,0.2,0.377781754045142,0.210285714285714,0.3,0.277777777777778,0.479052287581699,0.277777777777778,0.344444444444444,0.331623931623932,0.331623931623932,0.389264069264069,0.373162393162393,0.398989898989899,0.373162393162393,0.135765919379115,0.446189898989899,0.401975952484427,0.4277143491089,0.401190476190476,0.648770704628884,0.33674686716792,0.33674686716792
"HEY1",-0.259259259259259,-0.346890516890517,-0.669144132093241,-0.592081001654172,-0.307359307359307,-0.348106210167198,0.2,0.111306340718105,0.0906666666666667,0.105159420289855,0.26,0.233333333333333,0.266666666666667,0.302857142857143,0.324798387096774,0.33989417989418,0.305454545454545,-0.297916666666667,0.342296650717703,0.354196538094589,0.376317269274404,-0.2,-0.1,0.2,0.233333333333333,0.302016292144666,0.281818181818182,0.375897435897436,0.375897435897436,0.375897435897436,0.28138936535163,0.328877005347594,0.266666666666667,0.266666666666667,0.400897435897436,0.360835768234192,0.263636363636364,0.296078431372549,0.40237908496732,0.296078431372549,0.307636363636364,0.326310989512084,0.326310989512084,0.374645985973875,0.353897196408636,0.335636363636364,0.353267511251214,0.341987979717644,0.361490022172949,0.376344434328137,0.395148917516182,0.40259545543053,0.464333025702278,0.337461300309598,0.337461300309598
