"","FOXC2","TGF","TGFR","CDC42","PAK1","MEK","SNAI1","EGR1","ERK","cfos","HEY1","SMAD","ILK","SHH","AKT","TWIST1","IKK","NFB","SMO","FUS","Jagged","Csn","NOTCH","NOTCHic","Csl","SOSGRB2","SNAI2","KLF4","ZEB2","ZEB1","cateninmemb","RAS","RAF","PI3K","DELTA","Ecadherin","GSK3","miR200","cateninnuc","GLI","TCFLEF","Wnt","CD44","cMet","Frizzled","SRC","DSH","STAT","AXIN2","TrCP","SUFU","LIV1","Destcompl","Patched","RKIP"
"Destcompl",0.0610643207481749,0.0310475852872166,0.0324761567157881,0.028712715855573,0.0210204081632653,0.0536873262355061,0.0990007401069616,0.0625641025641026,0.0534731934731935,0.0534731934731935,0.00964317733548503,0.014001626563464,0.0134126984126984,-0.115966966391491,0.0471614100185529,-0.0324887605841118,0.0505627705627706,0.0523809523809524,-0.110428119273696,-0.111877394636015,-0.178507470152738,0.0523809523809524,-0.0545351480647634,-0.0524604592680828,-0.053571570379194,-0.0586226550173419,-0.182212494770456,-0.2037515838898,0.193804830175798,0.193804830175798,0.193086999920498,0.00886525177472893,0.00853576248313091,0.00853576248313091,0.00853576248313091,0.0186324284077575,-0.0941620284477428,-0.205300531123032,-0.173369828581096,-0.173792592592593,-0.173369828581096,-0.172592592592593,-0.173069528280796,-0.172063492063492,-0.172063492063492,-0.172063492063492,-0.177777777777778,-0.177777777777778,-0.227755481866523,-0.0666666666666667,0.122222222222222,-0.188888888888889,-0.0129512125324489,0.113586014010539,-0.124053954036039
"AXIN2",0.112325553234644,0.0671020797083437,0.0647530864197531,0.0647530864197531,0.0783333333333333,0.112173110813668,0.156715913069291,0.153333333333333,0.117363422232353,0.131382113821138,0.0187481889307447,0.0181159420289855,0.0220841959972395,-0.151224377968564,0.102037621785011,-0.0321405728587319,0.104830917874396,0.109178743961353,-0.152930402930403,-0.157692307692308,-0.214499716806004,0.122222222222222,-0.0510835740786907,-0.0514272166903746,-0.0505263157894737,-0.0766713417484806,-0.223287296354883,-0.252988588338008,0.245564602062416,0.245564602062416,0.2304729365125,0.0711136021699402,0.0721946832510213,0.0721946832510213,0.0721946832510213,0.0321874068442267,-0.173858795574793,-0.259667355040657,-0.227896393092451,-0.228219822812846,-0.227755481866523,-0.229880952380952,-0.227880952380952,-0.229880952380952,-0.235238095238095,-0.235238095238095,-0.24,-0.24,0.189077280118343,-0.133333333333333,0.15,-0.233333333333333,0.165009487713536,0.1502277002277,-0.179285991785992
"Wnt",0.176356275303644,0.203188405797101,0.146666666666667,0.1,0.1,0.119607843137255,0.104658385093168,0.1,0.0666666666666667,0.0666666666666667,0.0656410256410257,0.0566487775790101,0.058974358974359,0.10974025974026,0.136666666666667,0.222941176470588,0.0866666666666667,0.0666666666666667,0.05,0,0.153259803921569,0.1,0.192857142857143,0.142857142857143,0.1,0.0939393939393939,0.307657657657658,-0.262745098039216,0.304208512673362,0.304208512673362,-0.327913533834586,0.150615174299385,0.118796992481203,0.118796992481203,0.118796992481203,-0.389499167143177,-0.0729623824451411,-0.306262626262626,0.322602003092021,0.286842105263158,0.305360623781676,0.25,0.286842105263158,0.25,0.3,0.2,0.2,0.1,0.31030303030303,-0.1,0,0,-0.0245324445567701,-0.0954545454545455,-0.12
"Frizzled",0.213565577629225,0.240331262939959,0.203188405797101,0.146666666666667,0.1,0.164052287581699,0.118944099378882,0.0666666666666667,0.119607843137255,0.0666666666666667,0.0635133660665576,0.0631908336537765,0.0566487775790101,0.119417679095098,0.161666666666667,0.243329525985151,0.136666666666667,0.0866666666666667,0.0954545454545455,0.05,0.162538154437033,0.0666666666666667,0.222268907563025,0.192857142857143,0.142857142857143,0.127272727272727,0.330734580734581,-0.300840336134454,0.338861978019897,0.338861978019897,-0.356435870604346,0.172215174299385,0.150615174299385,0.150615174299385,0.150615174299385,-0.422307566093308,-0.0919807873531165,-0.342200126262626,0.339860886340752,0.305360623781676,0.322602003092021,0.286842105263158,0.305360623781676,0.286842105263158,0.25,0.25,0.3,0.2,0.338874458874459,-0.1,0,0.1,-0.0112533117654422,-0.10974025974026,-0.141428571428571
"SNAI2",0.386911945468768,0.369092451530112,0.339143212951432,0.307636363636364,0.263636363636364,0.36429367201426,0.332912293664254,0.2,0.328877005347594,0.281818181818182,0.111306340718105,0.105159420289855,0.0906666666666667,0.320143369175627,0.338706199460916,0.404629032979818,0.302857142857143,0.26,0.266666666666667,0.233333333333333,0.344588744588745,0.2,0.371772476288605,0.340589680589681,0.305454545454545,0.27972027972028,0.409814407814408,-0.266666666666667,0.353725490196078,0.353725490196078,-0.572345767913208,0.393687760256673,0.371508771929825,0.371508771929825,0.371508771929825,-0.660794806598724,-0.341896846011132,-0.361945701357466,0.376959134025004,0.34047619047619,0.359892843474933,0.316666666666667,0.33974358974359,0.316666666666667,0.291666666666667,0.291666666666667,0.266666666666667,0.266666666666667,0.392292286573512,-0.1,-0.2,0.233333333333333,0.33212413486964,-0.295698924731183,-0.32739898989899
"HEY1",0.386911945468768,0.369092451530112,0.339143212951432,0.307636363636364,0.263636363636364,0.36429367201426,0.332912293664254,0.2,0.328877005347594,0.281818181818182,0.111306340718105,0.105159420289855,0.0906666666666667,0.320143369175627,0.338706199460916,0.404629032979818,0.302857142857143,0.26,0.266666666666667,0.233333333333333,0.344588744588745,0.2,0.371772476288605,0.340589680589681,0.305454545454545,0.27972027972028,0.409814407814408,-0.266666666666667,0.353725490196078,0.353725490196078,-0.572345767913208,0.393687760256673,0.371508771929825,0.371508771929825,0.371508771929825,-0.660794806598724,-0.341896846011132,-0.361945701357466,0.376959134025004,0.34047619047619,0.359892843474933,0.316666666666667,0.33974358974359,0.316666666666667,0.291666666666667,0.291666666666667,0.266666666666667,0.266666666666667,0.392292286573512,-0.1,-0.2,0.233333333333333,0.33212413486964,-0.295698924731183,-0.32739898989899
"FOXC2",0.386911945468768,0.369092451530112,0.339143212951432,0.307636363636364,0.263636363636364,0.36429367201426,0.332912293664254,0.2,0.328877005347594,0.281818181818182,0.111306340718105,0.105159420289855,0.0906666666666667,0.320143369175627,0.338706199460916,0.404629032979818,0.302857142857143,0.26,0.266666666666667,0.233333333333333,0.344588744588745,0.2,0.371772476288605,0.340589680589681,0.305454545454545,0.27972027972028,0.409814407814408,-0.266666666666667,0.353725490196078,0.353725490196078,-0.572345767913208,0.393687760256673,0.371508771929825,0.371508771929825,0.371508771929825,-0.660794806598724,-0.341896846011132,-0.361945701357466,0.376959134025004,0.34047619047619,0.359892843474933,0.316666666666667,0.33974358974359,0.316666666666667,0.291666666666667,0.291666666666667,0.266666666666667,0.266666666666667,0.392292286573512,-0.1,-0.2,0.233333333333333,0.33212413486964,-0.295698924731183,-0.32739898989899
"DSH",0.230596145314815,0.257645750572467,0.240331262939959,0.203188405797101,0.146666666666667,0.19187183645388,0.133900111109087,0.0666666666666667,0.164052287581699,0.119607843137255,0.072285295891119,0.0763983808235878,0.0631908336537765,0.129976685306279,0.176609195402299,0.259271554970659,0.161666666666667,0.136666666666667,0.10974025974026,0.0954545454545455,0.175236567135445,0.0866666666666667,0.238580964300614,0.222268907563025,0.192857142857143,0.156541019955654,0.349800728594503,-0.33287917108591,0.364058828413597,0.364058828413597,-0.381339096410797,0.192559013840932,0.172215174299385,0.172215174299385,0.172215174299385,-0.447433701310261,-0.107820030851935,-0.369029394555309,0.35510537339732,0.322367426502765,0.339860886340752,0.305360623781676,0.322602003092021,0.305360623781676,0.286842105263158,0.286842105263158,0.25,0.25,0.360271838787123,-0.0666666666666667,-0.05,0.2,-0.000362222656531265,-0.119417679095098,-0.16030969030969
"RAF",0.291823116642394,0.315495049504951,0.265,0.22,0.2,0.226371814092954,0.215712161760333,0.17,0.187241379310345,0.17,0.159581881533101,0.156725110893631,0.153754813863928,0.203700564971751,0.154464285714286,0.366027841342487,0.110714285714286,0.0857142857142857,0.14,0.1,0.250563325563326,0.1,0.204988662131519,0.153968253968254,0.111111111111111,0.0587301587301587,0.402450980392157,-0.332663797226208,0.371439307430289,0.371439307430289,-0.465319782665619,0.086734685095616,0.0454502814258912,0.0454502814258912,0.0454502814258912,-0.527432050421511,-0.156353839245622,-0.380025159805282,0.366567353329625,0.315602836879433,0.343800782724437,0.266666666666667,0.313642052565707,0.264705882352941,0.2,0.2,0.1,0.1,0.332746478873239,-0.1,-0.1,0,0.011510520444805,-0.181666666666667,-0.223809523809524
"SHH",0.35,0.44,0.4,0.3,0.2,0.3,0.283333333333333,0,0.2,0.1,0.0666666666666667,0.1,0.0666666666666667,0.253333333333333,0.15,0.2,0.1,0,0.3,0.2,0.162857142857143,0,0.233333333333333,0.2,0.1,0.25,0.247368421052632,-0.3,0.375,0.375,-0.293620689655172,0.303846153846154,0.25,0.25,0.25,-0.34,-0.271794871794872,-0.383333333333333,0.234033613445378,0.25,0.192857142857143,0.2,0.15,0.1,0.2,0.1,0.2,0.1,0.276190476190476,0,-0.2,0,0.270802139037433,-0.333333333333333,-0.26
"PI3K",0.255049941927991,0.273778574844572,0.233941176470588,0.177941176470588,0.125,0.192441566790651,0.173280998389694,0.0666666666666667,0.148179271708683,0.0952380952380952,0.0747923182995325,0.0798917967186875,0.0694917967186875,0.132051282051282,0.276018099547511,0.274956359355336,0.252941176470588,0.2,0.1,0.05,0.18101706970128,0.166666666666667,0.236104218362283,0.203846153846154,0.15,0.163461538461538,0.359017581916514,-0.336842105263158,0.375508463573364,0.375508463573364,-0.386330322848541,0.214887778887779,0.18621645021645,0.18621645021645,0.18621645021645,-0.456101036377293,-0.183634734441186,-0.376039526859199,0.371611386573744,0.329188094124981,0.351081585249241,0.303381642512077,0.329188094124981,0.303381642512077,0.255555555555556,0.255555555555556,0.2,0.2,0.357034855179185,-0.2,0,0.1,-0.0228457077513681,-0.115384615384615,-0.165481577246283
"ILK",0.255049941927991,0.273778574844572,0.233941176470588,0.177941176470588,0.125,0.192441566790651,0.173280998389694,0.0666666666666667,0.148179271708683,0.0952380952380952,0.0747923182995325,0.0798917967186875,0.0694917967186875,0.132051282051282,0.276018099547511,0.274956359355336,0.252941176470588,0.2,0.1,0.05,0.18101706970128,0.166666666666667,0.236104218362283,0.203846153846154,0.15,0.163461538461538,0.359017581916514,-0.336842105263158,0.375508463573364,0.375508463573364,-0.386330322848541,0.214887778887779,0.18621645021645,0.18621645021645,0.18621645021645,-0.456101036377293,-0.183634734441186,-0.376039526859199,0.371611386573744,0.329188094124981,0.351081585249241,0.303381642512077,0.329188094124981,0.303381642512077,0.255555555555556,0.255555555555556,0.2,0.2,0.357034855179185,-0.2,0,0.1,-0.0228457077513681,-0.115384615384615,-0.165481577246283
"cateninnuc",0.385802017531341,0.367506078361866,0.349153137185395,0.325460829493088,0.296428571428571,0.368567917866194,0.329339362477342,0.297101449275362,0.349817917866194,0.326133707339878,0.123700614681312,0.110405042446519,0.102820772783598,0.208032098079302,0.338834858685742,0.310669317358905,0.323732817869416,0.302083333333333,0.181683021112102,0.159649122807018,0.234010222953885,0.270833333333333,0.364127874535018,0.347746456442109,0.326007326007326,0.251045614035088,0.306540393606085,-0.298962148962149,0.378059668509186,0.378059668509186,-0.378961579570286,0.374521601704616,0.360712519220834,0.360712519220834,0.360712519220834,-0.477168464915375,-0.326629578284947,-0.385600026535033,0.158583357835537,0.234827092835957,0.247021361056149,0.219702939337086,0.233693760024335,0.218501016260163,0.201410256410256,0.200208333333333,0.178333333333333,0.178333333333333,0.376959134025004,-0.233333333333333,-0.133333333333333,0.153333333333333,0.305112026641271,-0.196715700850664,-0.344140428677014
"RAS",0.344765729585007,0.36680926916221,0.315294117647059,0.28,0.26,0.315727554179567,0.305405405405405,0.26,0.286315789473684,0.26,0.161857707509881,0.158750773036487,0.156709956709957,0.191701149425287,0.212222222222222,0.372875667429443,0.173333333333333,0.166666666666667,0.116666666666667,0.1,0.255949052500777,0.2,0.276315789473684,0.226315789473684,0.2,0.0125541125541125,0.44515873015873,-0.356428571428571,0.398696612665685,0.398696612665685,-0.393858630306364,0.151096056974118,0.204561403508772,0.204561403508772,0.204561403508772,-0.460205867635851,-0.214163059163059,-0.407661538461538,0.401561387677345,0.335869565217391,0.374344262295082,0.275,0.335,0.275,0.2,0.2,0.1,0.1,0.347619047619048,-0.2,-0.1,0,-0.0389513951395139,-0.160666666666667,-0.392622641509434
"SOSGRB2",0.367061895822958,0.388095238095238,0.341428571428571,0.301428571428571,0.271428571428571,0.358421938421938,0.352657857479943,0.276190476190476,0.323037323037323,0.30952380952381,0.261647727272727,0.259196932100158,0.252903225806452,0.295238095238095,0.336593256190121,0.397034412955466,0.304678362573099,0.288888888888889,0.233333333333333,0.2,0.350576470588235,0.3,0.389208556149733,0.345090909090909,0.309090909090909,-0.0292857142857143,0.520338512266366,-0.362017543859649,0.399698703279939,0.399698703279939,-0.487150766093003,0.326297185540883,0.280718954248366,0.280718954248366,0.280718954248366,-0.551195492882378,-0.309362193362193,-0.40998443917247,0.392074714148555,0.328282828282828,0.36499582289056,0.272727272727273,0.326984126984127,0.271428571428571,0.2,0.2,0.1,0.1,0.342353823088456,-0.2,-0.2,0,-0.0454865661341305,-0.266666666666667,-0.380198948948949
"AKT",0.277483402004036,0.296855497921495,0.273778574844572,0.233941176470588,0.177941176470588,0.221555490841284,0.194400591265012,0.0952380952380952,0.192441566790651,0.148179271708683,0.0875742731867506,0.0923497091765999,0.0798917967186875,0.147559303441656,0.195210018739431,0.296586453399224,0.276018099547511,0.252941176470588,0.115384615384615,0.1,0.198023872422369,0.2,0.257843348797065,0.236104218362283,0.203846153846154,0.196794871794872,0.38125866850395,-0.370175438596491,0.404960518367885,0.404960518367885,-0.414869648691238,0.239640254135304,0.214887778887779,0.214887778887779,0.214887778887779,-0.485769448244657,-0.202397621039124,-0.40598605092337,0.388680495649514,0.350825521025565,0.371611386573744,0.329188094124981,0.351081585249241,0.329188094124981,0.303381642512077,0.303381642512077,0.255555555555556,0.255555555555556,0.384102524352117,-0.166666666666667,-0.05,0.2,-0.00974225947550608,-0.132051282051282,-0.189705179730755
"MEK",0.330870735690013,0.356351080633355,0.315495049504951,0.265,0.22,0.170231463215761,0.239617885666057,0.17,0.226371814092954,0.187241379310345,0.163218245169465,0.16540435617665,0.156725110893631,0.221268132539319,0.181293554006969,0.395908319430136,0.154464285714286,0.110714285714286,0.181666666666667,0.14,0.268624999572136,0.0857142857142857,0.239872383061752,0.204988662131519,0.153968253968254,0.0866371354743448,0.429801407742584,-0.368663797226208,0.407765838042534,0.407765838042534,-0.498653115998953,0.119601817962749,0.086734685095616,0.086734685095616,0.086734685095616,-0.564505757792248,-0.182359201175917,-0.416330892289358,0.38648215631152,0.345761567038163,0.366567353329625,0.315602836879433,0.343800782724437,0.313642052565707,0.266666666666667,0.264705882352941,0.2,0.2,0.372848001715879,-0.1,-0.1,0.1,0.0293219290594732,-0.203700564971751,-0.253061224489796
"CD44",0.37875,0.372222222222222,0.35,0.3,0.2,0.415,0.373019670388091,0.3,0.385,0.325,0.204093567251462,0.197619047619048,0.183333333333333,0.177272727272727,0.26,0.349924585218703,0.266666666666667,0.2,0.15,0.1,0.186826923076923,0.2,0.24812030075188,0.242857142857143,0.2,-0.00238095238095239,0.326267281105991,-0.277777777777778,0.420634920634921,0.420634920634921,-0.139393939393939,0.201960784313725,0.166666666666667,0.166666666666667,0.166666666666667,-0.278322067795752,-0.222391084093212,-0.431699604743083,0.127858726639214,0.0214285714285714,0.082404181184669,-0.05,0.0214285714285714,0.05,-0.1,0,0,0.1,-0.0221052631578947,-0.1,-0.1,0.1,-0.163157894736842,-0.15,-0.423703703703704
"IKK",0.495014005602241,0.525443510737628,0.467460317460317,0.405555555555556,0.35,0.251584415584416,0.289713064713065,0.1,0.178857142857143,0.142857142857143,0.181940144478844,0.18578795379538,0.172916666666667,0.251153846153846,0.31984126984127,0.526591915836102,0.264285714285714,0.314285714285714,0.18,0.12,0.27967032967033,0.3,0.358787878787879,0.305454545454545,0.245454545454545,0.300108225108225,0.516178230266466,-0.363369963369963,0.424561403508772,0.424561403508772,-0.555915101158323,0.37486595276069,0.330505050505051,0.330505050505051,0.330505050505051,-0.667120252351669,-0.218616872944399,-0.428215579710145,0.422677281597041,0.367372881355932,0.396486805406565,0.325,0.367372881355932,0.325,0.275,0.275,0.2,0.2,0.396777546777547,-0.2,-0.1,0.1,0.129289341289341,-0.226153846153846,-0.275988700564972
"Csn",0.252963806266749,0.278710411773908,0.252802421459138,0.206648575305292,0.145454545454545,0.244680735930736,0.163644677048419,0.106666666666667,0.209264069264069,0.161212121212121,0.0753737541528239,0.0823617387046469,0.0687370600414079,0.138335686829864,0.205766666666667,0.291910331384016,0.184166666666667,0.155,0.108513708513709,0.0873015873015873,0.183161852834267,0.105,0.262574877696829,0.238672438672439,0.201010101010101,0.171982013144241,0.396941485472313,-0.399880772821949,0.437214226633582,0.437214226633582,-0.430324611101376,0.234455300387222,0.207932707066986,0.207932707066986,0.207932707066986,-0.500518695076762,-0.146751368587392,-0.445018334053115,0.408795145520354,0.368618077324974,0.390271829458178,0.345890804597701,0.369038952745849,0.345890804597701,0.318390804597701,0.318390804597701,0.266666666666667,0.266666666666667,0.403232258064516,-0.18,-0.0428571428571429,0.2,0.0454944176833966,-0.124642740771773,-0.180116926807423
