"","FOXC2","TGF","TGFR","CDC42","PAK1","SNAI1","MEK","EGR1","ERK","cfos","HEY1","SMAD","TWIST1","ILK","SHH","AKT","IKK","SMO","NFB","Jagged","FUS","Csn","NOTCH","NOTCHic","Csl","SOSGRB2","SNAI2","ZEB2","ZEB1","KLF4","RAS","RAF","PI3K","DELTA","cateninmemb","miR200","GSK3","cateninnuc","GLI","TCFLEF","Wnt","CD44","cMet","Frizzled","Ecadherin","SRC","DSH","STAT","AXIN2","TrCP","SUFU","LIV1","Destcompl","Patched","RKIP"
"Destcompl",0.0673777599164152,0.0383521582272565,0.0406224284975268,0.0358065644748639,0.0250151975683891,0.103591639754637,0.0594665651332818,0.0625641025641026,0.057696653628857,0.0548717948717949,0.0104744399608448,0.0151911813129247,-0.0255886970515163,0.0139921405455386,-0.111938971196445,0.0514452798663325,0.0546031746031746,-0.10499533146592,0.0546031746031746,-0.17090823642748,-0.107936507936508,0.0523809523809524,-0.0476068692858908,-0.0445366938472943,-0.0462910798122066,-0.0517032281077225,-0.214565609757623,0.197908653623148,0.197908653623148,-0.206623672089536,0.0151845299532355,0.0153640631668801,0.0153640631668801,0.0153640631668801,0.175276487973206,-0.209290255959454,-0.0991364329062024,-0.159831901948151,-0.161316680321789,-0.160628714697155,-0.158341851946503,-0.160542433420192,-0.157777456461667,-0.15485347985348,-0.00582250486776719,-0.15485347985348,-0.159615384615385,-0.159615384615385,-0.217219719199711,-0.0666666666666667,0.122222222222222,-0.175,-0.00789306621741665,0.108820468077942,-0.12843286892383
"AXIN2",0.117619322001344,0.0737212428637857,0.0696932218480238,0.0669409282700422,0.0783333333333333,0.161317560286439,0.114994354637193,0.153333333333333,0.118174566651327,0.131382113821138,0.0187481889307447,0.0184697381659142,-0.0248136083506173,0.0220841959972395,-0.146473010065123,0.105101203854401,0.106237567490764,-0.150375234521576,0.109178743961353,-0.206651050303044,-0.157692307692308,0.122222222222222,-0.0444641415609158,-0.0462562562562563,-0.0481081081081081,-0.0727435257780946,-0.260788427014198,0.248003433707659,0.248003433707659,-0.254019435663271,0.0774538658071273,0.0783134646609955,0.0783134646609955,0.0783134646609955,0.213731821769806,-0.261891110376735,-0.178811654996456,-0.217808899703192,-0.216173580464843,-0.217219719199711,-0.216537216828479,-0.21580728982118,-0.216537216828479,-0.223333333333333,-0.00757942266147917,-0.223333333333333,-0.233333333333333,-0.233333333333333,0.199565766426331,-0.133333333333333,0.15,-0.233333333333333,0.169918013049042,0.145788078558273,-0.182617561445586
"Wnt",0.176356275303644,0.203188405797101,0.146666666666667,0.1,0.1,0.104658385093168,0.119607843137255,0.1,0.0666666666666667,0.0666666666666667,0.0656410256410257,0.0566487775790101,0.22030959752322,0.058974358974359,0.10974025974026,0.136666666666667,0.0866666666666667,0.05,0.0666666666666667,0.147843137254902,0,0.1,0.192857142857143,0.142857142857143,0.1,0.0939393939393939,0.331708066896213,0.304208512673362,0.304208512673362,-0.262745098039216,0.147368421052632,0.118796992481203,0.118796992481203,0.118796992481203,-0.306520847573479,-0.306262626262626,-0.0701298701298701,0.302314259036948,0.279411764705882,0.289615846338535,0.25,0.279411764705882,0.25,0.3,-0.369072226181991,0.2,0.2,0.1,0.306493506493506,-0.1,0,0,-0.0323810515898851,-0.0954545454545455,-0.12
"HEY1",0.353632818142424,0.329605025358886,0.302561000201654,0.28187134502924,0.255555555555556,0.300444864789127,0.340714285714286,0.2,0.315714285714286,0.28,0.109033613445378,0.10050505050505,0.365970317951742,0.0893939393939394,0.27025025025025,0.313768115942029,0.283333333333333,0.22,0.25,0.274688346883469,0.2,0.2,0.330614035087719,0.301666666666667,0.275,0.240418118466899,0.415416645419546,0.335284090909091,0.335284090909091,-0.255797101449275,0.355416224309242,0.336416224309242,0.336416224309242,0.336416224309242,-0.519119499013011,-0.34452380952381,-0.308355368355368,0.299317204656369,0.268333333333333,0.285751313183501,0.243333333333333,0.267383966244726,0.243333333333333,0.216666666666667,-0.55020202020202,0.216666666666667,0.2,0.2,0.343031007751938,-0.1,-0.2,0.2,0.292091821903328,-0.245925925925926,-0.30296354576449
"FOXC2",0.353632818142424,0.329605025358886,0.302561000201654,0.28187134502924,0.255555555555556,0.300444864789127,0.340714285714286,0.2,0.315714285714286,0.28,0.109033613445378,0.10050505050505,0.365970317951742,0.0893939393939394,0.27025025025025,0.313768115942029,0.283333333333333,0.22,0.25,0.274688346883469,0.2,0.2,0.330614035087719,0.301666666666667,0.275,0.240418118466899,0.415416645419546,0.335284090909091,0.335284090909091,-0.255797101449275,0.355416224309242,0.336416224309242,0.336416224309242,0.336416224309242,-0.519119499013011,-0.34452380952381,-0.308355368355368,0.299317204656369,0.268333333333333,0.285751313183501,0.243333333333333,0.267383966244726,0.243333333333333,0.216666666666667,-0.55020202020202,0.216666666666667,0.2,0.2,0.343031007751938,-0.1,-0.2,0.2,0.292091821903328,-0.245925925925926,-0.30296354576449
"Frizzled",0.212070561017929,0.237841871143636,0.203188405797101,0.146666666666667,0.1,0.116133794929233,0.164052287581699,0.0666666666666667,0.119607843137255,0.0666666666666667,0.0635133660665576,0.0631908336537765,0.236636128135465,0.0566487775790101,0.116406926406926,0.161666666666667,0.136666666666667,0.0954545454545455,0.0866666666666667,0.152190963341858,0.05,0.0666666666666667,0.219387755102041,0.192857142857143,0.142857142857143,0.127272727272727,0.354127995721835,0.338861978019897,0.338861978019897,-0.300840336134454,0.164317573595004,0.147368421052632,0.147368421052632,0.147368421052632,-0.333940202412189,-0.342200126262626,-0.0855144855144855,0.319077264817295,0.289615846338535,0.302314259036948,0.279411764705882,0.289615846338535,0.279411764705882,0.25,-0.403072226181991,0.25,0.3,0.2,0.328571428571429,-0.1,0,0.1,-0.0226465383155489,-0.10974025974026,-0.141428571428571
"DSH",0.225706924654293,0.250853023559993,0.237841871143636,0.203188405797101,0.146666666666667,0.127987898272698,0.190769844833608,0.0666666666666667,0.164052287581699,0.119607843137255,0.072285295891119,0.0763983808235878,0.248889092562342,0.0631908336537765,0.124099234099234,0.174607843137255,0.161666666666667,0.10974025974026,0.136666666666667,0.162062207977052,0.0954545454545455,0.0866666666666667,0.231328053609503,0.219387755102041,0.192857142857143,0.154772727272727,0.373804545587064,0.362861978019897,0.362861978019897,-0.33287917108591,0.181345437372094,0.164317573595004,0.164317573595004,0.164317573595004,-0.358708004269774,-0.368126052188552,-0.0984915847511267,0.334487838495585,0.302115846338535,0.319077264817295,0.289615846338535,0.302314259036948,0.289615846338535,0.279411764705882,-0.425394806827152,0.279411764705882,0.25,0.25,0.344827586206897,-0.0666666666666667,-0.05,0.2,-0.0134962115181632,-0.116406926406926,-0.157975334018499
"SNAI2",0.398350902828515,0.379113792061082,0.350826939471441,0.320392156862745,0.273333333333333,0.343439829154115,0.377529325513197,0.2,0.342045454545455,0.2875,0.115079365079365,0.109304029304029,0.410307059195948,0.0928205128205128,0.330618088168459,0.350639839034205,0.315428571428571,0.278571428571429,0.271428571428571,0.349579754498442,0.25,0.2,0.382007083825266,0.351428571428571,0.318095238095238,0.296345723242275,0.672483625537637,0.364448609809435,0.364448609809435,-0.279047619047619,0.406275515607425,0.383479163023839,0.383479163023839,0.383479163023839,-0.578731648055059,-0.373558431255888,-0.353370760199911,0.379936523163993,0.343615384615385,0.363646392367323,0.319,0.343031007751938,0.319,0.295,-0.790121092066579,0.295,0.275,0.275,0.401816277913034,-0.1,-0.2,0.25,0.343118758304147,-0.305400696864112,-0.336372953380827
"cateninnuc",0.373408711812951,0.352236989286377,0.334558889022525,0.310466479781601,0.281262939958592,0.319919409117539,0.358837406203932,0.293939393939394,0.340299547196099,0.318077324973877,0.120025926886181,0.107205255164177,0.291274981454244,0.100137585991245,0.198860337734165,0.331215832943743,0.317438055165965,0.174952153110048,0.295698924731183,0.200412242565299,0.151315789473684,0.266666666666667,0.3475165297468,0.332599402674977,0.310745098039216,0.23758437214959,0.431083022649889,0.371205405931104,0.371205405931104,-0.294017217782054,0.360960003226766,0.348749476910977,0.348749476910977,0.348749476910977,-0.358173677246034,-0.378983840561191,-0.314351351141938,0.123390383836616,0.202457612506466,0.21284153214335,0.190121654501217,0.201223274881939,0.188822219472968,0.173333333333333,-0.478514451099988,0.172033898305085,0.15,0.15,0.357014361060402,-0.233333333333333,-0.125,0.12,0.289021004491926,-0.189036660152301,-0.337377448342367
"RAF",0.295418405883522,0.32,0.267619047619048,0.22,0.2,0.219662572996585,0.227666911225238,0.17,0.187241379310345,0.17,0.159581881533101,0.156725110893631,0.368879926552561,0.153754813863928,0.207333333333333,0.156168831168831,0.110714285714286,0.14,0.0857142857142857,0.251344617042291,0.1,0.1,0.209506833036245,0.156565656565657,0.111111111111111,0.0613968253968254,0.614119996577737,0.372663797226208,0.372663797226208,-0.332663797226208,0.0893664848059984,0.0499169435215947,0.0499169435215947,0.0499169435215947,-0.448582129481006,-0.380952950808151,-0.159338598067496,0.348055555555556,0.310643274853801,0.330555555555556,0.268421052631579,0.308888888888889,0.266666666666667,0.2,-0.510899075057918,0.2,0.1,0.1,0.331852654387866,-0.1,-0.1,0,0.0104761904761905,-0.184,-0.226050420168067
"SHH",0.35,0.44,0.4,0.3,0.2,0.283333333333333,0.3,0,0.2,0.1,0.0666666666666667,0.1,0.192857142857143,0.0666666666666667,0.253333333333333,0.15,0.1,0.3,0,0.153333333333333,0.2,0,0.233333333333333,0.2,0.1,0.25,0.358148148148148,0.375,0.375,-0.3,0.3,0.25,0.25,0.25,-0.285,-0.383333333333333,-0.266666666666667,0.221018062397373,0.233333333333333,0.176190476190476,0.2,0.133333333333333,0.1,0.2,-0.343356643356643,0.1,0.2,0.1,0.266666666666667,0,-0.2,0,0.261212121212121,-0.333333333333333,-0.26
"PI3K",0.253784635805542,0.271756302521008,0.233941176470588,0.177941176470588,0.125,0.171019093627789,0.192441566790651,0.0666666666666667,0.148179271708683,0.0952380952380952,0.0747923182995325,0.0798917967186875,0.269465329991646,0.0694917967186875,0.12967032967033,0.276018099547511,0.252941176470588,0.1,0.2,0.173075140681893,0.05,0.166666666666667,0.233846153846154,0.203846153846154,0.15,0.163461538461538,0.383415359768796,0.375508463573364,0.375508463573364,-0.336842105263158,0.208549783549784,0.183549783549784,0.183549783549784,0.183549783549784,-0.368876302773362,-0.376039526859199,-0.178460583488516,0.354373988981236,0.317710944026733,0.335278511594301,0.298412698412698,0.317710944026733,0.298412698412698,0.255555555555556,-0.442430232614291,0.255555555555556,0.2,0.2,0.349292929292929,-0.2,0,0.1,-0.0324074074074074,-0.115384615384615,-0.165481577246283
"ILK",0.253784635805542,0.271756302521008,0.233941176470588,0.177941176470588,0.125,0.171019093627789,0.192441566790651,0.0666666666666667,0.148179271708683,0.0952380952380952,0.0747923182995325,0.0798917967186875,0.269465329991646,0.0694917967186875,0.12967032967033,0.276018099547511,0.252941176470588,0.1,0.2,0.173075140681893,0.05,0.166666666666667,0.233846153846154,0.203846153846154,0.15,0.163461538461538,0.383415359768796,0.375508463573364,0.375508463573364,-0.336842105263158,0.208549783549784,0.183549783549784,0.183549783549784,0.183549783549784,-0.368876302773362,-0.376039526859199,-0.178460583488516,0.354373988981236,0.317710944026733,0.335278511594301,0.298412698412698,0.317710944026733,0.298412698412698,0.255555555555556,-0.442430232614291,0.255555555555556,0.2,0.2,0.349292929292929,-0.2,0,0.1,-0.0324074074074074,-0.115384615384615,-0.165481577246283
"RAS",0.345396825396825,0.367769365171811,0.315294117647059,0.28,0.26,0.306489675516224,0.315727554179567,0.26,0.286315789473684,0.26,0.161857707509881,0.158750773036487,0.373699633699634,0.156709956709957,0.192870056497175,0.212222222222222,0.173333333333333,0.116666666666667,0.166666666666667,0.256507547939616,0.1,0.2,0.277259185700099,0.226315789473684,0.2,0.0125541125541125,0.571257320330867,0.398696612665685,0.398696612665685,-0.356428571428571,0.152175679106372,0.205641025641026,0.205641025641026,0.205641025641026,-0.382223658694247,-0.407661538461538,-0.21547619047619,0.388713023423368,0.336470588235294,0.368304860158062,0.276470588235294,0.335561497326203,0.276470588235294,0.2,-0.444202036255952,0.2,0.1,0.1,0.348484848484849,-0.2,-0.1,0,-0.0406033139622513,-0.160666666666667,-0.392622641509434
"SOSGRB2",0.370087575259989,0.391937702585185,0.343736263736264,0.301428571428571,0.271428571428571,0.355647905053048,0.359400959400959,0.276190476190476,0.323037323037323,0.30952380952381,0.261647727272727,0.259196932100158,0.400170327673054,0.252903225806452,0.297880233174351,0.338011695906433,0.304678362573099,0.233333333333333,0.288888888888889,0.35250693329441,0.2,0.3,0.393266733266733,0.347552447552448,0.309090909090909,-0.0272222222222222,0.638214273369012,0.400588972431078,0.400588972431078,-0.362017543859649,0.329652065858962,0.285057471264368,0.285057471264368,0.285057471264368,-0.474915293524817,-0.410651126415904,-0.312149293021732,0.377525553072439,0.325525946704067,0.35604749302625,0.273913043478261,0.324340175953079,0.272727272727273,0.2,-0.537243657168356,0.2,0.1,0.1,0.341935483870968,-0.2,-0.2,0,-0.0449886339753235,-0.268468468468469,-0.381834795321637
"AKT",0.27346967517562,0.291370450430976,0.271756302521008,0.233941176470588,0.177941176470588,0.189654264231464,0.220646694995779,0.0952380952380952,0.192441566790651,0.148179271708683,0.0875742731867506,0.0923497091765999,0.287832676930421,0.0798917967186875,0.142857142857143,0.193543872743388,0.276018099547511,0.115384615384615,0.252941176470588,0.187360854967608,0.1,0.2,0.252027972027972,0.233846153846154,0.203846153846154,0.19527972027972,0.407280319023744,0.403980685795587,0.403980685795587,-0.370175438596491,0.230358294188081,0.208549783549784,0.208549783549784,0.208549783549784,-0.396564474816372,-0.405228716048388,-0.194575373775492,0.37091095396178,0.335044277360067,0.354373988981236,0.317710944026733,0.335278511594301,0.317710944026733,0.298412698412698,-0.469601724819191,0.298412698412698,0.255555555555556,0.255555555555556,0.371982004923181,-0.166666666666667,-0.05,0.2,-0.0213592487671808,-0.12967032967033,-0.187774570876856
"MEK",0.334385542033757,0.35953488372093,0.32,0.267619047619048,0.22,0.241548094882107,0.173885398620196,0.17,0.227666911225238,0.187241379310345,0.163218245169465,0.165950203144554,0.395492829778367,0.156725110893631,0.222401826484018,0.18474025974026,0.156168831168831,0.184,0.110714285714286,0.264466788987993,0.14,0.0857142857142857,0.242840166369578,0.209506833036245,0.156565656565657,0.0917339040485108,0.642570700803089,0.410263797226207,0.410263797226207,-0.369918699186992,0.118239724242618,0.0893664848059984,0.0893664848059984,0.0893664848059984,-0.47904464941721,-0.418647654857995,-0.181798491115624,0.365908531051471,0.332309941520468,0.348055555555556,0.310643274853801,0.330555555555556,0.308888888888889,0.268421052631579,-0.548232408391251,0.266666666666667,0.2,0.2,0.365884068000431,-0.1,-0.1,0.1,0.0243850633778691,-0.207333333333333,-0.256717086834734
"CD44",0.37875,0.372222222222222,0.35,0.3,0.2,0.373019670388091,0.415,0.3,0.385,0.325,0.204093567251462,0.197619047619048,0.355806938159879,0.183333333333333,0.177272727272727,0.26,0.266666666666667,0.15,0.2,0.193076923076923,0.1,0.2,0.24812030075188,0.242857142857143,0.2,-0.00238095238095239,0.448264176374314,0.420634920634921,0.420634920634921,-0.277777777777778,0.207843137254902,0.166666666666667,0.166666666666667,0.166666666666667,-0.172702834799609,-0.431699604743083,-0.226646403242148,0.150077798307887,0.0357142857142857,0.104945054945055,-0.05,0.0357142857142857,0.05,-0.1,-0.312707343807088,0,0,0.1,-0.0115789473684211,-0.1,-0.1,0.1,-0.152003910068426,-0.15,-0.423703703703704
"IKK",0.494153790548477,0.523982056590752,0.467460317460317,0.405555555555556,0.35,0.287631357713325,0.251584415584416,0.1,0.178857142857143,0.142857142857143,0.181940144478844,0.18578795379538,0.521335656213705,0.172916666666667,0.248376068376068,0.31984126984127,0.264285714285714,0.18,0.314285714285714,0.270952380952381,0.12,0.3,0.35717868338558,0.305454545454545,0.245454545454545,0.300108225108225,0.644825372794192,0.424561403508772,0.424561403508772,-0.363369963369963,0.369043754649354,0.328721174004193,0.328721174004193,0.328721174004193,-0.539133431998754,-0.428215579710145,-0.212740203972088,0.402015357153677,0.35506993006993,0.378810937264175,0.320454545454545,0.35506993006993,0.320454545454545,0.275,-0.661132824992846,0.275,0.2,0.2,0.389442970822281,-0.2,-0.1,0.1,0.118455468257154,-0.226153846153846,-0.275988700564972
"Csn",0.24811735669057,0.271985336230742,0.250648575305292,0.206648575305292,0.145454545454545,0.157459780865995,0.243655603655604,0.106666666666667,0.209264069264069,0.161212121212121,0.0753737541528239,0.0823617387046469,0.280673083590704,0.0687370600414079,0.132191869433249,0.203838797814208,0.184166666666667,0.108513708513709,0.155,0.168876316976182,0.0873015873015873,0.105,0.255316220601195,0.236145236145236,0.201010101010101,0.170346051464064,0.419360419905288,0.436103703101059,0.436103703101059,-0.399880772821949,0.222331445063962,0.200013848497438,0.200013848497438,0.200013848497438,-0.406544757847294,-0.444188483960107,-0.136345324818757,0.38548541933049,0.347532488377559,0.367331573176644,0.331130371975442,0.347887128732199,0.331130371975442,0.312820512820513,-0.477831750009168,0.312820512820513,0.266666666666667,0.266666666666667,0.387705011921024,-0.18,-0.0428571428571429,0.2,0.0301192920335615,-0.121847041847042,-0.177866420443491
"ERK",0.358422239281463,0.383143906277321,0.35953488372093,0.32,0.267619047619048,0.26011245131775,0.20721873195353,0.187241379310345,0.173885398620196,0.227666911225238,0.175163637660932,0.177299896396087,0.415240065165413,0.165950203144554,0.235445304744888,0.206645021645022,0.18474025974026,0.207333333333333,0.156168831168831,0.278172372744338,0.184,0.110714285714286,0.26465834818776,0.242840166369578,0.209506833036245,0.119652685774399,0.666201205636601,0.440360884604848,0.440360884604848,-0.404293699186992,0.140586790409909,0.118239724242618,0.118239724242618,0.118239724242618,-0.505989266716526,-0.450391695008559,-0.198567407271043,0.381921160731219,0.349487855630897,0.365908531051471,0.332309941520468,0.348055555555556,0.330555555555556,0.310643274853801,-0.576833444660681,0.308888888888889,0.268421052631579,0.266666666666667,0.389563128665793,-0.0857142857142857,-0.14,0.2,0.0354666236615571,-0.222401826484018,-0.281135691485897
