"","FOXC2","TGF","TGFR","CDC42","PAK1","MEK","SNAI1","EGR1","ERK","cfos","HEY1","SMAD","ILK","SHH","AKT","TWIST1","IKK","NFB","SMO","FUS","Jagged","Csn","NOTCH","NOTCHic","Csl","SOSGRB2","KLF4","SNAI2","ZEB2","ZEB1","cateninmemb","RAS","RAF","PI3K","DELTA","Ecadherin","GSK3","miR200","cateninnuc","GLI","TCFLEF","Wnt","CD44","cMet","Frizzled","SRC","DSH","STAT","AXIN2","TrCP","SUFU","LIV1","Destcompl","Patched","RKIP"
"SNAI2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Destcompl",0.0721886446886447,0.0446703335040709,0.0446703335040709,0.0374239566924767,0.0250151975683891,0.0616516722977397,0.1079788136464,0.0625641025641026,0.0582808857808858,0.0548717948717949,0.0104744399608448,0.0154414159078575,0.0139921405455386,-0.107583866632808,0.053758394611822,-0.016936785778141,0.055537754042427,0.0546031746031746,-0.103458895996209,-0.107936507936508,-0.162706608582221,0.0523809523809524,-0.0414711888963386,-0.0405702879954377,-0.0447619047619048,-0.0484966505686244,-0.20725251191863,-0.203026976425807,0.199673049604751,0.199673049604751,0.148771218831023,0.0233239055540656,0.0218369167064819,0.0218369167064819,0.0218369167064819,-0.0481951859292066,-0.105365103685838,-0.210868277904608,-0.145389702278582,-0.146686746987952,-0.146025295498921,-0.145,-0.145842813747096,-0.144386503067485,-0.145,-0.145,-0.155,-0.155,-0.20393134901482,-0.0666666666666667,0.122222222222222,-0.175,-0.000143277337692915,0.105681118218432,-0.130915676156095
"AXIN2",0.119533743093065,0.0765269849149224,0.0706446319737459,0.0669409282700422,0.0783333333333333,0.115337687218703,0.163441756104425,0.153333333333333,0.118174566651327,0.131382113821138,0.0187481889307447,0.0184697381659142,0.0220841959972395,-0.144125234521576,0.105666138919336,-0.0191448321587607,0.106237567490764,0.109178743961353,-0.150375234521576,-0.157692307692308,-0.200308837503959,0.122222222222222,-0.0416547347538547,-0.0453043697903511,-0.0481081081081081,-0.0720988716900442,-0.254019435663271,-0.251927565909787,0.248406583015191,0.248406583015191,0.189539659554934,0.082410886052271,0.0810893001491873,0.0810893001491873,0.0810893001491873,-0.0501851897949964,-0.182661069072553,-0.262208508495857,-0.203705360314255,-0.205219199896006,-0.20393134901482,-0.209401709401709,-0.204821556729954,-0.209401709401709,-0.220512820512821,-0.220512820512821,-0.233333333333333,-0.233333333333333,0.207988419686533,-0.133333333333333,0.15,-0.233333333333333,0.175962822443226,0.14481967896602,-0.183275434541865
"Wnt",0.176356275303644,0.203188405797101,0.146666666666667,0.1,0.1,0.119607843137255,0.104658385093168,0.1,0.0666666666666667,0.0666666666666667,0.0656410256410257,0.0566487775790101,0.058974358974359,0.10974025974026,0.136666666666667,0.22030959752322,0.0866666666666667,0.0666666666666667,0.05,0,0.147843137254902,0.1,0.192857142857143,0.142857142857143,0.1,0.0939393939393939,-0.262745098039216,0.332383040935673,0.304208512673362,0.304208512673362,-0.30783121759342,0.147368421052632,0.118796992481203,0.118796992481203,0.118796992481203,-0.366879664038188,-0.0701298701298701,-0.306262626262626,0.303411764705882,0.279411764705882,0.291411764705882,0.25,0.279411764705882,0.25,0.3,0.2,0.2,0.1,0.306493506493506,-0.1,0,0,-0.031701266258937,-0.0954545454545455,-0.12
"Frizzled",0.212070561017929,0.237841871143636,0.203188405797101,0.146666666666667,0.1,0.164052287581699,0.116133794929233,0.0666666666666667,0.119607843137255,0.0666666666666667,0.0635133660665576,0.0631908336537765,0.0566487775790101,0.116406926406926,0.161666666666667,0.237481314694937,0.136666666666667,0.0866666666666667,0.0954545454545455,0.05,0.153219481340923,0.0666666666666667,0.219387755102041,0.192857142857143,0.142857142857143,0.127272727272727,-0.300840336134454,0.354802969761295,0.338861978019897,0.338861978019897,-0.332934098251857,0.165015479876161,0.147368421052632,0.147368421052632,0.147368421052632,-0.399283845222857,-0.086053437008851,-0.342200126262626,0.318031647746818,0.291411764705882,0.303411764705882,0.279411764705882,0.291411764705882,0.279411764705882,0.25,0.25,0.3,0.2,0.32957042957043,-0.1,0,0.1,-0.0219667529846007,-0.10974025974026,-0.141428571428571
"HEY1",0.374506894617179,0.35342728906917,0.328139932747331,0.302766798418972,0.263636363636364,0.358383838383838,0.321461312026913,0.2,0.327272727272727,0.281818181818182,0.111306340718105,0.10430303030303,0.0906666666666667,0.306695211152739,0.332,0.385357349816496,0.3,0.26,0.260606060606061,0.233333333333333,0.318219070133964,0.2,0.356241032998565,0.329411764705882,0.3,0.268452380952381,-0.264529914529915,0.433946787979046,0.348707594926082,0.348707594926082,-0.536667112190268,0.376266870127907,0.357881219903692,0.357881219903692,0.357881219903692,-0.67258980875926,-0.326641813157356,-0.35740859639736,0.340455831978064,0.307299280177187,0.325029334700387,0.286369047619048,0.306369047619048,0.286369047619048,0.267619047619048,0.267619047619048,0.253333333333333,0.253333333333333,0.366995947315096,-0.1,-0.2,0.233333333333333,0.311097729822068,-0.284743991640543,-0.320696950108715
"FOXC2",0.374506894617179,0.35342728906917,0.328139932747331,0.302766798418972,0.263636363636364,0.358383838383838,0.321461312026913,0.2,0.327272727272727,0.281818181818182,0.111306340718105,0.10430303030303,0.0906666666666667,0.306695211152739,0.332,0.385357349816496,0.3,0.26,0.260606060606061,0.233333333333333,0.318219070133964,0.2,0.356241032998565,0.329411764705882,0.3,0.268452380952381,-0.264529914529915,0.433946787979046,0.348707594926082,0.348707594926082,-0.536667112190268,0.376266870127907,0.357881219903692,0.357881219903692,0.357881219903692,-0.67258980875926,-0.326641813157356,-0.35740859639736,0.340455831978064,0.307299280177187,0.325029334700387,0.286369047619048,0.306369047619048,0.286369047619048,0.267619047619048,0.267619047619048,0.253333333333333,0.253333333333333,0.366995947315096,-0.1,-0.2,0.233333333333333,0.311097729822068,-0.284743991640543,-0.320696950108715
"DSH",0.226097710339196,0.251495007675001,0.237841871143636,0.203188405797101,0.146666666666667,0.190769844833608,0.128520501877874,0.0666666666666667,0.164052287581699,0.119607843137255,0.072285295891119,0.0763983808235878,0.0631908336537765,0.124687181183996,0.174607843137255,0.249386076599699,0.161666666666667,0.136666666666667,0.10974025974026,0.0954545454545455,0.162702239961613,0.0866666666666667,0.231980347694633,0.219387755102041,0.192857142857143,0.154772727272727,-0.33287917108591,0.373612171385111,0.362861978019897,0.362861978019897,-0.355668597456944,0.182043343653251,0.165015479876161,0.165015479876161,0.165015479876161,-0.422590078285188,-0.0990305362454922,-0.368126052188552,0.331923725818001,0.30322278832793,0.318031647746818,0.291411764705882,0.303411764705882,0.291411764705882,0.279411764705882,0.279411764705882,0.25,0.25,0.345826587205898,-0.0666666666666667,-0.05,0.2,-0.0136698097531597,-0.116406926406926,-0.157975334018499
"RAF",0.27525,0.295470085470085,0.246581196581197,0.207692307692308,0.2,0.215993031358885,0.203750389044507,0.17,0.184285714285714,0.17,0.159581881533101,0.154807445442875,0.153754813863928,0.193892339544513,0.145714285714286,0.324941724941725,0.105714285714286,0.0857142857142857,0.133333333333333,0.1,0.234415584415584,0.1,0.186842105263158,0.136842105263158,0.1,0.0380952380952381,-0.329411764705882,0.606343779042611,0.364895635673624,0.364895635673624,-0.360253575114256,0.0672479206187071,0.0279220779220779,0.0279220779220779,0.0279220779220779,-0.412252747252747,-0.134511784511785,-0.373870639164757,0.365780631353665,0.323333333333333,0.347428571428571,0.273333333333333,0.321428571428571,0.271428571428571,0.2,0.2,0.1,0.1,0.338947368421053,-0.1,-0.1,0,-0.0147928405298817,-0.172463768115942,-0.214022209674384
"cateninnuc",0.364305376552051,0.341671666931638,0.324770258480934,0.302939272565441,0.277705627705628,0.351203429549563,0.312172870829181,0.293939393939394,0.335586991193399,0.316746411483254,0.119149996051901,0.105706730985244,0.0994955508610204,0.190736042844811,0.324471493965876,0.279622763493393,0.312434456928839,0.293333333333333,0.167976939203354,0.147222222222222,0.19003981848414,0.266666666666667,0.337169290251312,0.323051643192488,0.303333333333333,0.227267583074035,-0.29104210961493,0.418250056520777,0.366113760180648,0.366113760180648,-0.331948994083385,0.348838254028662,0.337194418412223,0.337194418412223,0.337194418412223,-0.48328883332721,-0.30491737377105,-0.37408742150725,0.106956578774032,0.186669584062682,0.196956578774032,0.173297491039427,0.185280278195997,0.171829985798336,0.155555555555556,0.154088050314465,0.133333333333333,0.133333333333333,0.340455831978064,-0.233333333333333,-0.125,0.111111111111111,0.27773985924614,-0.181212233321001,-0.331155963529577
"SHH",0.35,0.44,0.4,0.3,0.2,0.3,0.283333333333333,0,0.2,0.1,0.0666666666666667,0.1,0.0666666666666667,0.253333333333333,0.15,0.192857142857143,0.1,0,0.3,0.2,0.153333333333333,0,0.233333333333333,0.2,0.1,0.25,-0.3,0.356153846153846,0.375,0.375,-0.277950310559006,0.3,0.25,0.25,0.25,-0.348,-0.266666666666667,-0.383333333333333,0.212535612535613,0.233333333333333,0.171794871794872,0.2,0.133333333333333,0.1,0.2,0.1,0.2,0.1,0.266666666666667,0,-0.2,0,0.25875,-0.333333333333333,-0.26
"PI3K",0.253132416154795,0.270693313222725,0.233941176470588,0.177941176470588,0.125,0.192441566790651,0.169838969404187,0.0666666666666667,0.148179271708683,0.0952380952380952,0.0747923182995325,0.0798917967186875,0.0694917967186875,0.128428093645485,0.276018099547511,0.268302539293971,0.252941176470588,0.2,0.1,0.05,0.170941428021865,0.166666666666667,0.232659713168188,0.203846153846154,0.15,0.163461538461538,-0.336842105263158,0.381352511986658,0.375508463573364,0.375508463573364,-0.363241179178587,0.206575788277916,0.182131343833472,0.182131343833472,0.182131343833472,-0.434269958896825,-0.176836989477439,-0.376039526859199,0.34931883086554,0.314853801169591,0.332095180479935,0.295555555555556,0.314853801169591,0.295555555555556,0.255555555555556,0.255555555555556,0.2,0.2,0.347003745318352,-0.2,0,0.1,-0.0346681668206423,-0.115384615384615,-0.165481577246283
"ILK",0.253132416154795,0.270693313222725,0.233941176470588,0.177941176470588,0.125,0.192441566790651,0.169838969404187,0.0666666666666667,0.148179271708683,0.0952380952380952,0.0747923182995325,0.0798917967186875,0.0694917967186875,0.128428093645485,0.276018099547511,0.268302539293971,0.252941176470588,0.2,0.1,0.05,0.170941428021865,0.166666666666667,0.232659713168188,0.203846153846154,0.15,0.163461538461538,-0.336842105263158,0.381352511986658,0.375508463573364,0.375508463573364,-0.363241179178587,0.206575788277916,0.182131343833472,0.182131343833472,0.182131343833472,-0.434269958896825,-0.176836989477439,-0.376039526859199,0.34931883086554,0.314853801169591,0.332095180479935,0.295555555555556,0.314853801169591,0.295555555555556,0.255555555555556,0.255555555555556,0.2,0.2,0.347003745318352,-0.2,0,0.1,-0.0346681668206423,-0.115384615384615,-0.165481577246283
"SOSGRB2",0.354366437006322,0.372695697428413,0.328433402346446,0.293650793650794,0.271428571428571,0.350634920634921,0.342322339150869,0.276190476190476,0.320634920634921,0.30952380952381,0.261647727272727,0.258012714857547,0.252903225806452,0.286201298701299,0.328888888888889,0.382277432712215,0.3,0.288888888888889,0.227272727272727,0.2,0.334121275699133,0.3,0.372370266479663,0.330434782608696,0.3,-0.04125,-0.359848484848485,0.633155273398589,0.395186830713146,0.395186830713146,-0.384251379038613,0.305333333333333,0.261333333333333,0.261333333333333,0.261333333333333,-0.438659624128732,-0.290394802598701,-0.405753903264549,0.391703411464377,0.334640522875817,0.368585131894484,0.277777777777778,0.333333333333333,0.276470588235294,0.2,0.2,0.1,0.1,0.347473560517039,-0.2,-0.2,0,-0.0764489035986068,-0.258701298701299,-0.372989045383412
"RAS",0.340249042145594,0.360723684210526,0.31125,0.28,0.26,0.314315789473684,0.301223083548665,0.26,0.286315789473684,0.26,0.161857707509881,0.158750773036487,0.156709956709957,0.188157894736842,0.21047619047619,0.362612612612613,0.173333333333333,0.166666666666667,0.116666666666667,0.1,0.247707231040564,0.2,0.270222222222222,0.222222222222222,0.2,0.00909090909090908,-0.356428571428571,0.566218189403421,0.397481203007519,0.397481203007519,-0.383458317997792,0.142498719918075,0.198412698412698,0.198412698412698,0.198412698412698,-0.444356366028193,-0.205377668308703,-0.40667292057536,0.390173524772065,0.333333333333333,0.367545787545788,0.273333333333333,0.332307692307692,0.273333333333333,0.2,0.2,0.1,0.1,0.344464609800363,-0.2,-0.1,0,-0.0527355318062574,-0.158333333333333,-0.390254901960784
"MEK",0.312884408602151,0.335109725109725,0.295470085470085,0.246581196581197,0.207692307692308,0.155798856601603,0.224844139044507,0.17,0.215993031358885,0.184285714285714,0.160552755319509,0.162007445442875,0.154807445442875,0.208396156338407,0.17038961038961,0.352383585406841,0.145714285714286,0.105714285714286,0.172463768115942,0.133333333333333,0.248261738261738,0.0857142857142857,0.219585468095016,0.186842105263158,0.136842105263158,0.0637362637362637,-0.363454317897372,0.635657011873432,0.399106161989414,0.399106161989414,-0.388906326537406,0.0968616545242865,0.0672479206187071,0.0672479206187071,0.0672479206187071,-0.446735505873437,-0.15813637998104,-0.407884244606934,0.382027129953105,0.349333333333333,0.365780631353665,0.323333333333333,0.347428571428571,0.321428571428571,0.273333333333333,0.271428571428571,0.2,0.2,0.377011884550085,-0.1,-0.1,0.1,0.000501277117177137,-0.193892339544513,-0.241963386144972
"AKT",0.272180035202414,0.289787164355411,0.270693313222725,0.233941176470588,0.177941176470588,0.220183502274522,0.188260022035766,0.0952380952380952,0.192441566790651,0.148179271708683,0.0875742731867506,0.0923497091765999,0.0798917967186875,0.141614906832298,0.192684766214178,0.285949598117501,0.276018099547511,0.252941176470588,0.115384615384615,0.1,0.185015502095939,0.2,0.250306771991717,0.232659713168188,0.203846153846154,0.194496021220159,-0.370175438596491,0.404192748673049,0.403480491545392,0.403480491545392,-0.388971359985263,0.228081164622002,0.206575788277916,0.206575788277916,0.206575788277916,-0.461521143730948,-0.192720658381242,-0.404843874685286,0.364464267174466,0.331860603890679,0.34931883086554,0.314853801169591,0.332095180479935,0.314853801169591,0.295555555555556,0.295555555555556,0.255555555555556,0.255555555555556,0.369225967540574,-0.166666666666667,-0.05,0.2,-0.0244954220989532,-0.128428093645485,-0.186771899826928
"IKK",0.484773116356012,0.514498510427011,0.457894736842105,0.4,0.35,0.245421245421245,0.281771392767633,0.1,0.176190476190476,0.142857142857143,0.181940144478844,0.184495614035088,0.172916666666667,0.242632478632479,0.312681436210848,0.511877031670846,0.25974025974026,0.314285714285714,0.175555555555556,0.12,0.262859192772584,0.3,0.347407407407407,0.295555555555556,0.24,0.29047619047619,-0.360875160875161,0.644922315857509,0.419918074756784,0.419918074756784,-0.537931034482759,0.359894282037139,0.319353741496599,0.319353741496599,0.319353741496599,-0.651805791378115,-0.207291440168153,-0.423691460055096,0.403147438438835,0.357598784194529,0.381408308004053,0.321428571428571,0.357598784194529,0.321428571428571,0.271428571428571,0.271428571428571,0.2,0.2,0.389262350552673,-0.2,-0.1,0.1,0.11090914078871,-0.219555555555556,-0.269642857142857
"CD44",0.376129032258064,0.367647058823529,0.35,0.3,0.2,0.415,0.369340016708438,0.3,0.385,0.325,0.204093567251462,0.197619047619048,0.183333333333333,0.173809523809524,0.26,0.343939393939394,0.266666666666667,0.2,0.15,0.1,0.178602150537634,0.2,0.242857142857143,0.242857142857143,0.2,-0.00238095238095239,-0.277777777777778,0.430639534883721,0.420634920634921,0.420634920634921,-0.107777777777778,0.190224358974359,0.158974358974359,0.158974358974359,0.158974358974359,-0.284326928658501,-0.212698412698413,-0.431699604743083,0.11342383107089,0.00256410256410255,0.0672699849170437,-0.0666666666666667,0.00256410256410255,0.0333333333333333,-0.1,0,0,0.1,-0.0470588235294118,-0.1,-0.1,0.1,-0.181705069124424,-0.15,-0.423703703703704
"ERK",0.336875916033148,0.359452982552807,0.335109725109725,0.295470085470085,0.246581196581197,0.186491925908534,0.242947587320369,0.184285714285714,0.155798856601603,0.215993031358885,0.169846435616907,0.171717837265703,0.162007445442875,0.220967584909835,0.189954827780915,0.372086187637325,0.17038961038961,0.145714285714286,0.193892339544513,0.172463768115942,0.261221119306226,0.105714285714286,0.241416454010509,0.219585468095016,0.186842105263158,0.0930775811015332,-0.39535086962151,0.658822295855563,0.427106161989414,0.427106161989414,-0.413758397543323,0.119616145542251,0.0968616545242865,0.0968616545242865,0.0968616545242865,-0.47439243564348,-0.175318085790682,-0.437378626629406,0.396451765285358,0.367282051282051,0.382027129953105,0.349333333333333,0.365780631353665,0.347428571428571,0.323333333333333,0.321428571428571,0.273333333333333,0.271428571428571,0.402604301611696,-0.0857142857142857,-0.133333333333333,0.2,0.011588467644626,-0.208396156338407,-0.264522308703894
"Csn",0.248846211096025,0.273180220874912,0.250648575305292,0.206648575305292,0.145454545454545,0.243655603655604,0.158500612136262,0.106666666666667,0.209264069264069,0.161212121212121,0.0753737541528239,0.0823617387046469,0.0687370600414079,0.13333640354917,0.203838797814208,0.282665614424807,0.184166666666667,0.155,0.108513708513709,0.0873015873015873,0.171345840082323,0.105,0.256553399410542,0.236145236145236,0.201010101010101,0.170346051464064,-0.399880772821949,0.421166303293586,0.436103703101059,0.436103703101059,-0.407616807255343,0.224482113143858,0.201339862613072,0.201339862613072,0.201339862613072,-0.479881131313179,-0.138131436970157,-0.444188483960107,0.386374592640478,0.351719621353129,0.369875754530486,0.334442134442134,0.352089193265664,0.334442134442134,0.312820512820513,0.312820512820513,0.266666666666667,0.266666666666667,0.390718025004471,-0.18,-0.0428571428571429,0.2,0.0319942892108349,-0.121847041847042,-0.177866420443491
