"","FOXC2","TGF","TGFR","CDC42","PAK1","TWIST1","MEK","SNAI1","EGR1","ERK","cfos","HEY1","SMAD","ILK","SHH","AKT","IKK","NFB","SMO","Jagged","FUS","Csn","NOTCH","NOTCHic","Csl","SOSGRB2","SNAI2","KLF4","ZEB2","ZEB1","cateninmemb","RAS","RAF","PI3K","DELTA","GSK3","miR200","Ecadherin","cateninnuc","GLI","TCFLEF","CD44","Wnt","cMet","Frizzled","SRC","DSH","STAT","AXIN2","TrCP","SUFU","LIV1","Destcompl","Patched","RKIP"
"Destcompl",0.123272479217683,0.0641300760879814,0.065024073533703,0.0603260869565217,0.0525,0.10717693030642,0.0596623450296016,0.103159911644699,0.0653333333333333,0.0587773892773893,0.0576410256410256,0.0165354686213582,0.0215907970938911,0.0210993966024906,-0.109730554493826,0.0518253968253968,0.0546031746031746,0.0546031746031746,-0.10499533146592,-0.173420408729333,-0.107936507936508,0.0523809523809524,-0.0505612493093528,-0.0493007451076721,-0.0521256038647343,-0.0451151380486111,-0.194811357501735,-0.205482040320178,0.196421494492038,0.196421494492038,0.187550849091188,0.0126020419967561,0.0118514164754884,0.0118514164754884,0.0118514164754884,-0.095993079098222,-0.207781778492219,0.010059511401514,-0.169847131218759,-0.170805513288489,-0.17007363178501,-0.17007363178501,-0.170002300437083,-0.16946757117895,-0.170531400966184,-0.170531400966184,-0.177777777777778,-0.177777777777778,-0.225166087980676,-0.0666666666666667,0.122222222222222,-0.188888888888889,-0.0112552513177527,0.107698034168622,-0.127717900271092
"AXIN2",0.186825102577784,0.11393306305762,0.111219075583716,0.111771561771562,0.126923076923077,0.163924233661076,0.11703779020505,0.159694619035176,0.153333333333333,0.120952380952381,0.133333333333333,0.0262987012987013,0.0266191012949026,0.0303228049986063,-0.145788078558273,0.105101203854401,0.106237567490764,0.109178743961353,-0.150375234521576,-0.210143555300809,-0.157692307692308,0.122222222222222,-0.048784155510728,-0.0505263157894737,-0.0505263157894737,-0.0595238095238095,-0.243728164718903,-0.253501382288075,0.246875572964414,0.246875572964414,0.225788354503945,0.0738339090965232,0.074107133140239,0.074107133140239,0.074107133140239,-0.174761704344096,-0.260850705755412,0.0242673417253202,-0.224883867848973,-0.226265122265122,-0.225166087980676,-0.225921755486973,-0.228931788931789,-0.228931788931789,-0.235238095238095,-0.235238095238095,-0.24,-0.24,0.190494945947248,-0.133333333333333,0.15,-0.233333333333333,0.166222811084909,0.145788078558273,-0.181422305764411
"Wnt",0.137272727272727,0.176356275303644,0.118461538461538,0.08,0.1,0.0841269841269841,0.119607843137255,0.104658385093168,0.1,0.0666666666666667,0.0666666666666667,0.0656410256410257,0.0542124542124542,0.058974358974359,0.10974025974026,0.136666666666667,0.0866666666666667,0.0666666666666667,0.05,0.153259803921569,0,0.1,0.192857142857143,0.142857142857143,0.1,0.0866666666666667,0.329386694386694,-0.262745098039216,0.304208512673362,0.304208512673362,-0.330165078284547,0.150615174299385,0.118796992481203,0.118796992481203,0.118796992481203,-0.0729623824451411,-0.306262626262626,-0.392931034482759,0.32465032444124,0.286842105263158,0.306842105263158,0.286842105263158,0.25,0.25,0.3,0.2,0.2,0.1,0.31030303030303,-0.1,0,0,-0.0239205939771222,-0.0954545454545455,-0.12
"Frizzled",0.174586160108548,0.213565577629225,0.176356275303644,0.118461538461538,0.08,0.106575963718821,0.163004069552349,0.118258385093168,0.0666666666666667,0.119607843137255,0.0666666666666667,0.0612931995540691,0.058974358974359,0.0542124542124542,0.117936981051735,0.161666666666667,0.136666666666667,0.0866666666666667,0.0954545454545455,0.162538154437033,0.05,0.0666666666666667,0.222268907563025,0.192857142857143,0.142857142857143,0.115698924731183,0.353941854529043,-0.300840336134454,0.338861978019897,0.338861978019897,-0.359219132338601,0.172215174299385,0.150615174299385,0.150615174299385,0.150615174299385,-0.0924745775670923,-0.342200126262626,-0.425918047469772,0.34215032444124,0.306842105263158,0.32465032444124,0.306842105263158,0.286842105263158,0.286842105263158,0.25,0.25,0.3,0.2,0.339714795008913,-0.1,0,0.1,-0.0101739632493594,-0.10974025974026,-0.141428571428571
"HEY1",0.320425101214575,0.383923042901371,0.354511278195489,0.322368421052632,0.275,0.307248576850095,0.359520479520479,0.327999269806499,0.2,0.325454545454545,0.28,0.0977564102564102,0.0851539784642209,0.0719756838905775,0.310528541226216,0.333333333333333,0.3,0.26,0.260606060606061,0.33767115902965,0.233333333333333,0.2,0.367676767676768,0.338787878787879,0.305454545454545,0.269757727652464,0.43225320354177,-0.265618448637317,0.351481392557023,0.351481392557023,-0.569795390809586,0.389760985475271,0.3683324140467,0.3683324140467,0.3683324140467,-0.340253247548772,-0.359890710382514,-0.659780901329888,0.374789287920321,0.337820512820513,0.357528232285514,0.337073686830968,0.31474358974359,0.31474358974359,0.291666666666667,0.291666666666667,0.266666666666667,0.266666666666667,0.390320961090192,-0.1,-0.2,0.233333333333333,0.330633879578481,-0.287272727272727,-0.32379555927943
"FOXC2",0.320425101214575,0.383923042901371,0.354511278195489,0.322368421052632,0.275,0.307248576850095,0.359520479520479,0.327999269806499,0.2,0.325454545454545,0.28,0.0977564102564102,0.0851539784642209,0.0719756838905775,0.310528541226216,0.333333333333333,0.3,0.26,0.260606060606061,0.33767115902965,0.233333333333333,0.2,0.367676767676768,0.338787878787879,0.305454545454545,0.269757727652464,0.43225320354177,-0.265618448637317,0.351481392557023,0.351481392557023,-0.569795390809586,0.389760985475271,0.3683324140467,0.3683324140467,0.3683324140467,-0.340253247548772,-0.359890710382514,-0.659780901329888,0.374789287920321,0.337820512820513,0.357528232285514,0.337073686830968,0.31474358974359,0.31474358974359,0.291666666666667,0.291666666666667,0.266666666666667,0.266666666666667,0.390320961090192,-0.1,-0.2,0.233333333333333,0.330633879578481,-0.287272727272727,-0.32379555927943
"DSH",0.190678114131537,0.230596145314815,0.213565577629225,0.176356275303644,0.118461538461538,0.120422117564975,0.189721626804258,0.132964267446109,0.0666666666666667,0.163004069552349,0.119607843137255,0.0684360566969263,0.0710366157836975,0.058974358974359,0.127936981051735,0.17562015503876,0.161666666666667,0.136666666666667,0.10974025974026,0.174888752046594,0.0954545454545455,0.0866666666666667,0.238580964300614,0.222268907563025,0.192857142857143,0.14272595175821,0.375226995091292,-0.33287917108591,0.363763163790648,0.363763163790648,-0.384314673739875,0.192559013840932,0.172215174299385,0.172215174299385,0.172215174299385,-0.108709871684739,-0.368805630849782,-0.451439398015948,0.357520343416572,0.324409672830725,0.34215032444124,0.32465032444124,0.306842105263158,0.306842105263158,0.286842105263158,0.286842105263158,0.25,0.25,0.361792717086835,-0.0666666666666667,-0.05,0.2,0.00100250733887595,-0.117936981051735,-0.159738430583501
"RAF",0.261693404634581,0.296581196581197,0.246581196581197,0.207692307692308,0.2,0.191360412637008,0.227666911225238,0.22073762506942,0.17,0.187241379310345,0.17,0.159581881533101,0.154764914874029,0.153754813863928,0.208590163934426,0.156168831168831,0.110714285714286,0.0857142857142857,0.14,0.258543536260005,0.1,0.1,0.21041181041181,0.156565656565657,0.111111111111111,0.055831608005521,0.615477894236145,-0.332663797226208,0.372663797226208,0.372663797226208,-0.471815515196904,0.0945637695637696,0.050974025974026,0.050974025974026,0.050974025974026,-0.164381402679275,-0.380952950808151,-0.535728189063574,0.374220460684296,0.32,0.3503359462486,0.318421052631579,0.27,0.268421052631579,0.2,0.2,0.1,0.1,0.337271448663854,-0.1,-0.1,0,0.0222772021332673,-0.184,-0.226050420168067
"cateninnuc",0.321770105710903,0.380833674999731,0.362869603143443,0.339432103143443,0.311597051597052,0.315431175378819,0.35866374117727,0.322794741530738,0.290434782608696,0.340779610194903,0.318020989505247,0.112890192245031,0.0946085169263056,0.0881617403146115,0.198355376392789,0.331382300136881,0.316975520475864,0.295698924731183,0.172744360902256,0.227220732741999,0.151315789473684,0.266666666666667,0.358484375904138,0.342111579934365,0.320592592592593,0.247541567746222,0.417970195218494,-0.294706766917293,0.372821345199924,0.372821345199924,-0.376959532168941,0.369443330251594,0.355888827881925,0.355888827881925,0.355888827881925,-0.324348973610594,-0.380549295524661,-0.476498746248918,0.156489104183136,0.232666004227854,0.244971975308748,0.231533929933529,0.217404045230132,0.216202122153209,0.198149386845039,0.196947463768116,0.175072463768116,0.175072463768116,0.374789287920321,-0.233333333333333,-0.125,0.153333333333333,0.303909308145253,-0.18703007518797,-0.337848208248817
"SHH",0.366666666666667,0.45,0.4,0.3,0.2,0.25,0.3,0.283333333333333,0,0.2,0.1,0.0666666666666667,0.0939393939393939,0.0666666666666667,0.253333333333333,0.15,0.1,0,0.3,0.162857142857143,0.2,0,0.233333333333333,0.2,0.1,0.233333333333333,0.352,-0.3,0.375,0.375,-0.292142857142857,0.303846153846154,0.25,0.25,0.25,-0.271794871794872,-0.383333333333333,-0.340178571428571,0.232251082251082,0.25,0.192857142857143,0.15,0.2,0.1,0.2,0.1,0.2,0.1,0.276190476190476,0,-0.2,0,0.270802139037433,-0.333333333333333,-0.26
"PI3K",0.229776473526474,0.255049941927991,0.217049941927991,0.160952380952381,0.114285714285714,0.15488431222985,0.191512605042017,0.172727385336081,0.0666666666666667,0.148179271708683,0.0952380952380952,0.0729055258467023,0.0763940698230512,0.0674509803921569,0.130877573131094,0.276018099547511,0.252941176470588,0.2,0.1,0.181773182957393,0.05,0.166666666666667,0.236104218362283,0.203846153846154,0.15,0.154385964912281,0.383916167017771,-0.336842105263158,0.375508463573364,0.375508463573364,-0.391149773384962,0.215383116883117,0.18621645021645,0.18621645021645,0.18621645021645,-0.184424027509134,-0.376039526859199,-0.462922819820071,0.375883146120738,0.331506642512077,0.354762456465566,0.331506642512077,0.303381642512077,0.303381642512077,0.255555555555556,0.255555555555556,0.2,0.2,0.358326118326118,-0.2,0,0.1,-0.0208791208791209,-0.115384615384615,-0.165481577246283
"ILK",0.229776473526474,0.255049941927991,0.217049941927991,0.160952380952381,0.114285714285714,0.15488431222985,0.191512605042017,0.172727385336081,0.0666666666666667,0.148179271708683,0.0952380952380952,0.0729055258467023,0.0763940698230512,0.0674509803921569,0.130877573131094,0.276018099547511,0.252941176470588,0.2,0.1,0.181773182957393,0.05,0.166666666666667,0.236104218362283,0.203846153846154,0.15,0.154385964912281,0.383916167017771,-0.336842105263158,0.375508463573364,0.375508463573364,-0.391149773384962,0.215383116883117,0.18621645021645,0.18621645021645,0.18621645021645,-0.184424027509134,-0.376039526859199,-0.462922819820071,0.375883146120738,0.331506642512077,0.354762456465566,0.331506642512077,0.303381642512077,0.303381642512077,0.255555555555556,0.255555555555556,0.2,0.2,0.358326118326118,-0.2,0,0.1,-0.0208791208791209,-0.115384615384615,-0.165481577246283
"SNAI2",0.353448275862069,0.421319058212829,0.387152391546162,0.344623655913978,0.283333333333333,0.339356123464985,0.389540816326531,0.364758141762452,0.2,0.346683673469388,0.2875,0.0994266994266994,0.0874812906391854,0.0705582137161085,0.353692358366271,0.364240506329114,0.325,0.275,0.2975,0.388018688132893,0.26,0.2,0.408506022108563,0.374712918660287,0.332894736842105,0.30995340167754,0.685462618662386,-0.285905550146056,0.376553136847254,0.376553136847254,-0.618979465700986,0.433620123405417,0.407766464868831,0.407766464868831,0.407766464868831,-0.38062190832476,-0.384826941368026,-0.797952741240833,0.431308533948435,0.390766488413547,0.412260914900816,0.390320961090192,0.366060606060606,0.366060606060606,0.338787878787879,0.338787878787879,0.305454545454545,0.305454545454545,0.438415448143801,-0.1,-0.2,0.26,0.376496254813261,-0.327934782608696,-0.351797385620915
"RAS",0.315683122847302,0.345396825396825,0.297777777777778,0.271111111111111,0.26,0.271953578336557,0.315727554179567,0.306489675516224,0.26,0.286315789473684,0.26,0.161857707509881,0.157740884545008,0.156709956709957,0.192870056497175,0.212222222222222,0.173333333333333,0.166666666666667,0.116666666666667,0.258624088310664,0.1,0.2,0.277259185700099,0.226315789473684,0.2,0.00909090909090908,0.570742996928281,-0.356428571428571,0.398696612665685,0.398696612665685,-0.398763532763533,0.153717948717949,0.205641025641026,0.205641025641026,0.205641025641026,-0.216989664082687,-0.407661538461538,-0.466429241840723,0.408159721316744,0.338970588235294,0.379257987212698,0.338172715894869,0.276470588235294,0.276470588235294,0.2,0.2,0.1,0.1,0.349934123847167,-0.2,-0.1,0,-0.0342918162918163,-0.160666666666667,-0.392622641509434
"SOSGRB2",0.341151415773476,0.371051923594297,0.326984126984127,0.293650793650794,0.271428571428571,0.32564721912548,0.359400959400959,0.356393745557925,0.276190476190476,0.323037323037323,0.30952380952381,0.261647727272727,0.257867764813544,0.252903225806452,0.298701026608003,0.338011695906433,0.304678362573099,0.288888888888889,0.233333333333333,0.357215265481102,0.2,0.3,0.394031320791884,0.347552447552448,0.309090909090909,-0.0314705882352941,0.638635710694534,-0.362017543859649,0.400588972431078,0.400588972431078,-0.492020755345629,0.333311603650587,0.285875706214689,0.285875706214689,0.285875706214689,-0.31585308255715,-0.410651126415904,-0.557774368278329,0.398031778854002,0.331521739130435,0.369796484736355,0.330434782608696,0.275,0.273913043478261,0.2,0.2,0.1,0.1,0.345606435643564,-0.2,-0.2,0,-0.0359243253625276,-0.268468468468469,-0.381834795321637
"AKT",0.250776473526474,0.277777214655263,0.255049941927991,0.217049941927991,0.160952380952381,0.175689681357367,0.219717733247145,0.194047182290396,0.0952380952380952,0.191512605042017,0.148179271708683,0.0843559075260916,0.0875051809341623,0.0763940698230512,0.146385594521469,0.194385446486287,0.276018099547511,0.252941176470588,0.115384615384615,0.199061318550614,0.1,0.2,0.258326440584505,0.236104218362283,0.203846153846154,0.185250162443145,0.409492203884131,-0.370175438596491,0.404718085566492,0.404718085566492,-0.420380542615731,0.240690242190242,0.215383116883117,0.215383116883117,0.215383116883117,-0.204015864243828,-0.405798239995928,-0.493290655577128,0.393366806251457,0.354495148259204,0.375883146120738,0.354762456465566,0.331506642512077,0.331506642512077,0.303381642512077,0.303381642512077,0.255555555555556,0.255555555555556,0.38673940245896,-0.166666666666667,-0.05,0.2,-0.00715030731979886,-0.130877573131094,-0.189231577246283
"MEK",0.300516934046346,0.338022638022638,0.296581196581197,0.246581196581197,0.207692307692308,0.223668104944701,0.173429623089645,0.245898915392,0.17,0.227666911225238,0.187241379310345,0.161433733384953,0.161934726194784,0.154764914874029,0.226470958636413,0.185580595874714,0.156168831168831,0.110714285714286,0.184,0.277710202926672,0.14,0.0857142857142857,0.247638087784073,0.21041181041181,0.156565656565657,0.0820220841959972,0.646342091767009,-0.369918699186992,0.410759035321446,0.410759035321446,-0.50635626552032,0.128968914258303,0.0945637695637696,0.0945637695637696,0.0945637695637696,-0.191788810086682,-0.419033446164188,-0.574267742816109,0.394570996224705,0.351914893617021,0.374220460684296,0.3503359462486,0.32,0.318421052631579,0.27,0.268421052631579,0.2,0.2,0.379089630482036,-0.1,-0.1,0.1,0.0411731681629913,-0.208590163934426,-0.257629367536488
"CD44",0.385714285714286,0.37875,0.36,0.3,0.2,0.355555555555556,0.415,0.373019670388091,0.3,0.385,0.325,0.204093567251462,0.197619047619048,0.183333333333333,0.177272727272727,0.26,0.266666666666667,0.2,0.15,0.188531468531469,0.1,0.2,0.24812030075188,0.242857142857143,0.2,-0.00238095238095239,0.446136516799846,-0.277777777777778,0.420634920634921,0.420634920634921,-0.146074895977809,0.203809523809524,0.166666666666667,0.166666666666667,0.166666666666667,-0.223809523809524,-0.431699604743083,-0.288333333333333,0.133410852713178,0.0233333333333333,0.0861240310077519,0.0233333333333333,-0.05,0.05,-0.1,0,0,0.1,-0.02,-0.1,-0.1,0.1,-0.159085452362763,-0.15,-0.423703703703704
"IKK",0.43822971548999,0.497806637806638,0.436190476190476,0.376190476190476,0.333333333333333,0.357057416267943,0.251584415584416,0.293091168091168,0.1,0.178857142857143,0.142857142857143,0.1792663476874,0.179170823633743,0.16989247311828,0.254463937621832,0.321042471042471,0.264285714285714,0.314285714285714,0.18,0.285980861244019,0.12,0.3,0.362914862914863,0.307359307359307,0.245454545454545,0.29047619047619,0.648973269731283,-0.363369963369963,0.425418546365915,0.425418546365915,-0.562929742499409,0.379834067928442,0.334119782214156,0.334119782214156,0.334119782214156,-0.224135146621334,-0.428840579710145,-0.674514634222285,0.432584090855409,0.375373931623932,0.405962166918049,0.375373931623932,0.331623931623932,0.331623931623932,0.277777777777778,0.277777777777778,0.2,0.2,0.402637362637363,-0.2,-0.1,0.1,0.137435830956702,-0.228148148148148,-0.277322404371585
"Csn",0.217266519010705,0.253186783735235,0.227438280741223,0.182556390977444,0.122556390977444,0.144186303668116,0.242972076656287,0.163214965568984,0.106666666666667,0.208580542264753,0.161212121212121,0.0723144609014174,0.0773170909792473,0.0653807514567008,0.13706443315139,0.205134408602151,0.184166666666667,0.155,0.108513708513709,0.183746144022006,0.0873015873015873,0.105,0.262944283332633,0.238672438672439,0.201010101010101,0.158682761045353,0.423716785140538,-0.399880772821949,0.437031633815566,0.437031633815566,-0.434136853068488,0.235132061523785,0.208321885398541,0.208321885398541,0.208321885398541,-0.148030657082381,-0.444881466416248,-0.505383781622679,0.41218691523088,0.371425913424126,0.393540682791545,0.371860010522637,0.347659097280628,0.347659097280628,0.318390804597701,0.318390804597701,0.266666666666667,0.266666666666667,0.405215283783169,-0.18,-0.0428571428571429,0.2,0.047517207761225,-0.123731099818056,-0.179751126680612
