"","FOXC2","TGF","TGFR","CDC42","MEK","SOSGRB2","PAK1","ERK","EGR1","cfos","SNAI1","HEY1","SMAD","ILK","SHH","AKT","IKK","TWIST1","NFB","SMO","FUS","Jagged","Csn","NOTCH","NOTCHic","Csl","KLF4","ZEB2","ZEB1","SNAI2","cateninmemb","RAS","RAF","PI3K","DELTA","Ecadherin","GSK3","miR200","cateninnuc","GLI","TCFLEF","Wnt","CD44","cMet","Frizzled","SRC","DSH","STAT","AXIN2","TrCP","SUFU","LIV1","Destcompl","Patched","RKIP"
"Destcompl",0.0567905372676879,0.0255550205563169,0.0288062520834105,0.0272273047149894,0.0666242258813332,-0.0258186159526239,0.0210204081632653,0.0691558714509534,0.0779487179487179,0.0718881118881119,0.0957972045202967,0.0108266092881477,0.0152673350041771,0.0146825396825397,-0.119055113841074,0.0492550076442694,0.0532818532818533,-0.039990931865969,0.0523809523809524,-0.111877394636015,-0.111877394636015,-0.185156082244664,0.0523809523809524,-0.0572983138231025,-0.053891500195848,-0.0549784567175871,-0.203149190846705,0.192133863412772,0.192133863412772,-0.233154553182917,0.215009252685094,0.00645483165247118,0.00818167623645862,0.00818167623645862,0.00818167623645862,0.0515801295828828,-0.089741254690702,-0.203803589903581,-0.186622379297913,-0.185758339602481,-0.186061441001126,-0.183346465762036,-0.185102536891537,-0.182863730921388,-0.180376168732333,-0.180376168732333,-0.181746031746032,-0.181746031746032,-0.238655152327198,-0.0666666666666667,0.122222222222222,-0.188888888888889,-0.0200738265591765,0.116540607071248,-0.124188204312659
"AXIN2",0.110540380774573,0.0645281966741413,0.0638681306675407,0.0647530864197531,0.127899410221946,-0.018456656324819,0.0783333333333333,0.132726996428843,0.153333333333333,0.141138211382114,0.1547184519461,0.0187481889307447,0.0189095928226363,0.0220841959972395,-0.153439770611902,0.103719806763285,0.104830917874396,-0.0370946197518206,0.109178743961353,-0.152930402930403,-0.157692307692308,-0.220035634166069,0.122222222222222,-0.052312030075188,-0.052312030075188,-0.0505263157894737,-0.252988588338008,0.245175501457021,0.245175501457021,-0.276800589868916,0.249359406027404,0.0721794919537611,0.0753290982529737,0.0753290982529737,0.0753290982529737,0.0626921145380067,-0.170831416612881,-0.2593606087525,-0.239908935293043,-0.237208142308837,-0.238655152327198,-0.235950280673617,-0.236896652913364,-0.235950280673617,-0.237674418604651,-0.237674418604651,-0.24,-0.24,0.182032686545068,-0.133333333333333,0.15,-0.233333333333333,0.159719384343445,0.151144688644689,-0.179947910512427
"Wnt",0.176356275303644,0.203188405797101,0.146666666666667,0.1,0.159607843137255,0.209090909090909,0.1,0.106666666666667,0.1,0.0666666666666667,0.104658385093168,0.0656410256410257,0.0566487775790101,0.058974358974359,0.10974025974026,0.136666666666667,0.0866666666666667,0.222941176470588,0.0666666666666667,0.05,0,0.153259803921569,0.1,0.192857142857143,0.142857142857143,0.1,-0.262745098039216,0.304208512673362,0.304208512673362,0.340258620689655,-0.334703389830508,0.171667805878332,0.13984962406015,0.13984962406015,0.13984962406015,-0.402475553557379,-0.0729623824451411,-0.306262626262626,0.328800478016233,0.286842105263158,0.308270676691729,0.25,0.286842105263158,0.25,0.3,0.2,0.2,0.1,0.31030303030303,-0.1,0,0,-0.0233176107971793,-0.0954545454545455,-0.12
"Frizzled",0.213565577629225,0.240331262939959,0.203188405797101,0.146666666666667,0.207755991285403,0.254545454545455,0.1,0.159607843137255,0.0666666666666667,0.106666666666667,0.118944099378882,0.0635133660665576,0.0669291514107858,0.0566487775790101,0.119417679095098,0.174166666666667,0.136666666666667,0.24484593837535,0.0866666666666667,0.0954545454545455,0.05,0.16437091503268,0.0666666666666667,0.230112044817927,0.192857142857143,0.142857142857143,-0.300840336134454,0.338861978019897,0.338861978019897,0.369596160121832,-0.366766881894001,0.192927648398017,0.171667805878332,0.171667805878332,0.171667805878332,-0.437673688755514,-0.0953866248693835,-0.342200126262626,0.348800478016233,0.308270676691729,0.328800478016233,0.286842105263158,0.308270676691729,0.286842105263158,0.25,0.25,0.3,0.2,0.340535588442565,-0.1,0,0.1,-0.00819824740195381,-0.10974025974026,-0.148571428571429
"HEY1",0.390184513006655,0.373652623798965,0.340969696969697,0.307636363636364,0.38115111086609,0.385806174957118,0.263636363636364,0.33475935828877,0.2,0.281818181818182,0.33671420000923,0.111306340718105,0.105159420289855,0.0906666666666667,0.324798387096774,0.33989417989418,0.302857142857143,0.412614379084967,0.26,0.266666666666667,0.233333333333333,0.354196538094589,0.2,0.376317269274404,0.342296650717703,0.305454545454545,-0.266666666666667,0.354514963880289,0.354514963880289,0.4649781869926,-0.592777865765671,0.406496983408748,0.377820512820513,0.377820512820513,0.377820512820513,-0.673504886266412,-0.348106210167198,-0.362568172568173,0.395647049521164,0.353897196408636,0.376344434328137,0.326310989512084,0.353267511251214,0.326310989512084,0.296078431372549,0.296078431372549,0.266666666666667,0.266666666666667,0.40259545543053,-0.1,-0.2,0.233333333333333,0.341987979717644,-0.297916666666667,-0.328674500103071
"FOXC2",0.390184513006655,0.373652623798965,0.340969696969697,0.307636363636364,0.38115111086609,0.385806174957118,0.263636363636364,0.33475935828877,0.2,0.281818181818182,0.33671420000923,0.111306340718105,0.105159420289855,0.0906666666666667,0.324798387096774,0.33989417989418,0.302857142857143,0.412614379084967,0.26,0.266666666666667,0.233333333333333,0.354196538094589,0.2,0.376317269274404,0.342296650717703,0.305454545454545,-0.266666666666667,0.354514963880289,0.354514963880289,0.4649781869926,-0.592777865765671,0.406496983408748,0.377820512820513,0.377820512820513,0.377820512820513,-0.673504886266412,-0.348106210167198,-0.362568172568173,0.395647049521164,0.353897196408636,0.376344434328137,0.326310989512084,0.353267511251214,0.326310989512084,0.296078431372549,0.296078431372549,0.266666666666667,0.266666666666667,0.40259545543053,-0.1,-0.2,0.233333333333333,0.341987979717644,-0.297916666666667,-0.328674500103071
"DSH",0.231314495378143,0.258798161894662,0.240331262939959,0.203188405797101,0.241590577751568,0.305764966740577,0.146666666666667,0.207755991285403,0.106666666666667,0.159607843137255,0.137204968944099,0.0757940678209435,0.0801366985805971,0.0669291514107858,0.133528108542951,0.189109195402299,0.174166666666667,0.262576434829251,0.136666666666667,0.10974025974026,0.0954545454545455,0.180649984800122,0.0866666666666667,0.247594562300445,0.230112044817927,0.192857142857143,-0.33287917108591,0.364058828413597,0.364058828413597,0.393926777118339,-0.394446504979984,0.217297396297177,0.192927648398017,0.192927648398017,0.192927648398017,-0.465505119835409,-0.113716091226692,-0.369029394555309,0.366164681043837,0.328532114600226,0.348800478016233,0.308270676691729,0.328800478016233,0.308270676691729,0.286842105263158,0.286842105263158,0.25,0.25,0.364586221353958,-0.0666666666666667,-0.05,0.2,0.00420633275071794,-0.119417679095098,-0.167452547452547
"SHH",0.35,0.44,0.4,0.3,0.3,0.3,0.2,0.2,0,0.1,0.283333333333333,0.0666666666666667,0.1,0.0666666666666667,0.253333333333333,0.15,0.1,0.2,0,0.3,0.2,0.162857142857143,0,0.233333333333333,0.2,0.1,-0.3,0.375,0.375,0.36727969348659,-0.299068100358423,0.303846153846154,0.25,0.25,0.25,-0.341666666666667,-0.271794871794872,-0.383333333333333,0.241111111111111,0.25,0.196666666666667,0.2,0.15,0.1,0.2,0.1,0.2,0.1,0.276190476190476,0,-0.2,0,0.272987012987013,-0.333333333333333,-0.26
"PI3K",0.255049941927991,0.273778574844572,0.233941176470588,0.177941176470588,0.224291683886669,0.278076923076923,0.125,0.176750700280112,0.0666666666666667,0.123809523809524,0.173280998389694,0.0747923182995325,0.0830917967186875,0.0694917967186875,0.132051282051282,0.286274509803922,0.252941176470588,0.276816119652898,0.2,0.1,0.05,0.183245614035088,0.166666666666667,0.242555831265509,0.203846153846154,0.15,-0.336842105263158,0.375508463573364,0.375508463573364,0.396441813841842,-0.396875422177051,0.23316539168594,0.204398268398268,0.204398268398268,0.204398268398268,-0.472077970556085,-0.186928811928812,-0.376039526859199,0.381335109628571,0.332612411742847,0.358036140556406,0.303381642512077,0.332612411742847,0.303381642512077,0.255555555555556,0.255555555555556,0.2,0.2,0.358952380952381,-0.2,0,0.1,-0.0192574231537553,-0.115384615384615,-0.17136393018746
"ILK",0.255049941927991,0.273778574844572,0.233941176470588,0.177941176470588,0.224291683886669,0.278076923076923,0.125,0.176750700280112,0.0666666666666667,0.123809523809524,0.173280998389694,0.0747923182995325,0.0830917967186875,0.0694917967186875,0.132051282051282,0.286274509803922,0.252941176470588,0.276816119652898,0.2,0.1,0.05,0.183245614035088,0.166666666666667,0.242555831265509,0.203846153846154,0.15,-0.336842105263158,0.375508463573364,0.375508463573364,0.396441813841842,-0.396875422177051,0.23316539168594,0.204398268398268,0.204398268398268,0.204398268398268,-0.472077970556085,-0.186928811928812,-0.376039526859199,0.381335109628571,0.332612411742847,0.358036140556406,0.303381642512077,0.332612411742847,0.303381642512077,0.255555555555556,0.255555555555556,0.2,0.2,0.358952380952381,-0.2,0,0.1,-0.0192574231537553,-0.115384615384615,-0.17136393018746
