"","FOXC2","TGF","TGFR","CDC42","PAK1","SOSGRB2","RKIP","SNAI1","HEY1","TWIST1","SHH","SMAD","AKT","ILK","IKK","NFB","Csn","SMO","Jagged","FUS","NOTCH","NOTCHic","Csl","KLF4","cateninmemb","ZEB2","ZEB1","SNAI2","RAS","RAF","PI3K","DELTA","GSK3","Ecadherin","miR200","GLI","cateninnuc","TCFLEF","Wnt","CD44","cMet","Frizzled","SRC","EGR1","MEK","ERK","cfos","DSH","STAT","AXIN2","TrCP","SUFU","LIV1","Destcompl","Patched"
"Destcompl",0.0503604073186811,0.0203618652542687,0.0234160524463869,0.0244686840253343,0.0210204081632653,-0.0388416884177858,0.106320251714291,0.0890562994102703,0.00155161078238001,-0.0440479038596567,-0.125962575171536,0.00464076858813701,0.0401729170915048,0.00452380952380953,0.0435286217894914,0.0480331262939959,0.0523809523809524,-0.121631089217296,-0.18981577342711,-0.118773946360153,-0.0628610844878162,-0.0598550724637681,-0.0576811594202899,-0.196902236358838,0.218130755696545,0.184985720159171,0.184985720159171,-0.240551091066232,0.00211925721625518,0.00337514418642786,0.00337514418642786,0.00337514418642786,-0.084297428467077,0.0569270367550554,-0.19667510806149,-0.186500454630311,-0.189229454224844,-0.187903600068801,-0.183346465762036,-0.185848805548254,-0.182863730921388,-0.180376168732333,-0.180376168732333,-0.0333333333333333,-0.0427971350776912,-0.0432190760059612,-0.0393939393939394,-0.181746031746032,-0.181746031746032,-0.23912408550422,-0.0666666666666667,0.122222222222222,-0.188888888888889,-0.0194736094066705,0.124221762792426
"AXIN2",0.105497445567703,0.0604480541466143,0.0620982191631159,0.0647530864197531,0.0783333333333333,-0.0425123606329777,0.159686281460475,0.146796925323984,0.00644623180120138,-0.0405852467718593,-0.161773103945235,0.00649873475960432,0.0963768115942029,0.00887968714055671,0.101932367149758,0.109178743961353,0.122222222222222,-0.157692307692308,-0.225054939185374,-0.157692307692308,-0.056800447063605,-0.0540977443609023,-0.0505263157894737,-0.250958131485216,0.250629292770848,0.240352215785017,0.240352215785017,-0.283120735174286,0.0670246981658855,0.069649370081896,0.069649370081896,0.069649370081896,-0.165908857986661,0.0662781615526853,-0.254956287531679,-0.237208142308837,-0.241242546377545,-0.23912408550422,-0.235950280673617,-0.236896652913364,-0.235950280673617,-0.237674418604651,-0.237674418604651,-0.0266666666666667,-0.037916519287655,-0.0337785882531723,-0.0291056910569106,-0.24,-0.24,0.182032686545068,-0.133333333333333,0.15,-0.233333333333333,0.161031939717992,0.159478021978022
"Wnt",0.16582995951417,0.194492753623188,0.146666666666667,0.1,0.1,0.142424242424242,0.0633333333333333,0.0812629399585921,0.0456410256410256,0.212941176470588,0.0915584415584415,0.0390777181474856,0.124166666666667,0.0367521367521367,0.0866666666666667,0.0666666666666667,0.1,0.05,0.141495098039216,0,0.18452380952381,0.142857142857143,0.1,-0.262745098039216,-0.333008474576271,0.294452415112386,0.294452415112386,0.322758620689655,0.150615174299385,0.118796992481203,0.118796992481203,0.118796992481203,-0.054858934169279,-0.394371698325278,-0.298989898989899,0.286842105263158,0.326151471393716,0.308270676691729,0.25,0.286842105263158,0.25,0.3,0.2,0,0.0592156862745098,0.0533333333333333,0.0333333333333333,0.2,0.1,0.31030303030303,-0.1,0,0,-0.0177867027817992,-0.0772727272727273
"Frizzled",0.196062517653705,0.22592132505176,0.194492753623188,0.146666666666667,0.1,0.16969696969697,0.0776190476190476,0.100310559006211,0.0477686852154937,0.232941176470588,0.104461667364893,0.0474889331007566,0.149166666666667,0.0390777181474856,0.124166666666667,0.0866666666666667,0.0666666666666667,0.0772727272727273,0.154626411170529,0.05,0.213935574229692,0.18452380952381,0.142857142857143,-0.291316526610644,-0.361262442830239,0.323165286399515,0.323165286399515,0.34894158598934,0.175024623118282,0.150615174299385,0.150615174299385,0.150615174299385,-0.0760710553814002,-0.42584022979381,-0.327114898989899,0.308270676691729,0.343294328536573,0.326151471393716,0.286842105263158,0.308270676691729,0.286842105263158,0.25,0.25,0.0333333333333333,0.0629193899782135,0.0592156862745098,0.0533333333333333,0.3,0.2,0.340535588442565,-0.1,0,0.1,-0.00425885132291327,-0.0915584415584415
"DSH",0.215543037134224,0.24578195222946,0.22592132505176,0.194492753623188,0.146666666666667,0.203843311160384,0.0937029637029637,0.117991718426501,0.0582950010049674,0.251380892782645,0.117345102947715,0.0561681783837755,0.166408045977012,0.0474889331007566,0.149166666666667,0.124166666666667,0.0866666666666667,0.0915584415584415,0.168579899542622,0.0772727272727273,0.232816693110811,0.213935574229692,0.18452380952381,-0.317530118843654,-0.385644068271936,0.34678733364361,0.34678733364361,0.369546941053368,0.196033026479627,0.175024623118282,0.175024623118282,0.175024623118282,-0.0902241876319803,-0.450862178871948,-0.352114898989899,0.325917735515259,0.358699493273884,0.343294328536573,0.308270676691729,0.326151471393716,0.308270676691729,0.286842105263158,0.286842105263158,0.0533333333333333,0.0741975854669353,0.0629193899782135,0.0592156862745098,0.25,0.25,0.362898457640877,-0.0666666666666667,-0.05,0.2,0.00661901127250658,-0.104461667364893
"HEY1",0.390184513006655,0.373652623798965,0.340969696969697,0.307636363636364,0.263636363636364,0.310891938250429,0.281581117295403,0.33328072361438,0.104033613445378,0.412614379084967,0.320497311827957,0.0928115942028986,0.33989417989418,0.0826666666666667,0.302857142857143,0.26,0.2,0.266666666666667,0.351772295670347,0.233333333333333,0.376317269274404,0.342296650717703,0.305454545454545,-0.266666666666667,-0.592777865765671,0.354514963880289,0.354514963880289,0.461663156107219,0.400897435897436,0.375897435897436,0.375897435897436,0.375897435897436,-0.343276328345158,-0.672976484681208,-0.362568172568173,0.353897196408636,0.395647049521164,0.376344434328137,0.326310989512084,0.353267511251214,0.326310989512084,0.296078431372549,0.296078431372549,0.12,0.184204200893103,0.170802139037433,0.147272727272727,0.266666666666667,0.266666666666667,0.40259545543053,-0.1,-0.2,0.233333333333333,0.342481806878138,-0.297916666666667
"FOXC2",0.390184513006655,0.373652623798965,0.340969696969697,0.307636363636364,0.263636363636364,0.310891938250429,0.281581117295403,0.33328072361438,0.104033613445378,0.412614379084967,0.320497311827957,0.0928115942028986,0.33989417989418,0.0826666666666667,0.302857142857143,0.26,0.2,0.266666666666667,0.351772295670347,0.233333333333333,0.376317269274404,0.342296650717703,0.305454545454545,-0.266666666666667,-0.592777865765671,0.354514963880289,0.354514963880289,0.461663156107219,0.400897435897436,0.375897435897436,0.375897435897436,0.375897435897436,-0.343276328345158,-0.672976484681208,-0.362568172568173,0.353897196408636,0.395647049521164,0.376344434328137,0.326310989512084,0.353267511251214,0.326310989512084,0.296078431372549,0.296078431372549,0.12,0.184204200893103,0.170802139037433,0.147272727272727,0.266666666666667,0.266666666666667,0.40259545543053,-0.1,-0.2,0.233333333333333,0.342481806878138,-0.297916666666667
"PI3K",0.239293844367015,0.260900526064084,0.225941176470588,0.177941176470588,0.125,0.203076923076923,0.109760827407886,0.156352657004831,0.0603840850233747,0.26648112321669,0.118162393162393,0.0623734293717487,0.264253393665158,0.0535734293717487,0.241176470588235,0.2,0.166666666666667,0.0833333333333333,0.174473684210526,0.05,0.228411910669975,0.196153846153846,0.15,-0.328508771929825,-0.39215639204634,0.361780433971144,0.361780433971144,0.377390451158404,0.217723299531519,0.18621645021645,0.18621645021645,0.18621645021645,-0.167592592592593,-0.461901911761286,-0.362725393053262,0.332612411742847,0.376600995818797,0.355776253550756,0.303381642512077,0.332612411742847,0.303381642512077,0.255555555555556,0.255555555555556,0.0333333333333333,0.0616981218716995,0.0535014005602241,0.0476190476190476,0.2,0.2,0.358952380952381,-0.2,0,0.1,-0.0157914195768358,-0.0987179487179487
"ILK",0.239293844367015,0.260900526064084,0.225941176470588,0.177941176470588,0.125,0.203076923076923,0.109760827407886,0.156352657004831,0.0603840850233747,0.26648112321669,0.118162393162393,0.0623734293717487,0.264253393665158,0.0535734293717487,0.241176470588235,0.2,0.166666666666667,0.0833333333333333,0.174473684210526,0.05,0.228411910669975,0.196153846153846,0.15,-0.328508771929825,-0.39215639204634,0.361780433971144,0.361780433971144,0.377390451158404,0.217723299531519,0.18621645021645,0.18621645021645,0.18621645021645,-0.167592592592593,-0.461901911761286,-0.362725393053262,0.332612411742847,0.376600995818797,0.355776253550756,0.303381642512077,0.332612411742847,0.303381642512077,0.255555555555556,0.255555555555556,0.0333333333333333,0.0616981218716995,0.0535014005602241,0.0476190476190476,0.2,0.2,0.358952380952381,-0.2,0,0.1,-0.0157914195768358,-0.0987179487179487
"RAF",0.286811081638668,0.313413440142412,0.267619047619048,0.22,0.2,0.132761904761905,0.00644257703081231,0.197212283433025,0.135656213704994,0.36592394533571,0.189311475409836,0.132774628553998,0.144047619047619,0.127824133504493,0.110714285714286,0.0857142857142857,0.1,0.14,0.245866682836123,0.1,0.202719502719503,0.156565656565657,0.111111111111111,-0.332663797226208,-0.47362909127615,0.364663797226208,0.364663797226208,0.607793903363059,0.0945637695637696,0.050974025974026,0.050974025974026,0.050974025974026,-0.142710795902285,-0.536644885956278,-0.374751400420554,0.32,0.375461213488534,0.351288185498712,0.27,0.318421052631579,0.268421052631579,0.2,0.2,0.03,0.107879677182685,0.0972413793103448,0.08,0.1,0.1,0.337271448663854,-0.1,-0.1,0,0.0278187233081386,-0.168
"SHH",0.35,0.44,0.4,0.3,0.2,0.3,0.26,0.283333333333333,0.0666666666666667,0.2,0.253333333333333,0.0833333333333333,0.15,0.0666666666666667,0.1,0,0,0.3,0.162857142857143,0.2,0.233333333333333,0.2,0.1,-0.3,-0.299068100358423,0.375,0.375,0.360383141762452,0.303846153846154,0.25,0.25,0.25,-0.256410256410256,-0.341666666666667,-0.383333333333333,0.25,0.241111111111111,0.196666666666667,0.2,0.15,0.1,0.2,0.1,0,0.02,0,-0.1,0.2,0.1,0.276190476190476,0,-0.2,0,0.272987012987013,-0.333333333333333
"cateninnuc",0.390112537735489,0.374651487347166,0.355874194770746,0.331736263736264,0.299428571428571,0.302626894982342,0.280835832488438,0.330418589915721,0.111165620123297,0.321659260799378,0.209312371182733,0.0953773734223939,0.340572916666667,0.088965367965368,0.324166666666667,0.304166666666667,0.270833333333333,0.181366120218579,0.243455127279038,0.163333333333333,0.372478231268141,0.354296413086322,0.332203389830509,-0.298771177418864,-0.408748481878967,0.377841370009904,0.377841370009904,0.45749297327445,0.389047519047519,0.372717552717553,0.372717552717553,0.372717552717553,-0.331656552020606,-0.48995811869282,-0.385372193705059,0.255050909979439,0.181109187042172,0.268654064147943,0.238054862548609,0.254090957351827,0.237027465288335,0.217402688635565,0.216375291375291,0.155072463768116,0.173687174004008,0.166806440059054,0.163008971704624,0.191375291375291,0.191375291375291,0.395647049521164,-0.233333333333333,-0.133333333333333,0.160606060606061,0.321107469249508,-0.196894070529138
"SNAI2",0.425495673461765,0.41151863197899,0.375493787258493,0.333613445378151,0.276470588235294,0.347058823529412,0.313948717948718,0.369282114766603,0.111106088004822,0.448322008191805,0.362630911519537,0.101669025316171,0.36889281262983,0.0877934272300469,0.326724137931034,0.275,0.2,0.301176470588235,0.400205607781016,0.26,0.41441672362725,0.376754385964912,0.332894736842105,-0.286538461538462,-0.63753975365315,0.378588839941263,0.378588839941263,0.708329016375216,0.442051352058506,0.412827607766268,0.412827607766268,0.412827607766268,-0.38273296908362,-0.808460433019942,-0.386587993124707,0.402974962071897,0.449540131104475,0.427956280172798,0.373563197366014,0.40259545543053,0.373563197366014,0.341168831168831,0.341168831168831,0.133333333333333,0.205802861685215,0.188235294117647,0.162745098039216,0.305454545454545,0.305454545454545,0.447100565604419,-0.1,-0.2,0.26,0.386048865772934,-0.335870348139256
"AKT",0.264105874442203,0.286580284372241,0.260900526064084,0.225941176470588,0.177941176470588,0.240854700854701,0.131499957842669,0.178157168283026,0.0716622805120965,0.290640144623418,0.133951866846604,0.0707909377892571,0.18546551487728,0.0623734293717487,0.264253393665158,0.241176470588235,0.2,0.0987179487179487,0.191692227256884,0.0833333333333333,0.252802154572414,0.228411910669975,0.196153846153846,-0.356713900134953,-0.421004506215555,0.389862625751966,0.389862625751966,0.402415576786545,0.243506432061639,0.217723299531519,0.217723299531519,0.217723299531519,-0.185334528076464,-0.491901911761286,-0.391067639042567,0.355517439675807,0.394447149664951,0.376600995818797,0.332612411742847,0.355776253550756,0.332612411742847,0.303381642512077,0.303381642512077,0.0476190476190476,0.0743563497198008,0.0616981218716995,0.0535014005602241,0.255555555555556,0.255555555555556,0.387472236548049,-0.166666666666667,-0.05,0.2,-0.00197835092505747,-0.118162393162393
"RAS",0.340634920634921,0.363808969132207,0.315294117647059,0.28,0.26,0.0956709956709957,0.160075471698113,0.285211406096362,0.139525691699605,0.370987452264048,0.174700564971751,0.134941249226964,0.206666666666667,0.132900432900433,0.173333333333333,0.166666666666667,0.2,0.116666666666667,0.24661935738222,0.1,0.273485600794439,0.226315789473684,0.2,-0.356428571428571,-0.399688480372614,0.394572901325479,0.394572901325479,0.559460315438944,0.153717948717949,0.205641025641026,0.205641025641026,0.205641025641026,-0.19187338501292,-0.466253624857936,-0.404461538461538,0.338970588235294,0.408889647688288,0.37971117743333,0.276470588235294,0.338172715894869,0.276470588235294,0.2,0.2,0.04,0.0800412796697626,0.0663157894736842,0.04,0.1,0.1,0.349934123847167,-0.2,-0.1,0,-0.0294850184385068,-0.152666666666667
"SOSGRB2",0.363736263736264,0.386998675083781,0.343736263736264,0.301428571428571,0.271428571428571,0.0488888888888889,0.0957602339181286,0.337310589907605,0.242897727272727,0.398144927536232,0.283239053006495,0.236614783066396,0.329678362573099,0.233118279569893,0.304678362573099,0.288888888888889,0.3,0.233333333333333,0.346614660555278,0.2,0.388397517974983,0.347552447552448,0.309090909090909,-0.362017543859649,-0.493212472212472,0.394874686716792,0.394874686716792,0.629515171498594,0.333311603650587,0.285875706214689,0.285875706214689,0.285875706214689,-0.294671365723259,-0.558230286580667,-0.406231236913141,0.331521739130435,0.398924266356306,0.370434782608696,0.275,0.330434782608696,0.273913043478261,0.2,0.2,0.152380952380952,0.16993486993487,0.154783354783355,0.141269841269841,0.1,0.1,0.345606435643564,-0.2,-0.2,0,-0.0312568117937245,-0.257657657657658
"MEK",0.321045315872902,0.350639717514675,0.313413440142412,0.267619047619048,0.22,0.163873015873016,0.0261794191360755,0.224776385997127,0.14111075915954,0.39559427500604,0.209572913318333,0.14199972080492,0.171106442577031,0.132774628553998,0.144047619047619,0.110714285714286,0.0857142857142857,0.168,0.267178158245959,0.14,0.238485926077167,0.202719502719503,0.156565656565657,-0.36207556193209,-0.508019335178589,0.396409828972239,0.396409828972239,0.64015400068666,0.131071706071706,0.0945637695637696,0.0945637695637696,0.0945637695637696,-0.170966324157814,-0.574167654626587,-0.405401555219315,0.352867132867133,0.395907310142809,0.375461213488534,0.32,0.351288185498712,0.318421052631579,0.27,0.268421052631579,0.08,0.0228796771826853,0.107879677182685,0.0972413793103448,0.2,0.2,0.379613791006196,-0.1,-0.1,0.1,0.0470655852328248,-0.189311475409836
"Csn",0.230824959679083,0.261093442944332,0.233169815259367,0.194708276797829,0.145454545454545,0.236261962412083,0.113833735650388,0.138436043015331,0.0543936877076412,0.279046283309958,0.120144826675763,0.0554350587054985,0.1907,0.0464376293995859,0.1675,0.138333333333333,0.105,0.0862914862914863,0.171836546708493,0.0650793650793651,0.253522866022866,0.227561327561328,0.18989898989899,-0.379339222868635,-0.430463654125239,0.413085194375517,0.413085194375517,0.405455985658368,0.237976748445841,0.211297285873864,0.211297285873864,0.211297285873864,-0.11437070525903,-0.496891980825249,-0.421582172321363,0.370782028883491,0.409535007521894,0.391435187918767,0.348511286525412,0.371177953192079,0.348511286525412,0.318390804597701,0.318390804597701,0.0366666666666667,0.0683901515151515,0.0548484848484849,0.0457575757575758,0.266666666666667,0.266666666666667,0.404803470254958,-0.18,-0.0428571428571429,0.2,0.0542612461690842,-0.104571056183959
"STAT",0.192786639400136,0.191369935048425,0.174461722488038,0.153409090909091,0.140909090909091,0.0827175697865353,0.127144465894466,0.113287222904627,0.0253333333333333,0.0628684575461187,0.0378225972422309,0.0304792048420234,0.0227602905569007,0.0281803542673108,0.0142857142857143,0,0,0.02,0.0499790887591887,0,0.0212594090378214,0.00863804981452041,-0.0156862745098039,-0.30308972073678,-0.0508986780626926,0.413726017572171,0.413726017572171,0.0737899289939819,-0.0301037461575497,-0.0420440446650124,-0.0420440446650124,-0.0420440446650124,0.0883466844681798,-0.184517835156872,-0.430469007798509,0.00778265851795264,0.0222283721134595,0.0151961909454023,-0.00146103896103896,0.00794067044067044,-0.00146103896103896,-0.0196428571428571,-0.0196428571428571,0,0.00910815939278937,0.00588235294117647,0,-0.0571428571428571,-0.0571428571428571,-0.0452684570331629,0,0,0,-0.0591775506577353,-0.0316279069767442
"IKK",0.48972582972583,0.522791919191919,0.469191919191919,0.405555555555556,0.35,0.359033613445378,0.22103825136612,0.275692677410235,0.160887512899897,0.526274509803922,0.240919540229885,0.163565731573157,0.31023166023166,0.150694444444444,0.264285714285714,0.314285714285714,0.3,0.18,0.278322399250234,0.12,0.356565656565657,0.307359307359307,0.245454545454545,-0.363369963369963,-0.568138714172234,0.417418546365915,0.417418546365915,0.648902617363536,0.380598655453593,0.334119782214156,0.334119782214156,0.334119782214156,-0.21003663003663,-0.677271284982888,-0.422686733556299,0.376239316239316,0.437842691766742,0.40957264957265,0.331623931623932,0.376239316239316,0.331623931623932,0.277777777777778,0.277777777777778,0,0.0828571428571429,0.0628571428571429,0.0428571428571429,0.2,0.2,0.403095238095238,-0.2,-0.1,0.1,0.14265289833401,-0.213333333333333
