"","FOXC2","TGF","TGFR","CDC42","PAK1","MEK","SNAI1","ERK","EGR1","cfos","HEY1","TWIST1","SMAD","ILK","SHH","AKT","IKK","NFB","SMO","Jagged","FUS","Csn","NOTCH","NOTCHic","Csl","SOSGRB2","SNAI2","KLF4","ZEB2","ZEB1","cateninmemb","RAS","RAF","PI3K","DELTA","GSK3","miR200","Ecadherin","cateninnuc","GLI","TCFLEF","CD44","Wnt","cMet","Frizzled","SRC","DSH","STAT","AXIN2","TrCP","SUFU","LIV1","Destcompl","Patched","RKIP"
"Destcompl",0.15132376336918,0.104514611652283,0.104022000814845,0.100337790288529,0.0955102040816327,0.069881631130853,0.111094404442828,0.0669280446329627,0.0702564102564102,0.0641958041958042,0.0231785308708386,0.134690051814598,0.0285254803675856,0.0281746031746032,-0.100364962705654,0.0587603402310143,0.0594314811706116,0.0567287784679089,-0.0992665571975917,-0.162120602636653,-0.104980842911877,0.0523809523809524,-0.0416485065705245,-0.043051312181747,-0.0495730513121817,-0.0192389086823655,-0.159298065280522,-0.207783242108765,0.200688626051716,0.200688626051716,0.164474977346346,0.0230767554004541,0.0205649814601088,0.0205649814601088,0.0205649814601088,-0.103213428415007,-0.211735759569287,-0.0237769085427406,-0.15524354205889,-0.157386367655496,-0.155855474746295,-0.156677392554514,-0.158314011440283,-0.157796795539588,-0.162274407479887,-0.162274407479887,-0.174603174603175,-0.174603174603175,-0.212888523604613,-0.0666666666666667,0.122222222222222,-0.188888888888889,-0.00310506428603004,0.0997846919126176,-0.133924075309085
"AXIN2",0.217454239749322,0.154150797823145,0.152170599803343,0.153055555555556,0.164166666666667,0.123910823252609,0.164633996514378,0.12597978876985,0.153333333333333,0.136260162601626,0.0330109303740135,0.191422591632193,0.0342305037957212,0.0374051069703244,-0.138730559058428,0.108840579710145,0.107729468599034,0.109178743961353,-0.148168498168498,-0.201220184046271,-0.157692307692308,0.122222222222222,-0.0440108717740297,-0.0487406015037594,-0.0505263157894737,-0.0300001416691459,-0.203850535077796,-0.254003816764404,0.248561803162419,0.248561803162419,0.203709706396032,0.0811515105898399,0.0787893058654305,0.0787893058654305,0.0787893058654305,-0.179173482759295,-0.262330818518056,-0.0112529872820533,-0.211202401685028,-0.216389120051646,-0.212888523604613,-0.216053822549513,-0.222678428227747,-0.222678428227747,-0.233023255813954,-0.233023255813954,-0.24,-0.24,0.198681230888606,-0.133333333333333,0.15,-0.233333333333333,0.172594905160643,0.141025641025641,-0.184237957383119
"Wnt",0.0845344129554656,0.125797101449275,0.0866666666666667,0.0666666666666667,0.1,0.119607843137255,0.104658385093168,0.0666666666666667,0.1,0.0666666666666667,0.0656410256410257,-0.0391176470588235,0.0519976147883125,0.058974358974359,0.10974025974026,0.136666666666667,0.0866666666666667,0.0666666666666667,0.05,0.153259803921569,0,0.1,0.192857142857143,0.142857142857143,0.1,0.0757575757575758,0.298965517241379,-0.262745098039216,0.304208512673362,0.304208512673362,-0.321228813559322,0.150615174299385,0.118796992481203,0.118796992481203,0.118796992481203,-0.0729623824451411,-0.306262626262626,-0.367853396275898,0.318606532888513,0.286842105263158,0.304699248120301,0.286842105263158,0.25,0.25,0.3,0.2,0.2,0.1,0.31030303030303,-0.1,0,0,-0.0247668861594981,-0.0954545454545455,-0.12
"Frizzled",0.105464645513605,0.149606625258799,0.125797101449275,0.0866666666666667,0.0666666666666667,0.160348583877996,0.11735679779158,0.119607843137255,0.0666666666666667,0.0666666666666667,0.0592580469176214,-0.0381652661064426,0.0548013531060695,0.0519976147883125,0.116191872643486,0.161666666666667,0.136666666666667,0.0866666666666667,0.0954545454545455,0.160330510992276,0.05,0.0666666666666667,0.222268907563025,0.192857142857143,0.142857142857143,0.096969696969697,0.314422930490591,-0.300840336134454,0.338861978019897,0.338861978019897,-0.343768496099005,0.170300213669464,0.150615174299385,0.150615174299385,0.150615174299385,-0.0917502612330199,-0.342200126262626,-0.391862720285222,0.331939866221846,0.304699248120301,0.318606532888513,0.304699248120301,0.286842105263158,0.286842105263158,0.25,0.25,0.3,0.2,0.338210007047216,-0.1,0,0.1,-0.0128305466369517,-0.10974025974026,-0.141428571428571
"HEY1",0.0429398848334117,0.155909830007391,0.140787878787879,0.123454545454545,0.0954545454545455,0.332647885770991,0.311625124721316,0.304812834224599,0.2,0.263636363636364,0.0673338426279603,-0.154596949891068,0.0501449275362319,0.04,0.284879032258064,0.319259259259259,0.293333333333333,0.26,0.25,0.308654763527327,0.233333333333333,0.2,0.351357963794209,0.33177033492823,0.305454545454545,0.173084619782733,0.321083932082559,-0.262962962962963,0.344014447884417,0.344014447884417,-0.494869308649797,0.368808446455505,0.354102564102564,0.354102564102564,0.354102564102564,-0.327708739041492,-0.353142043142043,-0.508678868243853,0.333112026099514,0.309734735915216,0.322028588988679,0.30898511072781,0.29594163246694,0.29594163246694,0.284313725490196,0.284313725490196,0.266666666666667,0.266666666666667,0.367389596621764,-0.1,-0.2,0.233333333333333,0.313891868495225,-0.26875,-0.312914862914863
"FOXC2",0.0429398848334117,0.155909830007391,0.140787878787879,0.123454545454545,0.0954545454545455,0.332647885770991,0.311625124721316,0.304812834224599,0.2,0.263636363636364,0.0673338426279603,-0.154596949891068,0.0501449275362319,0.04,0.284879032258064,0.319259259259259,0.293333333333333,0.26,0.25,0.308654763527327,0.233333333333333,0.2,0.351357963794209,0.33177033492823,0.305454545454545,0.173084619782733,0.321083932082559,-0.262962962962963,0.344014447884417,0.344014447884417,-0.494869308649797,0.368808446455505,0.354102564102564,0.354102564102564,0.354102564102564,-0.327708739041492,-0.353142043142043,-0.508678868243853,0.333112026099514,0.309734735915216,0.322028588988679,0.30898511072781,0.29594163246694,0.29594163246694,0.284313725490196,0.284313725490196,0.266666666666667,0.266666666666667,0.367389596621764,-0.1,-0.2,0.233333333333333,0.313891868495225,-0.26875,-0.312914862914863
"cateninnuc",0.112124651304979,0.20053907874989,0.193333838575218,0.182989010989011,0.169142857142857,0.311060799902928,0.294256055133284,0.299592909994671,0.263768115942029,0.28440303657695,0.0876815894887282,-0.0399678273561666,0.0668352556947373,0.0626060606060606,0.163242981836752,0.304920454545455,0.295545454545455,0.279545454545455,0.145865209471767,0.187770660073802,0.131111111111111,0.258333333333333,0.326464792452179,0.315555701543088,0.300439422473321,0.129896284820204,0.292515904518515,-0.280541107765307,0.351954333869484,0.351954333869484,-0.27350066274142,0.334078334078334,0.325660825660826,0.325660825660826,0.325660825660826,-0.301284114275142,-0.360577602783817,-0.261210018737061,0.10291536986859,0.188109944453006,0.195707416264613,0.186969552186943,0.178228521528105,0.177048917266309,0.165185043267235,0.164005439005439,0.15011655011655,0.15011655011655,0.333112026099514,-0.233333333333333,-0.111111111111111,0.142424242424242,0.278943565375339,-0.155181979658102,-0.312861620596112
"DSH",0.112823952872912,0.159014290764026,0.149606625258799,0.125797101449275,0.0866666666666667,0.185160613953184,0.13040027605245,0.160348583877996,0.0666666666666667,0.119607843137255,0.0645212048123582,-0.0395837058227546,0.0649900323513525,0.0548013531060695,0.124167332766185,0.174310344827586,0.161666666666667,0.136666666666667,0.10974025974026,0.169632836573671,0.0954545454545455,0.0866666666666667,0.23695422224834,0.222268907563025,0.192857142857143,0.116481892091648,0.327810590560439,-0.33287917108591,0.363271426838794,0.363271426838794,-0.362496411293351,0.187947272492993,0.170300213669464,0.170300213669464,0.170300213669464,-0.10636743060657,-0.368419638457748,-0.409685371733861,0.343426954378569,0.318424738316379,0.331939866221846,0.318606532888513,0.304699248120301,0.304699248120301,0.286842105263158,0.286842105263158,0.25,0.25,0.357197348819368,-0.0666666666666667,-0.05,0.2,-0.00386108098809674,-0.116191872643486,-0.158911088911089
"SNAI2",0.00164219285718067,0.148932482692073,0.130920060331825,0.107843137254902,0.0745098039215686,0.365898251192369,0.350858114637985,0.329411764705882,0.2,0.276470588235294,0.0633363471971067,-0.202527561040697,0.0455142337277252,0.0325955734406439,0.330170603452649,0.352357706688824,0.319827586206897,0.275,0.289411764705882,0.362328568960074,0.26,0.2,0.395710868079289,0.369736842105263,0.332894736842105,0.21132521974307,0.579409869423623,-0.284038461538462,0.370635829662261,0.370635829662261,-0.551862365491657,0.415915522837956,0.396737440646175,0.396737440646175,0.396737440646175,-0.370527958934802,-0.379513337083808,-0.659272077161844,0.393315830853691,0.367843854571278,0.381204029611455,0.367389596621764,0.352335833180904,0.352335833180904,0.334025974025974,0.334025974025974,0.305454545454545,0.305454545454545,0.420175754930059,-0.1,-0.2,0.26,0.361987183921788,-0.311860744297719,-0.343320512820513
"RAF",0.20201886236369,0.241352914997775,0.212380952380952,0.193333333333333,0.2,0.227666911225238,0.22073762506942,0.187241379310345,0.17,0.17,0.159581881533101,0.0525579322638146,0.152764714854027,0.153754813863928,0.208590163934426,0.156168831168831,0.110714285714286,0.0857142857142857,0.14,0.258543536260005,0.1,0.1,0.21041181041181,0.156565656565657,0.111111111111111,0.0453968253968254,0.585068485166404,-0.332663797226208,0.372663797226208,0.372663797226208,-0.463489539960128,0.0945637695637696,0.050974025974026,0.050974025974026,0.050974025974026,-0.164381402679275,-0.380952950808151,-0.510681592520254,0.368592763871992,0.32,0.348490982701509,0.318421052631579,0.27,0.268421052631579,0.2,0.2,0.1,0.1,0.337271448663854,-0.1,-0.1,0,0.0215419268752797,-0.184,-0.226050420168067
"SHH",0.25,0.373333333333333,0.333333333333333,0.233333333333333,0.2,0.3,0.283333333333333,0.2,0,0.1,0.0666666666666667,0.05,0.0833333333333333,0.0666666666666667,0.253333333333333,0.15,0.1,0,0.3,0.162857142857143,0.2,0,0.233333333333333,0.2,0.1,0.2,0.291264367816092,-0.3,0.375,0.375,-0.257491039426523,0.303846153846154,0.25,0.25,0.25,-0.271794871794872,-0.383333333333333,-0.265555555555556,0.211111111111111,0.25,0.183333333333333,0.15,0.2,0.1,0.2,0.1,0.2,0.1,0.276190476190476,0,-0.2,0,0.267272727272727,-0.333333333333333,-0.26
"PI3K",0.153421602787456,0.187362984218077,0.165411764705882,0.129411764705882,0.1,0.189162878266061,0.171892109500805,0.148179271708683,0.0666666666666667,0.0952380952380952,0.0710187333938721,-0.0132165767233479,0.0726101640656262,0.0654101640656262,0.129273504273504,0.276018099547511,0.252941176470588,0.2,0.1,0.179736842105263,0.05,0.166666666666667,0.236104218362283,0.203846153846154,0.15,0.138076923076923,0.344842610845145,-0.336842105263158,0.375508463573364,0.375508463573364,-0.376743032649744,0.213613710490423,0.18621645021645,0.18621645021645,0.18621645021645,-0.183754208754209,-0.376039526859199,-0.429443344884527,0.366422902027214,0.329535488665923,0.349309499965358,0.329535488665923,0.303381642512077,0.303381642512077,0.255555555555556,0.255555555555556,0.2,0.2,0.356952380952381,-0.2,0,0.1,-0.0232899291937289,-0.115384615384615,-0.165481577246283
"ILK",0.153421602787456,0.187362984218077,0.165411764705882,0.129411764705882,0.1,0.189162878266061,0.171892109500805,0.148179271708683,0.0666666666666667,0.0952380952380952,0.0710187333938721,-0.0132165767233479,0.0726101640656262,0.0654101640656262,0.129273504273504,0.276018099547511,0.252941176470588,0.2,0.1,0.179736842105263,0.05,0.166666666666667,0.236104218362283,0.203846153846154,0.15,0.138076923076923,0.344842610845145,-0.336842105263158,0.375508463573364,0.375508463573364,-0.376743032649744,0.213613710490423,0.18621645021645,0.18621645021645,0.18621645021645,-0.183754208754209,-0.376039526859199,-0.429443344884527,0.366422902027214,0.329535488665923,0.349309499965358,0.329535488665923,0.303381642512077,0.303381642512077,0.255555555555556,0.255555555555556,0.2,0.2,0.356952380952381,-0.2,0,0.1,-0.0232899291937289,-0.115384615384615,-0.165481577246283
"RAS",0.265555555555556,0.29849737914968,0.271764705882353,0.26,0.26,0.315727554179567,0.306489675516224,0.286315789473684,0.26,0.26,0.161857707509881,0.100207310420076,0.156709956709957,0.156709956709957,0.192870056497175,0.212222222222222,0.173333333333333,0.166666666666667,0.116666666666667,0.258624088310664,0.1,0.2,0.277259185700099,0.226315789473684,0.2,0.00346320346320345,0.546449554659352,-0.356428571428571,0.398696612665685,0.398696612665685,-0.393376152388913,0.153717948717949,0.205641025641026,0.205641025641026,0.205641025641026,-0.216989664082687,-0.407661538461538,-0.447563056843291,0.404518324960024,0.338970588235294,0.378172715894869,0.338172715894869,0.276470588235294,0.276470588235294,0.2,0.2,0.1,0.1,0.349934123847167,-0.2,-0.1,0,-0.0347303544977964,-0.160666666666667,-0.392622641509434
"SOSGRB2",0.288180708180708,0.321635881848648,0.296813186813187,0.281428571428571,0.271428571428571,0.359400959400959,0.356393745557925,0.323037323037323,0.276190476190476,0.30952380952381,0.261647727272727,0.142753623188406,0.256399729302955,0.252903225806452,0.298701026608003,0.338011695906433,0.304678362573099,0.288888888888889,0.233333333333333,0.357215265481102,0.2,0.3,0.394031320791884,0.347552447552448,0.309090909090909,-0.0383333333333333,0.611748485720712,-0.362017543859649,0.400588972431078,0.400588972431078,-0.4851404001404,0.333311603650587,0.285875706214689,0.285875706214689,0.285875706214689,-0.31585308255715,-0.410651126415904,-0.536286282706424,0.393377320598028,0.331521739130435,0.368329519450801,0.330434782608696,0.275,0.273913043478261,0.2,0.2,0.1,0.1,0.345606435643564,-0.2,-0.2,0,-0.0365054781162164,-0.268468468468469,-0.381834795321637
"AKT",0.162444159178434,0.199749691166718,0.187362984218077,0.165411764705882,0.129411764705882,0.215745156747073,0.191691608247672,0.189162878266061,0.0952380952380952,0.148179271708683,0.0807931694840977,-0.0147456287111155,0.0817010731565353,0.0726101640656262,0.14295771479982,0.193189816719228,0.276018099547511,0.252941176470588,0.115384615384615,0.194306378529104,0.1,0.2,0.256835925679356,0.236104218362283,0.203846153846154,0.160299145299145,0.36142552541801,-0.370175438596491,0.404275586861036,0.404275586861036,-0.39927106526952,0.236505276755483,0.213613710490423,0.213613710490423,0.213613710490423,-0.201899370044531,-0.405451291565081,-0.450958496399678,0.379807517411829,0.349088561291622,0.366422902027214,0.349309499965358,0.329535488665923,0.329535488665923,0.303381642512077,0.303381642512077,0.255555555555556,0.255555555555556,0.38258414990545,-0.166666666666667,-0.05,0.2,-0.0116273981763592,-0.129273504273504,-0.18846294370591
"MEK",0.220036880381708,0.265440506238651,0.241352914997775,0.212380952380952,0.193333333333333,0.171000244558572,0.245096599428394,0.227666911225238,0.17,0.187241379310345,0.159581881533101,0.0521916318975142,0.157561762824507,0.152764714854027,0.224930033215472,0.185580595874714,0.156168831168831,0.110714285714286,0.184,0.275756651014103,0.14,0.0857142857142857,0.247638087784073,0.21041181041181,0.156565656565657,0.0631746031746032,0.605019823365918,-0.369918699186992,0.410759035321446,0.410759035321446,-0.491050515569884,0.127262182262182,0.0945637695637696,0.0945637695637696,0.0945637695637696,-0.191162729460602,-0.419033446164188,-0.538550444979271,0.384392020377569,0.35006993006993,0.368592763871992,0.348490982701509,0.32,0.318421052631579,0.27,0.268421052631579,0.2,0.2,0.377811989204394,-0.1,-0.1,0.1,0.0386967385907609,-0.208590163934426,-0.257629367536488
"CD44",0.379583333333333,0.373611111111111,0.3625,0.3,0.2,0.415,0.373019670388091,0.385,0.3,0.325,0.204093567251462,0.291648351648352,0.197619047619048,0.183333333333333,0.177272727272727,0.26,0.266666666666667,0.2,0.15,0.188531468531469,0.1,0.2,0.24812030075188,0.242857142857143,0.2,-0.00238095238095239,0.442850482850483,-0.277777777777778,0.420634920634921,0.420634920634921,-0.146373626373626,0.203809523809524,0.166666666666667,0.166666666666667,0.166666666666667,-0.223809523809524,-0.431699604743083,-0.286386385843014,0.13381633870006,0.0233333333333333,0.0861240310077519,0.0233333333333333,-0.05,0.05,-0.1,0,0,0.1,-0.02,-0.1,-0.1,0.1,-0.159085452362763,-0.15,-0.423703703703704
"IKK",0.305714285714286,0.380529292929293,0.342929292929293,0.311111111111111,0.3,0.247746031746032,0.292034209782301,0.178857142857143,0.1,0.142857142857143,0.176057791537668,0.00836601307189543,0.171617161716172,0.166666666666667,0.252286079182631,0.321042471042471,0.264285714285714,0.314285714285714,0.18,0.283289597000937,0.12,0.3,0.362914862914863,0.307359307359307,0.245454545454545,0.253361344537815,0.592969677977736,-0.363369963369963,0.425418546365915,0.425418546365915,-0.541395996926723,0.377781754045142,0.334119782214156,0.334119782214156,0.334119782214156,-0.223406593406593,-0.428840579710145,-0.621140455521934,0.418839286532914,0.373162393162393,0.398586121975952,0.373162393162393,0.331623931623932,0.331623931623932,0.277777777777778,0.277777777777778,0.2,0.2,0.401190476190476,-0.2,-0.1,0.1,0.134411517573245,-0.228148148148148,-0.277322404371585
"Csn",0.125884472275894,0.171976800494415,0.157418327940716,0.130495251017639,0.0931818181818182,0.238958333333333,0.161109253176475,0.206666666666667,0.106666666666667,0.161212121212121,0.0690282392026578,-0.0537611033193081,0.071396920090267,0.0618853519668737,0.13396761297343,0.204166666666667,0.184166666666667,0.155,0.108513708513709,0.179460920580092,0.0873015873015873,0.105,0.261749361749362,0.238672438672439,0.201010101010101,0.132844459817825,0.374220567365604,-0.399880772821949,0.436676592224979,0.436676592224979,-0.413186987062262,0.231253595987224,0.206877396371102,0.206877396371102,0.206877396371102,-0.146131659461414,-0.444602533637315,-0.462886150087612,0.398484969305999,0.366625665438444,0.384353880911531,0.366990536860084,0.346101647971195,0.346101647971195,0.318390804597701,0.318390804597701,0.266666666666667,0.266666666666667,0.401541253541077,-0.18,-0.0428571428571429,0.2,0.0431730393418177,-0.122492203137364,-0.179131705132546
