"","TGF","FOXC2","TGFR","CDC42","PAK1","MEK","SNAI1","EGR1","ERK","cfos","HEY1","SMAD","ILK","SHH","AKT","TWIST1","IKK","NFB","SMO","FUS","Jagged","Csn","NOTCH","NOTCHic","Csl","SOSGRB2","KLF4","ZEB2","ZEB1","SNAI2","cateninmemb","RAS","RAF","PI3K","DELTA","Ecadherin","GSK3","miR200","cateninnuc","GLI","TCFLEF","Wnt","CD44","cMet","Frizzled","SRC","DSH","STAT","AXIN2","TrCP","SUFU","LIV1","Destcompl","Patched","RKIP"
"Destcompl",0.0590504631777098,0.0590504631777098,0.0620281306715064,0.0593965517241379,0.0525,0.0573364321750467,0.09830980341608,0.0653333333333333,0.058205997392438,0.0576410256410256,0.0165354686213582,0.0214656969687909,0.0210993966024906,-0.114615473969757,0.0492488833422547,-0.0386298695004856,0.0536857434105141,0.0546031746031746,-0.106487232574189,-0.107936507936508,-0.182549207801113,0.0523809523809524,-0.0572152950755502,-0.053571570379194,-0.053571570379194,-0.0483792441577557,-0.204868543387663,0.194480748681985,0.194480748681985,-0.23330706171332,0.214550860268589,0.00382467770415218,0.00493402794187009,0.00493402794187009,0.00493402794187009,0.0505431889632586,-0.0892173617885388,-0.206070061378198,-0.186283272501388,-0.185758339602481,-0.185925582159027,-0.183346465762036,-0.185102536891537,-0.182863730921388,-0.180376168732333,-0.180376168732333,-0.181746031746032,-0.181746031746032,-0.238655152327198,-0.0666666666666667,0.122222222222222,-0.188888888888889,-0.0199686203950491,0.111249137336094,-0.124935589528987
"AXIN2",0.111907228573895,0.111907228573895,0.110672660672661,0.111771561771562,0.126923076923077,0.116697061803445,0.157371322338493,0.153333333333333,0.120952380952381,0.133333333333333,0.0262987012987013,0.0266191012949026,0.0303228049986063,-0.148411111687888,0.104542652236527,-0.0361314057003712,0.106237567490764,0.109178743961353,-0.150375234521576,-0.157692307692308,-0.217021382751247,0.122222222222222,-0.0517685136187022,-0.0514272166903746,-0.0505263157894737,-0.0601949504634068,-0.253501382288075,0.246480320642306,0.246480320642306,-0.276915896799705,0.249243168705326,0.0685259681601145,0.0711714708056172,0.0711714708056172,0.0711714708056172,0.0621102952456394,-0.170622282821014,-0.26053918526621,-0.239823477727458,-0.237208142308837,-0.238655152327198,-0.235950280673617,-0.236896652913364,-0.235950280673617,-0.237674418604651,-0.237674418604651,-0.24,-0.24,0.182032686545068,-0.133333333333333,0.15,-0.233333333333333,0.159719384343445,0.146738870885212,-0.18077731092437
"Wnt",0.176356275303644,0.176356275303644,0.118461538461538,0.08,0.1,0.119607843137255,0.104658385093168,0.1,0.0666666666666667,0.0666666666666667,0.0656410256410257,0.0542124542124542,0.058974358974359,0.10974025974026,0.136666666666667,0.222941176470588,0.0866666666666667,0.0666666666666667,0.05,0,0.153259803921569,0.1,0.192857142857143,0.142857142857143,0.1,0.0866666666666667,-0.262745098039216,0.304208512673362,0.304208512673362,0.340258620689655,-0.334703389830508,0.150615174299385,0.118796992481203,0.118796992481203,0.118796992481203,-0.402475553557379,-0.0729623824451411,-0.306262626262626,0.328800478016233,0.286842105263158,0.308270676691729,0.25,0.286842105263158,0.25,0.3,0.2,0.2,0.1,0.31030303030303,-0.1,0,0,-0.0233176107971793,-0.0954545454545455,-0.12
"Frizzled",0.213565577629225,0.213565577629225,0.176356275303644,0.118461538461538,0.08,0.163004069552349,0.118258385093168,0.0666666666666667,0.119607843137255,0.0666666666666667,0.0612931995540691,0.058974358974359,0.0542124542124542,0.117936981051735,0.161666666666667,0.24484593837535,0.136666666666667,0.0866666666666667,0.0954545454545455,0.05,0.163463885554222,0.0666666666666667,0.222268907563025,0.192857142857143,0.142857142857143,0.115698924731183,-0.300840336134454,0.338861978019897,0.338861978019897,0.368334330468835,-0.366766881894001,0.172837396521607,0.150615174299385,0.150615174299385,0.150615174299385,-0.437673688755514,-0.0929623824451411,-0.342200126262626,0.348800478016233,0.308270676691729,0.328800478016233,0.286842105263158,0.308270676691729,0.286842105263158,0.25,0.25,0.3,0.2,0.340535588442565,-0.1,0,0.1,-0.00819824740195381,-0.10974025974026,-0.141428571428571
"HEY1",0.387777226084078,0.387777226084078,0.355701754385965,0.322368421052632,0.275,0.360237154150198,0.332608956246254,0.2,0.325454545454545,0.28,0.0977564102564102,0.0851539784642209,0.0719756838905775,0.316304985337243,0.334615384615385,0.411024291618351,0.3,0.26,0.260606060606061,0.233333333333333,0.349689881268829,0.2,0.373221259537049,0.340589680589681,0.305454545454545,0.271690094802223,-0.265618448637317,0.352303197789183,0.352303197789183,0.464749561875156,-0.592542735042735,0.398512922505491,0.373605859308465,0.373605859308465,0.373605859308465,-0.672584822574408,-0.347641773797487,-0.360540540540541,0.395445557923643,0.353897196408636,0.376344434328137,0.326310989512084,0.353267511251214,0.326310989512084,0.296078431372549,0.296078431372549,0.266666666666667,0.266666666666667,0.40259545543053,-0.1,-0.2,0.233333333333333,0.341987979717644,-0.289638318670577,-0.325153793574846
"FOXC2",0.387777226084078,0.387777226084078,0.355701754385965,0.322368421052632,0.275,0.360237154150198,0.332608956246254,0.2,0.325454545454545,0.28,0.0977564102564102,0.0851539784642209,0.0719756838905775,0.316304985337243,0.334615384615385,0.411024291618351,0.3,0.26,0.260606060606061,0.233333333333333,0.349689881268829,0.2,0.373221259537049,0.340589680589681,0.305454545454545,0.271690094802223,-0.265618448637317,0.352303197789183,0.352303197789183,0.464749561875156,-0.592542735042735,0.398512922505491,0.373605859308465,0.373605859308465,0.373605859308465,-0.672584822574408,-0.347641773797487,-0.360540540540541,0.395445557923643,0.353897196408636,0.376344434328137,0.326310989512084,0.353267511251214,0.326310989512084,0.296078431372549,0.296078431372549,0.266666666666667,0.266666666666667,0.40259545543053,-0.1,-0.2,0.233333333333333,0.341987979717644,-0.289638318670577,-0.325153793574846
"DSH",0.230956881977051,0.230956881977051,0.213565577629225,0.176356275303644,0.118461538461538,0.189721626804258,0.133463063455741,0.0666666666666667,0.163004069552349,0.119607843137255,0.0684360566969263,0.0710366157836975,0.058974358974359,0.128495987262915,0.17562015503876,0.262283660795279,0.161666666666667,0.136666666666667,0.10974025974026,0.0954545454545455,0.177526385554222,0.0866666666666667,0.239170316013729,0.222268907563025,0.192857142857143,0.14272595175821,-0.33287917108591,0.363763163790648,0.363763163790648,0.392199289723783,-0.394446504979984,0.194527537366677,0.172837396521607,0.172837396521607,0.172837396521607,-0.465026371253315,-0.11036377455651,-0.368805630849782,0.366164681043837,0.328532114600226,0.348800478016233,0.308270676691729,0.328800478016233,0.308270676691729,0.286842105263158,0.286842105263158,0.25,0.25,0.364586221353958,-0.0666666666666667,-0.05,0.2,0.00458801214003092,-0.117936981051735,-0.159738430583501
"SHH",0.342857142857143,0.342857142857143,0.3,0.2,0.1,0.3,0.260606060606061,0,0.2,0.1,0.0333333333333333,0.0606060606060606,0.0333333333333333,0.22,0.133333333333333,0.192857142857143,0.1,0,0.3,0.2,0.142857142857143,0,0.22,0.2,0.1,0.133333333333333,-0.3,0.371428571428571,0.371428571428571,0.36727969348659,-0.299068100358423,0.287179487179487,0.233333333333333,0.233333333333333,0.233333333333333,-0.339705882352941,-0.271794871794872,-0.381818181818182,0.241111111111111,0.25,0.196666666666667,0.2,0.15,0.1,0.2,0.1,0.2,0.1,0.276190476190476,0,-0.2,0,0.272987012987013,-0.3,-0.25
"RAF",0.296006483937518,0.296006483937518,0.246581196581197,0.207692307692308,0.2,0.227666911225238,0.22073762506942,0.17,0.187241379310345,0.17,0.159581881533101,0.154764914874029,0.153754813863928,0.208590163934426,0.156168831168831,0.374004753416518,0.110714285714286,0.0857142857142857,0.14,0.1,0.258543536260005,0.1,0.21041181041181,0.156565656565657,0.111111111111111,0.055831608005521,-0.332663797226208,0.372663797226208,0.372663797226208,0.624385964912281,-0.474936280818634,0.0945637695637696,0.050974025974026,0.050974025974026,0.050974025974026,-0.543314330360812,-0.164381402679275,-0.380952950808151,0.377496836898203,0.32,0.351288185498712,0.27,0.318421052631579,0.268421052631579,0.2,0.2,0.1,0.1,0.337271448663854,-0.1,-0.1,0,0.0227081076332972,-0.184,-0.226050420168067
"PI3K",0.255049941927991,0.255049941927991,0.217049941927991,0.160952380952381,0.114285714285714,0.191512605042017,0.172727385336081,0.0666666666666667,0.148179271708683,0.0952380952380952,0.0729055258467023,0.0763940698230512,0.0674509803921569,0.130877573131094,0.276018099547511,0.276816119652898,0.252941176470588,0.2,0.1,0.05,0.182515913678,0.166666666666667,0.236104218362283,0.203846153846154,0.15,0.154385964912281,-0.336842105263158,0.375508463573364,0.375508463573364,0.395363646725939,-0.396875422177051,0.215871622630243,0.18621645021645,0.18621645021645,0.18621645021645,-0.472077970556085,-0.18481240981241,-0.376039526859199,0.381335109628571,0.332612411742847,0.358036140556406,0.303381642512077,0.332612411742847,0.303381642512077,0.255555555555556,0.255555555555556,0.2,0.2,0.358952380952381,-0.2,0,0.1,-0.0192574231537553,-0.115384615384615,-0.165481577246283
"ILK",0.255049941927991,0.255049941927991,0.217049941927991,0.160952380952381,0.114285714285714,0.191512605042017,0.172727385336081,0.0666666666666667,0.148179271708683,0.0952380952380952,0.0729055258467023,0.0763940698230512,0.0674509803921569,0.130877573131094,0.276018099547511,0.276816119652898,0.252941176470588,0.2,0.1,0.05,0.182515913678,0.166666666666667,0.236104218362283,0.203846153846154,0.15,0.154385964912281,-0.336842105263158,0.375508463573364,0.375508463573364,0.395363646725939,-0.396875422177051,0.215871622630243,0.18621645021645,0.18621645021645,0.18621645021645,-0.472077970556085,-0.18481240981241,-0.376039526859199,0.381335109628571,0.332612411742847,0.358036140556406,0.303381642512077,0.332612411742847,0.303381642512077,0.255555555555556,0.255555555555556,0.2,0.2,0.358952380952381,-0.2,0,0.1,-0.0192574231537553,-0.115384615384615,-0.165481577246283
"SNAI2",0.423837862759764,0.423837862759764,0.387805474095797,0.344623655913978,0.283333333333333,0.389946084816906,0.367968954598481,0.2,0.346683673469388,0.2875,0.0994266994266994,0.0874812906391854,0.0705582137161085,0.357882046901693,0.365,0.447155155946255,0.325,0.275,0.2975,0.26,0.397676767676768,0.2,0.412175720758851,0.375751879699248,0.332894736842105,0.311034482758621,-0.285905550146056,0.377048236577385,0.377048236577385,0.710642286405021,-0.63740252833956,0.440018248148075,0.411149887870939,0.411149887870939,0.411149887870939,-0.808169651289178,-0.386190476190476,-0.38521271970188,0.449418177528942,0.402974962071897,0.427956280172798,0.373563197366014,0.40259545543053,0.373563197366014,0.341168831168831,0.341168831168831,0.305454545454545,0.305454545454545,0.447100565604419,-0.1,-0.2,0.26,0.385743987724154,-0.329414893617021,-0.352615498254096
"cateninnuc",0.391709431779091,0.391709431779091,0.371431654001314,0.344961065766019,0.313588516746412,0.366992702832985,0.332868891763604,0.290434782608696,0.345564131404414,0.31924834193073,0.113418394471026,0.0955174064940752,0.0884262342798928,0.208968110958757,0.339341946456002,0.322580770261257,0.322406462585034,0.297916666666667,0.180423728813559,0.155,0.243384792467371,0.266666666666667,0.371694781065978,0.353176262547459,0.328470380194518,0.257917879400786,-0.298012422360248,0.378772201794941,0.378772201794941,0.462799233342794,-0.408836111730412,0.385474572284378,0.369873549266475,0.369873549266475,0.369873549266475,-0.491337997962844,-0.33710401474542,-0.386204976438536,0.181411065333567,0.254721529215275,0.268539227691087,0.238054862548609,0.253760533017419,0.237027465288335,0.217402688635565,0.216375291375291,0.191375291375291,0.191375291375291,0.395445557923643,-0.233333333333333,-0.125,0.160606060606061,0.319888747177105,-0.196552761071624,-0.345391360136869
"RAS",0.345396825396825,0.345396825396825,0.297777777777778,0.271111111111111,0.26,0.315727554179567,0.306489675516224,0.26,0.286315789473684,0.26,0.161857707509881,0.157740884545008,0.156709956709957,0.192870056497175,0.212222222222222,0.375242771412984,0.173333333333333,0.166666666666667,0.116666666666667,0.1,0.258624088310664,0.2,0.277259185700099,0.226315789473684,0.2,0.00909090909090908,-0.356428571428571,0.398696612665685,0.398696612665685,0.57634173186284,-0.400410502033264,0.153717948717949,0.205641025641026,0.205641025641026,0.205641025641026,-0.47119473173547,-0.216989664082687,-0.407661538461538,0.410022792164208,0.338970588235294,0.37971117743333,0.276470588235294,0.338172715894869,0.276470588235294,0.2,0.2,0.1,0.1,0.349934123847167,-0.2,-0.1,0,-0.0340659026705538,-0.160666666666667,-0.392622641509434
"SOSGRB2",0.370573870573871,0.370573870573871,0.326984126984127,0.293650793650794,0.271428571428571,0.359400959400959,0.356393745557925,0.276190476190476,0.323037323037323,0.30952380952381,0.261647727272727,0.257867764813544,0.252903225806452,0.298701026608003,0.338011695906433,0.403942028985507,0.304678362573099,0.288888888888889,0.233333333333333,0.2,0.357215265481102,0.3,0.394031320791884,0.347552447552448,0.309090909090909,-0.0314705882352941,-0.362017543859649,0.400588972431078,0.400588972431078,0.645446544203578,-0.494195273195273,0.333311603650587,0.285875706214689,0.285875706214689,0.285875706214689,-0.563557925110508,-0.31585308255715,-0.410651126415904,0.400453903067587,0.331521739130435,0.370434782608696,0.275,0.330434782608696,0.273913043478261,0.2,0.2,0.1,0.1,0.345606435643564,-0.2,-0.2,0,-0.0356106235300866,-0.268468468468469,-0.381834795321637
"AKT",0.278068809852519,0.278068809852519,0.255049941927991,0.217049941927991,0.160952380952381,0.219717733247145,0.194444557053253,0.0952380952380952,0.191512605042017,0.148179271708683,0.0843559075260916,0.0875051809341623,0.0763940698230512,0.146835019939605,0.194385446486287,0.300129003088481,0.276018099547511,0.252941176470588,0.115384615384615,0.1,0.201182580344667,0.2,0.25880360486535,0.236104218362283,0.203846153846154,0.185250162443145,-0.370175438596491,0.404718085566492,0.404718085566492,0.42360485275609,-0.428577766723433,0.242263874446224,0.215871622630243,0.215871622630243,0.215871622630243,-0.50439967010085,-0.205376925941442,-0.405798239995928,0.400873571167032,0.357752076547316,0.381335109628571,0.332612411742847,0.358036140556406,0.332612411742847,0.303381642512077,0.303381642512077,0.255555555555556,0.255555555555556,0.388916279869348,-0.166666666666667,-0.05,0.2,-0.00412094672695625,-0.130877573131094,-0.189231577246283
"MEK",0.33744792537896,0.33744792537896,0.296006483937518,0.246581196581197,0.207692307692308,0.173429623089645,0.245898915392,0.17,0.227666911225238,0.187241379310345,0.161433733384953,0.161934726194784,0.154764914874029,0.226470958636413,0.185580595874714,0.406605486017251,0.156168831168831,0.110714285714286,0.184,0.14,0.278378247003806,0.0857142857142857,0.247638087784073,0.21041181041181,0.156565656565657,0.0820220841959972,-0.369918699186992,0.410759035321446,0.410759035321446,0.659179152260213,-0.51249725642839,0.129388050713929,0.0945637695637696,0.0945637695637696,0.0945637695637696,-0.584662235643144,-0.192145530443403,-0.419033446164188,0.400545164035749,0.352867132867133,0.377496836898203,0.32,0.351288185498712,0.318421052631579,0.27,0.268421052631579,0.2,0.2,0.379613791006196,-0.1,-0.1,0.1,0.0427917896416654,-0.208590163934426,-0.257629367536488
"CD44",0.37875,0.37875,0.36,0.3,0.2,0.415,0.373019670388091,0.3,0.385,0.325,0.204093567251462,0.197619047619048,0.183333333333333,0.177272727272727,0.26,0.351941391941392,0.266666666666667,0.2,0.15,0.1,0.188531468531469,0.2,0.24812030075188,0.242857142857143,0.2,-0.00238095238095239,-0.277777777777778,0.420634920634921,0.420634920634921,0.439156399156399,-0.144450549450549,0.203809523809524,0.166666666666667,0.166666666666667,0.166666666666667,-0.283107697318424,-0.223809523809524,-0.431699604743083,0.132277877161598,0.0233333333333333,0.0861240310077519,-0.05,0.0233333333333333,0.05,-0.1,0,0,0.1,-0.02,-0.1,-0.1,0.1,-0.159085452362763,-0.15,-0.423703703703704
"IKK",0.497806637806638,0.497806637806638,0.436190476190476,0.376190476190476,0.333333333333333,0.251584415584416,0.293091168091168,0.1,0.178857142857143,0.142857142857143,0.1792663476874,0.179170823633743,0.16989247311828,0.254463937621832,0.321042471042471,0.532941176470588,0.264285714285714,0.314285714285714,0.18,0.12,0.286704545454545,0.3,0.362914862914863,0.307359307359307,0.245454545454545,0.29047619047619,-0.363369963369963,0.425418546365915,0.425418546365915,0.660347091652491,-0.569256032607988,0.380219072994298,0.334119782214156,0.334119782214156,0.334119782214156,-0.682863893582049,-0.224505494505495,-0.428840579710145,0.439530455479823,0.376239316239316,0.40957264957265,0.331623931623932,0.376239316239316,0.331623931623932,0.277777777777778,0.277777777777778,0.2,0.2,0.403095238095238,-0.2,-0.1,0.1,0.139265491747074,-0.228148148148148,-0.277322404371585
"Csn",0.253408429994954,0.253408429994954,0.227438280741223,0.182556390977444,0.122556390977444,0.242972076656287,0.163535929428292,0.106666666666667,0.208580542264753,0.161212121212121,0.0723144609014174,0.0773170909792473,0.0653807514567008,0.137424045876148,0.205134408602151,0.294777786456299,0.184166666666667,0.155,0.108513708513709,0.0873015873015873,0.185635532452944,0.105,0.263310119831859,0.238672438672439,0.201010101010101,0.158682761045353,-0.399880772821949,0.437031633815566,0.437031633815566,0.438332543420922,-0.442370015831975,0.236505967325639,0.208706739526412,0.208706739526412,0.208706739526412,-0.516666277623432,-0.149229914302437,-0.444881466416248,0.419835433947705,0.37427547866515,0.398849264374644,0.348511286525412,0.374733508747634,0.348511286525412,0.318390804597701,0.318390804597701,0.266666666666667,0.266666666666667,0.407069759206799,-0.18,-0.0428571428571429,0.2,0.0504276184258625,-0.123731099818056,-0.179751126680612
