"","FOXC2","TGF","TGFR","MEK","EGR1","ERK","cfos","SNAI1","HEY1","SMAD","ILK","SHH","AKT","IKK","NFB","SMO","TWIST1","FUS","Jagged","Csn","NOTCH","NOTCHic","Csl","SOSGRB2","KLF4","SNAI2","cateninmemb","ZEB2","ZEB1","RAS","RAF","PI3K","DELTA","Ecadherin","miR200","GSK3","cateninnuc","GLI","TCFLEF","Wnt","CD44","cMet","Frizzled","SRC","DSH","STAT","AXIN2","TrCP","SUFU","LIV1","Destcompl","Patched","RKIP","PAK1","CDC42"
"Destcompl",0.0551676771403144,0.0242405274269417,0.0269006259491092,0.0505680264260883,0.0625641025641026,0.0518338492108984,0.0534731934731935,0.094425147455231,0.00964317733548503,0.0135296574770259,0.0134126984126984,-0.11982880823179,0.0449802631010685,0.0496782496782497,0.0523809523809524,-0.111877394636015,-0.0408128298870582,-0.111877394636015,-0.185626117497308,0.0523809523809524,-0.0598730284697872,-0.0560654132393263,-0.0549784567175871,-0.0622669800230309,-0.200932058013648,-0.234024344733385,0.215471730687441,0.190082485353068,0.190082485353068,0.00185341010655424,0.00295231120545534,0.00295231120545534,0.00295231120545534,0.0525767745849639,-0.201715138546968,-0.0887065716616701,-0.186963343161751,-0.185758339602481,-0.186198427302496,-0.183346465762036,-0.185102536891537,-0.182863730921388,-0.180376168732333,-0.180376168732333,-0.181746031746032,-0.181746031746032,-0.238655152327198,-0.0666666666666667,0.122222222222222,-0.188888888888889,-0.0200210421833517,0.116540607071248,-0.12024107799381,-0.0210204081632653,-0.0258479943701619
"AXIN2",0.108631158069097,0.0629831749153283,0.0629831749153283,0.111156525680629,0.153333333333333,0.117363422232353,0.131382113821138,0.152579144959995,0.0187481889307447,0.0181159420289855,0.0220841959972395,-0.153439770611902,0.101497584541063,0.104830917874396,0.109178743961353,-0.152930402930403,-0.0383357315811677,-0.157692307692308,-0.220035634166069,0.122222222222222,-0.0536633814265393,-0.052312030075188,-0.0505263157894737,-0.0772774023545412,-0.251973359911612,-0.277140533211692,0.249477819289689,0.243348653942656,0.243348653942656,0.0667622309742845,0.069649370081896,0.069649370081896,0.069649370081896,0.0632820723547118,-0.257619277635177,-0.170421160202625,-0.239995403083791,-0.237208142308837,-0.238655152327198,-0.235950280673617,-0.236896652913364,-0.235950280673617,-0.237674418604651,-0.237674418604651,-0.24,-0.24,0.182032686545068,-0.133333333333333,0.15,-0.233333333333333,0.159719384343445,0.151144688644689,-0.176303024932057,-0.0783333333333333,-0.0647530864197531
"TGF",0.191444099378882,0.202857142857143,0.274285714285714,0.365413533834586,0.266666666666667,0.332080200501253,0.295238095238095,0.18319771137953,0.195486782720825,0.186236559139785,0.173333333333333,0.215761494252874,0.306453634085213,0.301190476190476,0.258333333333333,0.186666666666667,0.195925925925926,0.153333333333333,0.249625675012273,0.233333333333333,0.340574712643678,0.323333333333333,0.273333333333333,0.131578947368421,-0.24881769641495,0.35738983933369,-0.340454892234623,0.279726787324041,0.279726787324041,0.320833333333333,0.286904761904762,0.286904761904762,0.286904761904762,-0.368799715975776,-0.287795394260911,-0.313565060727487,0.292569889560952,0.243504043126685,0.267689506785833,0.211428571428571,0.23874213836478,0.206666666666667,0.171428571428571,0.166666666666667,0.1,0.1,0.263271604938272,-0.2,-0.133333333333333,0,0.10193904826836,-0.197011494252874,-0.253246753246753,-0.16,-0.226666666666667
"Wnt",0.171093117408907,0.198840579710145,0.146666666666667,0.119607843137255,0.1,0.0666666666666667,0.0666666666666667,0.0907867494824016,0.0656410256410257,0.0566487775790101,0.058974358974359,0.10974025974026,0.136666666666667,0.0866666666666667,0.0666666666666667,0.05,0.217941176470588,0,0.153259803921569,0.1,0.192857142857143,0.142857142857143,0.1,0.0939393939393939,-0.262745098039216,0.340258620689655,-0.334703389830508,0.299330463892874,0.299330463892874,0.150615174299385,0.118796992481203,0.118796992481203,0.118796992481203,-0.401256041362257,-0.302626262626263,-0.0729623824451411,0.328800478016233,0.286842105263158,0.308270676691729,0.25,0.286842105263158,0.25,0.3,0.2,0.2,0.1,0.31030303030303,-0.1,0,0,-0.0233176107971793,-0.0954545454545455,-0.111666666666667,-0.1,-0.1
"TGFR",0.216334929073205,0.229098277608916,0.202857142857143,0.39144093109486,0.295238095238095,0.365413533834586,0.332080200501253,0.205321605184839,0.210412155855154,0.195845100065052,0.186236559139785,0.234405562049484,0.325058285248004,0.306453634085213,0.301190476190476,0.197011494252874,0.222616317385001,0.186666666666667,0.271364805447056,0.258333333333333,0.364315719837923,0.340574712643678,0.323333333333333,0.157504873294347,-0.277389124986379,0.386325024518876,-0.371401774451713,0.30651924015423,0.30651924015423,0.350073099415205,0.320833333333333,0.320833333333333,0.320833333333333,-0.400486257713425,-0.316241142061498,-0.334347456815507,0.3117904387195,0.272536301191201,0.292569889560952,0.243504043126685,0.267689506785833,0.23874213836478,0.211428571428571,0.206666666666667,0.171428571428571,0.166666666666667,0.295460446139988,-0.233333333333333,-0.153333333333333,0.1,0.118874532139328,-0.215761494252874,-0.278961038961039,-0.226666666666667,-0.274285714285714
"Frizzled",0.203651256943791,0.232173913043478,0.198840579710145,0.160348583877996,0.0666666666666667,0.119607843137255,0.0666666666666667,0.106659765355418,0.0635133660665576,0.0631908336537765,0.0566487775790101,0.119417679095098,0.161666666666667,0.136666666666667,0.0866666666666667,0.0954545454545455,0.237941176470588,0.05,0.16437091503268,0.0666666666666667,0.222268907563025,0.192857142857143,0.142857142857143,0.127272727272727,-0.296078431372549,0.367703415642337,-0.36613196125908,0.330023533199805,0.330023533199805,0.173449819968676,0.150615174299385,0.150615174299385,0.150615174299385,-0.43458937469559,-0.333876262626263,-0.0929623824451411,0.348324287540042,0.308270676691729,0.328800478016233,0.286842105263158,0.308270676691729,0.286842105263158,0.25,0.25,0.3,0.2,0.340535588442565,-0.1,0,0.1,-0.00819824740195381,-0.10974025974026,-0.12952380952381,-0.1,-0.146666666666667
"HEY1",0.387715377204185,0.37170140428677,0.340969696969697,0.364959479574398,0.2,0.328877005347594,0.281818181818182,0.328683022464955,0.111306340718105,0.105159420289855,0.0906666666666667,0.324798387096774,0.33989417989418,0.302857142857143,0.26,0.266666666666667,0.410653594771242,0.233333333333333,0.354196538094589,0.2,0.376317269274404,0.342296650717703,0.305454545454545,0.28138936535163,-0.266666666666667,0.4649781869926,-0.592777865765671,0.351883384932921,0.351883384932921,0.400897435897436,0.375897435897436,0.375897435897436,0.375897435897436,-0.672976484681208,-0.36045177045177,-0.348106210167198,0.395647049521164,0.353897196408636,0.376344434328137,0.326310989512084,0.353267511251214,0.326310989512084,0.296078431372549,0.296078431372549,0.266666666666667,0.266666666666667,0.40259545543053,-0.1,-0.2,0.233333333333333,0.341987979717644,-0.297916666666667,-0.32459286745001,-0.263636363636364,-0.307636363636364
"FOXC2",0.387715377204185,0.37170140428677,0.340969696969697,0.364959479574398,0.2,0.328877005347594,0.281818181818182,0.328683022464955,0.111306340718105,0.105159420289855,0.0906666666666667,0.324798387096774,0.33989417989418,0.302857142857143,0.26,0.266666666666667,0.410653594771242,0.233333333333333,0.354196538094589,0.2,0.376317269274404,0.342296650717703,0.305454545454545,0.28138936535163,-0.266666666666667,0.4649781869926,-0.592777865765671,0.351883384932921,0.351883384932921,0.400897435897436,0.375897435897436,0.375897435897436,0.375897435897436,-0.672976484681208,-0.36045177045177,-0.348106210167198,0.395647049521164,0.353897196408636,0.376344434328137,0.326310989512084,0.353267511251214,0.326310989512084,0.296078431372549,0.296078431372549,0.266666666666667,0.266666666666667,0.40259545543053,-0.1,-0.2,0.233333333333333,0.341987979717644,-0.297916666666667,-0.32459286745001,-0.263636363636364,-0.307636363636364
"DSH",0.221400174692708,0.250640811998182,0.232173913043478,0.18666437335168,0.0666666666666667,0.160348583877996,0.119607843137255,0.122601794340925,0.072285295891119,0.0756436638424557,0.0631908336537765,0.13107412081289,0.176609195402299,0.161666666666667,0.136666666666667,0.10974025974026,0.256380892782645,0.0954545454545455,0.179099597203222,0.0866666666666667,0.239751425045543,0.222268907563025,0.192857142857143,0.15410199556541,-0.324233771178374,0.390869888284944,-0.392633728043532,0.353645580443899,0.353645580443899,0.195578671509292,0.173449819968676,0.173449819968676,0.173449819968676,-0.460840472149497,-0.358876262626263,-0.11036377455651,0.364798018617513,0.328532114600226,0.348324287540042,0.308270676691729,0.328800478016233,0.308270676691729,0.286842105263158,0.286842105263158,0.25,0.25,0.364586221353958,-0.0666666666666667,-0.05,0.2,0.00439717244537443,-0.119417679095098,-0.14980352980353,-0.146666666666667,-0.198840579710145
"PI3K",0.244171893147503,0.264900526064084,0.229941176470588,0.189162878266061,0.0666666666666667,0.148179271708683,0.0952380952380952,0.158566827697262,0.0747923182995325,0.0798917967186875,0.0694917967186875,0.132051282051282,0.276018099547511,0.252941176470588,0.2,0.1,0.269189605041351,0.05,0.183245614035088,0.166666666666667,0.236104218362283,0.203846153846154,0.15,0.163461538461538,-0.332675438596491,0.394824563167988,-0.396330463048986,0.366035753120081,0.366035753120081,0.21635343651782,0.18621645021645,0.18621645021645,0.18621645021645,-0.46900920994488,-0.367355432929203,-0.18481240981241,0.38092273849455,0.332612411742847,0.358036140556406,0.303381642512077,0.332612411742847,0.303381642512077,0.255555555555556,0.255555555555556,0.2,0.2,0.358952380952381,-0.2,0,0.1,-0.0192574231537553,-0.115384615384615,-0.151906916612799,-0.125,-0.177941176470588
"ILK",0.244171893147503,0.264900526064084,0.229941176470588,0.189162878266061,0.0666666666666667,0.148179271708683,0.0952380952380952,0.158566827697262,0.0747923182995325,0.0798917967186875,0.0694917967186875,0.132051282051282,0.276018099547511,0.252941176470588,0.2,0.1,0.269189605041351,0.05,0.183245614035088,0.166666666666667,0.236104218362283,0.203846153846154,0.15,0.163461538461538,-0.332675438596491,0.394824563167988,-0.396330463048986,0.366035753120081,0.366035753120081,0.21635343651782,0.18621645021645,0.18621645021645,0.18621645021645,-0.46900920994488,-0.367355432929203,-0.18481240981241,0.38092273849455,0.332612411742847,0.358036140556406,0.303381642512077,0.332612411742847,0.303381642512077,0.255555555555556,0.255555555555556,0.2,0.2,0.358952380952381,-0.2,0,0.1,-0.0192574231537553,-0.115384615384615,-0.151906916612799,-0.125,-0.177941176470588
"RAF",0.291408782788093,0.317151757899422,0.267619047619048,0.227666911225238,0.17,0.187241379310345,0.17,0.20734893799106,0.159581881533101,0.156725110893631,0.153754813863928,0.208590163934426,0.156168831168831,0.110714285714286,0.0857142857142857,0.14,0.369964349376114,0.1,0.258543536260005,0.1,0.21041181041181,0.156565656565657,0.111111111111111,0.0613968253968254,-0.332663797226208,0.624385964912281,-0.474936280818634,0.368663797226208,0.368663797226208,0.0945637695637696,0.050974025974026,0.050974025974026,0.050974025974026,-0.542377562210929,-0.377852175614352,-0.164381402679275,0.377496836898203,0.32,0.351288185498712,0.27,0.318421052631579,0.268421052631579,0.2,0.2,0.1,0.1,0.337271448663854,-0.1,-0.1,0,0.0227081076332972,-0.184,-0.218207282913165,-0.2,-0.22
"cateninnuc",0.387086056020482,0.372229586104304,0.352797271693823,0.371953014180347,0.297101449275362,0.351310812345485,0.327260179434092,0.325955439716068,0.124481847142868,0.111170201331184,0.103393939393939,0.217547714104253,0.345354166666667,0.328166666666667,0.304166666666667,0.18792349726776,0.319977314663146,0.163333333333333,0.248185478563194,0.270833333333333,0.375258358118035,0.356621994481671,0.332203389830509,0.258791198657297,-0.29492502357271,0.463093348609284,-0.408976185863786,0.373613236353165,0.373613236353165,0.388710818710819,0.372717552717553,0.372717552717553,0.372717552717553,-0.490340815358464,-0.381209954511351,-0.338072618838637,0.181628850881789,0.255050909979439,0.268952794543761,0.238054862548609,0.254090957351827,0.237027465288335,0.217402688635565,0.216375291375291,0.191375291375291,0.191375291375291,0.395647049521164,-0.233333333333333,-0.133333333333333,0.160606060606061,0.319856764246688,-0.204693683603163,-0.340156800189058,-0.299428571428571,-0.328659340659341
"SHH",0.35,0.44,0.4,0.3,0,0.2,0.1,0.266666666666667,0.0666666666666667,0.1,0.0666666666666667,0.253333333333333,0.15,0.1,0,0.3,0.2,0.2,0.162857142857143,0,0.233333333333333,0.2,0.1,0.25,-0.3,0.36727969348659,-0.299068100358423,0.375,0.375,0.303846153846154,0.25,0.25,0.25,-0.341666666666667,-0.383333333333333,-0.271794871794872,0.241111111111111,0.25,0.196666666666667,0.2,0.15,0.1,0.2,0.1,0.2,0.1,0.276190476190476,0,-0.2,0,0.272987012987013,-0.333333333333333,-0.26,-0.2,-0.3
"SNAI2",0.423902047963757,0.410276395954145,0.375493787258493,0.393614202437732,0.2,0.349019607843137,0.288235294117647,0.365181699794747,0.116169379144063,0.112087517128288,0.0934272300469483,0.365447812927988,0.36889281262983,0.326724137931034,0.275,0.301176470588235,0.44707977216696,0.26,0.401762028014479,0.2,0.41441672362725,0.376754385964912,0.332894736842105,0.323799864773496,-0.286538461538462,0.710777486540221,-0.63753975365315,0.376826725403818,0.376826725403818,0.442051352058506,0.412827607766268,0.412827607766268,0.412827607766268,-0.808460433019942,-0.385174565562869,-0.386470390385003,0.449540131104475,0.402974962071897,0.427956280172798,0.373563197366014,0.40259545543053,0.373563197366014,0.341168831168831,0.341168831168831,0.305454545454545,0.305454545454545,0.447100565604419,-0.1,-0.2,0.26,0.385743987724154,-0.335870348139256,-0.3525,-0.276470588235294,-0.333613445378151
"AKT",0.266728284124946,0.288767595550489,0.264900526064084,0.215745156747073,0.0952380952380952,0.189162878266061,0.148179271708683,0.179870085842626,0.0875742731867506,0.0916763085031993,0.0798917967186875,0.14889338731444,0.195210018739431,0.276018099547511,0.252941176470588,0.115384615384615,0.293348626448079,0.1,0.202450912048333,0.2,0.2592749500696,0.236104218362283,0.203846153846154,0.19457264957265,-0.360880566801619,0.422261749097636,-0.426809566005153,0.393433013394053,0.393433013394053,0.243100424469627,0.21635343651782,0.21635343651782,0.21635343651782,-0.499918300853971,-0.394628160201931,-0.205376925941442,0.399538123109935,0.357752076547316,0.38092273849455,0.332612411742847,0.358036140556406,0.332612411742847,0.303381642512077,0.303381642512077,0.255555555555556,0.255555555555556,0.388916279869348,-0.166666666666667,-0.05,0.2,-0.00428637269883383,-0.132051282051282,-0.177372755122116,-0.177941176470588,-0.229941176470588
"RAS",0.343015873015873,0.365789167152009,0.315294117647059,0.315727554179567,0.26,0.286315789473684,0.26,0.293195673549656,0.161857707509881,0.158750773036487,0.156709956709957,0.192870056497175,0.212222222222222,0.173333333333333,0.166666666666667,0.116666666666667,0.373115111838516,0.1,0.258624088310664,0.2,0.277259185700099,0.226315789473684,0.2,0.0125541125541125,-0.356428571428571,0.57634173186284,-0.400410502033264,0.396634756995582,0.396634756995582,0.153717948717949,0.205641025641026,0.205641025641026,0.205641025641026,-0.470683222784063,-0.406061538461538,-0.216989664082687,0.410022792164208,0.338970588235294,0.37971117743333,0.276470588235294,0.338172715894869,0.276470588235294,0.2,0.2,0.1,0.1,0.349934123847167,-0.2,-0.1,0,-0.0340659026705538,-0.160666666666667,-0.388849056603774,-0.26,-0.28
"SOSGRB2",0.367155067155067,0.389835554516406,0.343736263736264,0.359400959400959,0.276190476190476,0.323037323037323,0.30952380952381,0.345661691542289,0.261647727272727,0.259196932100158,0.252903225806452,0.298701026608003,0.338011695906433,0.304678362573099,0.288888888888889,0.233333333333333,0.40104347826087,0.2,0.357215265481102,0.3,0.394031320791884,0.347552447552448,0.309090909090909,-0.0272222222222222,-0.362017543859649,0.645446544203578,-0.494195273195273,0.397731829573935,0.397731829573935,0.333311603650587,0.285875706214689,0.285875706214689,0.285875706214689,-0.56286106099901,-0.408441181664522,-0.31585308255715,0.400453903067587,0.331521739130435,0.370434782608696,0.275,0.330434782608696,0.273913043478261,0.2,0.2,0.1,0.1,0.345606435643564,-0.2,-0.2,0,-0.0356106235300866,-0.268468468468469,-0.376571637426901,-0.271428571428571,-0.301428571428571
"IKK",0.473766233766234,0.510335353535354,0.453535353535354,0.244190476190476,0.1,0.170857142857143,0.142857142857143,0.258100084817642,0.181940144478844,0.183807755775578,0.172916666666667,0.2557343550447,0.321042471042471,0.264285714285714,0.314285714285714,0.18,0.517843137254902,0.12,0.287413308341143,0.3,0.362914862914863,0.307359307359307,0.245454545454545,0.296008403361345,-0.343956043956044,0.657780613006238,-0.565506244221328,0.397869674185464,0.397869674185464,0.380598655453593,0.334119782214156,0.334119782214156,0.334119782214156,-0.673604070961304,-0.403991081382386,-0.224505494505495,0.436712748263918,0.376239316239316,0.408442706069825,0.331623931623932,0.376239316239316,0.331623931623932,0.277777777777778,0.277777777777778,0.2,0.2,0.403095238095238,-0.2,-0.1,0.1,0.138814024478451,-0.228148148148148,-0.254098360655738,-0.35,-0.394444444444444
"TWIST1",0.492885640241229,0.492111060332331,0.456347962382445,0.453477691633366,0.26,0.409199084668192,0.351304347826087,0.403125089682881,0.235313838703669,0.228857975887679,0.210706160706161,0.452895726957134,0.459222698205749,0.416849816849817,0.369230769230769,0.391555555555556,0.438475763684574,0.355555555555556,0.404008645849114,0.3,0.417824544428318,0.379145299145299,0.335555555555555,0.305227952825207,-0.325755680633729,0.7214395254569,-0.644793211739438,0.402338303215496,0.402338303215496,0.44818551895493,0.418733464160409,0.418733464160409,0.418733464160409,-0.803892393017162,-0.411249694301785,-0.399976344238639,0.461246749861186,0.413549540517962,0.438762563547213,0.383149540517962,0.412575733531899,0.382455251604188,0.348412698412698,0.348412698412698,0.309523809523809,0.309523809523809,0.45745979826625,-0.2,-0.3,0.266666666666667,0.393191639759398,-0.425802130898021,-0.405273333534203,-0.352727272727273,-0.411347962382445
